Date,ACWI SMID VALUE SMID (Small+Mid Cap)
1994-05-31,243.217
1994-06-30,246.71
1994-07-29,249.849
1994-08-31,254.918
1994-09-30,249.706
1994-10-31,251.041
1994-11-30,238.1
1994-12-30,241.333
1995-01-31,237.582
1995-02-28,237.681
1995-03-31,245.407
1995-04-28,251.302
1995-05-31,251.211
1995-06-30,251.017
1995-07-31,262.283
1995-08-31,258.838
1995-09-29,260.319
1995-10-31,252.994
1995-11-30,258.293
1995-12-29,266.421
1996-01-31,270.927
1996-02-29,274.072
1996-03-29,278.77
1996-04-30,289.588
1996-05-31,289.021
1996-06-28,288.832
1996-07-31,277.447
1996-08-30,280.817
1996-09-30,285.072
1996-10-31,283.689
1996-11-29,291.523
1996-12-31,290.464
1997-01-31,289.898
1997-02-28,293.79
1997-03-31,286.913
1997-04-30,286.81
1997-05-30,305.757
1997-06-30,317.034
1997-07-31,321.531
1997-08-29,312.159
1997-09-30,322.898
1997-10-31,310.391
1997-11-28,304.485
1997-12-31,305.323
1998-01-30,307.854
1998-02-27,328.772
1998-03-31,342.893
1998-04-30,343.782
1998-05-29,336.482
1998-06-30,327.36
1998-07-31,317.301
1998-08-31,272.834
1998-09-30,276.24
1998-10-30,294.895
1998-11-30,306.569
1998-12-31,312.62
1999-01-29,306.07
1999-02-26,297.541
1999-03-31,308.167
1999-04-30,334.577
1999-05-31,332.294
1999-06-30,344.654
1999-07-30,346.956
1999-08-31,344.298
1999-09-30,338.666
1999-10-29,336.933
1999-11-30,336.31
1999-12-31,348.007
2000-01-31,337.654
2000-02-29,335.254
2000-03-31,350.299
2000-04-28,337.46
2000-05-31,336.969
2000-06-30,347.905
2000-07-31,342.733
2000-08-31,355.814
2000-09-29,346.222
2000-10-31,335.879
2000-11-30,330.186
2000-12-29,348.811
2001-01-31,358.682
2001-02-28,352.193
2001-03-30,335.593
2001-04-30,355.073
2001-05-31,362.255
2001-06-29,359.961
2001-07-31,353.675
2001-08-31,353.622
2001-09-28,314.318
2001-10-31,321.218
2001-11-30,337.616
2001-12-31,347.007
2002-01-31,346.797
2002-02-28,353.106
2002-03-29,375.107
2002-04-30,384.154
2002-05-31,388.746
2002-06-28,371.409
2002-07-31,337.582
2002-08-30,339.751
2002-09-30,309.665
2002-10-31,316.528
2002-11-29,333.34
2002-12-31,327.668
2003-01-31,320.643
2003-02-28,314.872
2003-03-31,313.864
2003-04-30,341.423
2003-05-30,370.403
2003-06-30,378.435
2003-07-31,391.47
2003-08-29,406.793
2003-09-30,413.232
2003-10-31,442.208
2003-11-28,452.066
2003-12-31,478.293
2004-01-30,491.592
2004-02-27,507.955
2004-03-31,517.544
2004-04-30,497.635
2004-05-31,503.752
2004-06-30,523.781
2004-07-30,509.795
2004-08-31,516.647
2004-09-30,533.904
2004-10-29,547.534
2004-11-30,588.7
2004-12-31,614.818
2005-01-31,607.171
2005-02-28,630.984
2005-03-31,620.504
2005-04-29,602.229
2005-05-31,617.755
2005-06-30,634.427
2005-07-29,662.844
2005-08-31,665.968
2005-09-30,684.132
2005-10-31,662.34
2005-11-30,689.565
2005-12-30,711.29
2006-01-31,755.519
2006-02-28,758.368
2006-03-31,781.395
2006-04-28,805.262
2006-05-31,774.11
2006-06-30,771.715
2006-07-31,770.235
2006-08-31,790.362
2006-09-29,799.506
2006-10-31,834.475
2006-11-30,868.873
2006-12-29,886.905
2007-01-31,904.394
2007-02-28,914.031
2007-03-30,932.935
2007-04-30,968.248
2007-05-31,1000.0
2007-06-29,984.737
2007-07-31,956.073
2007-08-31,942.487
2007-09-28,965.534
2007-10-31,992.422
2007-11-30,925.569
2007-12-31,905.527
2008-01-31,849.458
2008-02-29,849.659
2008-03-31,843.926
2008-04-30,874.918
2008-05-30,893.572
2008-06-30,799.354
2008-07-31,790.065
2008-08-29,788.909
2008-09-30,699.525
2008-10-31,541.497
2008-11-28,508.11
2008-12-31,542.104
2009-01-30,494.002
2009-02-27,436.411
2009-03-31,477.101
2009-04-30,563.105
2009-05-29,620.261
2009-06-30,620.691
2009-07-31,686.32
2009-08-31,732.012
2009-09-30,773.244
2009-10-30,745.785
2009-11-30,765.82
2009-12-31,796.118
2010-01-29,776.209
2010-02-26,791.103
2010-03-31,850.862
2010-04-30,874.495
2010-05-31,790.883
2010-06-30,763.638
2010-07-30,826.179
2010-08-31,794.316
2010-09-30,876.606
2010-10-29,907.527
2010-11-30,892.248
2010-12-31,971.374
2011-01-31,983.998
2011-02-28,1009.721
2011-03-31,1015.383
2011-04-29,1052.838
2011-05-31,1031.382
2011-06-30,1008.989
2011-07-29,986.877
2011-08-31,907.56
2011-09-30,809.855
2011-10-31,893.996
2011-11-30,863.91
2011-12-30,864.57
2012-01-31,929.319
2012-02-29,976.546
2012-03-30,981.79
2012-04-30,966.723
2012-05-31,878.111
2012-06-29,917.288
2012-07-31,920.54
2012-08-31,944.902
2012-09-28,979.781
2012-10-31,980.43
2012-11-30,994.132
2012-12-31,1037.109
2013-01-31,1095.198
2013-02-28,1104.796
2013-03-29,1133.799
2013-04-30,1166.965
2013-05-31,1161.657
2013-06-28,1127.933
2013-07-31,1188.667
2013-08-30,1158.363
2013-09-30,1230.499
2013-10-31,1278.627
2013-11-29,1285.876
2013-12-31,1310.908
2014-01-31,1277.516
2014-02-28,1340.922
2014-03-31,1355.139
2014-04-30,1357.761
2014-05-30,1379.819
2014-06-30,1419.103
2014-07-31,1381.908
