Date,ACWI SMID VALUE SMID (Small+Mid Cap)
1994-05-31,254.729
1994-06-30,258.321
1994-07-29,261.555
1994-08-31,266.85
1994-09-30,261.361
1994-10-31,262.738
1994-11-30,249.185
1994-12-30,252.552
1995-01-31,248.611
1995-02-28,248.706
1995-03-31,256.724
1995-04-28,262.851
1995-05-31,262.687
1995-06-30,262.409
1995-07-31,274.12
1995-08-31,270.506
1995-09-29,272.013
1995-10-31,264.338
1995-11-30,269.864
1995-12-29,278.34
1996-01-31,283.027
1996-02-29,286.298
1996-03-29,291.141
1996-04-30,302.381
1996-05-31,301.696
1996-06-28,301.413
1996-07-31,289.458
1996-08-30,292.957
1996-09-30,297.36
1996-10-31,295.902
1996-11-29,304.062
1996-12-31,302.937
1997-01-31,302.324
1997-02-28,306.367
1997-03-31,299.143
1997-04-30,298.967
1997-05-30,318.615
1997-06-30,330.26
1997-07-31,334.88
1997-08-29,325.102
1997-09-30,336.237
1997-10-31,323.197
1997-11-28,317.033
1997-12-31,317.881
1998-01-30,320.498
1998-02-27,342.258
1998-03-31,356.883
1998-04-30,357.726
1998-05-29,350.021
1998-06-30,340.421
1998-07-31,329.907
1998-08-31,283.655
1998-09-30,287.157
1998-10-30,306.532
1998-11-30,318.65
1998-12-31,324.924
1999-01-29,318.083
1999-02-26,309.169
1999-03-31,320.095
1999-04-30,347.453
1999-05-31,344.984
1999-06-30,357.721
1999-07-30,360.062
1999-08-31,357.238
1999-09-30,351.306
1999-10-29,349.476
1999-11-30,348.77
1999-12-31,360.841
2000-01-31,350.071
2000-02-29,347.521
2000-03-31,362.963
2000-04-28,349.583
2000-05-31,348.958
2000-06-30,360.17
2000-07-31,354.748
2000-08-31,368.208
2000-09-29,358.175
2000-10-31,347.431
2000-11-30,341.476
2000-12-29,360.665
2001-01-31,370.824
2001-02-28,364.054
2001-03-30,346.725
2001-04-30,366.719
2001-05-31,373.919
2001-06-29,371.403
2001-07-31,364.849
2001-08-31,364.71
2001-09-28,324.054
2001-10-31,331.121
2001-11-30,347.949
2001-12-31,357.537
2002-01-31,357.274
2002-02-28,363.697
2002-03-29,386.167
2002-04-30,395.344
2002-05-31,399.858
2002-06-28,381.861
2002-07-31,347.013
2002-08-30,349.087
2002-09-30,317.974
2002-10-31,324.905
2002-11-29,341.999
2002-12-31,335.98
2003-01-31,328.697
2003-02-28,322.596
2003-03-31,321.269
2003-04-30,349.252
2003-05-30,378.58
2003-06-30,386.538
2003-07-31,399.722
2003-08-29,415.186
2003-09-30,421.535
2003-10-31,450.984
2003-11-28,460.858
2003-12-31,487.336
2004-01-30,500.781
2004-02-27,517.244
2004-03-31,526.651
2004-04-30,506.134
2004-05-31,511.993
2004-06-30,532.062
2004-07-30,517.702
2004-08-31,524.413
2004-09-30,541.667
2004-10-29,555.359
2004-11-30,596.855
2004-12-31,623.013
2005-01-31,615.132
2005-02-28,639.005
2005-03-31,627.994
2005-04-29,609.135
2005-05-31,624.397
2005-06-30,640.881
2005-07-29,669.396
2005-08-31,672.25
2005-09-30,690.241
2005-10-31,668.096
2005-11-30,695.273
2005-12-30,716.786
2006-01-31,761.192
2006-02-28,763.812
2006-03-31,786.512
2006-04-28,810.178
2006-05-31,778.296
2006-06-30,775.427
2006-07-31,773.753
2006-08-31,793.624
2006-09-29,802.392
2006-10-31,837.318
2006-11-30,871.51
2006-12-29,889.071
2007-01-31,906.414
2007-02-28,915.741
2007-03-30,934.011
2007-04-30,968.866
2007-05-31,1000.0
2007-06-29,984.16
2007-07-31,955.223
2007-08-31,941.225
2007-09-28,963.736
2007-10-31,990.314
2007-11-30,923.255
2007-12-31,902.729
2008-01-31,846.623
2008-02-29,846.449
2008-03-31,840.025
2008-04-30,870.269
2008-05-30,888.007
2008-06-30,793.798
2008-07-31,784.236
2008-08-29,782.68
2008-09-30,693.519
2008-10-31,536.614
2008-11-28,503.229
2008-12-31,536.419
2009-01-30,488.684
2009-02-27,431.473
2009-03-31,471.209
2009-04-30,555.76
2009-05-29,611.611
2009-06-30,611.6
2009-07-31,676.069
2009-08-31,720.786
2009-09-30,761.052
2009-10-30,733.907
2009-11-30,753.293
2009-12-31,782.727
2010-01-29,763.007
2010-02-26,777.345
2010-03-31,835.542
2010-04-30,858.357
2010-05-31,775.718
2010-06-30,748.589
2010-07-30,809.657
2010-08-31,778.092
2010-09-30,858.295
2010-10-29,888.413
2010-11-30,873.1
2010-12-31,950.034
2011-01-31,962.211
2011-02-28,987.031
2011-03-31,991.999
2011-04-29,1028.146
2011-05-31,1006.314
2011-06-30,983.845
2011-07-29,961.958
2011-08-31,884.178
2011-09-30,788.509
2011-10-31,870.253
2011-11-30,840.55
2011-12-30,840.661
2012-01-31,903.456
2012-02-29,948.966
2012-03-30,953.347
2012-04-30,938.223
2012-05-31,851.461
2012-06-29,888.698
2012-07-31,891.511
2012-08-31,914.595
2012-09-28,947.757
2012-10-31,948.17
2012-11-30,960.891
2012-12-31,1001.519
2013-01-31,1057.428
2013-02-28,1066.313
2013-03-29,1093.492
2013-04-30,1124.767
2013-05-31,1118.747
2013-06-28,1085.48
2013-07-31,1143.548
2013-08-30,1113.876
2013-09-30,1182.591
2013-10-31,1228.597
2013-11-29,1235.07
2013-12-31,1258.33
2014-01-31,1226.011
2014-02-28,1286.325
2014-03-31,1298.975
2014-04-30,1300.876
2014-05-30,1320.895
2014-06-30,1357.534
2014-07-31,1321.519
2014-08-29,1352.813
2014-09-30,1281.94
2014-10-31,1298.288
2014-11-28,1306.224
2014-12-31,1301.891
2015-01-30,1288.817
2015-02-27,1352.226
2015-03-31,1341.461
2015-04-30,1372.653
2015-05-29,1376.227
2015-06-30,1339.954
2015-07-31,1322.871
2015-08-31,1246.003
2015-09-30,1205.905
