Date,FRANCE GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,129.234
1975-02-28,132.086
1975-03-31,143.983
1975-04-30,158.676
1975-05-30,154.925
1975-06-30,150.37
1975-07-31,153.116
1975-08-29,150.137
1975-09-30,138.974
1975-10-31,151.687
1975-11-28,157.131
1975-12-31,156.045
1976-01-30,153.641
1976-02-27,161.117
1976-03-31,149.578
1976-04-30,140.835
1976-05-31,139.923
1976-06-30,137.329
1976-07-30,128.18
1976-08-31,126.843
1976-09-30,120.889
1976-10-29,110.841
1976-11-30,107.882
1976-12-31,118.678
1977-01-31,117.879
1977-02-28,113.106
1977-03-31,98.062
1977-04-29,96.342
1977-05-31,100.458
1977-06-30,106.842
1977-07-29,104.769
1977-08-31,111.46
1977-09-30,119.163
1977-10-31,124.22
1977-11-30,120.977
1977-12-30,120.911
1978-01-31,112.193
1978-02-28,113.114
1978-03-31,139.157
1978-04-28,143.338
1978-05-31,148.855
1978-06-30,143.205
1978-07-31,162.016
1978-08-31,157.958
1978-09-29,182.179
1978-10-31,193.825
1978-11-30,172.387
1978-12-29,186.833
1979-01-31,181.271
1979-02-28,168.48
1979-03-30,174.42
1979-04-30,180.291
1979-05-31,163.376
1979-06-29,185.026
1979-07-31,188.51
1979-08-31,197.879
1979-09-28,226.32
1979-10-31,199.581
1979-11-30,219.644
1979-12-31,217.903
1980-01-31,240.081
1980-02-29,237.515
1980-03-31,196.531
1980-04-30,216.48
1980-05-30,233.137
1980-06-30,232.91
1980-07-31,222.034
1980-08-29,224.168
1980-09-30,227.273
1980-10-31,243.906
1980-11-28,238.787
1980-12-31,216.383
1981-01-30,193.226
1981-02-27,193.332
1981-03-31,198.17
1981-04-30,176.334
1981-05-29,132.385
1981-06-30,119.495
1981-07-31,135.723
1981-08-31,140.139
1981-09-30,146.714
1981-10-30,137.569
1981-11-30,143.714
1981-12-31,137.138
1982-01-29,142.686
1982-02-26,145.065
1982-03-31,136.476
1982-04-30,147.799
1982-05-31,149.185
1982-06-30,122.926
1982-07-30,123.792
1982-08-31,126.295
1982-09-30,122.694
1982-10-29,120.367
1982-11-30,123.304
1982-12-31,124.875
1983-01-31,124.808
1983-02-28,128.878
1983-03-31,133.033
1983-04-29,138.271
1983-05-31,138.291
1983-06-30,133.766
1983-07-29,132.451
1983-08-31,133.307
1983-09-30,143.239
1983-10-31,143.507
1983-11-30,148.533
1983-12-30,152.827
1984-01-31,155.737
1984-02-29,157.271
1984-03-30,160.636
1984-04-30,168.588
1984-05-31,158.657
1984-06-29,157.276
1984-07-31,145.73
1984-08-31,160.115
1984-09-28,160.523
1984-10-31,165.443
1984-11-30,160.934
1984-12-31,159.605
1985-01-31,168.185
1985-02-28,164.799
1985-03-29,186.114
1985-04-30,191.526
1985-05-31,207.387
1985-06-28,200.546
1985-07-31,205.221
1985-08-30,212.206
1985-09-30,208.519
1985-10-31,226.236
1985-11-29,257.779
1985-12-31,287.814
