Date,FRANCE GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,129.285
1975-02-28,132.204
1975-03-31,144.171
1975-04-30,158.947
1975-05-30,155.267
1975-06-30,150.777
1975-07-31,153.592
1975-08-29,150.674
1975-09-30,139.54
1975-10-31,152.369
1975-11-28,157.901
1975-12-31,156.876
1976-01-30,154.524
1976-02-27,162.105
1976-03-31,150.557
1976-04-30,141.823
1976-05-31,140.968
1976-06-30,138.42
1976-07-30,129.264
1976-08-31,127.98
1976-09-30,122.044
1976-10-29,111.974
1976-11-30,109.047
1976-12-31,120.018
1977-01-31,119.276
1977-02-28,114.516
1977-03-31,99.362
1977-04-29,97.69
1977-05-31,101.931
1977-06-30,108.475
1977-07-29,106.446
1977-08-31,113.313
1977-09-30,121.215
1977-10-31,126.434
1977-11-30,123.212
1977-12-30,123.227
1978-01-31,114.429
1978-02-28,115.448
1978-03-31,142.1
1978-04-28,146.455
1978-05-31,152.192
1978-06-30,146.529
1978-07-31,165.876
1978-08-31,161.835
1978-09-29,186.746
1978-10-31,198.803
1978-11-30,176.922
1978-12-29,191.859
1979-01-31,186.263
1979-02-28,173.245
1979-03-30,179.469
1979-04-30,185.628
1979-05-31,168.348
1979-06-29,190.773
1979-07-31,194.494
1979-08-31,204.285
1979-09-28,233.751
1979-10-31,206.256
1979-11-30,227.099
1979-12-31,225.419
1980-01-31,248.467
1980-02-29,245.928
1980-03-31,203.632
1980-04-30,224.435
1980-05-30,241.835
1980-06-30,241.751
1980-07-31,230.612
1980-08-29,232.971
1980-09-30,236.347
1980-10-31,253.775
1980-11-28,248.595
1980-12-31,225.425
1981-01-30,201.44
1981-02-27,201.679
1981-03-31,206.874
1981-04-30,184.234
1981-05-29,138.495
1981-06-30,125.157
1981-07-31,142.27
1981-08-31,147.03
1981-09-30,154.057
1981-10-30,144.568
1981-11-30,151.147
1981-12-31,144.354
1982-01-29,150.303
1982-02-26,152.917
1982-03-31,143.974
1982-04-30,156.034
1982-05-31,157.618
1982-06-30,130.001
1982-07-30,131.034
1982-08-31,133.793
1982-09-30,130.083
1982-10-29,127.721
1982-11-30,130.947
1982-12-31,132.731
1983-01-31,132.769
1983-02-28,137.208
1983-03-31,141.726
1983-04-29,147.405
1983-05-31,147.523
1983-06-30,142.799
1983-07-29,141.489
1983-08-31,142.495
1983-09-30,153.198
1983-10-31,153.576
1983-11-30,159.038
1983-12-30,163.721
1984-01-31,166.92
1984-02-29,168.661
1984-03-30,172.359
1984-04-30,180.975
1984-05-31,170.413
1984-06-29,169.022
1984-07-31,156.708
1984-08-31,172.259
1984-09-28,172.778
1984-10-31,178.154
1984-11-30,173.381
1984-12-31,172.029
1985-01-31,181.353
1985-02-28,177.778
1985-03-29,200.855
1985-04-30,206.78
1985-05-31,223.987
1985-06-28,216.695
1985-07-31,221.857
1985-08-30,229.508
1985-09-30,225.634
1985-10-31,244.91
1985-11-29,279.16
1985-12-31,311.793
1986-01-31,325.174
1986-02-28,376.338
1986-03-31,400.507
1986-04-30,448.942
1986-05-30,392.431
1986-06-30,411.53
1986-07-31,465.719
1986-08-29,501.059
1986-09-30,468.903
1986-10-31,474.001
1986-11-28,518.1
1986-12-31,514.117
1987-01-30,554.737
1987-02-27,562.294
1987-03-31,592.645
1987-04-30,598.459
1987-05-29,560.293
1987-06-30,532.099
1987-07-31,546.808
1987-08-31,576.682
1987-09-30,539.5
1987-10-30,433.357
1987-11-30,433.382
1987-12-31,429.356
1988-01-29,359.471
1988-02-29,434.333
1988-03-31,409.571
1988-04-29,441.023
1988-05-31,474.124
1988-06-30,478.892
1988-07-29,466.827
1988-08-31,464.058
1988-09-30,510.599
1988-10-31,563.882
1988-11-30,572.171
1988-12-30,597.769
1989-01-31,611.766
1989-02-28,595.065
1989-03-31,597.455
1989-04-28,625.844
1989-05-31,609.644
1989-06-30,617.278
1989-07-31,692.056
1989-08-31,682.372
1989-09-29,727.643
1989-10-31,688.032
1989-11-30,744.246
1989-12-29,830.243
1990-01-31,766.896
1990-02-28,739.64
1990-03-30,785.711
1990-04-30,841.043
1990-05-31,867.105
1990-06-29,854.216
1990-07-31,867.111
1990-08-31,762.253
1990-09-28,675.968
1990-10-31,777.351
1990-11-30,753.268
1990-12-31,729.482
1991-01-31,755.544
1991-02-28,823.308
1991-03-29,755.814
1991-04-30,735.781
1991-05-31,762.546
1991-06-28,687.616
1991-07-31,714.091
1991-08-30,753.454
1991-09-30,799.869
1991-10-31,789.314
1991-11-29,768.858
1991-12-31,852.376
1992-01-31,841.802
1992-02-28,874.915
1992-03-31,879.054
1992-04-30,907.287
1992-05-29,944.05
1992-06-30,952.06
1992-07-31,920.189
1992-08-31,957.117
1992-09-30,976.618
1992-10-30,886.587
1992-11-30,873.397
1992-12-31,885.335
1993-01-29,842.247
1993-02-26,904.046
1993-03-31,952.939
1993-04-30,935.948
1993-05-31,908.276
1993-06-30,885.58
1993-07-30,875.517
1993-08-31,965.281
1993-09-30,967.367
1993-10-29,973.738
1993-11-30,954.25
1993-12-31,1036.458
1994-01-31,1058.255
1994-02-28,1028.82
1994-03-31,998.229
1994-04-29,1034.992
1994-05-31,976.135
1994-06-30,942.799
1994-07-29,1046.676
1994-08-31,1054.946
1994-09-30,992.26
1994-10-31,1020.281
1994-11-30,1007.69
1994-12-30,979.663
1995-01-31,958.27
1995-02-28,992.695
1995-03-31,1149.842
1995-04-28,1153.744
1995-05-31,1157.223
1995-06-30,1146.928
1995-07-31,1206.43
1995-08-31,1145.827
1995-09-29,1162.194
1995-10-31,1165.382
1995-11-30,1139.089
1995-12-29,1192.687
1996-01-31,1273.99
1996-02-29,1301.417
1996-03-29,1382.466
