Date,FRANCE GROWTH Standard (Large+Mid Cap)
2001-01-01,2554.123
2001-01-02,2490.083
2001-01-03,2422.388
2001-01-04,2522.164
2001-01-05,2490.684
2001-01-08,2458.3
2001-01-09,2394.728
2001-01-10,2398.789
2001-01-11,2442.334
2001-01-12,2545.878
2001-01-15,2498.643
2001-01-16,2455.549
2001-01-17,2515.071
2001-01-18,2561.889
2001-01-19,2529.594
2001-01-22,2536.854
2001-01-23,2512.826
2001-01-24,2482.775
2001-01-25,2471.262
2001-01-26,2477.398
2001-01-29,2445.894
2001-01-30,2482.204
2001-01-31,2566.272
2001-02-01,2543.114
2001-02-02,2465.067
2001-02-05,2471.103
2001-02-06,2459.355
2001-02-07,2392.626
2001-02-08,2361.395
2001-02-09,2332.886
2001-02-12,2377.046
2001-02-13,2340.796
2001-02-14,2260.772
2001-02-15,2284.068
2001-02-16,2240.666
2001-02-19,2231.047
2001-02-20,2178.454
2001-02-21,2140.431
2001-02-22,2136.382
2001-02-23,2049.335
2001-02-26,2103.002
2001-02-27,2133.728
2001-02-28,2072.011
2001-03-01,2055.89
2001-03-02,2067.364
2001-03-05,2109.571
2001-03-06,2168.061
2001-03-07,2163.715
2001-03-08,2121.738
2001-03-09,2066.561
2001-03-12,1988.775
2001-03-13,1957.946
2001-03-14,1928.789
2001-03-15,1953.054
2001-03-16,1875.573
2001-03-19,1857.355
2001-03-20,1931.425
2001-03-21,1867.588
2001-03-22,1774.597
2001-03-23,1872.32
2001-03-26,1953.756
2001-03-27,2000.836
2001-03-28,1928.385
2001-03-29,1903.283
2001-03-30,1901.238
2001-04-02,1905.224
2001-04-03,1829.844
2001-04-04,1904.699
2001-04-05,1938.845
2001-04-06,1933.869
2001-04-09,1951.995
2001-04-10,2000.237
2001-04-11,1994.714
2001-04-12,2002.973
2001-04-13,2002.973
2001-04-16,1982.46
2001-04-17,1957.977
2001-04-18,2020.142
2001-04-19,2033.603
2001-04-20,2045.781
2001-04-23,2009.529
2001-04-24,1995.495
2001-04-25,1998.869
2001-04-26,2053.205
2001-04-27,2063.864
2001-04-30,2096.837
2001-05-01,2107.953
2001-05-02,2080.859
2001-05-03,2035.745
2001-05-04,2032.711
2001-05-07,2038.256
2001-05-08,2033.654
2001-05-09,2023.699
2001-05-10,2062.494
2001-05-11,2022.718
2001-05-14,1972.217
2001-05-15,2006.402
2001-05-16,1998.998
2001-05-17,2025.014
2001-05-18,2013.03
2001-05-21,2017.19
2001-05-22,2031.381
2001-05-23,1982.303
2001-05-24,1980.763
2001-05-25,1951.639
2001-05-28,1971.117
2001-05-29,1926.474
2001-05-30,1885.763
2001-05-31,1871.489
2001-06-01,1852.76
2001-06-04,1855.277
2001-06-05,1884.247
2001-06-06,1873.918
2001-06-07,1867.305
2001-06-08,1861.72
2001-06-11,1838.101
2001-06-12,1804.129
2001-06-13,1817.934
2001-06-14,1817.267
2001-06-15,1793.482
2001-06-18,1776.733
2001-06-19,1778.956
2001-06-20,1759.058
2001-06-21,1742.629
2001-06-22,1768.577
2001-06-25,1779.821
2001-06-26,1741.433
2001-06-27,1722.041
2001-06-28,1751.122
2001-06-29,1775.404
2001-07-02,1798.061
2001-07-03,1749.515
2001-07-04,1717.764
2001-07-05,1668.592
2001-07-06,1638.209
2001-07-09,1667.502
2001-07-10,1661.509
2001-07-11,1654.36
2001-07-12,1662.499
2001-07-13,1676.138
2001-07-16,1681.256
2001-07-17,1657.34
2001-07-18,1657.822
2001-07-19,1694.581
2001-07-20,1674.863
2001-07-23,1671.49
2001-07-24,1663.331
2001-07-25,1636.365
2001-07-26,1652.031
2001-07-27,1706.328
2001-07-30,1738.215
2001-07-31,1767.886
2001-08-01,1791.67
2001-08-02,1784.385
2001-08-03,1757.098
2001-08-06,1765.973
2001-08-07,1747.552
2001-08-08,1707.915
2001-08-09,1688.375
2001-08-10,1685.662
2001-08-13,1718.35
2001-08-14,1727.234
2001-08-15,1741.763
2001-08-16,1722.895
2001-08-17,1683.11
2001-08-20,1687.165
2001-08-21,1709.724
2001-08-22,1710.544
2001-08-23,1697.268
2001-08-24,1742.897
2001-08-27,1730.461
2001-08-28,1690.962
2001-08-29,1691.886
2001-08-30,1627.389
2001-08-31,1617.307
2001-09-03,1598.634
2001-09-04,1585.476
2001-09-05,1541.073
2001-09-06,1518.314
2001-09-07,1527.642
2001-09-10,1514.414
2001-09-11,1401.668
2001-09-12,1443.5
2001-09-13,1449.601
2001-09-14,1394.546
2001-09-17,1436.145
2001-09-18,1426.009
2001-09-19,1415.712
2001-09-20,1366.653
2001-09-21,1323.51
2001-09-24,1400.914
2001-09-25,1422.406
2001-09-26,1445.207
2001-09-27,1454.332
2001-09-28,1472.579
2001-10-01,1457.181
2001-10-02,1465.935
2001-10-03,1472.92
2001-10-04,1522.742
2001-10-05,1517.697
2001-10-08,1531.358
2001-10-09,1533.228
2001-10-10,1580.709
2001-10-11,1557.655
2001-10-12,1566.072
2001-10-15,1525.48
2001-10-16,1573.993
2001-10-17,1619.091
2001-10-18,1590.439
2001-10-19,1558.381
2001-10-22,1576.499
2001-10-23,1620.507
2001-10-24,1648.42
2001-10-25,1604.205
2001-10-26,1632.575
2001-10-29,1606.047
2001-10-30,1557.646
2001-10-31,1584.807
2001-11-01,1614.22
2001-11-02,1607.523
2001-11-05,1653.702
2001-11-06,1646.39
2001-11-07,1670.023
2001-11-08,1679.854
2001-11-09,1653.548
2001-11-12,1601.935
2001-11-13,1657.762
2001-11-14,1678.42
2001-11-15,1679.698
2001-11-16,1679.211
2001-11-19,1699.271
2001-11-20,1671.979
2001-11-21,1634.152
2001-11-22,1662.512
2001-11-23,1640.828
2001-11-26,1645.832
2001-11-27,1623.465
2001-11-28,1621.835
2001-11-29,1623.538
2001-11-30,1666.608
2001-12-03,1664.148
2001-12-04,1699.428
2001-12-05,1737.292
2001-12-06,1741.543
2001-12-07,1716.811
2001-12-10,1682.789
2001-12-11,1682.478
2001-12-12,1671.76
2001-12-13,1648.127
2001-12-14,1633.787
2001-12-17,1690.573
2001-12-18,1687.76
2001-12-19,1680.978
2001-12-20,1678.891
2001-12-21,1691.099
2001-12-24,1676.281
2001-12-25,1676.281
2001-12-26,1677.712
2001-12-27,1732.016
2001-12-28,1734.269
2001-12-31,1751.183
2002-01-01,1751.183
2002-01-02,1749.388
2002-01-03,1764.661
2002-01-04,1747.221
2002-01-07,1727.321
2002-01-08,1703.234
2002-01-09,1721.124
2002-01-10,1700.9
2002-01-11,1718.404
2002-01-14,1691.338
2002-01-15,1714.604
2002-01-16,1671.956
2002-01-17,1685.762
2002-01-18,1681.695
2002-01-21,1678.458
2002-01-22,1685.831
2002-01-23,1694.534
2002-01-24,1693.335
2002-01-25,1661.58
2002-01-28,1676.133
2002-01-29,1655.207
2002-01-30,1642.727
2002-01-31,1668.125
2002-02-01,1666.201
2002-02-04,1658.757
2002-02-05,1636.186
2002-02-06,1640.555
2002-02-07,1629.12
2002-02-08,1630.491
2002-02-11,1655.6
2002-02-12,1656.028
2002-02-13,1667.863
2002-02-14,1683.846
2002-02-15,1680.975
2002-02-18,1669.609
2002-02-19,1656.142
2002-02-20,1645.444
2002-02-21,1651.507
2002-02-22,1649.156
2002-02-25,1657.412
2002-02-26,1655.198
2002-02-27,1680.336
2002-02-28,1698.008
2002-03-01,1701.84
2002-03-04,1736.192
2002-03-05,1720.508
2002-03-06,1727.164
2002-03-07,1744.435
2002-03-08,1738.713
2002-03-11,1734.737
2002-03-12,1727.486
2002-03-13,1722.541
2002-03-14,1744.285
2002-03-15,1754.757
2002-03-18,1755.231
2002-03-19,1762.209
2002-03-20,1751.772
2002-03-21,1731.595
2002-03-22,1731.519
2002-03-25,1716.787
2002-03-26,1739.045
2002-03-27,1735.233
2002-03-28,1761.747
2002-03-29,1761.747
2002-04-01,1776.185
2002-04-02,1765.598
2002-04-03,1762.37
2002-04-04,1720.608
2002-04-05,1711.033
2002-04-08,1680.179
2002-04-09,1695.388
2002-04-10,1715.79
2002-04-11,1696.969
2002-04-12,1691.518
2002-04-15,1702.409
2002-04-16,1740.81
2002-04-17,1744.453
2002-04-18,1743.322
2002-04-19,1736.196
2002-04-22,1723.881
2002-04-23,1727.314
2002-04-24,1730.438
2002-04-25,1723.853
2002-04-26,1720.608
2002-04-29,1716.53
2002-04-30,1736.258
2002-05-01,1746.085
2002-05-02,1728.026
2002-05-03,1721.275
2002-05-06,1735.124
2002-05-07,1701.018
2002-05-08,1730.115
2002-05-09,1721.321
2002-05-10,1704.787
2002-05-13,1723.714
2002-05-14,1736.874
2002-05-15,1749.308
2002-05-16,1758.617
2002-05-17,1764.861
2002-05-20,1751.355
2002-05-21,1744.566
2002-05-22,1732.528
2002-05-23,1723.504
2002-05-24,1727.287
2002-05-27,1735.201
2002-05-28,1742.663
2002-05-29,1746.06
2002-05-30,1731.178
2002-05-31,1735.976
2002-06-03,1720.734
2002-06-04,1664.48
2002-06-05,1665.748
2002-06-06,1682.423
2002-06-07,1660.129
2002-06-10,1661.177
2002-06-11,1687.188
2002-06-12,1656.147
2002-06-13,1644.789
2002-06-14,1613.997
2002-06-17,1679.908
2002-06-18,1684.937
2002-06-19,1675.883
2002-06-20,1661.862
2002-06-21,1662.064
2002-06-24,1642.044
2002-06-25,1670.59
2002-06-26,1681.467
2002-06-27,1699.926
2002-06-28,1779.18
2002-07-01,1762.16
2002-07-02,1720.248
2002-07-03,1672.924
2002-07-04,1704.293
2002-07-05,1758.326
2002-07-08,1787.754
2002-07-09,1784.439
2002-07-10,1699.626
2002-07-11,1635.973
2002-07-12,1637.518
2002-07-15,1581.775
2002-07-16,1571.351
2002-07-17,1617.691
2002-07-18,1645.199
2002-07-19,1568.78
2002-07-22,1477.027
2002-07-23,1428.302
2002-07-24,1413.507
2002-07-25,1470.988
2002-07-26,1473.173
2002-07-29,1555.038
2002-07-30,1571.675
2002-07-31,1580.968
2002-08-01,1502.194
2002-08-02,1521.049
2002-08-05,1471.327
2002-08-06,1511.769
2002-08-07,1514.848
2002-08-08,1558.798
2002-08-09,1580.166
2002-08-12,1545.65
2002-08-13,1560.459
2002-08-14,1522.694
2002-08-15,1582.283
2002-08-16,1597.879
2002-08-19,1618.715
2002-08-20,1573.802
2002-08-21,1587.798
2002-08-22,1609.9
2002-08-23,1585.809
2002-08-26,1558.322
2002-08-27,1610.509
2002-08-28,1552.132
2002-08-29,1526.04
2002-08-30,1553.502
2002-09-02,1510.91
2002-09-03,1463.807
2002-09-04,1489.767
2002-09-05,1496.354
2002-09-06,1537.475
2002-09-09,1512.097
2002-09-10,1545.12
2002-09-11,1582.115
