Date,FRANCE GROWTH Standard (Large+Mid Cap)
2001-11-20,1455.83
2001-11-21,1422.893
2001-11-22,1447.587
2001-11-23,1428.706
2001-11-26,1433.063
2001-11-27,1413.588
2001-11-28,1412.169
2001-11-29,1413.651
2001-11-30,1451.153
2001-12-03,1449.011
2001-12-04,1479.73
2001-12-05,1512.699
2001-12-06,1516.401
2001-12-07,1494.866
2001-12-10,1465.243
2001-12-11,1464.972
2001-12-12,1455.639
2001-12-13,1435.062
2001-12-14,1422.575
2001-12-17,1472.02
2001-12-18,1469.571
2001-12-19,1463.665
2001-12-20,1461.848
2001-12-21,1472.479
2001-12-24,1459.576
2001-12-25,1459.576
2001-12-26,1460.822
2001-12-27,1508.106
2001-12-28,1510.068
2001-12-31,1524.795
2002-01-01,1524.795
2002-01-02,1523.231
2002-01-03,1536.53
2002-01-04,1521.345
2002-01-07,1504.017
2002-01-08,1483.045
2002-01-09,1498.622
2002-01-10,1481.012
2002-01-11,1496.254
2002-01-14,1472.687
2002-01-15,1492.945
2002-01-16,1455.81
2002-01-17,1467.831
2002-01-18,1464.29
2002-01-21,1461.472
2002-01-22,1467.892
2002-01-23,1475.469
2002-01-24,1474.425
2002-01-25,1446.776
2002-01-28,1459.447
2002-01-29,1441.226
2002-01-30,1430.36
2002-01-31,1452.474
2002-02-01,1450.799
2002-02-04,1444.317
2002-02-05,1424.664
2002-02-06,1428.468
2002-02-07,1418.512
2002-02-08,1419.705
2002-02-11,1441.569
2002-02-12,1441.941
2002-02-13,1452.246
2002-02-14,1466.163
2002-02-15,1463.663
2002-02-18,1453.767
2002-02-19,1442.04
2002-02-20,1432.725
2002-02-21,1438.004
2002-02-22,1435.958
2002-02-25,1443.146
2002-02-26,1441.218
2002-02-27,1463.107
2002-02-28,1478.494
2002-03-01,1481.831
2002-03-04,1511.742
2002-03-05,1498.015
2002-03-06,1503.811
2002-03-07,1518.848
2002-03-08,1513.865
2002-03-11,1510.403
2002-03-12,1504.091
2002-03-13,1499.785
2002-03-14,1518.717
2002-03-15,1527.835
2002-03-18,1528.248
2002-03-19,1534.323
2002-03-20,1525.236
2002-03-21,1507.668
2002-03-22,1507.602
2002-03-25,1494.775
2002-03-26,1514.155
2002-03-27,1510.836
2002-03-28,1533.921
2002-03-29,1533.921
2002-04-01,1546.492
2002-04-02,1537.274
2002-04-03,1534.464
2002-04-04,1498.102
2002-04-05,1489.765
2002-04-08,1462.901
2002-04-09,1476.143
2002-04-10,1493.907
2002-04-11,1477.52
2002-04-12,1472.774
2002-04-15,1482.256
2002-04-16,1515.691
2002-04-17,1518.863
2002-04-18,1517.878
2002-04-19,1511.675
2002-04-22,1500.919
2002-04-23,1503.908
2002-04-24,1506.628
2002-04-25,1500.894
2002-04-26,1497.979
2002-04-29,1494.082
2002-04-30,1511.253
2002-05-01,1519.807
2002-05-02,1504.088
2002-05-03,1498.211
2002-05-06,1510.266
2002-05-07,1480.58
2002-05-08,1505.906
2002-05-09,1498.251
2002-05-10,1483.86
2002-05-13,1500.335
2002-05-14,1511.789
2002-05-15,1522.612
2002-05-16,1530.715
2002-05-17,1533.011
2002-05-20,1521.279
2002-05-21,1515.383
2002-05-22,1504.927
2002-05-23,1497.088
2002-05-24,1500.374
2002-05-27,1507.248
2002-05-28,1513.686
2002-05-29,1516.636
2002-05-30,1503.71
2002-05-31,1507.733
2002-06-03,1494.191
2002-06-04,1444.698
2002-06-05,1445.799
2002-06-06,1460.272
2002-06-07,1440.922
2002-06-10,1441.769
2002-06-11,1464.345
2002-06-12,1437.403
2002-06-13,1427.545
2002-06-14,1400.821
2002-06-17,1458.026
2002-06-18,1462.375
2002-06-19,1454.518
2002-06-20,1442.349
2002-06-21,1442.524
2002-06-24,1425.148
2002-06-25,1449.924
2002-06-26,1459.364
2002-06-27,1475.385
2002-06-28,1544.17
2002-07-01,1529.383
2002-07-02,1493.007
2002-07-03,1451.935
2002-07-04,1479.16
2002-07-05,1526.055
2002-07-08,1551.596
2002-07-09,1548.719
2002-07-10,1475.083
2002-07-11,1419.84
2002-07-12,1421.181
2002-07-15,1372.802
2002-07-16,1363.755
2002-07-17,1403.974
2002-07-18,1427.847
2002-07-19,1361.524
2002-07-22,1281.892
2002-07-23,1239.605
2002-07-24,1226.765
2002-07-25,1276.652
2002-07-26,1278.548
2002-07-29,1349.598
2002-07-30,1364.037
2002-07-31,1372.102
2002-08-01,1303.735
2002-08-02,1320.099
2002-08-05,1276.946
2002-08-06,1312.045
2002-08-07,1314.717
2002-08-08,1352.861
2002-08-09,1371.405
2002-08-12,1341.45
2002-08-13,1354.302
2002-08-14,1321.527
2002-08-15,1373.243
2002-08-16,1386.778
2002-08-19,1404.862
2002-08-20,1365.883
2002-08-21,1378.029
2002-08-22,1397.211
2002-08-23,1376.304
2002-08-26,1352.447
2002-08-27,1397.74
2002-08-28,1347.075
2002-08-29,1324.43
2002-08-30,1348.264
2002-09-02,1311.3
2002-09-03,1270.42
2002-09-04,1292.949
2002-09-05,1298.667
2002-09-06,1334.354
2002-09-09,1312.329
2002-09-10,1340.99
2002-09-11,1373.097
2002-09-12,1320.369
2002-09-13,1295.36
2002-09-16,1285.618
2002-09-17,1270.935
2002-09-18,1248.777
2002-09-19,1230.307
2002-09-20,1216.793
2002-09-23,1198.769
2002-09-24,1179.468
2002-09-25,1192.945
2002-09-26,1264.828
2002-09-27,1263.975
2002-09-30,1224.179
2002-10-01,1254.07
2002-10-02,1302.518
