Date,NEW ZEALAND Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,96.965
1988-02-29,81.627
1988-03-31,99.879
1988-04-29,102.245
1988-05-31,104.846
1988-06-30,101.497
1988-07-29,103.135
1988-08-31,95.902
1988-09-30,91.569
1988-10-31,95.559
1988-11-30,92.006
1988-12-30,87.856
1989-01-31,92.33
1989-02-28,92.021
1989-03-31,90.855
1989-04-28,94.066
1989-05-31,86.908
1989-06-30,88.764
1989-07-31,92.79
1989-08-31,118.45
1989-09-29,112.73
1989-10-31,103.917
1989-11-30,102.663
1989-12-29,99.42
1990-01-31,94.95
1990-02-28,88.049
1990-03-30,84.634
1990-04-30,83.038
1990-05-31,91.841
1990-06-29,91.644
1990-07-31,96.982
1990-08-31,91.867
1990-09-28,82.054
1990-10-31,73.433
1990-11-30,69.843
1990-12-31,63.126
1991-01-31,67.817
1991-02-28,73.644
1991-03-29,69.044
1991-04-30,75.271
1991-05-31,78.32
1991-06-28,74.527
1991-07-31,75.708
1991-08-30,71.203
1991-09-30,72.361
1991-10-31,78.036
1991-11-29,78.991
1991-12-31,76.225
1992-01-31,75.284
1992-02-28,77.976
1992-03-31,73.516
1992-04-30,74.967
1992-05-29,80.704
1992-06-30,79.211
1992-07-31,79.758
1992-08-31,74.738
1992-09-30,71.962
1992-10-30,66.575
1992-11-30,76.058
1992-12-31,76.399
1993-01-29,75.241
1993-02-26,80.935
1993-03-31,84.207
1993-04-30,89.155
1993-05-31,90.596
1993-06-30,92.479
1993-07-30,104.674
1993-08-31,114.902
1993-09-30,112.422
1993-10-29,127.579
1993-11-30,116.216
1993-12-31,129.855
1994-01-31,144.788
1994-02-28,136.266
1994-03-31,122.905
1994-04-29,131.226
1994-05-31,139.077
1994-06-30,131.107
1994-07-29,136.43
1994-08-31,147.67
1994-09-30,145.635
1994-10-31,155.073
1994-11-30,148.998
1994-12-30,143.193
1995-01-31,147.948
1995-02-28,150.834
1995-03-31,156.234
1995-04-28,174.05
1995-05-31,170.225
1995-06-30,167.125
1995-07-31,174.759
1995-08-31,167.982
1995-09-29,171.424
1995-10-31,178.069
1995-11-30,172.948
1995-12-29,175.277
1996-01-31,177.157
1996-02-29,179.884
1996-03-29,182.245
1996-04-30,181.942
1996-05-31,172.026
1996-06-28,179.577
1996-07-31,188.257
1996-08-30,193.302
1996-09-30,192.628
1996-10-31,205.432
1996-11-29,208.428
1996-12-31,208.136
1997-01-31,208.441
1997-02-28,196.271
1997-03-31,194.213
1997-04-30,196.382
1997-05-30,209.399
1997-06-30,221.199
1997-07-31,217.042
1997-08-29,204.153
1997-09-30,213.839
1997-10-31,195.563
1997-11-28,189.549
1997-12-31,181.048
1998-01-30,178.612
1998-02-27,183.3
1998-03-31,175.995
1998-04-30,176.215
1998-05-29,164.644
1998-06-30,143.696
1998-07-31,156.078
1998-08-31,124.808
1998-09-30,117.599
1998-10-30,133.385
1998-11-30,141.517
1998-12-31,142.159
1999-01-29,156.397
1999-02-26,156.749
1999-03-31,153.338
1999-04-30,177.764
1999-05-31,148.308
1999-06-30,153.304
1999-07-30,159.552
1999-08-31,153.576
1999-09-30,142.648
1999-10-29,145.338
1999-11-30,149.522
1999-12-31,162.481
2000-01-31,142.932
2000-02-29,136.837
2000-03-31,142.247
2000-04-28,141.048
2000-05-31,128.256
2000-06-30,135.905
2000-07-31,132.579
2000-08-31,123.061
2000-09-29,110.789
2000-10-31,102.475
2000-11-30,108.815
2000-12-29,108.782
2001-01-31,119.23
2001-02-28,112.057
2001-03-30,112.616
2001-04-30,124.037
2001-05-31,112.325
2001-06-29,114.757
2001-07-31,118.763
2001-08-31,122.832
2001-09-28,102.44
2001-10-31,109.911
2001-11-30,121.174
2001-12-31,119.121
2002-01-31,124.539
2002-02-28,121.576
2002-03-29,126.722
2002-04-30,127.104
2002-05-31,142.767
2002-06-28,140.642
2002-07-31,129.62
2002-08-30,136.611
2002-09-30,135.694
2002-10-31,145.219
2002-11-29,143.637
2002-12-31,150.203
2003-01-31,156.538
2003-02-28,155.857
2003-03-31,159.662
2003-04-30,168.155
2003-05-30,182.68
2003-06-30,194.539
2003-07-31,187.549
2003-08-29,190.453
2003-09-30,201.911
2003-10-31,206.94
2003-11-28,221.426
2003-12-31,236.966
2004-01-30,245.281
2004-02-27,248.94
2004-03-31,255.701
2004-04-30,241.804
2004-05-31,239.424
2004-06-30,252.713
2004-07-30,263.275
2004-08-31,265.637
2004-09-30,283.221
2004-10-29,282.059
2004-11-30,314.192
2004-12-31,325.905
2005-01-31,319.933
2005-02-28,344.479
2005-03-31,318.427
2005-04-29,322.71
2005-05-31,312.828
2005-06-30,328.767
2005-07-29,336.045
2005-08-31,339.719
2005-09-30,348.976
2005-10-31,337.599
2005-11-30,338.915
2005-12-30,336.411
2006-01-31,329.659
2006-02-28,320.663
2006-03-31,322.324
2006-04-28,343.345
2006-05-31,318.444
2006-06-30,298.851
2006-07-31,299.854
2006-08-31,313.857
2006-09-29,324.677
2006-10-31,350.112
2006-11-30,365.746
2006-12-29,396.109
2007-01-31,395.845
2007-02-28,388.325
2007-03-30,401.018
2007-04-30,425.969
2007-05-31,438.309
2007-06-29,453.81
2007-07-31,449.692
2007-08-31,396.392
2007-09-28,450.846
2007-10-31,444.667
2007-11-30,435.907
2007-12-31,434.862
2008-01-31,402.998
2008-02-29,395.684
2008-03-31,372.1
2008-04-30,381.803
2008-05-30,384.242
2008-06-30,319.033
2008-07-31,323.775
2008-08-29,305.425
2008-09-30,266.37
2008-10-31,206.605
2008-11-28,192.512
2008-12-31,202.854
2009-01-30,185.784
2009-02-27,167.282
2009-03-31,197.449
2009-04-30,216.893
2009-05-29,234.447
2009-06-30,244.358
2009-07-31,266.646
2009-08-31,285.116
2009-09-30,307.482
2009-10-30,311.708
2009-11-30,296.089
2009-12-31,307.815
2010-01-29,289.372
2010-02-26,284.631
2010-03-31,296.536
2010-04-30,307.648
2010-05-31,267.705
2010-06-30,265.369
2010-07-30,284.633
2010-08-31,275.183
2010-09-30,301.486
2010-10-29,322.667
2010-11-30,318.272
2010-12-31,336.272
2011-01-31,339.703
2011-02-28,336.739
2011-03-31,351.181
2011-04-29,380.225
2011-05-31,400.463
2011-06-30,391.116
2011-07-29,413.679
2011-08-31,398.138
2011-09-30,365.625
2011-10-31,372.058
2011-11-30,346.202
2011-12-30,357.617
2012-01-31,382.218
2012-02-29,395.502
2012-03-30,417.784
2012-04-30,420.303
2012-05-31,381.449
2012-06-29,384.504
2012-07-31,412.13
2012-08-31,413.683
2012-09-28,445.312
2012-10-31,451.155
2012-11-30,457.47
2012-12-31,466.262
2013-01-31,512.881
2013-02-28,504.811
2013-03-29,517.037
2013-04-30,550.134
2013-05-31,479.156
2013-06-28,463.362
2013-07-31,476.975
2013-08-30,468.989
2013-09-30,544.986
2013-10-31,554.896
2013-11-29,525.198
2013-12-31,523.096
2014-01-31,531.429
2014-02-28,571.413
2014-03-31,610.205
2014-04-30,636.814
2014-05-30,596.887
2014-06-30,604.156
2014-07-31,594.078
2014-08-29,587.561
2014-09-30,551.777
2014-10-31,549.222
2014-11-28,549.086
2014-12-31,566.01
2015-01-30,550.883
2015-02-27,574.798
2015-03-31,557.76
2015-04-30,564.831
2015-05-29,526.12
2015-06-30,485.488
2015-07-31,493.505
2015-08-31,465.543
2015-09-30,453.341
2015-10-30,521.794
2015-11-30,506.066
2015-12-31,535.716
2016-01-29,491.687
2016-02-29,519.385
2016-03-31,600.08
2016-04-29,615.045
2016-05-31,613.701
2016-06-30,635.256
2016-07-29,701.94
2016-08-31,716.969
2016-09-30,717.159
2016-10-31,676.082
2016-11-30,656.677
2016-12-30,639.223
2017-01-31,695.636
2017-02-28,695.147
2017-03-31,654.135
2017-04-28,659.885
2017-05-31,671.465
2017-06-30,706.926
2017-07-31,727.805
2017-08-31,710.382
2017-09-29,708.597
2017-10-31,664.385
2017-11-30,666.992
2017-12-29,720.187
2018-01-31,746.885
2018-02-28,694.091
2018-03-30,685.001
2018-04-30,683.084
2018-05-31,709.575
2018-06-29,724.684
2018-07-31,721.357
2018-08-31,758.065
2018-09-28,743.226
2018-10-31,682.113
2018-11-30,707.845
2018-12-31,695.035
2019-01-31,735.403
2019-02-28,765.044
2019-03-29,812.249
2019-04-30,817.742
2019-05-31,801.949
2019-06-28,844.605
2019-07-31,878.164
2019-08-30,818.611
2019-09-30,821.16
2019-10-31,837.698
2019-11-29,917.391
2019-12-31,964.936
2020-01-31,958.319
2020-02-28,909.044
2020-03-31,807.34
2020-04-30,891.726
2020-05-29,919.597
2020-06-30,1033.988
2020-07-31,1092.485
2020-08-31,1102.648
2020-09-30,1024.893
2020-10-30,1029.895
2020-11-30,1161.898
2020-12-31,1160.159
2021-01-29,1175.262
2021-02-26,1049.386
2021-03-31,1037.927
2021-04-30,1077.696
2021-05-31,989.42
2021-06-30,985.346
2021-07-30,980.223
2021-08-31,1023.231
2021-09-30,1004.713
2021-10-29,1024.865
2021-11-30,964.145
2021-12-31,965.284
2022-01-31,821.837
2022-02-28,866.564
2022-03-31,882.982
2022-04-29,799.4
2022-05-31,785.157
2022-06-30,734.261
2022-07-29,783.313
2022-08-31,760.291
2022-09-30,672.238
2022-10-31,719.676
2022-11-30,818.416
2022-12-30,837.356
2023-01-31,903.811
2023-02-28,875.83
2023-03-31,905.933
2023-04-28,911.169
2023-05-31,835.607
2023-06-30,851.919
2023-07-31,872.384
2023-08-31,790.983
2023-09-29,778.148
2023-10-31,732.897
2023-11-30,841.559
2023-12-29,892.668
2024-01-31,871.799
2024-02-29,864.447
2024-03-29,859.804
2024-04-30,864.393
2024-05-31,903.186
2024-06-28,887.575
2024-07-31,899.526
2024-08-30,948.813
2024-09-30,939.191
2024-10-31,885.433
2024-11-29,922.958
2024-12-31,883.446
2025-01-31,868.838
2025-02-28,811.449
2025-03-31,805.562
2025-04-30,828.518
2025-05-30,859.567
2025-06-30,886.104
2025-07-31,874.158
2025-08-29,871.156
2025-09-30,885.51
2025-10-31,888.747
2025-11-28,879.875
