Date,NEW ZEALAND Standard (Large+Mid Cap)
2001-01-01,108.782
2001-01-02,108.61
2001-01-03,106.805
2001-01-04,109.139
2001-01-05,112.24
2001-01-08,111.846
2001-01-09,112.043
2001-01-10,110.209
2001-01-11,111.501
2001-01-12,113.068
2001-01-15,113.988
2001-01-16,116.089
2001-01-17,116.856
2001-01-18,117.666
2001-01-19,119.921
2001-01-22,121.733
2001-01-23,119.787
2001-01-24,115.273
2001-01-25,113.223
2001-01-26,114.083
2001-01-29,114.012
2001-01-30,116.664
2001-01-31,119.23
2001-02-01,121.013
2001-02-02,118.708
2001-02-05,116.0
2001-02-06,116.013
2001-02-07,116.082
2001-02-08,114.377
2001-02-09,115.18
2001-02-12,117.742
2001-02-13,115.87
2001-02-14,111.238
2001-02-15,109.615
2001-02-16,110.881
2001-02-19,111.397
2001-02-20,113.293
2001-02-21,112.89
2001-02-22,111.315
2001-02-23,113.107
2001-02-26,113.302
2001-02-27,114.171
2001-02-28,112.057
2001-03-01,114.482
2001-03-02,116.296
2001-03-05,116.169
2001-03-06,117.867
2001-03-07,119.637
2001-03-08,119.93
2001-03-09,119.399
2001-03-12,118.983
2001-03-13,116.527
2001-03-14,119.479
2001-03-15,120.266
2001-03-16,121.269
2001-03-19,120.068
2001-03-20,123.285
2001-03-21,120.615
2001-03-22,115.885
2001-03-23,118.844
2001-03-26,116.805
2001-03-27,115.957
2001-03-28,115.896
2001-03-29,115.113
2001-03-30,112.616
2001-04-02,113.095
2001-04-03,114.801
2001-04-04,114.386
2001-04-05,115.221
2001-04-06,115.361
2001-04-09,115.57
2001-04-10,115.047
2001-04-11,115.022
2001-04-12,115.566
2001-04-13,115.566
2001-04-16,115.793
2001-04-17,114.855
2001-04-18,115.814
2001-04-19,122.122
2001-04-20,125.131
2001-04-23,121.179
2001-04-24,120.784
2001-04-25,121.525
2001-04-26,122.119
2001-04-27,122.978
2001-04-30,124.037
2001-05-01,124.74
2001-05-02,125.577
2001-05-03,124.061
2001-05-04,121.481
2001-05-07,121.485
2001-05-08,120.032
2001-05-09,120.707
2001-05-10,122.25
2001-05-11,123.382
2001-05-14,120.997
2001-05-15,120.791
2001-05-16,120.387
2001-05-17,122.242
2001-05-18,122.412
2001-05-21,123.207
2001-05-22,122.127
2001-05-23,118.264
2001-05-24,118.397
2001-05-25,119.18
2001-05-28,118.929
2001-05-29,117.809
2001-05-30,115.119
2001-05-31,112.325
2001-06-01,112.835
2001-06-04,112.547
2001-06-05,117.452
2001-06-06,119.653
2001-06-07,119.739
2001-06-08,120.704
2001-06-11,119.105
2001-06-12,118.705
2001-06-13,119.927
2001-06-14,118.025
2001-06-15,118.602
2001-06-18,117.006
2001-06-19,115.572
2001-06-20,115.255
2001-06-21,114.385
2001-06-22,116.026
2001-06-25,114.882
2001-06-26,115.917
2001-06-27,115.64
2001-06-28,115.178
2001-06-29,114.757
2001-07-02,115.05
2001-07-03,115.327
2001-07-04,114.589
2001-07-05,113.571
2001-07-06,112.514
2001-07-09,112.1
2001-07-10,114.261
2001-07-11,112.655
2001-07-12,112.281
2001-07-13,112.911
2001-07-16,112.419
2001-07-17,112.505
2001-07-18,113.716
2001-07-19,114.903
2001-07-20,114.001
2001-07-23,114.818
2001-07-24,115.515
2001-07-25,116.774
2001-07-26,117.964
2001-07-27,117.516
2001-07-30,118.36
2001-07-31,118.763
2001-08-01,119.434
2001-08-02,119.635
2001-08-03,118.444
2001-08-06,117.087
2001-08-07,116.223
2001-08-08,116.785
2001-08-09,118.247
2001-08-10,119.395
2001-08-13,120.052
2001-08-14,120.245
2001-08-15,120.744
2001-08-16,120.463
2001-08-17,122.247
2001-08-20,120.88
2001-08-21,121.704
2001-08-22,122.653
2001-08-23,122.715
2001-08-24,124.199
2001-08-27,125.112
2001-08-28,123.935
2001-08-29,125.43
2001-08-30,125.139
2001-08-31,122.832
2001-09-03,122.037
2001-09-04,121.59
2001-09-05,120.724
2001-09-06,119.524
2001-09-07,118.555
2001-09-10,115.323
2001-09-11,116.348
2001-09-12,108.526
2001-09-13,108.961
2001-09-14,108.021
2001-09-17,99.781
2001-09-18,101.519
2001-09-19,101.959
2001-09-20,101.791
2001-09-21,100.055
2001-09-24,99.292
2001-09-25,101.788
2001-09-26,102.44
2001-09-27,100.601
2001-09-28,102.44
2001-10-01,100.083
2001-10-02,102.644
2001-10-03,104.654
2001-10-04,105.308
2001-10-05,106.024
2001-10-08,105.852
2001-10-09,104.379
2001-10-10,104.105
2001-10-11,104.751
2001-10-12,106.828
2001-10-15,108.0
2001-10-16,108.345
2001-10-17,109.351
2001-10-18,106.96
2001-10-19,105.337
2001-10-22,105.439
2001-10-23,106.424
2001-10-24,106.583
2001-10-25,107.43
2001-10-26,107.192
2001-10-29,109.646
2001-10-30,108.402
2001-10-31,109.911
2001-11-01,110.578
2001-11-02,111.713
2001-11-05,113.154
2001-11-06,115.287
2001-11-07,113.182
2001-11-08,111.543
2001-11-09,109.898
2001-11-12,111.354
2001-11-13,115.684
2001-11-14,115.211
2001-11-15,114.679
2001-11-16,114.86
2001-11-19,114.337
2001-11-20,116.371
2001-11-21,114.363
2001-11-22,114.218
2001-11-23,112.908
2001-11-26,113.788
2001-11-27,117.42
2001-11-28,119.23
2001-11-29,120.93
2001-11-30,121.174
2001-12-03,118.779
2001-12-04,116.651
2001-12-05,119.004
2001-12-06,121.723
2001-12-07,120.889
2001-12-10,119.388
2001-12-11,121.519
2001-12-12,122.555
2001-12-13,123.075
2001-12-14,120.802
2001-12-17,119.631
2001-12-18,117.322
2001-12-19,118.225
2001-12-20,116.269
2001-12-21,117.024
2001-12-24,117.823
2001-12-25,117.823
2001-12-26,117.908
2001-12-27,117.656
2001-12-28,119.361
2001-12-31,119.121
2002-01-01,119.121
2002-01-02,120.323
2002-01-03,122.587
2002-01-04,123.943
2002-01-07,125.972
2002-01-08,126.044
2002-01-09,125.792
2002-01-10,127.854
2002-01-11,127.291
2002-01-14,125.508
2002-01-15,125.676
2002-01-16,124.435
2002-01-17,124.178
2002-01-18,126.297
2002-01-21,128.084
2002-01-22,128.912
2002-01-23,127.267
2002-01-24,127.888
2002-01-25,127.334
2002-01-28,126.377
2002-01-29,126.932
2002-01-30,124.377
2002-01-31,124.539
2002-02-01,125.885
2002-02-04,126.65
2002-02-05,125.249
2002-02-06,125.355
2002-02-07,122.654
2002-02-08,122.711
2002-02-11,123.44
2002-02-12,123.114
2002-02-13,122.958
2002-02-14,121.975
2002-02-15,121.67
2002-02-18,122.059
2002-02-19,122.258
2002-02-20,122.071
2002-02-21,120.018
2002-02-22,120.648
2002-02-25,121.2
2002-02-26,122.157
2002-02-27,121.086
2002-02-28,121.576
2002-03-01,122.142
2002-03-04,122.013
2002-03-05,122.706
2002-03-06,120.553
2002-03-07,123.924
2002-03-08,123.37
2002-03-11,123.617
2002-03-12,125.555
2002-03-13,123.431
2002-03-14,123.818
2002-03-15,125.673
2002-03-18,125.457
2002-03-19,124.513
2002-03-20,127.536
2002-03-21,125.973
2002-03-22,125.229
2002-03-25,126.007
2002-03-26,126.831
2002-03-27,125.886
2002-03-28,126.722
2002-03-29,126.722
2002-04-01,127.298
2002-04-02,127.787
2002-04-03,126.709
2002-04-04,126.749
2002-04-05,126.984
2002-04-08,125.46
2002-04-09,125.899
2002-04-10,125.678
2002-04-11,127.316
2002-04-12,126.759
2002-04-15,126.613
2002-04-16,126.48
2002-04-17,128.775
2002-04-18,128.653
2002-04-19,127.484
2002-04-22,127.804
2002-04-23,127.788
2002-04-24,127.45
2002-04-25,128.504
2002-04-26,128.692
2002-04-29,127.969
2002-04-30,127.104
2002-05-01,128.87
2002-05-02,127.859
2002-05-03,127.81
2002-05-06,127.736
2002-05-07,128.217
2002-05-08,128.478
2002-05-09,128.159
2002-05-10,129.828
2002-05-13,130.378
2002-05-14,131.852
