Date,NEW ZEALAND Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,96.814
1988-02-29,81.348
1988-03-31,99.385
1988-04-29,101.582
1988-05-31,104.004
1988-06-30,100.526
1988-07-29,101.998
1988-08-31,94.702
1988-09-30,90.295
1988-10-31,94.1
1988-11-30,90.462
1988-12-30,86.246
1989-01-31,90.511
1989-02-28,90.079
1989-03-31,88.813
1989-04-28,91.822
1989-05-31,84.708
1989-06-30,86.406
1989-07-31,90.212
1989-08-31,115.045
1989-09-29,109.371
1989-10-31,100.698
1989-11-30,99.364
1989-12-29,96.111
1990-01-31,91.674
1990-02-28,84.894
1990-03-30,81.483
1990-04-30,79.829
1990-05-31,88.169
1990-06-29,87.858
1990-07-31,92.851
1990-08-31,87.824
1990-09-28,78.311
1990-10-31,69.951
1990-11-30,66.406
1990-12-31,59.903
1991-01-31,64.23
1991-02-28,69.623
1991-03-29,65.151
1991-04-30,70.898
1991-05-31,73.64
1991-06-28,69.954
1991-07-31,70.94
1991-08-30,66.597
1991-09-30,67.566
1991-10-31,72.751
1991-11-29,73.526
1991-12-31,70.839
1992-01-31,69.855
1992-02-28,72.25
1992-03-31,68.024
1992-04-30,69.273
1992-05-29,74.479
1992-06-30,72.999
1992-07-31,73.4
1992-08-31,68.687
1992-09-30,66.042
1992-10-30,61.008
1992-11-30,69.608
1992-12-31,69.829
1993-01-29,68.679
1993-02-26,73.783
1993-03-31,76.672
1993-04-30,81.08
1993-05-31,82.292
1993-06-30,83.903
1993-07-30,94.865
1993-08-31,104.032
1993-09-30,101.685
1993-10-29,115.291
1993-11-30,104.917
1993-12-31,117.124
1994-01-31,130.484
1994-02-28,122.693
1994-03-31,110.554
1994-04-29,117.926
1994-05-31,124.846
1994-06-30,117.556
1994-07-29,122.19
1994-08-31,132.12
1994-09-30,130.161
1994-10-31,138.453
1994-11-30,132.888
1994-12-30,127.566
1995-01-31,131.657
1995-02-28,134.081
1995-03-31,138.732
1995-04-28,154.398
1995-05-31,150.846
1995-06-30,147.939
1995-07-31,154.536
1995-08-31,148.388
1995-09-29,151.268
1995-10-31,156.97
1995-11-30,152.285
1995-12-29,154.163
1996-01-31,155.64
1996-02-29,157.852
1996-03-29,159.739
1996-04-30,159.285
1996-05-31,150.415
1996-06-28,156.826
1996-07-31,164.215
1996-08-30,168.439
1996-09-30,167.671
1996-10-31,178.635
1996-11-29,181.053
1996-12-31,180.613
1997-01-31,180.696
1997-02-28,169.95
1997-03-31,167.971
1997-04-30,169.65
1997-05-30,180.696
1997-06-30,190.681
1997-07-31,186.907
1997-08-29,175.62
1997-09-30,183.763
1997-10-31,167.872
1997-11-28,162.524
1997-12-31,155.059
1998-01-30,152.796
1998-02-27,156.627
1998-03-31,150.216
1998-04-30,150.233
1998-05-29,140.209
1998-06-30,122.214
1998-07-31,132.591
1998-08-31,105.879
1998-09-30,99.613
1998-10-30,112.841
1998-11-30,119.579
1998-12-31,119.979
1999-01-29,131.85
1999-02-26,132.006
1999-03-31,129.004
1999-04-30,149.417
1999-05-31,124.525
1999-06-30,128.59
1999-07-30,133.701
1999-08-31,128.564
1999-09-30,119.287
1999-10-29,121.411
1999-11-30,124.775
1999-12-31,135.454
2000-01-31,119.089
2000-02-29,113.943
2000-03-31,118.378
2000-04-28,117.311
2000-05-31,106.607
2000-06-30,112.9
2000-07-31,110.071
2000-08-31,102.107
2000-09-29,91.863
2000-10-31,84.907
2000-11-30,90.103
2000-12-29,90.014
2001-01-31,98.659
2001-02-28,92.723
2001-03-30,93.111
2001-04-30,102.468
2001-05-31,92.681
2001-06-29,94.525
2001-07-31,97.82
2001-08-31,101.172
2001-09-28,84.193
2001-10-31,90.297
2001-11-30,99.395
2001-12-31,97.59
2002-01-31,101.972
2002-02-28,99.489
2002-03-29,103.446
2002-04-30,103.713
2002-05-31,116.43
2002-06-28,114.455
2002-07-31,105.456
2002-08-30,111.092
2002-09-30,110.076
2002-10-31,117.686
2002-11-29,116.233
2002-12-31,121.248
2003-01-31,126.362
2003-02-28,125.703
2003-03-31,128.224
2003-04-30,134.992
2003-05-30,146.612
2003-06-30,155.788
2003-07-31,150.191
2003-08-29,152.471
2003-09-30,161.269
2003-10-31,165.07
2003-11-28,176.572
2003-12-31,188.455
2004-01-30,195.067
2004-02-27,197.912
2004-03-31,202.414
2004-04-30,191.375
2004-05-31,189.057
2004-06-30,199.398
2004-07-30,207.732
2004-08-31,208.925
2004-09-30,222.493
2004-10-29,221.219
2004-11-30,245.649
2004-12-31,254.731
2005-01-31,250.064
2005-02-28,268.583
2005-03-31,247.607
2005-04-29,250.891
2005-05-31,242.555
2005-06-30,254.683
2005-07-29,260.321
2005-08-31,262.492
2005-09-30,269.366
2005-10-31,260.518
2005-11-30,261.182
2005-12-30,259.167
2006-01-31,253.966
2006-02-28,246.583
2006-03-31,247.475
2006-04-28,263.569
2006-05-31,244.168
2006-06-30,229.022
2006-07-31,229.79
2006-08-31,240.101
2006-09-29,248.023
2006-10-31,267.375
2006-11-30,278.969
2006-12-29,302.074
2007-01-31,301.873
2007-02-28,295.89
2007-03-30,305.179
2007-04-30,324.109
2007-05-31,333.228
2007-06-29,344.835
2007-07-31,341.706
2007-08-31,300.617
2007-09-28,341.548
2007-10-31,336.775
2007-11-30,329.819
2007-12-31,328.961
2008-01-31,304.857
2008-02-29,299.006
2008-03-31,280.652
2008-04-30,287.95
2008-05-30,289.461
2008-06-30,240.337
2008-07-31,243.909
2008-08-29,230.086
2008-09-30,199.935
2008-10-31,155.026
2008-11-28,144.451
2008-12-31,152.007
2009-01-30,139.216
2009-02-27,125.352
2009-03-31,147.356
2009-04-30,161.943
2009-05-29,174.831
2009-06-30,182.221
2009-07-31,198.842
2009-08-31,212.615
2009-09-30,228.738
2009-10-30,231.78
2009-11-30,219.916
2009-12-31,228.625
2010-01-29,214.927
2010-02-26,211.405
2010-03-31,219.777
2010-04-30,227.8
2010-05-31,197.98
2010-06-30,196.252
2010-07-30,210.499
2010-08-31,203.511
2010-09-30,222.313
2010-10-29,237.811
2010-11-30,234.381
2010-12-31,247.637
2011-01-31,250.164
2011-02-28,247.789
2011-03-31,257.915
2011-04-29,279.246
2011-05-31,293.904
2011-06-30,287.045
2011-07-29,303.604
2011-08-31,291.62
2011-09-30,267.342
2011-10-31,271.917
2011-11-30,253.02
2011-12-30,261.363
2012-01-31,279.342
2012-02-29,289.051
