Date,GERMANY VALUE Standard (Large+Mid Cap)
1995-09-29,1224.738
1995-10-31,1203.54
1995-11-30,1212.643
1995-12-29,1248.558
1996-01-31,1321.371
1996-02-29,1338.253
1996-03-29,1354.881
1996-04-30,1324.47
1996-05-31,1348.829
1996-06-28,1368.521
1996-07-31,1370.099
1996-08-30,1412.082
1996-09-30,1425.541
1996-10-31,1429.156
1996-11-29,1475.97
1996-12-31,1486.425
1997-01-31,1514.062
1997-02-28,1576.503
1997-03-31,1716.923
1997-04-30,1670.477
1997-05-30,1717.407
1997-06-30,1806.341
1997-07-31,1962.023
1997-08-29,1763.359
1997-09-30,1893.054
1997-10-31,1788.398
1997-11-28,1851.704
1997-12-31,1927.539
1998-01-30,1881.323
1998-02-27,1968.67
1998-03-31,2169.028
1998-04-30,2270.568
1998-05-29,2482.608
1998-06-30,2483.682
1998-07-31,2562.957
1998-08-31,2174.17
1998-09-30,2088.771
1998-10-30,2135.309
1998-11-30,2267.985
1998-12-31,2349.36
1999-01-29,2508.189
1999-02-26,2349.472
1999-03-31,2360.851
1999-04-30,2611.003
1999-05-31,2375.85
1999-06-30,2556.051
1999-07-30,2537.339
1999-08-31,2558.862
1999-09-30,2441.09
1999-10-29,2598.845
1999-11-30,2474.509
1999-12-31,2860.27
2000-01-31,2564.205
2000-02-29,2763.236
2000-03-31,2621.62
2000-04-28,2531.286
2000-05-31,2533.89
2000-06-30,2543.244
2000-07-31,2671.478
2000-08-31,2612.048
2000-09-29,2505.529
2000-10-31,2569.343
2000-11-30,2486.498
2000-12-29,2784.352
2001-01-31,2858.522
2001-02-28,2770.313
2001-03-30,2551.566
2001-04-30,2728.193
2001-05-31,2520.263
2001-06-29,2540.332
2001-07-31,2550.975
2001-08-31,2268.816
2001-09-28,1910.769
2001-10-31,1979.353
2001-11-30,2189.654
2001-12-31,2288.692
2002-01-31,2148.634
2002-02-28,2116.936
2002-03-29,2318.43
2002-04-30,2248.036
2002-05-31,2277.5
2002-06-28,2229.473
2002-07-31,1939.911
2002-08-30,1990.685
2002-09-30,1569.973
2002-10-31,1649.375
2002-11-29,1769.167
2002-12-31,1636.514
2003-01-31,1550.127
2003-02-28,1440.99
2003-03-31,1372.642
2003-04-30,1703.006
2003-05-30,1798.918
2003-06-30,1912.054
2003-07-31,2066.562
2003-08-29,2007.557
2003-09-30,1948.689
2003-10-31,2191.973
2003-11-28,2313.964
2003-12-31,2626.461
2004-01-30,2634.648
2004-02-27,2610.359
2004-03-31,2466.225
2004-04-30,2527.725
2004-05-31,2546.397
2004-06-30,2637.996
2004-07-30,2518.683
2004-08-31,2468.498
2004-09-30,2574.899
2004-10-29,2707.848
2004-11-30,2954.839
2004-12-31,3128.802
2005-01-31,3035.981
2005-02-28,3190.004
2005-03-31,3102.168
2005-04-29,2958.963
2005-05-31,3024.741
2005-06-30,3057.233
2005-07-29,3325.19
2005-08-31,3347.297
2005-09-30,3459.205
2005-10-31,3385.113
2005-11-30,3517.294
2005-12-30,3648.841
2006-01-31,3929.201
2006-02-28,3942.301
2006-03-31,4076.756
2006-04-28,4296.957
2006-05-31,4127.4
2006-06-30,4087.346
2006-07-31,4141.005
2006-08-31,4264.449
2006-09-29,4295.896
2006-10-31,4579.79
2006-11-30,4787.858
2006-12-29,5029.452
2007-01-31,5015.259
2007-02-28,5124.864
2007-03-30,5283.946
2007-04-30,5815.901
2007-05-31,6096.085
2007-06-29,6144.853
2007-07-31,5850.529
2007-08-31,5849.936
2007-09-28,6309.027
2007-10-31,6619.358
2007-11-30,6435.783
2007-12-31,6433.127
2008-01-31,5487.653
2008-02-29,5608.127
2008-03-31,5725.962
2008-04-30,5841.784
2008-05-30,5820.093
2008-06-30,5235.347
2008-07-31,5082.652
2008-08-29,4807.356
2008-09-30,3919.508
2008-10-31,2756.16
2008-11-28,2711.937
2008-12-31,3128.175
2009-01-30,2504.221
2009-02-27,2187.333
2009-03-31,2434.628
2009-04-30,2934.814
2009-05-29,3196.815
2009-06-30,3078.928
2009-07-31,3451.086
2009-08-31,3757.176
2009-09-30,3959.281
2009-10-30,3768.969
2009-11-30,3954.468
2009-12-31,4002.012
2010-01-29,3664.7
2010-02-26,3609.488
2010-03-31,3963.041
2010-04-30,3817.788
2010-05-31,3392.518
2010-06-30,3350.131
2010-07-30,3709.019
2010-08-31,3489.478
2010-09-30,3859.038
2010-10-29,4191.739
2010-11-30,3938.84
2010-12-31,4230.869
2011-01-31,4479.642
2011-02-28,4608.944
2011-03-31,4551.979
2011-04-29,5079.559
2011-05-31,4689.298
2011-06-30,4772.405
2011-07-29,4523.083
2011-08-31,3574.794
2011-09-30,3191.104
2011-10-31,3680.494
2011-11-30,3512.356
2011-12-30,3289.303
2012-01-31,3617.352
2012-02-29,3924.983
2012-03-30,3950.582
2012-04-30,3773.899
2012-05-31,3249.467
2012-06-29,3472.698
2012-07-31,3497.856
2012-08-31,3735.762
2012-09-28,3928.365
2012-10-31,3993.832
2012-11-30,3985.264
2012-12-31,4176.13
2013-01-31,4395.724
2013-02-28,4163.882
2013-03-29,4054.279
2013-04-30,4254.098
2013-05-31,4460.319
2013-06-28,4189.681
2013-07-31,4499.974
2013-08-30,4384.751
2013-09-30,4871.831
2013-10-31,5182.92
2013-11-29,5334.746
2013-12-31,5467.227
2014-01-31,5243.004
2014-02-28,5599.117
2014-03-31,5532.951
2014-04-30,5591.272
2014-05-30,5670.978
2014-06-30,5656.199
2014-07-31,5265.792
2014-08-29,5197.359
2014-09-30,4937.873
2014-10-31,4790.032
2014-11-28,5111.131
2014-12-31,4867.191
