Date,GERMANY VALUE Standard (Large+Mid Cap)
2001-01-01,3423.607
2001-01-02,3424.506
2001-01-03,3426.291
2001-01-04,3431.997
2001-01-05,3461.334
2001-01-08,3440.684
2001-01-09,3397.31
2001-01-10,3354.378
2001-01-11,3435.628
2001-01-12,3410.201
2001-01-15,3407.573
2001-01-16,3392.525
2001-01-17,3409.422
2001-01-18,3450.889
2001-01-19,3413.638
2001-01-22,3468.639
2001-01-23,3507.912
2001-01-24,3442.021
2001-01-25,3460.555
2001-01-26,3455.916
2001-01-29,3471.342
2001-01-30,3474.029
2001-01-31,3514.804
2001-02-01,3515.889
2001-02-02,3466.475
2001-02-05,3509.5
2001-02-06,3517.206
2001-02-07,3498.044
2001-02-08,3471.395
2001-02-09,3448.663
2001-02-12,3500.051
2001-02-13,3494.934
2001-02-14,3488.273
2001-02-15,3458.405
2001-02-16,3464.47
2001-02-19,3500.455
2001-02-20,3445.239
2001-02-21,3433.693
2001-02-22,3382.5
2001-02-23,3314.852
2001-02-26,3356.01
2001-02-27,3404.637
2001-02-28,3406.344
2001-03-01,3395.013
2001-03-02,3466.093
2001-03-05,3470.255
2001-03-06,3516.222
2001-03-07,3511.399
2001-03-08,3507.522
2001-03-09,3483.315
2001-03-12,3387.301
2001-03-13,3313.783
2001-03-14,3177.55
2001-03-15,3238.58
2001-03-16,3136.17
2001-03-19,3091.559
2001-03-20,3169.124
2001-03-21,3048.811
2001-03-22,2855.883
2001-03-23,2947.392
2001-03-26,3057.541
2001-03-27,3200.5
2001-03-28,3124.757
2001-03-29,3144.23
2001-03-30,3138.112
2001-04-02,3104.832
2001-04-03,3026.368
2001-04-04,3103.718
2001-04-05,3141.763
2001-04-06,3116.629
2001-04-09,3189.181
2001-04-10,3244.575
2001-04-11,3223.418
2001-04-12,3277.667
2001-04-13,3277.667
2001-04-16,3244.099
2001-04-17,3206.659
2001-04-18,3298.432
2001-04-19,3356.038
2001-04-20,3372.141
2001-04-23,3329.505
2001-04-24,3352.076
2001-04-25,3344.596
2001-04-26,3360.665
2001-04-27,3350.237
2001-04-30,3362.797
2001-05-01,3380.624
2001-05-02,3351.147
2001-05-03,3292.568
2001-05-04,3334.798
2001-05-07,3310.61
2001-05-08,3269.2
2001-05-09,3252.127
2001-05-10,3287.401
2001-05-11,3256.876
2001-05-14,3215.827
2001-05-15,3236.422
2001-05-16,3286.788
2001-05-17,3288.957
2001-05-18,3275.33
2001-05-21,3298.981
2001-05-22,3282.903
2001-05-23,3228.736
2001-05-24,3248.343
2001-05-25,3206.697
2001-05-28,3213.317
2001-05-29,3130.849
2001-05-30,3114.037
2001-05-31,3118.15
2001-06-01,3117.931
2001-06-04,3141.495
2001-06-05,3144.348
2001-06-06,3112.96
2001-06-07,3125.549
2001-06-08,3108.317
2001-06-11,3083.569
2001-06-12,3077.17
2001-06-13,3115.643
2001-06-14,3113.535
2001-06-15,3080.68
2001-06-18,3056.155
2001-06-19,3060.929
2001-06-20,3040.695
2001-06-21,3061.418
2001-06-22,3073.979
2001-06-25,3092.643
2001-06-26,3069.518
2001-06-27,3062.046
2001-06-28,3089.377
2001-06-29,3144.944
2001-07-02,3175.231
2001-07-03,3153.28
2001-07-04,3138.62
2001-07-05,3104.317
2001-07-06,3063.18
2001-07-09,3084.667
2001-07-10,3090.146
2001-07-11,3111.77
2001-07-12,3115.556
2001-07-13,3140.329
2001-07-16,3117.297
2001-07-17,3099.925
2001-07-18,3117.982
2001-07-19,3151.013
2001-07-20,3148.206
2001-07-23,3117.618
2001-07-24,3078.919
2001-07-25,3036.47
2001-07-26,3065.469
2001-07-27,3102.366
2001-07-30,3132.247
2001-07-31,3158.278
2001-08-01,3134.101
2001-08-02,3097.765
2001-08-03,3087.686
2001-08-06,3078.701
2001-08-07,3064.293
2001-08-08,2949.193
2001-08-09,2933.38
2001-08-10,2911.434
2001-08-13,2917.662
2001-08-14,2961.406
2001-08-15,2955.921
2001-08-16,2905.989
2001-08-17,2838.382
2001-08-20,2829.7
2001-08-21,2839.036
2001-08-22,2865.828
2001-08-23,2851.816
2001-08-24,2927.454
2001-08-27,2930.304
2001-08-28,2885.68
2001-08-29,2882.864
2001-08-30,2800.289
2001-08-31,2808.946
2001-09-03,2768.1
2001-09-04,2775.503
2001-09-05,2708.226
2001-09-06,2663.824
2001-09-07,2604.406
2001-09-10,2559.477
2001-09-11,2391.055
2001-09-12,2406.661
2001-09-13,2440.898
2001-09-14,2318.13
2001-09-17,2395.129
2001-09-18,2343.608
2001-09-19,2271.226
2001-09-20,2131.803
2001-09-21,2104.632
2001-09-24,2252.341
2001-09-25,2248.665
2001-09-26,2290.15
2001-09-27,2320.521
2001-09-28,2365.66
2001-10-01,2338.685
2001-10-02,2378.253
2001-10-03,2441.998
2001-10-04,2487.37
2001-10-05,2492.888
2001-10-08,2499.893
2001-10-09,2485.33
2001-10-10,2532.66
2001-10-11,2537.435
2001-10-12,2530.032
2001-10-15,2480.25
2001-10-16,2523.923
2001-10-17,2524.23
2001-10-18,2485.855
2001-10-19,2432.627
2001-10-22,2458.268
2001-10-23,2509.594
2001-10-24,2565.016
2001-10-25,2517.426
2001-10-26,2552.682
2001-10-29,2513.424
2001-10-30,2461.582
2001-10-31,2450.572
2001-11-01,2505.02
2001-11-02,2470.055
2001-11-05,2524.566
2001-11-06,2496.51
2001-11-07,2593.253
2001-11-08,2636.793
2001-11-09,2609.596
2001-11-12,2570.129
2001-11-13,2611.376
2001-11-14,2630.153
2001-11-15,2659.8
2001-11-16,2725.995
2001-11-19,2783.668
2001-11-20,2748.323
2001-11-21,2727.636
2001-11-22,2739.925
2001-11-23,2758.363
2001-11-26,2746.231
2001-11-27,2724.531
2001-11-28,2664.936
2001-11-29,2658.31
2001-11-30,2710.938
2001-12-03,2694.07
2001-12-04,2706.443
