Date,GERMANY VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,115.511
1975-02-28,131.968
1975-03-31,128.88
1975-04-30,130.08
1975-05-30,121.435
1975-06-30,121.095
1975-07-31,122.338
1975-08-29,116.539
1975-09-30,110.914
1975-10-31,126.238
1975-11-28,130.941
1975-12-31,135.114
1976-01-30,141.929
1976-02-27,146.123
1976-03-31,151.669
1976-04-30,142.936
1976-05-31,138.747
1976-06-30,140.97
1976-07-30,140.223
1976-08-31,140.301
1976-09-30,147.989
1976-10-29,138.101
1976-11-30,149.034
1976-12-31,152.87
1977-01-31,151.602
1977-02-28,150.434
1977-03-31,157.188
1977-04-29,171.456
1977-05-31,168.735
1977-06-30,164.276
1977-07-29,171.123
1977-08-31,170.211
1977-09-30,172.785
1977-10-31,180.539
1977-11-30,185.092
1977-12-30,193.29
1978-01-31,198.166
1978-02-28,207.295
1978-03-31,208.981
1978-04-28,198.04
1978-05-31,201.135
1978-06-30,203.53
1978-07-31,213.959
1978-08-31,225.732
1978-09-29,237.901
1978-10-31,261.25
1978-11-30,232.24
1978-12-29,245.848
1979-01-31,240.574
1979-02-28,236.456
1979-03-30,233.569
1979-04-30,230.624
1979-05-31,219.503
1979-06-29,222.438
1979-07-31,232.988
1979-08-31,238.12
1979-09-28,248.5
1979-10-31,229.092
1979-11-30,242.275
1979-12-31,242.063
1980-01-31,242.694
1980-02-29,242.857
1980-03-31,203.529
1980-04-30,227.164
1980-05-30,235.663
1980-06-30,243.665
1980-07-31,244.379
1980-08-29,236.502
1980-09-30,230.965
1980-10-31,211.37
1980-11-28,212.08
1980-12-31,203.909
1981-01-30,184.25
1981-02-27,184.397
1981-03-31,193.928
1981-04-30,192.003
1981-05-29,175.896
1981-06-30,181.63
1981-07-31,176.031
1981-08-31,172.92
1981-09-30,170.557
1981-10-30,173.178
1981-11-30,184.761
1981-12-31,177.466
1982-01-29,176.602
1982-02-26,174.558
1982-03-31,180.818
1982-04-30,188.139
1982-05-31,184.082
1982-06-30,168.475
1982-07-30,168.728
1982-08-31,163.697
1982-09-30,170.028
1982-10-29,163.738
1982-11-30,170.171
1982-12-31,192.034
1983-01-31,186.489
1983-02-28,203.611
1983-03-31,231.47
1983-04-29,240.448
1983-05-31,218.233
1983-06-30,227.004
1983-07-29,226.073
1983-08-31,207.121
1983-09-30,217.732
1983-10-31,226.488
1983-11-30,222.273
1983-12-30,227.983
1984-01-31,233.692
1984-02-29,238.864
1984-03-30,241.269
1984-04-30,232.178
1984-05-31,219.355
1984-06-29,217.662
1984-07-31,195.578
1984-08-31,202.677
1984-09-28,204.572
1984-10-31,211.688
1984-11-30,212.242
1984-12-31,213.386
1985-01-31,213.712
1985-02-28,205.878
1985-03-29,228.39
1985-04-30,237.056
1985-05-31,262.817
1985-06-28,283.544
1985-07-31,300.15
1985-08-30,325.515
1985-09-30,368.121
1985-10-31,419.218
1985-11-29,426.458
1985-12-31,500.249
1986-01-31,495.334
1986-02-28,541.738
1986-03-31,555.43
1986-04-30,603.089
1986-05-30,507.837
1986-06-30,524.934
1986-07-31,518.145
1986-08-29,611.632
1986-09-30,585.495
1986-10-31,586.451
1986-11-28,632.508
1986-12-31,639.615
1987-01-30,609.566
1987-02-27,600.491
1987-03-31,630.88
1987-04-30,632.322
1987-05-29,615.95
1987-06-30,655.196
1987-07-31,681.228
1987-08-31,728.074
1987-09-30,703.451
1987-10-30,602.846
1987-11-30,564.535
1987-12-31,575.322
1988-01-29,506.031
1988-02-29,568.291
1988-03-31,563.97
1988-04-29,560.546
1988-05-31,564.081
1988-06-30,569.707
1988-07-29,569.905
1988-08-31,570.806
1988-09-30,607.42
1988-10-31,672.633
1988-11-30,673.588
1988-12-30,699.487
1989-01-31,675.248
1989-02-28,682.971
1989-03-31,678.46
1989-04-28,709.914
1989-05-31,693.332
1989-06-30,736.06
1989-07-31,780.951
1989-08-31,771.048
1989-09-29,794.732
1989-10-31,760.244
