Date,GERMANY VALUE Standard (Large+Mid Cap)
2001-01-01,2784.352
2001-01-02,2785.084
2001-01-03,2786.535
2001-01-04,2791.176
2001-01-05,2815.035
2001-01-08,2798.241
2001-01-09,2762.966
2001-01-10,2728.05
2001-01-11,2794.129
2001-01-12,2773.45
2001-01-15,2771.313
2001-01-16,2759.074
2001-01-17,2772.816
2001-01-18,2806.54
2001-01-19,2776.245
2001-01-22,2820.976
2001-01-23,2852.917
2001-01-24,2799.328
2001-01-25,2814.401
2001-01-26,2810.629
2001-01-29,2823.175
2001-01-30,2825.36
2001-01-31,2858.522
2001-02-01,2859.403
2001-02-02,2819.216
2001-02-05,2854.208
2001-02-06,2860.475
2001-02-07,2844.891
2001-02-08,2823.217
2001-02-09,2804.73
2001-02-12,2846.523
2001-02-13,2842.362
2001-02-14,2836.944
2001-02-15,2812.653
2001-02-16,2817.585
2001-02-19,2846.852
2001-02-20,2801.946
2001-02-21,2792.555
2001-02-22,2750.921
2001-02-23,2695.905
2001-02-26,2729.377
2001-02-27,2768.925
2001-02-28,2770.313
2001-03-01,2761.098
2001-03-02,2818.906
2001-03-05,2821.628
2001-03-06,2859.003
2001-03-07,2855.082
2001-03-08,2851.929
2001-03-09,2832.246
2001-03-12,2754.179
2001-03-13,2694.402
2001-03-14,2583.633
2001-03-15,2633.255
2001-03-16,2549.986
2001-03-19,2513.714
2001-03-20,2576.781
2001-03-21,2478.956
2001-03-22,2322.088
2001-03-23,2396.493
2001-03-26,2486.054
2001-03-27,2602.293
2001-03-28,2540.707
2001-03-29,2556.54
2001-03-30,2551.566
2001-04-02,2524.506
2001-04-03,2460.708
2001-04-04,2523.6
2001-04-05,2554.534
2001-04-06,2534.098
2001-04-09,2593.09
2001-04-10,2638.13
2001-04-11,2620.927
2001-04-12,2661.145
2001-04-13,2661.145
2001-04-16,2633.892
2001-04-17,2603.494
2001-04-18,2678.005
2001-04-19,2724.775
2001-04-20,2737.85
2001-04-23,2703.233
2001-04-24,2721.559
2001-04-25,2715.486
2001-04-26,2728.525
2001-04-27,2718.004
2001-04-30,2728.193
2001-05-01,2742.657
2001-05-02,2717.049
2001-05-03,2669.554
2001-05-04,2703.7
2001-05-07,2684.089
2001-05-08,2650.516
2001-05-09,2636.674
2001-05-10,2665.272
2001-05-11,2640.463
2001-05-14,2606.41
2001-05-15,2623.103
2001-05-16,2663.924
2001-05-17,2665.682
2001-05-18,2653.328
2001-05-21,2670.805
2001-05-22,2657.788
2001-05-23,2613.238
2001-05-24,2629.107
2001-05-25,2595.298
2001-05-28,2600.655
2001-05-29,2533.911
2001-05-30,2517.033
2001-05-31,2520.263
2001-06-01,2520.086
2001-06-04,2539.009
2001-06-05,2541.314
2001-06-06,2515.946
2001-06-07,2526.121
2001-06-08,2511.293
2001-06-11,2491.298
2001-06-12,2486.128
2001-06-13,2517.212
2001-06-14,2515.509
2001-06-15,2488.964
2001-06-18,2469.15
2001-06-19,2473.007
2001-06-20,2456.544
2001-06-21,2472.916
2001-06-22,2483.062
2001-06-25,2498.138
2001-06-26,2479.459
2001-06-27,2473.423
2001-06-28,2495.5
2001-06-29,2540.332
2001-07-02,2564.796
2001-07-03,2547.065
2001-07-04,2535.224
2001-07-05,2507.516
2001-07-06,2474.287
2001-07-09,2491.643
2001-07-10,2496.069
2001-07-11,2513.536
2001-07-12,2516.594
2001-07-13,2536.477
2001-07-16,2517.874
2001-07-17,2503.843
2001-07-18,2518.427
2001-07-19,2545.107
2001-07-20,2542.84
2001-07-23,2518.134
2001-07-24,2486.876
2001-07-25,2452.589
2001-07-26,2476.012
2001-07-27,2505.815
2001-07-30,2529.95
2001-07-31,2550.975
2001-08-01,2531.447
2001-08-02,2502.098
2001-08-03,2493.957
2001-08-06,2486.7
2001-08-07,2475.063
2001-08-08,2382.095
2001-08-09,2369.323
2001-08-10,2351.596
2001-08-13,2356.627
2001-08-14,2391.959
2001-08-15,2387.529
2001-08-16,2347.199
2001-08-17,2292.592
2001-08-20,2285.579
2001-08-21,2293.12
2001-08-22,2314.76
2001-08-23,2303.442
2001-08-24,2364.536
2001-08-27,2366.838
2001-08-28,2330.794
2001-08-29,2328.521
2001-08-30,2261.824
2001-08-31,2268.816
2001-09-03,2235.824
2001-09-04,2241.803
2001-09-05,2187.463
2001-09-06,2151.599
2001-09-07,2103.607
2001-09-10,2067.317
2001-09-11,1931.281
2001-09-12,1943.886
2001-09-13,1971.54
2001-09-14,1872.379
2001-09-17,1934.571
2001-09-18,1892.958
2001-09-19,1834.494
2001-09-20,1721.88
2001-09-21,1699.934
2001-09-24,1819.24
