Date,SWITZERLAND SMALL GROWTH Small Cap
2001-01-01,443.162
2001-01-02,446.353
2001-01-03,435.635
2001-01-04,440.359
2001-01-05,436.998
2001-01-08,432.084
2001-01-09,428.755
2001-01-10,426.665
2001-01-11,433.366
2001-01-12,436.425
2001-01-15,431.185
2001-01-16,431.04
2001-01-17,436.289
2001-01-18,446.165
2001-01-19,444.937
2001-01-22,442.547
2001-01-23,437.035
2001-01-24,434.818
2001-01-25,436.849
2001-01-26,435.263
2001-01-29,433.873
2001-01-30,436.319
2001-01-31,435.93
2001-02-01,438.201
2001-02-02,431.917
2001-02-05,434.932
2001-02-06,430.246
2001-02-07,427.966
2001-02-08,422.34
2001-02-09,420.393
2001-02-12,422.471
2001-02-13,419.234
2001-02-14,411.879
2001-02-15,405.813
2001-02-16,404.876
2001-02-19,403.814
2001-02-20,399.847
2001-02-21,397.619
2001-02-22,390.639
2001-02-23,386.941
2001-02-26,392.248
2001-02-27,394.562
2001-02-28,391.109
2001-03-01,386.25
2001-03-02,384.212
2001-03-05,383.447
2001-03-06,387.535
2001-03-07,389.644
2001-03-08,391.046
2001-03-09,387.509
2001-03-12,379.147
2001-03-13,373.295
2001-03-14,363.805
2001-03-15,357.52
2001-03-16,347.208
2001-03-19,346.747
2001-03-20,350.283
2001-03-21,341.26
2001-03-22,324.236
2001-03-23,336.197
2001-03-26,343.424
2001-03-27,344.802
2001-03-28,345.32
2001-03-29,340.174
2001-03-30,344.191
2001-04-02,342.298
2001-04-03,335.284
2001-04-04,337.131
2001-04-05,337.863
2001-04-06,341.907
2001-04-09,342.123
2001-04-10,338.24
2001-04-11,344.398
2001-04-12,345.003
2001-04-13,345.003
2001-04-16,341.494
2001-04-17,338.633
2001-04-18,339.93
2001-04-19,349.806
2001-04-20,355.267
2001-04-23,352.881
2001-04-24,350.118
2001-04-25,347.842
2001-04-26,353.044
2001-04-27,349.892
2001-04-30,348.049
2001-05-01,349.085
2001-05-02,354.863
2001-05-03,357.218
2001-05-04,354.887
2001-05-07,356.244
2001-05-08,353.057
2001-05-09,353.152
2001-05-10,353.787
2001-05-11,352.384
2001-05-14,348.261
2001-05-15,348.534
2001-05-16,349.335
2001-05-17,351.299
2001-05-18,352.585
2001-05-21,353.768
2001-05-22,355.086
2001-05-23,351.716
2001-05-24,350.846
2001-05-25,349.283
2001-05-28,349.298
2001-05-29,345.499
2001-05-30,344.356
2001-05-31,338.622
2001-06-01,338.756
2001-06-04,339.531
2001-06-05,341.042
2001-06-06,341.263
