Date,SWITZERLAND SMALL GROWTH Small Cap
1994-05-31,211.719
1994-06-30,214.482
1994-07-29,216.675
1994-08-31,222.111
1994-09-30,221.709
1994-10-31,226.626
1994-11-30,216.791
1994-12-30,221.238
1995-01-31,220.328
1995-02-28,226.438
1995-03-31,238.298
1995-04-28,236.975
1995-05-31,246.813
1995-06-30,257.12
1995-07-31,258.359
1995-08-31,251.462
1995-09-29,261.718
1995-10-31,262.99
1995-11-30,252.14
1995-12-29,258.699
1996-01-31,253.715
1996-02-29,260.129
1996-03-29,268.902
1996-04-30,264.288
1996-05-31,257.72
1996-06-28,254.713
1996-07-31,246.926
1996-08-30,252.939
1996-09-30,244.189
1996-10-31,243.843
1996-11-29,247.754
1996-12-31,241.242
1997-01-31,235.987
1997-02-28,233.248
1997-03-31,243.356
1997-04-30,239.205
1997-05-30,255.556
1997-06-30,256.874
1997-07-31,249.994
1997-08-29,251.354
1997-09-30,255.781
1997-10-31,253.135
1997-11-28,245.675
1997-12-31,241.794
1998-01-30,244.007
1998-02-27,256.432
1998-03-31,276.256
1998-04-30,280.109
1998-05-29,296.982
1998-06-30,278.905
1998-07-31,285.37
1998-08-31,243.624
1998-09-30,229.513
1998-10-30,250.167
1998-11-30,263.563
1998-12-31,266.407
1999-01-29,255.23
1999-02-26,259.737
1999-03-31,266.786
1999-04-30,272.401
1999-05-31,277.537
1999-06-30,277.939
1999-07-30,291.693
1999-08-31,296.058
1999-09-30,304.67
1999-10-29,310.507
1999-11-30,326.337
1999-12-31,365.812
2000-01-31,415.525
2000-02-29,472.315
2000-03-31,478.946
2000-04-28,462.243
2000-05-31,455.769
2000-06-30,494.407
2000-07-31,493.061
2000-08-31,494.819
2000-09-29,498.999
2000-10-31,451.996
2000-11-30,420.498
2000-12-29,443.162
2001-01-31,435.93
2001-02-28,391.109
2001-03-30,344.191
2001-04-30,348.049
2001-05-31,338.622
2001-06-29,321.855
2001-07-31,305.572
2001-08-31,290.489
2001-09-28,236.667
2001-10-31,256.444
2001-11-30,269.919
2001-12-31,281.433
2002-01-31,267.178
2002-02-28,262.896
2002-03-29,285.411
2002-04-30,292.883
2002-05-31,306.235
2002-06-28,292.51
2002-07-31,260.754
2002-08-30,243.927
2002-09-30,216.434
2002-10-31,224.087
2002-11-29,239.438
2002-12-31,235.715
2003-01-31,223.145
2003-02-28,218.483
2003-03-31,218.978
2003-04-30,247.184
2003-05-30,265.436
2003-06-30,258.073
2003-07-31,268.557
2003-08-29,281.814
2003-09-30,305.48
2003-10-31,339.991
2003-11-28,356.687
2003-12-31,378.201
2004-01-30,405.658
2004-02-27,413.157
2004-03-31,391.925
2004-04-30,396.646
2004-05-31,410.028
2004-06-30,421.819
2004-07-30,394.127
2004-08-31,396.624
2004-09-30,413.496
2004-10-29,423.327
2004-11-30,460.869
2004-12-31,476.637
2005-01-31,476.642
2005-02-28,500.6
2005-03-31,472.172
2005-04-29,463.889
2005-05-31,464.073
2005-06-30,470.629
2005-07-29,500.956
2005-08-31,523.477
2005-09-30,536.465
2005-10-31,509.004
2005-11-30,509.788
2005-12-30,524.789
2006-01-31,568.162
2006-02-28,566.11
2006-03-31,597.972
2006-04-28,649.818
2006-05-31,622.678
2006-06-30,618.778
2006-07-31,630.34
2006-08-31,654.842
2006-09-29,681.804
2006-10-31,726.895
2006-11-30,788.135
2006-12-29,852.291
2007-01-31,911.665
2007-02-28,892.507
2007-03-30,951.895
2007-04-30,1005.507
2007-05-31,1000.0
2007-06-29,1025.558
2007-07-31,1019.627
2007-08-31,982.357
2007-09-28,1000.635
2007-10-31,1030.926
2007-11-30,965.334
2007-12-31,948.79
2008-01-31,820.891
2008-02-29,887.105
2008-03-31,881.593
2008-04-30,866.924
2008-05-30,870.89
2008-06-30,811.723
2008-07-31,735.832
2008-08-29,738.324
2008-09-30,634.349
2008-10-31,464.605
2008-11-28,415.647
2008-12-31,468.732
2009-01-30,410.176
2009-02-27,360.121
2009-03-31,383.15
2009-04-30,449.99
2009-05-29,515.409
2009-06-30,509.645
2009-07-31,549.816
2009-08-31,595.487
2009-09-30,651.577
2009-10-30,626.707
2009-11-30,639.818
2009-12-31,644.782
2010-01-29,653.266
2010-02-26,639.711
2010-03-31,729.011
2010-04-30,729.715
2010-05-31,628.085
2010-06-30,664.423
2010-07-30,704.939
2010-08-31,713.519
2010-09-30,795.471
2010-10-29,841.801
2010-11-30,840.396
2010-12-31,961.386
2011-01-31,936.743
2011-02-28,954.965
2011-03-31,990.125
2011-04-29,1067.952
2011-05-31,1065.486
2011-06-30,1014.074
2011-07-29,991.812
2011-08-31,898.444
2011-09-30,753.182
2011-10-31,833.919
2011-11-30,779.322
2011-12-30,760.92
2012-01-31,816.237
2012-02-29,865.203
2012-03-30,870.557
2012-04-30,890.474
2012-05-31,794.43
2012-06-29,817.777
2012-07-31,800.362
2012-08-31,818.0
2012-09-28,838.553
2012-10-31,844.225
2012-11-30,841.922
2012-12-31,865.82
2013-01-31,906.515
2013-02-28,903.749
2013-03-29,891.895
2013-04-30,921.12
2013-05-31,928.898
2013-06-28,902.241
2013-07-31,972.106
2013-08-30,985.992
2013-09-30,1066.834
2013-10-31,1130.05
2013-11-29,1182.324
2013-12-31,1240.468
2014-01-31,1229.023
2014-02-28,1314.757
2014-03-31,1311.487
2014-04-30,1301.589
2014-05-30,1311.968
2014-06-30,1349.27
2014-07-31,1288.679
2014-08-29,1304.109
2014-09-30,1218.089
2014-10-31,1189.072
2014-11-28,1237.982
2014-12-31,1205.424
2015-01-30,1172.217
2015-02-27,1295.289
2015-03-31,1336.559
2015-04-30,1406.841
2015-05-29,1441.033
2015-06-30,1376.376
2015-07-31,1419.097
2015-08-31,1370.684
2015-09-30,1310.994
2015-10-30,1376.134
2015-11-30,1386.265
2015-12-31,1413.291
2016-01-29,1307.13
2016-02-29,1326.433
2016-03-31,1451.768
2016-04-29,1426.035
2016-05-31,1459.724
2016-06-30,1448.676
2016-07-29,1549.379
2016-08-31,1544.883
2016-09-30,1584.745
