Date,SWITZERLAND SMALL GROWTH Small Cap
1994-05-31,204.799
1994-06-30,207.936
1994-07-29,210.133
1994-08-31,215.405
1994-09-30,215.076
1994-10-31,219.877
1994-11-30,210.335
1994-12-30,214.65
1995-01-31,213.767
1995-02-28,219.694
1995-03-31,231.211
1995-04-28,229.979
1995-05-31,239.773
1995-06-30,249.939
1995-07-31,251.185
1995-08-31,244.485
1995-09-29,254.46
1995-10-31,255.697
1995-11-30,245.148
1995-12-29,251.525
1996-01-31,246.679
1996-02-29,252.942
1996-03-29,261.472
1996-04-30,257.104
1996-05-31,250.883
1996-06-28,248.29
1996-07-31,240.755
1996-08-30,246.618
1996-09-30,238.087
1996-10-31,237.757
1996-11-29,241.57
1996-12-31,235.22
1997-01-31,230.121
1997-02-28,227.451
1997-03-31,237.401
1997-04-30,233.375
1997-05-30,249.416
1997-06-30,250.966
1997-07-31,244.325
1997-08-29,245.654
1997-09-30,249.981
1997-10-31,247.403
1997-11-28,240.112
1997-12-31,236.319
1998-01-30,238.503
1998-02-27,250.651
1998-03-31,270.027
1998-04-30,273.982
1998-05-29,290.748
1998-06-30,273.321
1998-07-31,279.698
1998-08-31,238.786
1998-09-30,224.955
1998-10-30,245.198
1998-11-30,258.329
1998-12-31,261.117
1999-01-29,250.161
1999-02-26,254.578
1999-03-31,261.488
1999-04-30,267.019
1999-05-31,272.238
1999-06-30,272.646
1999-07-30,286.152
1999-08-31,290.439
1999-09-30,298.886
1999-10-29,304.613
1999-11-30,320.143
1999-12-31,358.868
2000-01-31,407.638
2000-02-29,463.385
2000-03-31,469.891
2000-04-28,453.503
2000-05-31,447.362
2000-06-30,485.301
2000-07-31,483.98
2000-08-31,485.706
2000-09-29,489.808
2000-10-31,443.671
2000-11-30,412.753
2000-12-29,435.0
2001-01-31,427.901
2001-02-28,383.936
2001-03-30,337.878
2001-04-30,341.7
2001-05-31,332.907
2001-06-29,316.535
2001-07-31,300.538
2001-08-31,285.703
2001-09-28,232.768
2001-10-31,252.22
2001-11-30,265.472
2001-12-31,276.807
2002-01-31,262.786
2002-02-28,258.601
2002-03-29,280.748
2002-04-30,288.114
2002-05-31,301.342
2002-06-28,287.896
2002-07-31,256.65
2002-08-30,240.11
2002-09-30,213.047
2002-10-31,220.581
2002-11-29,235.691
2002-12-31,232.038
2003-01-31,219.664
2003-02-28,215.097
2003-03-31,215.584
2003-04-30,243.464
2003-05-30,262.031
2003-06-30,254.878
2003-07-31,265.25
2003-08-29,278.343
2003-09-30,301.718
2003-10-31,335.826
2003-11-28,352.318
2003-12-31,373.568
2004-01-30,400.69
2004-02-27,408.115
2004-03-31,387.435
2004-04-30,392.463
2004-05-31,406.263
2004-06-30,418.111
2004-07-30,390.694
2004-08-31,393.17
2004-09-30,409.895
2004-10-29,419.682
2004-11-30,456.901
2004-12-31,472.533
2005-01-31,472.538
2005-02-28,496.314
2005-03-31,468.229
2005-04-29,460.713
2005-05-31,461.164
2005-06-30,468.038
2005-07-29,498.283
2005-08-31,520.684
2005-09-30,533.603
2005-10-31,506.289
2005-11-30,507.068
2005-12-30,521.99
2006-01-31,565.131
2006-02-28,563.111
2006-03-31,595.081
2006-04-28,646.865
2006-05-31,620.658
2006-06-30,616.77
2006-07-31,628.401
2006-08-31,652.826
2006-09-29,679.706
2006-10-31,724.658
2006-11-30,785.71
2006-12-29,849.669
2007-01-31,908.86
2007-02-28,889.761
2007-03-30,948.966
2007-04-30,1003.977
2007-05-31,1000.0
2007-06-29,1025.567
2007-07-31,1019.657
2007-08-31,982.386
2007-09-28,1000.665
2007-10-31,1031.058
2007-11-30,965.458
2007-12-31,948.911
2008-01-31,820.996
2008-02-29,887.218
2008-03-31,881.705
2008-04-30,870.322
2008-05-30,875.154
2008-06-30,815.696
2008-07-31,739.61
2008-08-29,742.377
2008-09-30,637.831
2008-10-31,467.291
2008-11-28,418.049
2008-12-31,471.441
2009-01-30,412.547
2009-02-27,362.203
2009-03-31,385.429
2009-04-30,454.178
2009-05-29,521.598
2009-06-30,515.824
2009-07-31,556.604
2009-08-31,603.005
2009-09-30,659.803
2009-10-30,634.702
2009-11-30,647.981
2009-12-31,653.008
2010-01-29,661.601
2010-02-26,647.872
2010-03-31,738.389
2010-04-30,740.969
2010-05-31,638.544
2010-06-30,675.569
2010-07-30,716.882
2010-08-31,725.949
2010-09-30,809.328
2010-10-29,856.632
2010-11-30,855.202
2010-12-31,978.324
2011-01-31,953.247
2011-02-28,971.79
2011-03-31,1007.603
2011-04-29,1088.295
2011-05-31,1086.979
2011-06-30,1034.529
2011-07-29,1011.967
2011-08-31,917.9
2011-09-30,769.492
2011-10-31,852.182
2011-11-30,796.39
2011-12-30,777.585
2012-01-31,834.113
2012-02-29,884.151
2012-03-30,889.623
2012-04-30,910.876
2012-05-31,813.489
2012-06-29,837.396
2012-07-31,819.794
2012-08-31,838.213
2012-09-28,859.274
2012-10-31,865.413
2012-11-30,863.052
2012-12-31,887.55
2013-01-31,929.266
2013-02-28,926.431
2013-03-29,914.279
2013-04-30,945.701
2013-05-31,954.703
2013-06-28,927.461
2013-07-31,999.876
2013-08-30,1014.159
2013-09-30,1097.724
2013-10-31,1162.77
2013-11-29,1216.557
2013-12-31,1276.385
2014-01-31,1264.608
2014-02-28,1352.825
2014-03-31,1349.484
2014-04-30,1340.949
2014-05-30,1352.911
2014-06-30,1391.594
2014-07-31,1329.408
2014-08-29,1345.326
2014-09-30,1256.587
2014-10-31,1226.653
2014-11-28,1277.109
2014-12-31,1243.708
2015-01-30,1209.446
2015-02-27,1336.427
2015-03-31,1379.666
2015-04-30,1453.663
2015-05-29,1490.821
2015-06-30,1424.159
2015-07-31,1468.834
2015-08-31,1418.724
2015-09-30,1356.942
2015-10-30,1424.366
2015-11-30,1434.852
2015-12-31,1462.825
2016-01-29,1352.943
2016-02-29,1372.923
2016-03-31,1503.447
2016-04-29,1478.474
2016-05-31,1514.599
2016-06-30,1503.532
2016-07-29,1608.494
2016-08-31,1603.826
2016-09-30,1645.292
2016-10-31,1555.882
2016-11-30,1529.562
2016-12-30,1577.272
2017-01-31,1662.36
2017-02-28,1757.08
2017-03-31,1847.237
2017-04-28,2006.927
2017-05-31,2096.067
2017-06-30,2094.256
2017-07-31,2156.959
2017-08-31,2128.4
2017-09-29,2188.137
2017-10-31,2250.37
2017-11-30,2298.076
2017-12-29,2348.073
2018-01-31,2538.656
2018-02-28,2455.496
2018-03-30,2305.0
2018-04-30,2266.656
2018-05-31,2351.118
2018-06-29,2282.509
2018-07-31,2302.417
2018-08-31,2393.613
2018-09-28,2227.686
2018-10-31,1954.986
2018-11-30,1798.519
2018-12-31,1666.851
2019-01-31,1833.61
2019-02-28,1847.84
2019-03-29,1855.284
2019-04-30,1986.95
2019-05-31,1872.322
2019-06-28,2038.441
2019-07-31,2019.813
2019-08-30,1940.361
2019-09-30,1989.718
2019-10-31,2066.857
2019-11-29,2164.907
2019-12-31,2282.736
2020-01-31,2242.821
2020-02-28,2045.205
2020-03-31,1885.76
2020-04-30,2089.22
2020-05-29,2290.772
2020-06-30,2351.073
2020-07-31,2495.851
2020-08-31,2735.46
2020-09-30,2720.849
2020-10-30,2603.893
2020-11-30,2885.579
2020-12-31,3041.047
2021-01-29,3130.681
2021-02-26,3107.603
2021-03-31,3107.655
2021-04-30,3211.191
2021-05-31,3359.465
2021-06-30,3395.098
2021-07-30,3660.397
2021-08-31,3799.578
2021-09-30,3601.545
2021-10-29,3843.783
2021-11-30,3677.636
2021-12-31,3912.909
2022-01-31,3485.727
2022-02-28,3307.575
2022-03-31,3264.405
2022-04-29,2922.87
2022-05-31,2787.394
2022-06-30,2524.174
2022-07-29,2780.881
2022-08-31,2605.361
2022-09-30,2344.117
2022-10-31,2436.521
2022-11-30,2740.305
2022-12-30,2813.468
2023-01-31,3068.88
2023-02-28,3055.322
2023-03-31,3156.644
2023-04-28,3232.113
2023-05-31,3086.525
2023-06-30,3190.306
2023-07-31,3274.855
2023-08-31,3168.214
2023-09-29,2903.388
2023-10-31,2670.563
2023-11-30,3121.797
2023-12-29,3368.021
2024-01-31,3226.826
2024-02-29,3227.283
2024-03-29,3316.509
2024-04-30,3166.188
2024-05-31,3372.095
2024-06-28,3326.005
2024-07-31,3597.298
2024-08-30,3730.7
2024-09-30,3777.935
2024-10-31,3452.271
2024-11-29,3415.904
2024-12-31,3237.293
2025-01-31,3453.352
2025-02-28,3344.87
2025-03-31,3202.162
2025-04-30,3590.173
2025-05-30,3918.025
2025-06-30,4114.018
2025-07-31,4347.433
2025-08-29,4261.963
2025-09-30,4135.235
