Date,SPAIN IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,377.755
2001-01-02,378.132
2001-01-03,380.664
2001-01-04,401.127
2001-01-05,405.05
2001-01-08,402.708
2001-01-09,394.913
2001-01-10,396.021
2001-01-11,405.208
2001-01-12,415.967
2001-01-15,413.207
2001-01-16,405.248
2001-01-17,416.77
2001-01-18,423.398
2001-01-19,414.759
2001-01-22,418.073
2001-01-23,422.52
2001-01-24,418.329
2001-01-25,414.79
2001-01-26,413.281
2001-01-29,407.083
2001-01-30,410.691
2001-01-31,415.359
2001-02-01,419.237
2001-02-02,404.944
2001-02-05,406.481
2001-02-06,404.414
2001-02-07,401.573
2001-02-08,399.934
2001-02-09,396.304
2001-02-12,404.668
2001-02-13,396.952
2001-02-14,378.722
2001-02-15,379.183
2001-02-16,382.458
2001-02-19,386.98
2001-02-20,372.897
2001-02-21,368.561
2001-02-22,360.127
2001-02-23,356.88
2001-02-26,365.634
2001-02-27,373.217
2001-02-28,372.993
2001-03-01,375.607
2001-03-02,384.4
2001-03-05,387.79
2001-03-06,398.272
2001-03-07,396.177
2001-03-08,390.535
2001-03-09,386.862
2001-03-12,374.426
2001-03-13,370.97
2001-03-14,363.509
2001-03-15,364.637
2001-03-16,353.599
2001-03-19,352.423
2001-03-20,353.106
2001-03-21,335.744
2001-03-22,314.967
2001-03-23,330.021
2001-03-26,343.314
2001-03-27,352.588
2001-03-28,343.432
2001-03-29,342.9
2001-03-30,346.875
2001-04-02,346.152
2001-04-03,334.101
2001-04-04,347.582
2001-04-05,353.74
2001-04-06,354.056
2001-04-09,360.145
2001-04-10,363.423
2001-04-11,363.282
2001-04-12,368.724
2001-04-13,368.724
2001-04-16,364.948
2001-04-17,359.036
2001-04-18,366.743
2001-04-19,374.416
2001-04-20,368.189
2001-04-23,354.04
2001-04-24,358.622
2001-04-25,356.38
2001-04-26,366.051
2001-04-27,367.259
2001-04-30,370.483
2001-05-01,372.447
2001-05-02,367.576
2001-05-03,362.526
2001-05-04,365.36
2001-05-07,365.329
2001-05-08,365.351
2001-05-09,364.904
2001-05-10,370.705
2001-05-11,362.912
2001-05-14,357.739
2001-05-15,362.854
2001-05-16,361.703
2001-05-17,363.132
2001-05-18,362.892
2001-05-21,360.817
2001-05-22,355.287
2001-05-23,352.821
2001-05-24,350.102
2001-05-25,344.099
2001-05-28,348.937
2001-05-29,344.479
2001-05-30,342.556
