Date,SPAIN IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,226.232
1994-06-30,214.471
1994-07-29,225.115
1994-08-31,225.191
1994-09-30,217.678
1994-10-31,223.147
1994-11-30,217.192
1994-12-30,204.627
1995-01-31,202.537
1995-02-28,206.519
1995-03-31,202.937
1995-04-28,223.66
1995-05-31,230.42
1995-06-30,234.295
1995-07-31,248.506
1995-08-31,239.188
1995-09-29,238.246
1995-10-31,234.503
1995-11-30,238.837
1995-12-29,248.432
1996-01-31,242.551
1996-02-29,257.625
1996-03-29,261.069
1996-04-30,266.943
1996-05-31,262.584
1996-06-28,275.581
1996-07-31,263.331
1996-08-30,264.669
1996-09-30,261.839
1996-10-31,264.928
1996-11-29,280.042
1996-12-31,298.787
1997-01-31,290.153
1997-02-28,277.596
1997-03-31,286.444
1997-04-30,298.044
1997-05-30,320.09
1997-06-30,348.514
1997-07-31,334.717
1997-08-29,328.275
1997-09-30,357.402
1997-10-31,322.504
1997-11-28,332.69
1997-12-31,336.366
1998-01-30,360.177
1998-02-27,405.319
1998-03-31,451.375
1998-04-30,460.27
1998-05-29,462.14
1998-06-30,467.361
1998-07-31,500.199
1998-08-31,389.27
1998-09-30,363.807
1998-10-30,427.414
1998-11-30,460.622
1998-12-31,475.564
1999-01-29,460.075
1999-02-26,457.604
1999-03-31,437.834
1999-04-30,447.873
1999-05-31,441.041
1999-06-30,437.257
1999-07-30,419.264
1999-08-31,430.895
1999-09-30,426.889
1999-10-29,426.915
1999-11-30,472.095
1999-12-31,532.821
2000-01-31,522.989
2000-02-29,616.812
2000-03-31,547.256
2000-04-28,489.403
2000-05-31,446.412
2000-06-30,460.179
2000-07-31,449.01
2000-08-31,434.846
2000-09-29,437.315
2000-10-31,403.184
2000-11-30,347.77
2000-12-29,377.755
2001-01-31,415.359
2001-02-28,372.993
2001-03-30,346.875
2001-04-30,370.483
2001-05-31,341.682
2001-06-29,316.153
2001-07-31,307.473
2001-08-31,310.915
2001-09-28,279.302
2001-10-31,294.872
2001-11-30,324.173
2001-12-31,321.401
2002-01-31,302.902
2002-02-28,306.051
2002-03-29,312.372
2002-04-30,320.608
2002-05-31,324.301
2002-06-28,290.12
2002-07-31,266.647
2002-08-30,274.187
2002-09-30,231.05
2002-10-31,271.158
2002-11-29,295.503
2002-12-31,277.573
2003-01-31,280.81
2003-02-28,283.821
2003-03-31,279.957
2003-04-30,322.88
2003-05-30,336.47
2003-06-30,343.832
2003-07-31,348.562
2003-08-29,345.446
2003-09-30,348.771
2003-10-31,369.682
2003-11-28,385.36
2003-12-31,429.252
2004-01-30,441.958
2004-02-27,463.463
2004-03-31,442.193
2004-04-30,435.642
2004-05-31,438.185
2004-06-30,444.524
2004-07-30,442.095
2004-08-31,440.199
2004-09-30,462.337
2004-10-29,502.449
2004-11-30,541.36
2004-12-31,582.352
2005-01-31,572.265
2005-02-28,588.453
2005-03-31,563.39
2005-04-29,548.567
2005-05-31,556.597
2005-06-30,565.045
2005-07-29,591.03
2005-08-31,592.182
2005-09-30,610.373
2005-10-31,589.05
2005-11-30,576.018
2005-12-30,584.195
2006-01-31,623.403
2006-02-28,640.942
2006-03-31,665.61
2006-04-28,698.071
2006-05-31,687.69
2006-06-30,695.251
2006-07-31,715.488
2006-08-31,741.955
2006-09-29,774.371
2006-10-31,822.942
2006-11-30,857.575
2006-12-29,875.587
2007-01-31,899.098
2007-02-28,901.074
2007-03-30,942.749
2007-04-30,957.447
2007-05-31,1000.0
2007-06-29,966.999
2007-07-31,980.991
2007-08-31,963.048
2007-09-28,1013.438
2007-10-31,1131.633
2007-11-30,1146.194
2007-12-31,1086.512
2008-01-31,980.882
2008-02-29,995.21
2008-03-31,1023.977
2008-04-30,1023.292
2008-05-30,1022.883
2008-06-30,931.368
2008-07-31,912.631
2008-08-29,867.012
2008-09-30,767.53
2008-10-31,591.593
2008-11-28,625.051
2008-12-31,703.309
2009-01-30,604.421
2009-02-27,586.949
2009-03-31,617.328
2009-04-30,648.387
2009-05-29,734.1
2009-06-30,750.535
2009-07-31,812.714
2009-08-31,835.426
2009-09-30,897.37
2009-10-30,884.811
2009-11-30,926.042
2009-12-31,911.634
2010-01-29,819.701
2010-02-26,784.455
2010-03-31,807.865
2010-04-30,762.294
2010-05-31,659.166
2010-06-30,651.053
2010-07-30,767.586
2010-08-31,746.105
2010-09-30,851.317
2010-10-29,904.931
2010-11-30,774.03
2010-12-31,837.571
2011-01-31,896.564
2011-02-28,892.063
2011-03-31,944.278
2011-04-29,1025.741
2011-05-31,993.32
2011-06-30,990.296
2011-07-29,950.505
2011-08-31,887.36
2011-09-30,829.069
2011-10-31,909.203
2011-11-30,858.408
2011-12-30,836.307
2012-01-31,845.901
2012-02-29,867.067
2012-03-30,849.22
2012-04-30,768.01
2012-05-31,644.799
2012-06-29,753.957
2012-07-31,762.886
2012-08-31,803.566
2012-09-28,872.051
2012-10-31,904.345
2012-11-30,921.116
2012-12-31,959.592
2013-01-31,993.783
2013-02-28,985.157
2013-03-29,972.027
2013-04-30,1018.936
2013-05-31,983.457
2013-06-28,961.589
2013-07-31,1050.394
2013-08-30,1032.314
2013-09-30,1176.529
2013-10-31,1257.313
2013-11-29,1256.579
2013-12-31,1288.683
2014-01-31,1247.707
2014-02-28,1288.606
2014-03-31,1309.896
2014-04-30,1347.689
2014-05-30,1383.305
2014-06-30,1386.78
2014-07-31,1309.246
2014-08-29,1293.795
2014-09-30,1253.489
2014-10-31,1225.269
2014-11-28,1247.914
2014-12-31,1168.697
2015-01-30,1105.268
2015-02-27,1214.418
2015-03-31,1233.776
2015-04-30,1253.984
2015-05-29,1233.702
