Date,SPAIN IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,236.95
1994-06-30,224.454
1994-07-29,235.189
1994-08-31,235.268
1994-09-30,227.4
1994-10-31,233.101
1994-11-30,226.839
1994-12-30,213.708
1995-01-31,211.138
1995-02-28,215.286
1995-03-31,211.493
1995-04-28,233.064
1995-05-31,240.101
1995-06-30,243.84
1995-07-31,258.288
1995-08-31,248.604
1995-09-29,247.602
1995-10-31,243.7
1995-11-30,248.203
1995-12-29,258.131
1996-01-31,251.618
1996-02-29,267.254
1996-03-29,270.803
1996-04-30,276.822
1996-05-31,272.295
1996-06-28,285.358
1996-07-31,272.456
1996-08-30,273.84
1996-09-30,270.889
1996-10-31,274.031
1996-11-29,289.66
1996-12-31,308.999
1997-01-31,299.722
1997-02-28,286.745
1997-03-31,295.832
1997-04-30,307.732
1997-05-30,330.491
1997-06-30,359.659
1997-07-31,344.974
1997-08-29,338.335
1997-09-30,368.348
1997-10-31,332.294
1997-11-28,342.76
1997-12-31,346.537
1998-01-30,370.713
1998-02-27,417.169
1998-03-31,464.536
1998-04-30,473.591
1998-05-29,475.491
1998-06-30,480.74
1998-07-31,514.338
1998-08-31,400.272
1998-09-30,374.09
1998-10-30,439.495
1998-11-30,473.641
1998-12-31,489.006
1999-01-29,472.937
1999-02-26,470.393
1999-03-31,450.07
1999-04-30,460.378
1999-05-31,453.353
1999-06-30,449.451
1999-07-30,430.801
1999-08-31,442.753
1999-09-30,438.634
1999-10-29,438.58
1999-11-30,484.992
1999-12-31,547.303
2000-01-31,536.876
2000-02-29,633.191
2000-03-31,561.763
2000-04-28,502.376
2000-05-31,458.244
2000-06-30,472.372
2000-07-31,460.674
2000-08-31,446.14
2000-09-29,448.672
2000-10-31,413.544
2000-11-30,356.702
2000-12-29,387.457
2001-01-31,425.782
2001-02-28,382.353
2001-03-30,355.579
2001-04-30,379.596
2001-05-31,350.076
2001-06-29,323.895
2001-07-31,314.815
2001-08-31,318.339
2001-09-28,285.968
2001-10-31,301.759
2001-11-30,331.742
2001-12-31,328.904
2002-01-31,309.784
2002-02-28,312.999
2002-03-29,319.463
2002-04-30,327.693
2002-05-31,331.452
