Date,EUROPE SMALL GROWTH Small Cap
1994-05-31,288.893
1994-06-30,284.461
1994-07-29,292.079
1994-08-31,297.987
1994-09-30,295.002
1994-10-31,300.008
1994-11-30,286.512
1994-12-30,289.933
1995-01-31,287.135
1995-02-28,289.915
1995-03-31,298.342
1995-04-28,301.067
1995-05-31,305.526
1995-06-30,310.481
1995-07-31,321.77
1995-08-31,312.45
1995-09-29,321.892
1995-10-31,315.737
1995-11-30,306.446
1995-12-29,313.82
1996-01-31,314.12
1996-02-29,325.55
1996-03-29,332.832
1996-04-30,337.632
1996-05-31,346.256
1996-06-28,346.715
1996-07-31,340.127
1996-08-30,347.828
1996-09-30,346.352
1996-10-31,358.377
1996-11-29,368.78
1996-12-31,377.776
1997-01-31,380.806
1997-02-28,383.42
1997-03-31,388.89
1997-04-30,374.558
1997-05-30,386.173
1997-06-30,388.178
1997-07-31,386.549
1997-08-29,389.298
1997-09-30,410.713
1997-10-31,406.725
1997-11-28,399.075
1997-12-31,398.636
1998-01-30,408.008
1998-02-27,438.108
1998-03-31,479.6
1998-04-30,499.838
1998-05-29,522.208
1998-06-30,501.819
1998-07-31,507.22
1998-08-31,438.312
1998-09-30,413.414
1998-10-30,428.024
1998-11-30,444.382
1998-12-31,449.27
1999-01-29,452.893
1999-02-26,451.94
1999-03-31,448.518
1999-04-30,458.923
1999-05-31,456.834
1999-06-30,467.302
1999-07-30,489.729
1999-08-31,520.27
1999-09-30,531.067
1999-10-29,543.062
1999-11-30,572.077
1999-12-31,612.597
2000-01-31,638.863
2000-02-29,705.709
2000-03-31,659.493
2000-04-28,583.867
2000-05-31,570.824
2000-06-30,577.536
2000-07-31,565.215
2000-08-31,564.655
2000-09-29,549.144
2000-10-31,490.42
2000-11-30,437.055
2000-12-29,462.776
2001-01-31,464.62
2001-02-28,421.52
2001-03-30,368.51
2001-04-30,385.433
2001-05-31,372.355
2001-06-29,339.714
2001-07-31,330.652
2001-08-31,327.907
2001-09-28,269.138
2001-10-31,288.564
2001-11-30,310.123
