Date,EUROPE SMALL GROWTH Small Cap
2001-01-01,462.863
2001-01-02,461.733
2001-01-03,451.279
2001-01-04,455.472
2001-01-05,452.981
2001-01-08,445.022
2001-01-09,439.215
2001-01-10,437.684
2001-01-11,447.056
2001-01-12,452.415
2001-01-15,451.061
2001-01-16,447.68
2001-01-17,454.283
2001-01-18,462.732
2001-01-19,463.27
2001-01-22,461.706
2001-01-23,461.793
2001-01-24,458.168
2001-01-25,457.168
2001-01-26,455.797
2001-01-29,455.586
2001-01-30,460.27
2001-01-31,464.62
2001-02-01,466.207
2001-02-02,461.387
2001-02-05,459.503
2001-02-06,458.367
2001-02-07,454.15
2001-02-08,449.849
2001-02-09,448.497
2001-02-12,450.471
2001-02-13,447.577
2001-02-14,441.38
2001-02-15,438.467
2001-02-16,438.382
2001-02-19,437.577
2001-02-20,431.987
2001-02-21,426.421
2001-02-22,420.377
2001-02-23,417.33
2001-02-26,421.612
2001-02-27,425.245
2001-02-28,421.52
2001-03-01,418.154
2001-03-02,421.479
2001-03-05,421.171
2001-03-06,429.029
2001-03-07,428.721
2001-03-08,430.884
2001-03-09,426.413
2001-03-12,416.537
2001-03-13,405.056
2001-03-14,393.32
2001-03-15,393.007
2001-03-16,385.497
2001-03-19,381.131
2001-03-20,385.957
2001-03-21,376.232
2001-03-22,359.196
2001-03-23,367.959
2001-03-26,373.703
2001-03-27,376.148
2001-03-28,372.294
2001-03-29,367.234
2001-03-30,368.51
2001-04-02,366.001
2001-04-03,357.459
2001-04-04,359.456
2001-04-05,363.672
2001-04-06,364.504
2001-04-09,363.872
2001-04-10,363.771
2001-04-11,365.51
2001-04-12,370.106
2001-04-13,369.993
2001-04-16,366.972
2001-04-17,364.376
2001-04-18,369.538
2001-04-19,378.604
2001-04-20,382.803
2001-04-23,379.924
2001-04-24,379.532
2001-04-25,381.455
2001-04-26,385.409
2001-04-27,383.718
2001-04-30,385.433
2001-05-01,387.426
2001-05-02,390.776
2001-05-03,389.233
2001-05-04,389.991
2001-05-07,389.755
2001-05-08,387.974
2001-05-09,385.182
2001-05-10,386.339
2001-05-11,384.05
2001-05-14,381.063
2001-05-15,381.97
2001-05-16,382.648
2001-05-17,385.548
2001-05-18,385.895
2001-05-21,387.488
2001-05-22,386.606
2001-05-23,383.675
2001-05-24,381.838
2001-05-25,382.458
2001-05-28,383.263
2001-05-29,378.867
2001-05-30,376.606
2001-05-31,372.355
2001-06-01,371.125
2001-06-04,371.978
2001-06-05,372.824
2001-06-06,370.691
2001-06-07,371.273
2001-06-08,370.402
2001-06-11,365.292
2001-06-12,361.987
2001-06-13,365.076
2001-06-14,364.184
2001-06-15,362.037
2001-06-18,359.351
2001-06-19,356.961
2001-06-20,349.624
2001-06-21,351.076
2001-06-22,350.065
2001-06-25,349.751
2001-06-26,343.782
2001-06-27,342.555
2001-06-28,339.006
2001-06-29,339.714
2001-07-02,340.303
2001-07-03,339.269
2001-07-04,336.907
2001-07-05,330.233
2001-07-06,327.792
2001-07-09,326.754
2001-07-10,328.716
2001-07-11,326.664
2001-07-12,326.79
2001-07-13,325.537
2001-07-16,325.086
2001-07-17,321.279
2001-07-18,326.509
2001-07-19,327.644
2001-07-20,327.398
2001-07-23,325.877
2001-07-24,326.14
2001-07-25,325.744
2001-07-26,325.787
2001-07-27,327.203
2001-07-30,328.508
2001-07-31,330.652
2001-08-01,334.674
2001-08-02,337.945
2001-08-03,338.374
2001-08-06,335.013
2001-08-07,332.155
2001-08-08,329.889
2001-08-09,329.515
2001-08-10,331.193
2001-08-13,331.513
2001-08-14,333.132
2001-08-15,337.079
2001-08-16,336.09
2001-08-17,335.378
2001-08-20,332.352
2001-08-21,333.204
2001-08-22,335.111
2001-08-23,332.439
2001-08-24,334.575
2001-08-27,334.355
2001-08-28,333.523
2001-08-29,332.59
2001-08-30,329.402
2001-08-31,327.907
2001-09-03,323.691
2001-09-04,318.867
2001-09-05,314.941
2001-09-06,309.508
2001-09-07,308.823
2001-09-10,300.705
2001-09-11,292.664
2001-09-12,287.366
2001-09-13,288.663
2001-09-14,283.846
2001-09-17,279.17
2001-09-18,276.619
2001-09-19,276.657
2001-09-20,264.897
2001-09-21,252.264
2001-09-24,259.843
2001-09-25,265.287
2001-09-26,267.748
2001-09-27,266.85
2001-09-28,269.138
2001-10-01,269.615
2001-10-02,269.14
2001-10-03,269.504
2001-10-04,274.052
2001-10-05,275.127
2001-10-08,273.529
2001-10-09,275.087
2001-10-10,275.61
2001-10-11,279.917
2001-10-12,281.414
2001-10-15,280.934
2001-10-16,284.616
2001-10-17,288.654
2001-10-18,285.056
2001-10-19,282.235
2001-10-22,282.293
2001-10-23,284.512
2001-10-24,286.407
2001-10-25,286.885
2001-10-26,289.363
2001-10-29,292.312
2001-10-30,288.379
2001-10-31,288.564
2001-11-01,290.527
2001-11-02,290.449
2001-11-05,291.727
2001-11-06,292.933
2001-11-07,295.191
2001-11-08,296.268
2001-11-09,297.12
2001-11-12,294.872
2001-11-13,296.662
2001-11-14,300.802
2001-11-15,302.293
2001-11-16,304.655
2001-11-19,307.261
2001-11-20,306.819
2001-11-21,304.091
2001-11-22,306.617
2001-11-23,305.739
2001-11-26,309.08
2001-11-27,308.827
2001-11-28,308.045
2001-11-29,307.225
2001-11-30,310.123
2001-12-03,306.715
2001-12-04,308.373
2001-12-05,312.119
2001-12-06,315.617
2001-12-07,316.579
2001-12-10,314.708
2001-12-11,314.803
2001-12-12,315.202
2001-12-13,311.978
2001-12-14,312.219
2001-12-17,314.081
2001-12-18,313.668
2001-12-19,311.565
2001-12-20,310.06
2001-12-21,307.58
2001-12-24,305.483
2001-12-25,305.443
2001-12-26,306.084
2001-12-27,310.785
2001-12-28,310.497
2001-12-31,314.002
2002-01-01,313.963
2002-01-02,318.708
2002-01-03,321.536
2002-01-04,322.238
2002-01-07,322.408
2002-01-08,320.858
2002-01-09,320.793
2002-01-10,320.735
2002-01-11,321.022
2002-01-14,318.987
2002-01-15,317.617
2002-01-16,312.866
2002-01-17,313.421
2002-01-18,313.643
2002-01-21,312.779
2002-01-22,312.374
2002-01-23,312.776
2002-01-24,312.599
2002-01-25,307.487
2002-01-28,306.513
2002-01-29,305.851
2002-01-30,303.863
2002-01-31,305.297
2002-02-01,305.726
2002-02-04,305.875
2002-02-05,303.542
2002-02-06,301.927
2002-02-07,301.694
2002-02-08,302.248
2002-02-11,305.278
2002-02-12,305.175
2002-02-13,303.696
2002-02-14,303.82
2002-02-15,304.444
2002-02-18,302.437
2002-02-19,300.582
2002-02-20,298.49
2002-02-21,299.202
2002-02-22,299.063
2002-02-25,298.509
2002-02-26,300.071
2002-02-27,300.166
2002-02-28,300.107
2002-03-01,301.998
2002-03-04,307.308
2002-03-05,307.205
2002-03-06,308.948
2002-03-07,313.323
2002-03-08,313.322
2002-03-11,313.358
2002-03-12,309.414
2002-03-13,310.47
2002-03-14,313.01
2002-03-15,313.766
2002-03-18,314.157
2002-03-19,314.474
2002-03-20,314.838
2002-03-21,314.626
2002-03-22,315.004
2002-03-25,314.224
2002-03-26,313.266
2002-03-27,313.268
2002-03-28,314.876
2002-03-29,314.847
2002-04-01,317.826
2002-04-02,318.062
2002-04-03,317.097
2002-04-04,316.335
2002-04-05,317.256
2002-04-08,313.291
2002-04-09,314.204
2002-04-10,314.948
2002-04-11,315.639
2002-04-12,313.911
2002-04-15,314.162
2002-04-16,316.57
2002-04-17,319.376
2002-04-18,319.461
2002-04-19,319.117
2002-04-22,317.933
2002-04-23,317.713
2002-04-24,318.339
2002-04-25,318.753
2002-04-26,319.632
2002-04-29,319.473
2002-04-30,318.946
2002-05-01,321.027
2002-05-02,320.213
2002-05-03,322.169
2002-05-06,322.288
2002-05-07,318.902
2002-05-08,320.852
2002-05-09,321.783
2002-05-10,322.553
2002-05-13,321.559
2002-05-14,320.445
2002-05-15,323.008
2002-05-16,323.713
2002-05-17,327.864
2002-05-20,328.403
2002-05-21,326.65
2002-05-22,326.206
2002-05-23,323.276
2002-05-24,323.109
2002-05-27,322.198
2002-05-28,323.968
2002-05-29,322.81
2002-05-30,322.214
2002-05-31,322.423
2002-06-03,322.191
2002-06-04,319.989
2002-06-05,317.272
2002-06-06,319.011
2002-06-07,315.288
2002-06-10,315.686
2002-06-11,316.804
2002-06-12,313.248
2002-06-13,309.888
2002-06-14,302.835
2002-06-17,306.205
2002-06-18,307.193
2002-06-19,304.971
2002-06-20,302.21
2002-06-21,302.286
2002-06-24,298.401
2002-06-25,300.003
2002-06-26,298.705
2002-06-27,301.382
2002-06-28,306.022
2002-07-01,307.279
2002-07-02,300.485
2002-07-03,292.046
2002-07-04,293.518
2002-07-05,298.298
2002-07-08,301.647
2002-07-09,300.74
2002-07-10,294.752
2002-07-11,286.998
2002-07-12,287.871
2002-07-15,284.802
2002-07-16,282.929
2002-07-17,286.572
2002-07-18,290.555
2002-07-19,285.977
2002-07-22,277.343
2002-07-23,269.438
2002-07-24,261.389
2002-07-25,267.471
2002-07-26,263.656
2002-07-29,268.545
2002-07-30,271.774
2002-07-31,270.687
2002-08-01,267.261
2002-08-02,264.522
2002-08-05,258.134
2002-08-06,253.075
2002-08-07,254.927
2002-08-08,256.677
2002-08-09,259.434
2002-08-12,258.537
2002-08-13,258.857
2002-08-14,258.749
2002-08-15,260.013
2002-08-16,261.461
2002-08-19,263.859
2002-08-20,263.763
2002-08-21,267.563
2002-08-22,269.035
2002-08-23,268.391
2002-08-26,268.419
2002-08-27,271.19
2002-08-28,266.883
2002-08-29,264.638
2002-08-30,263.289
2002-09-02,263.035
2002-09-03,260.567
2002-09-04,258.524
2002-09-05,255.658
2002-09-06,256.56
2002-09-09,253.856
2002-09-10,254.928
2002-09-11,256.369
2002-09-12,253.818
2002-09-13,250.918
2002-09-16,248.029
2002-09-17,246.073
2002-09-18,242.235
2002-09-19,239.288
2002-09-20,239.293
2002-09-23,234.651
2002-09-24,228.754
2002-09-25,230.145
2002-09-26,233.421
2002-09-27,234.011
2002-09-30,230.459
2002-10-01,229.012
2002-10-02,228.357
2002-10-03,226.986
2002-10-04,224.355
2002-10-07,221.625
2002-10-08,219.233
2002-10-09,218.163
2002-10-10,217.91
2002-10-11,224.587
2002-10-14,223.797
2002-10-15,232.068
2002-10-16,231.462
2002-10-17,236.085
2002-10-18,236.312
2002-10-21,237.643
2002-10-22,238.288
2002-10-23,235.618
2002-10-24,237.134
2002-10-25,237.312
2002-10-28,241.257
2002-10-29,236.657
2002-10-30,239.785
2002-10-31,244.103
2002-11-01,244.649
2002-11-04,250.852
2002-11-05,251.941
2002-11-06,251.978
2002-11-07,251.981
2002-11-08,251.162
2002-11-11,248.729
2002-11-12,250.21
2002-11-13,248.972
2002-11-14,249.57
2002-11-15,251.239
2002-11-18,254.565
2002-11-19,253.808
2002-11-20,250.912
2002-11-21,255.284
2002-11-22,256.998
2002-11-25,255.11
2002-11-26,253.026
2002-11-27,253.741
2002-11-28,258.53
2002-11-29,259.375
2002-12-02,260.674
2002-12-03,257.299
2002-12-04,255.967
2002-12-05,255.316
2002-12-06,254.037
2002-12-09,251.465
2002-12-10,251.053
2002-12-11,252.429
2002-12-12,251.291
2002-12-13,250.163
2002-12-16,251.025
2002-12-17,251.684
2002-12-18,248.92
2002-12-19,248.029
2002-12-20,249.497
2002-12-23,248.364
2002-12-24,249.835
2002-12-25,249.802
2002-12-26,250.201
2002-12-27,249.235
2002-12-30,250.727
2002-12-31,252.577
2003-01-01,252.551
2003-01-02,253.998
2003-01-03,256.858
2003-01-06,258.637
2003-01-07,257.164
2003-01-08,252.946
2003-01-09,255.404
2003-01-10,257.344
2003-01-13,258.408
2003-01-14,260.151
2003-01-15,258.014
2003-01-16,258.016
2003-01-17,256.988
2003-01-20,255.866
2003-01-21,255.312
2003-01-22,252.716
2003-01-23,253.318
2003-01-24,253.954
2003-01-27,248.089
2003-01-28,246.796
2003-01-29,245.257
2003-01-30,246.515
2003-01-31,245.463
2003-02-03,247.626
2003-02-04,247.032
2003-02-05,246.756
2003-02-06,244.814
2003-02-07,243.428
2003-02-10,241.733
2003-02-11,242.078
2003-02-12,240.177
2003-02-13,241.187
2003-02-14,241.02
2003-02-17,241.929
2003-02-18,242.036
2003-02-19,242.013
2003-02-20,242.682
2003-02-21,242.245
2003-02-24,240.657
2003-02-25,235.542
2003-02-26,235.291
2003-02-27,233.704
2003-02-28,236.69
2003-03-03,239.334
2003-03-04,237.893
2003-03-05,238.131
2003-03-06,237.028
2003-03-07,235.157
2003-03-10,232.409
2003-03-11,231.553
2003-03-12,228.071
2003-03-13,229.744
2003-03-14,231.892
2003-03-17,232.761
2003-03-18,234.153
2003-03-19,235.393
2003-03-20,235.85
2003-03-21,238.628
2003-03-24,236.106
2003-03-25,236.385
2003-03-26,237.212
2003-03-27,236.109
2003-03-28,236.755
2003-03-31,236.093
2003-04-01,236.718
2003-04-02,239.228
2003-04-03,239.897
2003-04-04,239.997
2003-04-07,244.188
2003-04-08,242.988
2003-04-09,244.016
2003-04-10,245.714
2003-04-11,246.511
2003-04-14,248.122
2003-04-15,250.113
2003-04-16,252.281
2003-04-17,253.913
2003-04-18,253.864
2003-04-21,252.308
2003-04-22,255.363
2003-04-23,259.539
2003-04-24,260.438
2003-04-25,259.029
2003-04-28,260.931
2003-04-29,262.566
2003-04-30,266.033
2003-05-01,268.367
2003-05-02,268.847
2003-05-05,271.764
2003-05-06,276.337
2003-05-07,276.307
