Date,EUROPE SMALL GROWTH Small Cap
1994-05-31,282.175
1994-06-30,277.972
1994-07-29,285.531
1994-08-31,291.317
1994-09-30,288.422
1994-10-31,293.323
1994-11-30,280.129
1994-12-30,283.496
1995-01-31,280.766
1995-02-28,283.489
1995-03-31,291.745
1995-04-28,294.465
1995-05-31,298.983
1995-06-30,303.956
1995-07-31,315.133
1995-08-31,306.015
1995-09-29,315.278
1995-10-31,309.255
1995-11-30,300.157
1995-12-29,307.402
1996-01-31,307.708
1996-02-29,318.907
1996-03-29,326.057
1996-04-30,330.853
1996-05-31,339.45
1996-06-28,340.046
1996-07-31,333.657
1996-08-30,341.216
1996-09-30,339.79
1996-10-31,351.59
1996-11-29,361.8
1996-12-31,370.636
1997-01-31,373.616
1997-02-28,376.182
1997-03-31,381.585
1997-04-30,367.631
1997-05-30,379.198
1997-06-30,381.268
1997-07-31,379.735
1997-08-29,382.447
1997-09-30,403.523
1997-10-31,399.613
1997-11-28,392.1
1997-12-31,391.683
1998-01-30,400.9
1998-02-27,430.477
1998-03-31,471.306
1998-04-30,491.373
1998-05-29,513.567
1998-06-30,493.645
1998-07-31,499.059
1998-08-31,431.265
1998-09-30,406.774
1998-10-30,421.15
1998-11-30,437.246
1998-12-31,442.056
1999-01-29,445.625
1999-02-26,444.689
1999-03-31,441.349
1999-04-30,451.648
1999-05-31,449.655
1999-06-30,460.006
1999-07-30,482.108
1999-08-31,512.174
1999-09-30,522.808
1999-10-29,534.617
1999-11-30,563.18
1999-12-31,603.071
2000-01-31,628.936
2000-02-29,694.763
2000-03-31,649.281
2000-04-28,574.864
2000-05-31,562.113
2000-06-30,568.793
2000-07-31,556.694
2000-08-31,556.146
2000-09-29,540.873
2000-10-31,483.034
2000-11-30,430.484
2000-12-29,455.821
2001-01-31,457.65
2001-02-28,415.203
2001-03-30,363.009
2001-04-30,379.878
2001-05-31,367.212
2001-06-29,335.117
2001-07-31,326.224
2001-08-31,323.53
2001-09-28,265.554
2001-10-31,284.74
2001-11-30,306.022
2001-12-31,309.869
2002-01-31,301.291
2002-02-28,296.178
2002-03-29,310.762
2002-04-30,314.924
2002-05-31,318.496
2002-06-28,302.356
2002-07-31,267.48
2002-08-30,260.174
2002-09-30,227.736
2002-10-31,241.236
2002-11-29,256.331
2002-12-31,249.623
2003-01-31,242.623
2003-02-28,233.957
2003-03-31,233.511
2003-04-30,263.319
2003-05-30,291.409
2003-06-30,296.388
2003-07-31,306.192
2003-08-29,315.881
2003-09-30,330.007
2003-10-31,355.75
2003-11-28,366.336
2003-12-31,386.882
2004-01-30,407.888
2004-02-27,426.521
2004-03-31,416.616
2004-04-30,408.779
2004-05-31,412.7
2004-06-30,424.979
2004-07-30,406.048
2004-08-31,402.796
2004-09-30,425.132
2004-10-29,438.576
2004-11-30,473.698
2004-12-31,500.937
2005-01-31,506.354
2005-02-28,532.907
2005-03-31,514.579
2005-04-29,495.639
2005-05-31,500.927
2005-06-30,513.506
2005-07-29,539.927
2005-08-31,558.038
2005-09-30,571.394
2005-10-31,541.279
2005-11-30,553.674
2005-12-30,580.246
2006-01-31,635.565
2006-02-28,650.198
2006-03-31,686.912
2006-04-28,738.876
2006-05-31,710.49
2006-06-30,699.82
2006-07-31,692.254
2006-08-31,718.551
2006-09-29,732.509
2006-10-31,769.169
2006-11-30,817.765
2006-12-29,863.856
2007-01-31,880.131
2007-02-28,886.596
2007-03-30,934.919
2007-04-30,987.529
2007-05-31,1000.0
2007-06-29,991.682
2007-07-31,985.277
2007-08-31,947.913
2007-09-28,970.627
2007-10-31,1035.917
2007-11-30,958.098
2007-12-31,933.817
2008-01-31,819.869
2008-02-29,866.83
2008-03-31,873.335
2008-04-30,898.93
2008-05-30,921.812
2008-06-30,866.114
2008-07-31,816.977
2008-08-29,787.867
2008-09-30,620.83
2008-10-31,444.629
2008-11-28,406.706
2008-12-31,421.422
2009-01-30,401.037
2009-02-27,378.118
2009-03-31,402.2
2009-04-30,472.655
2009-05-29,536.046
2009-06-30,537.596
2009-07-31,577.006
2009-08-31,616.647
2009-09-30,660.425
2009-10-30,658.124
2009-11-30,671.424
2009-12-31,681.282
2010-01-29,673.993
2010-02-26,652.554
2010-03-31,706.812
2010-04-30,716.089
2010-05-31,614.937
2010-06-30,610.502
2010-07-30,686.236
2010-08-31,660.915
2010-09-30,755.849
2010-10-29,802.258
2010-11-30,762.15
2010-12-31,856.51
2011-01-31,862.139
2011-02-28,877.623
2011-03-31,898.66
2011-04-29,971.439
2011-05-31,944.326
2011-06-30,918.687
2011-07-29,887.935
2011-08-31,798.699
2011-09-30,694.627
2011-10-31,771.518
2011-11-30,733.073
2011-12-30,710.413
2012-01-31,777.636
2012-02-29,841.339
2012-03-30,840.502
2012-04-30,854.896
2012-05-31,752.972
2012-06-29,782.811
2012-07-31,796.408
2012-08-31,829.357
2012-09-28,866.557
2012-10-31,876.083
2012-11-30,882.411
2012-12-31,917.839
2013-01-31,957.032
2013-02-28,960.189
2013-03-29,961.677
2013-04-30,977.715
2013-05-31,994.243
2013-06-28,958.225
