Date,NORWAY Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,104.033
1970-02-27,102.299
1970-03-31,107.371
1970-04-30,104.613
1970-05-29,100.616
1970-06-30,105.803
1970-07-31,113.389
1970-08-31,124.906
1970-09-30,128.526
1970-10-30,131.298
1970-11-30,130.519
1970-12-31,134.215
1971-01-29,144.28
1971-02-26,144.716
1971-03-31,130.56
1971-04-30,137.582
1971-05-31,156.007
1971-06-30,177.327
1971-07-30,172.437
1971-08-31,178.525
1971-09-30,166.678
1971-10-29,149.466
1971-11-30,145.535
1971-12-31,159.359
1972-01-31,155.837
1972-02-29,154.391
1972-03-31,160.328
1972-04-28,158.735
1972-05-31,157.287
1972-06-30,177.434
1972-07-31,182.855
1972-08-31,188.296
1972-09-29,178.144
1972-10-31,169.969
1972-11-30,173.358
1972-12-29,173.766
1973-01-31,202.92
1973-02-28,223.079
1973-03-30,255.038
1973-04-30,319.918
1973-05-31,370.715
1973-06-29,400.374
1973-07-31,399.609
1973-08-31,366.123
1973-09-28,371.841
1973-10-31,393.227
1973-11-30,367.698
1973-12-31,397.56
1974-01-31,422.142
1974-02-28,396.334
1974-03-29,379.569
1974-04-30,379.707
1974-05-31,326.68
1974-06-28,312.054
1974-07-31,323.533
1974-08-30,277.113
1974-09-30,226.599
1974-10-31,266.31
1974-11-29,252.85
1974-12-31,238.247
1975-01-31,266.288
1975-02-28,274.995
1975-03-31,264.399
1975-04-30,281.301
1975-05-30,272.85
1975-06-30,268.121
1975-07-31,261.86
1975-08-29,254.547
1975-09-30,208.828
1975-10-31,217.304
1975-11-28,201.33
1975-12-31,202.436
1976-01-30,243.046
1976-02-27,226.046
1976-03-31,216.745
1976-04-30,212.815
1976-05-31,208.65
1976-06-30,223.9
1976-07-30,229.778
1976-08-31,224.128
1976-09-30,230.893
1976-10-29,221.523
1976-11-30,231.084
1976-12-31,232.928
1977-01-31,222.634
1977-02-28,214.313
1977-03-31,216.508
1977-04-29,203.371
1977-05-31,196.643
1977-06-30,200.158
1977-07-29,200.212
1977-08-31,185.045
1977-09-30,192.227
1977-10-31,189.133
1977-11-30,177.499
1977-12-30,178.71
1978-01-31,169.226
1978-02-28,158.387
1978-03-31,160.455
1978-04-28,161.248
1978-05-31,166.551
1978-06-30,156.511
1978-07-31,167.158
