Date,NORWAY Standard (Large+Mid Cap)
2001-01-01,2944.554
2001-01-02,3023.505
2001-01-03,2926.673
2001-01-04,2985.857
2001-01-05,3029.477
2001-01-08,3028.16
2001-01-09,2993.529
2001-01-10,2986.426
2001-01-11,3003.56
2001-01-12,2997.638
2001-01-15,2975.036
2001-01-16,2949.447
2001-01-17,2972.786
2001-01-18,2986.267
2001-01-19,2944.927
2001-01-22,2927.961
2001-01-23,2925.885
2001-01-24,2903.72
2001-01-25,2887.674
2001-01-26,2915.63
2001-01-29,2898.757
2001-01-30,2960.77
2001-01-31,2996.611
2001-02-01,3046.225
2001-02-02,3038.497
2001-02-05,3047.532
2001-02-06,3065.622
2001-02-07,3055.855
2001-02-08,3019.773
2001-02-09,3015.145
2001-02-12,2973.378
2001-02-13,2957.982
2001-02-14,2912.125
2001-02-15,2868.063
2001-02-16,2904.429
2001-02-19,2955.912
2001-02-20,2902.088
2001-02-21,2899.316
2001-02-22,2909.163
2001-02-23,2911.197
2001-02-26,2935.7
2001-02-27,2961.088
2001-02-28,2947.352
2001-03-01,2917.13
2001-03-02,2942.604
2001-03-05,2966.7
2001-03-06,3054.7
2001-03-07,3021.279
2001-03-08,3052.946
2001-03-09,3045.706
2001-03-12,2980.283
2001-03-13,2895.398
2001-03-14,2791.209
2001-03-15,2812.814
2001-03-16,2754.519
2001-03-19,2738.02
2001-03-20,2787.481
2001-03-21,2744.564
2001-03-22,2636.107
2001-03-23,2646.55
2001-03-26,2687.341
2001-03-27,2733.417
2001-03-28,2696.691
2001-03-29,2672.893
2001-03-30,2714.256
2001-04-02,2713.59
2001-04-03,2677.378
2001-04-04,2696.614
2001-04-05,2754.626
2001-04-06,2765.764
2001-04-09,2769.525
2001-04-10,2820.469
2001-04-11,2832.974
2001-04-12,2859.869
2001-04-13,2859.869
2001-04-16,2830.745
2001-04-17,2819.366
2001-04-18,2829.977
2001-04-19,2832.298
2001-04-20,2844.979
2001-04-23,2845.0
2001-04-24,2873.086
2001-04-25,2873.646
2001-04-26,2890.64
2001-04-27,2916.848
2001-04-30,2923.479
2001-05-01,2940.742
2001-05-02,2930.476
2001-05-03,2888.21
2001-05-04,2896.909
2001-05-07,2925.699
2001-05-08,2921.328
2001-05-09,2905.381
2001-05-10,2940.663
2001-05-11,2945.761
2001-05-14,2884.323
2001-05-15,2919.384
2001-05-16,2926.998
2001-05-17,2927.288
2001-05-18,2985.123
2001-05-21,3052.696
2001-05-22,3017.125
2001-05-23,2981.664
2001-05-24,2983.088
2001-05-25,3015.359
2001-05-28,3018.137
2001-05-29,2968.713
2001-05-30,2953.482
2001-05-31,2909.669
2001-06-01,2890.477
2001-06-04,2894.574
2001-06-05,2916.906
2001-06-06,2924.399
2001-06-07,2928.938
2001-06-08,2925.54
2001-06-11,2867.934
2001-06-12,2828.421
2001-06-13,2892.188
2001-06-14,2861.204
2001-06-15,2852.091
2001-06-18,2858.993
2001-06-19,2894.434
2001-06-20,2864.649
2001-06-21,2835.677
2001-06-22,2860.769
2001-06-25,2868.859
2001-06-26,2830.649
2001-06-27,2828.576
2001-06-28,2814.094
2001-06-29,2808.24
2001-07-02,2821.208
2001-07-03,2832.239
2001-07-04,2830.209
2001-07-05,2794.387
2001-07-06,2798.351
2001-07-09,2820.793
2001-07-10,2819.317
2001-07-11,2814.931
2001-07-12,2806.634
2001-07-13,2762.298
2001-07-16,2726.53
2001-07-17,2690.325
2001-07-18,2718.506
2001-07-19,2772.264
2001-07-20,2770.184
2001-07-23,2781.368
2001-07-24,2764.111
2001-07-25,2737.475
2001-07-26,2757.291
2001-07-27,2772.764
2001-07-30,2790.044
2001-07-31,2781.224
2001-08-01,2797.066
2001-08-02,2810.627
2001-08-03,2804.829
2001-08-06,2779.342
2001-08-07,2765.034
2001-08-08,2754.669
2001-08-09,2778.002
2001-08-10,2792.571
2001-08-13,2791.563
2001-08-14,2807.122
2001-08-15,2820.164
2001-08-16,2824.349
2001-08-17,2807.847
2001-08-20,2762.774
2001-08-21,2782.432
2001-08-22,2816.44
2001-08-23,2771.515
2001-08-24,2800.354
2001-08-27,2783.413
2001-08-28,2785.524
2001-08-29,2757.802
2001-08-30,2750.256
2001-08-31,2740.915
2001-09-03,2734.123
2001-09-04,2745.724
2001-09-05,2755.282
2001-09-06,2750.044
2001-09-07,2736.554
2001-09-10,2653.29
2001-09-11,2744.584
2001-09-12,2597.513
2001-09-13,2627.839
2001-09-14,2605.003
2001-09-17,2571.994
2001-09-18,2526.402
2001-09-19,2489.141
2001-09-20,2366.808
2001-09-21,2198.51
2001-09-24,2276.863
2001-09-25,2336.617
2001-09-26,2324.153
2001-09-27,2334.215
2001-09-28,2334.946
2001-10-01,2303.756
2001-10-02,2312.452
2001-10-03,2301.157
2001-10-04,2311.689
2001-10-05,2296.986
2001-10-08,2283.35
2001-10-09,2309.362
2001-10-10,2317.244
2001-10-11,2351.217
2001-10-12,2344.238
2001-10-15,2308.782
2001-10-16,2330.371
2001-10-17,2385.405
2001-10-18,2329.671
2001-10-19,2280.385
2001-10-22,2295.368
2001-10-23,2335.944
2001-10-24,2354.743
2001-10-25,2328.076
2001-10-26,2376.59
2001-10-29,2404.358
2001-10-30,2390.338
2001-10-31,2366.961
2001-11-01,2363.386
2001-11-02,2349.571
2001-11-05,2386.48
2001-11-06,2394.989
2001-11-07,2425.858
2001-11-08,2437.078
2001-11-09,2467.986
2001-11-12,2418.596
2001-11-13,2450.354
2001-11-14,2481.77
2001-11-15,2428.034
2001-11-16,2404.388
2001-11-19,2397.332
2001-11-20,2421.124
2001-11-21,2394.573
2001-11-22,2435.481
2001-11-23,2408.335
2001-11-26,2415.451
2001-11-27,2435.708
2001-11-28,2444.283
2001-11-29,2451.564
2001-11-30,2481.351
2001-12-03,2458.294
2001-12-04,2491.562
2001-12-05,2516.553
2001-12-06,2532.728
2001-12-07,2527.846
2001-12-10,2508.896
2001-12-11,2509.398
2001-12-12,2539.711
2001-12-13,2503.765
2001-12-14,2516.349
2001-12-17,2495.358
2001-12-18,2510.512
2001-12-19,2481.416
2001-12-20,2507.819
2001-12-21,2513.735
2001-12-24,2481.64
2001-12-25,2481.64
2001-12-26,2485.011
2001-12-27,2575.225
2001-12-28,2581.468
2001-12-31,2600.205
2002-01-01,2600.205
2002-01-02,2633.946
2002-01-03,2653.206
2002-01-04,2666.672
2002-01-07,2655.184
2002-01-08,2609.285
2002-01-09,2629.417
2002-01-10,2623.888
2002-01-11,2617.462
2002-01-14,2620.147
2002-01-15,2548.649
2002-01-16,2503.35
2002-01-17,2526.641
2002-01-18,2511.406
2002-01-21,2506.426
2002-01-22,2523.056
2002-01-23,2514.753
2002-01-24,2546.81
2002-01-25,2505.977
2002-01-28,2520.774
2002-01-29,2519.785
2002-01-30,2485.228
2002-01-31,2500.85
2002-02-01,2498.992
2002-02-04,2514.834
2002-02-05,2493.633
2002-02-06,2503.832
2002-02-07,2499.588
2002-02-08,2488.073
2002-02-11,2512.892
2002-02-12,2509.217
2002-02-13,2520.906
2002-02-14,2540.312
2002-02-15,2549.153
2002-02-18,2538.004
2002-02-19,2526.878
2002-02-20,2513.967
2002-02-21,2528.494
2002-02-22,2563.326
2002-02-25,2556.604
2002-02-26,2570.844
2002-02-27,2600.344
2002-02-28,2596.226
2002-03-01,2600.809
2002-03-04,2631.646
2002-03-05,2653.022
2002-03-06,2659.091
2002-03-07,2733.584
2002-03-08,2768.364
2002-03-11,2744.985
2002-03-12,2734.797
2002-03-13,2729.122
2002-03-14,2757.799
2002-03-15,2763.812
2002-03-18,2774.723
2002-03-19,2812.493
2002-03-20,2797.461
2002-03-21,2826.364
2002-03-22,2816.274
2002-03-25,2803.711
2002-03-26,2808.949
2002-03-27,2816.539
2002-03-28,2817.958
2002-03-29,2817.958
2002-04-01,2839.224
2002-04-02,2870.455
2002-04-03,2888.696
2002-04-04,2850.405
2002-04-05,2841.948
2002-04-08,2825.858
2002-04-09,2821.793
2002-04-10,2802.66
2002-04-11,2824.753
2002-04-12,2815.462
2002-04-15,2817.427
2002-04-16,2848.191
2002-04-17,2869.562
2002-04-18,2890.243
2002-04-19,2877.832
2002-04-22,2859.448
2002-04-23,2847.034
2002-04-24,2854.618
2002-04-25,2837.181
2002-04-26,2836.922
2002-04-29,2821.014
2002-04-30,2840.056
2002-05-01,2857.563
2002-05-02,2928.553
2002-05-03,2955.03
2002-05-06,2934.871
2002-05-07,2889.554
2002-05-08,2949.553
2002-05-09,2954.757
2002-05-10,2981.834
2002-05-13,2986.264
2002-05-14,2996.47
2002-05-15,2998.57
2002-05-16,3028.74
2002-05-17,3061.108
2002-05-20,3070.125
2002-05-21,3038.286
2002-05-22,3041.424
2002-05-23,3027.566
2002-05-24,3025.798
2002-05-27,3007.371
2002-05-28,3029.47
2002-05-29,2960.407
2002-05-30,2952.731
2002-05-31,2919.84
2002-06-03,2931.904
2002-06-04,2872.238
2002-06-05,2854.472
2002-06-06,2898.908
2002-06-07,2815.799
2002-06-10,2833.51
2002-06-11,2878.568
2002-06-12,2893.841
2002-06-13,2899.317
2002-06-14,2816.513
2002-06-17,2880.853
2002-06-18,2903.736
2002-06-19,2911.107
2002-06-20,2855.582
2002-06-21,2843.729
2002-06-24,2801.137
2002-06-25,2816.112
2002-06-26,2727.014
2002-06-27,2810.303
2002-06-28,2836.506
2002-07-01,2868.007
2002-07-02,2851.784
2002-07-03,2804.072
2002-07-04,2804.519
2002-07-05,2849.949
2002-07-08,2903.747
2002-07-09,2911.085
2002-07-10,2863.742
2002-07-11,2841.223
2002-07-12,2792.545
2002-07-15,2820.927
2002-07-16,2804.028
2002-07-17,2844.824
2002-07-18,2843.31
2002-07-19,2789.736
2002-07-22,2644.09
2002-07-23,2500.531
2002-07-24,2356.154
2002-07-25,2472.537
2002-07-26,2460.907
2002-07-29,2486.142
