Date,NORWAY Standard (Large+Mid Cap)
2001-01-01,2344.816
2001-01-02,2407.686
2001-01-03,2330.577
2001-01-04,2377.707
2001-01-05,2412.442
2001-01-08,2411.394
2001-01-09,2383.816
2001-01-10,2378.159
2001-01-11,2391.804
2001-01-12,2387.088
2001-01-15,2369.089
2001-01-16,2348.712
2001-01-17,2367.298
2001-01-18,2378.033
2001-01-19,2345.113
2001-01-22,2331.603
2001-01-23,2329.949
2001-01-24,2312.299
2001-01-25,2299.521
2001-01-26,2321.783
2001-01-29,2308.347
2001-01-30,2357.729
2001-01-31,2386.27
2001-02-01,2425.779
2001-02-02,2419.625
2001-02-05,2426.82
2001-02-06,2441.225
2001-02-07,2433.447
2001-02-08,2404.714
2001-02-09,2401.029
2001-02-12,2367.769
2001-02-13,2355.509
2001-02-14,2318.992
2001-02-15,2283.905
2001-02-16,2312.863
2001-02-19,2353.861
2001-02-20,2310.999
2001-02-21,2308.792
2001-02-22,2316.634
2001-02-23,2318.253
2001-02-26,2337.765
2001-02-27,2357.983
2001-02-28,2347.044
2001-03-01,2322.978
2001-03-02,2343.263
2001-03-05,2362.452
2001-03-06,2432.528
2001-03-07,2405.914
2001-03-08,2431.131
2001-03-09,2425.366
2001-03-12,2373.268
2001-03-13,2305.672
2001-03-14,2222.704
2001-03-15,2239.909
2001-03-16,2193.487
2001-03-19,2180.348
2001-03-20,2219.735
2001-03-21,2185.559
2001-03-22,2099.193
2001-03-23,2107.508
2001-03-26,2139.991
2001-03-27,2176.683
2001-03-28,2147.437
2001-03-29,2128.486
2001-03-30,2161.424
2001-04-02,2160.894
2001-04-03,2132.058
2001-04-04,2147.375
2001-04-05,2193.572
2001-04-06,2202.441
2001-04-09,2205.436
2001-04-10,2246.004
2001-04-11,2255.962
2001-04-12,2277.379
2001-04-13,2277.379
2001-04-16,2254.187
2001-04-17,2245.126
2001-04-18,2253.575
2001-04-19,2255.101
2001-04-20,2265.139
2001-04-23,2265.157
2001-04-24,2287.518
2001-04-25,2287.964
2001-04-26,2300.42
2001-04-27,2318.247
2001-04-30,2323.517
2001-05-01,2337.237
2001-05-02,2329.078
2001-05-03,2291.32
2001-05-04,2296.034
2001-05-07,2318.852
2001-05-08,2315.388
2001-05-09,2302.749
2001-05-10,2330.712
2001-05-11,2333.734
2001-05-14,2285.061
2001-05-15,2312.838
2001-05-16,2318.64
2001-05-17,2318.87
2001-05-18,2364.684
2001-05-21,2418.213
2001-05-22,2388.873
2001-05-23,2360.752
2001-05-24,2361.879
2001-05-25,2387.43
2001-05-28,2389.63
2001-05-29,2350.498
2001-05-30,2338.439
2001-05-31,2303.749
2001-06-01,2288.554
2001-06-04,2291.798
2001-06-05,2309.479
2001-06-06,2315.412
2001-06-07,2319.006
2001-06-08,2316.316
2001-06-11,2270.705
2001-06-12,2239.421
2001-06-13,2289.909
2001-06-14,2265.377
2001-06-15,2258.162
2001-06-18,2263.627
2001-06-19,2291.687
2001-06-20,2268.105
2001-06-21,2245.166
2001-06-22,2265.032
2001-06-25,2271.438
2001-06-26,2241.185
2001-06-27,2239.543
2001-06-28,2228.077
2001-06-29,2223.442
2001-07-02,2233.71
2001-07-03,2242.444
2001-07-04,2240.837
2001-07-05,2212.474
2001-07-06,2215.613
2001-07-09,2233.381
2001-07-10,2232.212
2001-07-11,2228.74
2001-07-12,2222.171
2001-07-13,2187.067
2001-07-16,2158.748
2001-07-17,2130.082
2001-07-18,2152.395
2001-07-19,2194.958
2001-07-20,2193.312
2001-07-23,2202.166
2001-07-24,2188.503
2001-07-25,2167.414
2001-07-26,2183.103
2001-07-27,2195.354
2001-07-30,2209.036
2001-07-31,2202.052
2001-08-01,2214.596
2001-08-02,2225.332
2001-08-03,2220.742
2001-08-06,2200.562
2001-08-07,2189.234
2001-08-08,2181.027
2001-08-09,2199.501
2001-08-10,2211.036
2001-08-13,2210.238
2001-08-14,2222.557
2001-08-15,2232.884
2001-08-16,2236.197
2001-08-17,2223.131
2001-08-20,2187.445
2001-08-21,2203.008
2001-08-22,2229.935
2001-08-23,2194.365
2001-08-24,2217.198
2001-08-27,2203.785
2001-08-28,2205.456
2001-08-29,2183.508
2001-08-30,2177.533
2001-08-31,2170.138
2001-09-03,2164.76
2001-09-04,2173.509
2001-09-05,2181.075
2001-09-06,2176.929
2001-09-07,2166.25
2001-09-10,2100.338
2001-09-11,2172.607
2001-09-12,2056.185
2001-09-13,2080.191
2001-09-14,2062.115
2001-09-17,2035.985
2001-09-18,1999.894
2001-09-19,1970.398
2001-09-20,1873.56
2001-09-21,1740.335
2001-09-24,1802.359
2001-09-25,1849.661
2001-09-26,1839.794
2001-09-27,1847.759
2001-09-28,1848.338
2001-10-01,1823.648
2001-10-02,1830.532
2001-10-03,1821.591
2001-10-04,1829.928
2001-10-05,1818.289
2001-10-08,1807.495
2001-10-09,1828.085
2001-10-10,1834.325
2001-10-11,1861.218
2001-10-12,1855.693
2001-10-15,1827.626
2001-10-16,1844.716
2001-10-17,1888.281
2001-10-18,1844.162
2001-10-19,1805.147
2001-10-22,1817.008
2001-10-23,1849.128
2001-10-24,1864.009
2001-10-25,1842.9
2001-10-26,1881.303
2001-10-29,1903.284
2001-10-30,1892.186
2001-10-31,1873.681
2001-11-01,1870.851
2001-11-02,1859.915
2001-11-05,1889.132
2001-11-06,1895.868
2001-11-07,1920.304
2001-11-08,1929.185
2001-11-09,1953.652
2001-11-12,1914.555
2001-11-13,1939.695
2001-11-14,1964.564
2001-11-15,1922.026
2001-11-16,1903.308
2001-11-19,1897.614
2001-11-20,1916.447
2001-11-21,1895.43
2001-11-22,1927.811
2001-11-23,1906.324
2001-11-26,1911.956
2001-11-27,1927.991
2001-11-28,1934.778
2001-11-29,1940.542
2001-11-30,1964.12
2001-12-03,1945.869
2001-12-04,1972.202
2001-12-05,1991.984
2001-12-06,2004.787
2001-12-07,2000.923
2001-12-10,1985.923
2001-12-11,1986.321
2001-12-12,2010.314
2001-12-13,1981.861
2001-12-14,1991.823
2001-12-17,1975.207
2001-12-18,1987.202
2001-12-19,1964.171
2001-12-20,1985.071
2001-12-21,1989.753
2001-12-24,1964.349
