Date,NORWAY Standard (Large+Mid Cap)
1981-02-27,359.295
1981-03-31,347.4
1981-04-30,331.688
1981-05-29,288.337
1981-06-30,280.039
1981-07-31,320.242
1981-08-31,328.054
1981-09-30,306.537
1981-10-30,336.981
1981-11-30,359.074
1981-12-31,332.148
1982-01-29,331.629
1982-02-26,300.553
1982-03-31,264.626
1982-04-30,287.562
1982-05-31,292.732
1982-06-30,257.98
1982-07-30,250.621
1982-08-31,254.753
1982-09-30,229.842
1982-10-29,232.752
1982-11-30,224.662
1982-12-31,235.163
1983-01-31,262.025
1983-02-28,287.221
1983-03-31,297.858
1983-04-29,363.52
1983-05-31,361.057
1983-06-30,371.534
1983-07-29,409.192
1983-08-31,409.535
1983-09-30,424.964
1983-10-31,400.946
1983-11-30,411.711
1983-12-30,424.306
1984-01-31,473.854
1984-02-29,496.173
1984-03-30,518.48
1984-04-30,548.954
1984-05-31,529.236
1984-06-29,445.943
1984-07-31,435.132
1984-08-31,485.063
1984-09-28,445.808
1984-10-31,455.327
1984-11-30,429.355
1984-12-31,424.61
1985-01-31,482.939
1985-02-28,449.029
1985-03-29,454.451
1985-04-30,490.529
1985-05-31,501.996
1985-06-28,476.529
1985-07-31,548.506
1985-08-30,551.0
1985-09-30,599.157
1985-10-31,694.046
1985-11-29,731.961
1985-12-31,715.897
1986-01-31,698.32
1986-02-28,715.31
1986-03-31,677.861
1986-04-30,670.371
1986-05-30,641.66
1986-06-30,701.575
1986-07-31,634.056
1986-08-29,720.634
1986-09-30,706.341
1986-10-31,706.438
1986-11-28,723.589
1986-12-31,697.845
1987-01-30,754.961
1987-02-27,802.855
1987-03-31,875.411
1987-04-30,937.556
1987-05-29,933.386
1987-06-30,960.476
1987-07-31,1072.306
1987-08-31,1189.859
1987-09-30,1211.425
1987-10-30,873.561
1987-11-30,726.376
1987-12-31,737.388
1988-01-29,727.076
1988-02-29,787.684
1988-03-31,891.859
1988-04-29,924.498
1988-05-31,877.385
1988-06-30,889.847
1988-07-29,884.708
1988-08-31,793.144
1988-09-30,830.925
1988-10-31,889.227
1988-11-30,954.2
1988-12-30,1050.023
1989-01-31,1185.061
1989-02-28,1220.906
1989-03-31,1308.126
1989-04-28,1417.791
1989-05-31,1344.457
1989-06-30,1351.678
1989-07-31,1400.679
1989-08-31,1400.918
1989-09-29,1426.097
1989-10-31,1258.249
1989-11-30,1361.782
1989-12-29,1528.056
1990-01-31,1685.597
1990-02-28,1808.55
1990-03-30,1827.41
1990-04-30,1713.664
1990-05-31,1875.925
1990-06-29,1821.628
1990-07-31,2031.921
1990-08-31,1914.251
1990-09-28,1740.583
1990-10-31,1667.399
1990-11-30,1660.512
1990-12-31,1537.986
1991-01-31,1449.688
1991-02-28,1581.636
1991-03-29,1483.457
1991-04-30,1388.891
1991-05-31,1521.949
1991-06-28,1363.428
1991-07-31,1443.999
1991-08-30,1492.993
1991-09-30,1459.384
1991-10-31,1349.333
1991-11-29,1139.112
1991-12-31,1299.661
1992-01-31,1326.213
1992-02-28,1199.085
1992-03-31,1276.912
1992-04-30,1345.878
1992-05-29,1425.63
1992-06-30,1319.1
1992-07-31,1281.701
1992-08-31,1128.452
1992-09-30,1084.04
1992-10-30,1023.229
1992-11-30,1023.696
1992-12-31,1009.978
1993-01-29,1051.679
1993-02-26,1046.335
1993-03-31,1164.828
1993-04-30,1222.859
1993-05-31,1207.961
1993-06-30,1157.276
1993-07-30,1204.102
1993-08-31,1318.904
1993-09-30,1293.612
1993-10-29,1440.257
1993-11-30,1336.97
1993-12-31,1434.619
1994-01-31,1622.398
1994-02-28,1672.368
1994-03-31,1549.514
1994-04-29,1556.42
1994-05-31,1576.099
1994-06-30,1502.564
1994-07-29,1688.742
1994-08-31,1690.497
1994-09-30,1587.849
1994-10-31,1677.668
1994-11-30,1648.981
1994-12-30,1772.759
1995-01-31,1788.85
1995-02-28,1723.544
1995-03-31,1698.747
1995-04-28,1840.849
1995-05-31,1812.088
1995-06-30,1899.425
1995-07-31,1985.112
1995-08-31,1870.451
1995-09-29,1937.282
1995-10-31,1843.036
1995-11-30,1832.702
1995-12-29,1879.459
1996-01-31,1844.497
1996-02-29,1903.752
1996-03-29,1939.488
1996-04-30,2056.027
1996-05-31,2079.746
1996-06-28,2083.861
1996-07-31,1986.687
1996-08-30,2039.455
1996-09-30,2051.04
1996-10-31,2127.516
1996-11-29,2282.137
1996-12-31,2417.455
1997-01-31,2544.354
1997-02-28,2427.006
1997-03-31,2499.494
1997-04-30,2385.976
1997-05-30,2484.351
1997-06-30,2552.329
1997-07-31,2588.899
1997-08-29,2600.454
1997-09-30,2884.911
1997-10-31,2797.371
1997-11-28,2606.445
1997-12-31,2568.408
1998-01-30,2368.655
1998-02-27,2428.067
1998-03-31,2631.177
1998-04-30,2774.313
1998-05-29,2552.653
1998-06-30,2464.897
1998-07-31,2502.741
1998-08-31,1807.489
1998-09-30,1735.993
1998-10-30,2027.707
1998-11-30,1889.942
1998-12-31,1796.433
1999-01-29,1982.627
1999-02-26,1801.449
1999-03-31,1978.338
1999-04-30,2136.451
1999-05-31,2017.501
1999-06-30,1982.633
1999-07-30,2068.045
1999-08-31,2150.993
1999-09-30,2197.641
1999-10-29,2090.709
1999-11-30,2142.82
1999-12-31,2365.822
2000-01-31,2176.725
2000-02-29,2179.634
2000-03-31,2197.13
2000-04-28,2067.447
2000-05-31,2152.617
2000-06-30,2330.738
2000-07-31,2306.398
2000-08-31,2444.711
2000-09-29,2394.414
2000-10-31,2330.363
2000-11-30,2245.783
2000-12-29,2344.816
2001-01-31,2386.27
2001-02-28,2347.044
2001-03-30,2161.424
2001-04-30,2323.517
2001-05-31,2303.749
2001-06-29,2223.442
2001-07-31,2202.052
2001-08-31,2170.138
2001-09-28,1848.338
2001-10-31,1873.681
