Date,JAPAN SMID VALUE SMID (Small+Mid Cap)
1994-05-31,808.395
1994-06-30,872.003
1994-07-29,848.82
1994-08-31,841.089
1994-09-30,818.01
1994-10-31,829.034
1994-11-30,773.083
1994-12-30,789.855
1995-01-31,766.959
1995-02-28,715.586
1995-03-31,767.349
1995-04-28,789.352
1995-05-31,730.467
1995-06-30,697.022
1995-07-31,736.089
1995-08-31,717.731
1995-09-29,706.659
1995-10-31,676.637
1995-11-30,705.518
1995-12-29,743.416
1996-01-31,750.575
1996-02-29,743.264
1996-03-29,763.428
1996-04-30,838.026
1996-05-31,803.032
1996-06-28,804.725
1996-07-31,769.98
1996-08-30,733.442
1996-09-30,737.332
1996-10-31,690.723
1996-11-29,673.631
1996-12-31,614.1
1997-01-31,554.813
1997-02-28,553.911
1997-03-31,525.063
1997-04-30,521.844
1997-05-30,590.565
1997-06-30,611.741
1997-07-31,558.436
1997-08-29,500.47
1997-09-30,452.44
1997-10-31,451.674
1997-11-28,387.068
1997-12-31,332.699
1998-01-30,397.58
1998-02-27,413.081
1998-03-31,387.125
1998-04-30,371.494
1998-05-29,358.068
1998-06-30,362.433
1998-07-31,357.37
1998-08-31,330.079
1998-09-30,325.02
1998-10-30,368.345
1998-11-30,381.681
1998-12-31,397.92
1999-01-29,395.628
1999-02-26,387.246
1999-03-31,433.778
1999-04-30,459.743
1999-05-31,445.511
1999-06-30,479.082
1999-07-30,514.457
1999-08-31,531.53
1999-09-30,550.447
1999-10-29,540.903
1999-11-30,522.781
1999-12-31,496.01
2000-01-31,502.347
2000-02-29,475.52
2000-03-31,525.253
2000-04-28,493.068
2000-05-31,511.12
2000-06-30,569.458
2000-07-31,506.519
2000-08-31,535.92
2000-09-29,520.033
2000-10-31,488.693
2000-11-30,491.592
2000-12-29,462.623
2001-01-31,452.822
2001-02-28,451.634
2001-03-30,438.791
2001-04-30,485.405
2001-05-31,491.863
2001-06-29,477.611
2001-07-31,450.543
2001-08-31,456.131
2001-09-28,424.035
2001-10-31,424.411
2001-11-30,404.877
2001-12-31,370.949
2002-01-31,350.998
2002-02-28,371.024
2002-03-29,385.117
2002-04-30,404.545
2002-05-31,444.675
2002-06-28,428.754
2002-07-31,416.285
2002-08-30,412.54
2002-09-30,403.424
2002-10-31,373.532
2002-11-29,375.165
2002-12-31,376.363
2003-01-31,371.465
2003-02-28,387.043
2003-03-31,383.401
2003-04-30,393.661
2003-05-30,407.291
2003-06-30,438.511
2003-07-31,446.293
2003-08-29,491.878
2003-09-30,533.575
2003-10-31,558.855
2003-11-28,533.632
2003-12-31,574.954
2004-01-30,590.232
2004-02-27,597.72
2004-03-31,705.617
2004-04-30,671.601
2004-05-31,652.674
2004-06-30,709.15
2004-07-30,667.915
2004-08-31,672.829
2004-09-30,663.984
2004-10-29,675.857
2004-11-30,707.749
2004-12-31,744.187
2005-01-31,762.2
2005-02-28,782.113
2005-03-31,784.638
2005-04-29,773.275
2005-05-31,757.38
2005-06-30,763.758
2005-07-29,774.271
2005-08-31,809.497
2005-09-30,870.778
2005-10-31,883.535
2005-11-30,895.925
2005-12-30,975.328
2006-01-31,1017.579
2006-02-28,989.88
2006-03-31,1023.085
2006-04-28,1043.904
2006-05-31,988.429
2006-06-30,965.339
2006-07-31,943.776
2006-08-31,955.642
2006-09-29,945.678
2006-10-31,940.589
2006-11-30,943.257
2006-12-29,955.479
2007-01-31,975.742
2007-02-28,1029.17
2007-03-30,1020.402
2007-04-30,1009.349
2007-05-31,1000.0
2007-06-29,989.356
2007-07-31,980.234
2007-08-31,952.741
2007-09-28,964.169
2007-10-31,965.619
2007-11-30,942.609
2007-12-31,905.264
2008-01-31,884.686
2008-02-29,883.271
2008-03-31,882.551
2008-04-30,901.906
2008-05-30,926.396
2008-06-30,861.105
2008-07-31,832.676
2008-08-29,795.411
2008-09-30,725.02
2008-10-31,631.68
2008-11-28,660.823
2008-12-31,712.691
2009-01-30,665.929
2009-02-27,572.519
2009-03-31,614.517
2009-04-30,665.809
2009-05-29,742.854
2009-06-30,791.47
2009-07-31,804.975
2009-08-31,852.912
2009-09-30,835.13
2009-10-30,800.632
2009-11-30,771.782
2009-12-31,761.532
2010-01-29,779.804
2010-02-26,798.767
2010-03-31,840.858
2010-04-30,864.085
2010-05-31,798.805
2010-06-30,799.194
2010-07-30,810.672
2010-08-31,791.011
2010-09-30,822.333
2010-10-29,825.33
2010-11-30,839.975
2010-12-31,924.325
2011-01-31,929.411
2011-02-28,966.676
2011-03-31,901.536
2011-04-29,898.713
2011-05-31,879.902
2011-06-30,906.667
2011-07-29,945.535
2011-08-31,903.374
2011-09-30,913.757
2011-10-31,880.521
2011-11-30,848.966
2011-12-30,865.317
2012-01-31,906.994
2012-02-29,928.047
2012-03-30,949.881
2012-04-30,919.756
2012-05-31,835.712
2012-06-29,874.546
2012-07-31,847.76
2012-08-31,831.554
2012-09-28,853.139
2012-10-31,839.065
2012-11-30,855.458
2012-12-31,916.027
2013-01-31,936.157
2013-02-28,973.75
2013-03-29,1045.541
2013-04-30,1132.484
2013-05-31,1050.821
2013-06-28,1057.029
2013-07-31,1069.86
2013-08-30,1052.008
2013-09-30,1162.304
2013-10-31,1156.238
2013-11-29,1160.693
2013-12-31,1170.257
2014-01-31,1153.675
2014-02-28,1138.527
2014-03-31,1142.183
2014-04-30,1127.153
2014-05-30,1167.682
2014-06-30,1235.435
2014-07-31,1236.952
2014-08-29,1221.864
2014-09-30,1188.552
2014-10-31,1169.865
2014-11-28,1165.762
2014-12-31,1178.42
2015-01-30,1217.776
2015-02-27,1276.45
2015-03-31,1277.028
