Date,JAPAN SMID VALUE SMID (Small+Mid Cap)
2001-01-01,462.686
2001-01-02,461.493
2001-01-03,461.934
2001-01-04,452.017
2001-01-05,450.654
2001-01-08,450.545
2001-01-09,443.04
2001-01-10,440.25
2001-01-11,429.957
2001-01-12,430.347
2001-01-15,428.213
2001-01-16,435.796
2001-01-17,434.918
2001-01-18,441.438
2001-01-19,444.998
2001-01-22,446.839
2001-01-23,446.711
2001-01-24,441.825
2001-01-25,447.255
2001-01-26,445.269
2001-01-29,447.398
2001-01-30,449.003
2001-01-31,452.822
2001-02-01,457.969
2001-02-02,455.568
2001-02-05,452.502
2001-02-06,450.382
2001-02-07,447.727
2001-02-08,444.639
2001-02-09,444.64
2001-02-12,444.614
2001-02-13,445.502
2001-02-14,451.074
2001-02-15,455.724
2001-02-16,453.084
2001-02-19,450.348
2001-02-20,455.852
2001-02-21,450.529
2001-02-22,448.442
2001-02-23,454.799
2001-02-26,455.964
2001-02-27,459.915
2001-02-28,451.634
2001-03-01,448.945
2001-03-02,434.045
2001-03-05,432.329
2001-03-06,441.453
2001-03-07,438.972
2001-03-08,440.794
2001-03-09,442.601
2001-03-12,431.381
2001-03-13,423.265
2001-03-14,419.092
2001-03-15,421.888
2001-03-16,417.445
2001-03-19,422.688
2001-03-20,421.259
2001-03-21,439.204
2001-03-22,429.557
2001-03-23,440.357
2001-03-26,457.718
2001-03-27,458.069
2001-03-28,465.324
2001-03-29,451.904
2001-03-30,438.791
2001-04-02,431.949
2001-04-03,445.52
2001-04-04,451.519
2001-04-05,457.759
2001-04-06,459.398
2001-04-09,450.305
2001-04-10,449.823
2001-04-11,453.688
2001-04-12,460.661
2001-04-13,461.583
2001-04-16,458.839
2001-04-17,461.068
2001-04-18,473.029
2001-04-19,477.621
2001-04-20,474.998
2001-04-23,479.15
2001-04-24,481.128
2001-04-25,484.242
2001-04-26,488.827
2001-04-27,484.431
2001-04-30,485.405
2001-05-01,503.461
2001-05-02,503.101
2001-05-03,507.053
2001-05-04,507.137
2001-05-07,505.681
2001-05-08,497.483
2001-05-09,491.558
2001-05-10,489.41
2001-05-11,490.27
2001-05-14,482.27
2001-05-15,483.942
2001-05-16,478.566
2001-05-17,485.735
2001-05-18,483.716
2001-05-21,490.064
2001-05-22,490.803
2001-05-23,499.08
2001-05-24,499.14
2001-05-25,494.338
2001-05-28,490.811
2001-05-29,495.855
2001-05-30,490.087
2001-05-31,491.863
2001-06-01,492.194
2001-06-04,491.154
2001-06-05,486.436
2001-06-06,484.801
2001-06-07,489.616
2001-06-08,490.51
2001-06-11,485.917
2001-06-12,474.963
2001-06-13,477.687
2001-06-14,476.679
2001-06-15,470.732
2001-06-18,467.738
2001-06-19,466.762
2001-06-20,465.69
2001-06-21,468.328
2001-06-22,475.51
2001-06-25,476.378
2001-06-26,480.541
2001-06-27,476.996
2001-06-28,471.809
2001-06-29,477.611
2001-07-02,474.071
2001-07-03,475.196
2001-07-04,470.294
2001-07-05,466.062
2001-07-06,459.412
2001-07-09,455.272
2001-07-10,457.567
2001-07-11,456.208
2001-07-12,462.49
2001-07-13,459.835
2001-07-16,457.608
2001-07-17,454.533
2001-07-18,451.89
2001-07-19,453.998
2001-07-20,455.454
2001-07-23,443.092
2001-07-24,447.195
2001-07-25,451.25
2001-07-26,452.869
2001-07-27,453.859
2001-07-30,443.359
2001-07-31,450.543
2001-08-01,455.702
2001-08-02,467.519
2001-08-03,463.024
2001-08-06,463.88
2001-08-07,466.534
2001-08-08,465.774
2001-08-09,457.453
2001-08-10,462.729
2001-08-13,456.889
2001-08-14,465.61
2001-08-15,474.701
2001-08-16,471.374
2001-08-17,470.113
2001-08-20,463.771
2001-08-21,469.417
2001-08-22,472.962
2001-08-23,469.838
2001-08-24,468.58
2001-08-27,469.047
2001-08-28,466.3
2001-08-29,463.672
2001-08-30,457.054
2001-08-31,456.131
2001-09-03,446.278
2001-09-04,450.051
2001-09-05,439.888
2001-09-06,438.029
2001-09-07,437.05
2001-09-10,424.795
2001-09-11,431.491
2001-09-12,401.919
2001-09-13,409.9
2001-09-14,427.08
2001-09-17,409.446
2001-09-18,416.051
2001-09-19,422.06
2001-09-20,421.834
2001-09-21,414.996
2001-09-24,411.918
2001-09-25,417.992
2001-09-26,417.394
2001-09-27,412.394
2001-09-28,424.035
2001-10-01,428.817
2001-10-02,432.018
2001-10-03,430.437
2001-10-04,436.386
