Date,JAPAN SMID VALUE SMID (Small+Mid Cap)
2001-01-01,467.704
2001-01-02,466.499
2001-01-03,466.945
2001-01-04,456.921
2001-01-05,455.542
2001-01-08,455.433
2001-01-09,447.846
2001-01-10,445.025
2001-01-11,434.621
2001-01-12,435.015
2001-01-15,432.858
2001-01-16,440.523
2001-01-17,439.635
2001-01-18,446.226
2001-01-19,449.825
2001-01-22,451.685
2001-01-23,451.556
2001-01-24,446.617
2001-01-25,452.106
2001-01-26,450.096
2001-01-29,452.249
2001-01-30,453.872
2001-01-31,457.732
2001-02-01,462.935
2001-02-02,460.508
2001-02-05,457.408
2001-02-06,455.265
2001-02-07,452.581
2001-02-08,449.46
2001-02-09,449.461
2001-02-12,449.435
2001-02-13,450.333
2001-02-14,455.965
2001-02-15,460.662
2001-02-16,457.993
2001-02-19,455.228
2001-02-20,460.791
2001-02-21,455.41
2001-02-22,453.3
2001-02-23,459.704
2001-02-26,460.881
2001-02-27,464.875
2001-02-28,456.505
2001-03-01,453.787
2001-03-02,438.726
2001-03-05,436.991
2001-03-06,446.214
2001-03-07,443.705
2001-03-08,445.547
2001-03-09,447.374
2001-03-12,436.033
2001-03-13,427.83
2001-03-14,423.611
2001-03-15,426.435
2001-03-16,421.945
2001-03-19,427.244
2001-03-20,425.799
2001-03-21,443.938
2001-03-22,434.187
2001-03-23,445.104
2001-03-26,462.652
2001-03-27,462.449
2001-03-28,469.772
2001-03-29,456.222
2001-03-30,442.981
2001-04-02,436.073
2001-04-03,449.774
2001-04-04,455.83
2001-04-05,462.13
2001-04-06,463.785
2001-04-09,454.604
2001-04-10,454.118
2001-04-11,458.02
2001-04-12,465.059
2001-04-13,465.99
2001-04-16,463.221
2001-04-17,465.47
2001-04-18,477.546
2001-04-19,482.182
2001-04-20,479.533
2001-04-23,483.724
2001-04-24,485.72
2001-04-25,488.864
2001-04-26,493.493
2001-04-27,489.055
2001-04-30,490.038
2001-05-01,508.267
2001-05-02,507.904
2001-05-03,511.894
2001-05-04,511.979
2001-05-07,510.509
2001-05-08,502.233
2001-05-09,496.251
2001-05-10,494.082
2001-05-11,494.951
2001-05-14,486.874
2001-05-15,488.562
2001-05-16,483.134
2001-05-17,490.372
2001-05-18,488.333
2001-05-21,494.741
2001-05-22,495.486
2001-05-23,503.842
2001-05-24,503.903
2001-05-25,499.054
2001-05-28,495.489
2001-05-29,500.581
2001-05-30,494.755
2001-05-31,496.545
2001-06-01,496.88
2001-06-04,495.83
2001-06-05,491.066
2001-06-06,489.415
2001-06-07,494.276
2001-06-08,495.179
2001-06-11,490.543
2001-06-12,479.484
2001-06-13,482.234
2001-06-14,481.216
2001-06-15,475.212
2001-06-18,472.189
2001-06-19,471.205
2001-06-20,470.122
2001-06-21,472.785
2001-06-22,480.036
2001-06-25,480.912
2001-06-26,485.078
2001-06-27,481.499
2001-06-28,476.263
2001-06-29,482.12
2001-07-02,478.546
2001-07-03,479.682
2001-07-04,474.734
2001-07-05,470.461
2001-07-06,463.75
2001-07-09,459.572
2001-07-10,461.888
2001-07-11,460.517
2001-07-12,466.858
2001-07-13,464.177
2001-07-16,461.929
2001-07-17,458.825
2001-07-18,456.158
2001-07-19,458.286
2001-07-20,459.756
2001-07-23,447.277
2001-07-24,451.418
2001-07-25,455.512
2001-07-26,457.144
2001-07-27,458.143
2001-07-30,447.545
2001-07-31,454.797
2001-08-01,460.005
2001-08-02,471.933
2001-08-03,467.396
2001-08-06,468.26
2001-08-07,470.939
2001-08-08,470.172
2001-08-09,461.772
2001-08-10,467.097
