Date,JAPAN SMID VALUE SMID (Small+Mid Cap)
1994-05-31,824.397
1994-06-30,889.25
1994-07-29,865.606
1994-08-31,857.711
1994-09-30,833.953
1994-10-31,845.188
1994-11-30,788.138
1994-12-30,805.204
1995-01-31,781.86
1995-02-28,729.465
1995-03-31,781.791
1995-04-28,804.203
1995-05-31,744.202
1995-06-30,710.11
1995-07-31,749.909
1995-08-31,731.194
1995-09-29,719.688
1995-10-31,689.107
1995-11-30,718.512
1995-12-29,757.079
1996-01-31,764.366
1996-02-29,756.893
1996-03-29,777.051
1996-04-30,852.975
1996-05-31,817.35
1996-06-28,819.06
1996-07-31,783.693
1996-08-30,746.491
1996-09-30,750.234
1996-10-31,702.805
1996-11-29,685.406
1996-12-31,624.808
1997-01-31,564.485
1997-02-28,563.542
1997-03-31,533.851
1997-04-30,530.575
1997-05-30,600.44
1997-06-30,621.956
1997-07-31,567.759
1997-08-29,508.814
1997-09-30,459.794
1997-10-31,459.01
1997-11-28,393.349
1997-12-31,338.075
1998-01-30,404.002
1998-02-27,419.73
1998-03-31,393.059
1998-04-30,377.187
1998-05-29,363.552
1998-06-30,367.972
1998-07-31,362.831
1998-08-31,335.109
1998-09-30,329.823
1998-10-30,373.785
1998-11-30,387.312
1998-12-31,403.76
1999-01-29,401.433
1999-02-26,392.888
1999-03-31,439.659
1999-04-30,465.975
1999-05-31,451.547
1999-06-30,485.559
1999-07-30,521.41
1999-08-31,538.685
1999-09-30,557.576
1999-10-29,547.902
1999-11-30,529.54
1999-12-31,502.389
2000-01-31,508.805
2000-02-29,481.597
2000-03-31,531.426
2000-04-28,498.861
2000-05-31,517.121
2000-06-30,576.123
2000-07-31,512.444
2000-08-31,542.171
2000-09-29,525.759
2000-10-31,494.066
2000-11-30,496.987
2000-12-29,467.641
2001-01-31,457.732
2001-02-28,456.505
2001-03-30,442.981
2001-04-30,490.038
2001-05-31,496.545
2001-06-29,482.12
2001-07-31,454.797
2001-08-31,460.423
2001-09-28,427.707
2001-10-31,428.085
2001-11-30,408.38
2001-12-31,374.106
2002-01-31,353.983
2002-02-28,374.15
2002-03-29,387.862
2002-04-30,407.429
2002-05-31,447.828
2002-06-28,431.77
2002-07-31,419.213
2002-08-30,415.417
2002-09-30,405.899
2002-10-31,375.823
