Date,IRELAND IMI IMI (Large+Mid+Small Cap)
1994-05-31,114.086
1994-06-30,113.21
1994-07-29,121.111
1994-08-31,129.163
1994-09-30,126.954
1994-10-31,130.489
1994-11-30,124.843
1994-12-30,128.297
1995-01-31,129.534
1995-02-28,134.172
1995-03-31,137.252
1995-04-28,140.265
1995-05-31,143.023
1995-06-30,150.222
1995-07-31,155.638
1995-08-31,154.266
1995-09-29,159.852
1995-10-31,158.722
1995-11-30,163.03
1995-12-29,166.061
1996-01-31,169.661
1996-02-29,171.436
1996-03-29,177.06
1996-04-30,184.46
1996-05-31,189.674
1996-06-28,190.718
1996-07-31,186.51
1996-08-30,195.407
1996-09-30,202.478
1996-10-31,206.55
1996-11-29,214.383
1996-12-31,219.852
1997-01-31,223.239
1997-02-28,231.352
1997-03-31,228.56
1997-04-30,225.333
1997-05-30,241.693
1997-06-30,250.876
1997-07-31,266.297
1997-08-29,262.266
1997-09-30,273.957
1997-10-31,273.124
1997-11-28,276.876
1997-12-31,288.17
1998-01-30,302.743
1998-02-27,350.191
1998-03-31,365.792
1998-04-30,386.383
1998-05-29,370.868
1998-06-30,374.314
1998-07-31,374.311
1998-08-31,311.773
1998-09-30,333.859
1998-10-30,344.043
1998-11-30,361.848
1998-12-31,391.276
1999-01-29,391.696
1999-02-26,394.729
1999-03-31,384.552
1999-04-30,371.995
1999-05-31,340.589
1999-06-30,329.115
1999-07-30,350.073
1999-08-31,346.73
1999-09-30,335.518
1999-10-29,316.56
1999-11-30,330.194
1999-12-31,338.141
2000-01-31,321.651
2000-02-29,329.911
2000-03-31,360.405
2000-04-28,330.206
2000-05-31,310.636
2000-06-30,317.872
2000-07-31,313.477
2000-08-31,321.124
2000-09-29,336.589
2000-10-31,328.263
2000-11-30,329.183
2000-12-29,359.638
2001-01-31,364.672
2001-02-28,359.993
2001-03-30,328.157
2001-04-30,347.199
2001-05-31,356.847
2001-06-29,367.926
2001-07-31,358.514
2001-08-31,354.358
2001-09-28,308.694
2001-10-31,317.863
2001-11-30,332.615
2001-12-31,348.302
2002-01-31,310.095
2002-02-28,291.418
2002-03-29,310.723
2002-04-30,320.829
2002-05-31,339.759
2002-06-28,323.109
2002-07-31,285.303
2002-08-30,298.323
2002-09-30,259.172
2002-10-31,289.037
2002-11-29,300.971
2002-12-31,285.562
2003-01-31,293.465
2003-02-28,284.095
2003-03-31,299.031
2003-04-30,330.403
2003-05-30,345.991
2003-06-30,342.765
2003-07-31,344.788
2003-08-29,352.4
2003-09-30,364.497
2003-10-31,379.528
2003-11-28,390.328
2003-12-31,432.571
2004-01-30,449.287
2004-02-27,446.95
2004-03-31,455.366
2004-04-30,460.241
2004-05-31,462.869
2004-06-30,485.535
2004-07-30,473.489
2004-08-31,490.397
2004-09-30,516.406
2004-10-29,534.324
2004-11-30,582.755
2004-12-31,623.248
2005-01-31,609.226
2005-02-28,602.309
2005-03-31,563.053
