Date,IRELAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,363.385
2001-01-02,368.55
2001-01-03,358.983
2001-01-04,362.845
2001-01-05,361.859
2001-01-08,356.566
2001-01-09,353.234
2001-01-10,348.525
2001-01-11,355.686
2001-01-12,355.198
2001-01-15,354.186
2001-01-16,352.955
2001-01-17,351.466
2001-01-18,357.268
2001-01-19,355.58
2001-01-22,356.466
2001-01-23,357.683
2001-01-24,361.637
2001-01-25,364.992
2001-01-26,365.287
2001-01-29,366.402
2001-01-30,363.219
2001-01-31,368.471
2001-02-01,368.782
2001-02-02,364.617
2001-02-05,367.348
2001-02-06,365.691
2001-02-07,370.558
2001-02-08,365.857
2001-02-09,364.459
2001-02-12,367.611
2001-02-13,366.445
2001-02-14,360.87
2001-02-15,358.894
2001-02-16,364.927
2001-02-19,364.529
2001-02-20,363.237
2001-02-21,362.477
2001-02-22,362.619
2001-02-23,364.371
2001-02-26,359.2
2001-02-27,365.855
2001-02-28,363.744
2001-03-01,368.001
2001-03-02,364.027
2001-03-05,364.317
2001-03-06,361.476
2001-03-07,360.586
2001-03-08,358.676
2001-03-09,355.181
2001-03-12,350.267
2001-03-13,342.879
2001-03-14,337.361
2001-03-15,335.28
2001-03-16,327.816
2001-03-19,326.534
2001-03-20,331.488
2001-03-21,321.324
2001-03-22,300.062
2001-03-23,311.58
2001-03-26,324.727
2001-03-27,336.825
2001-03-28,333.462
2001-03-29,326.646
2001-03-30,331.576
2001-04-02,330.506
2001-04-03,323.571
2001-04-04,326.115
2001-04-05,330.44
2001-04-06,335.263
2001-04-09,340.947
2001-04-10,342.947
2001-04-11,341.669
2001-04-12,342.508
2001-04-13,342.508
2001-04-16,339.0
2001-04-17,339.555
2001-04-18,337.433
2001-04-19,338.866
2001-04-20,343.021
2001-04-23,342.108
2001-04-24,341.192
2001-04-25,343.017
2001-04-26,346.057
2001-04-27,346.263
2001-04-30,350.693
2001-05-01,350.795
2001-05-02,352.986
2001-05-03,354.177
2001-05-04,356.431
2001-05-07,354.978
2001-05-08,356.319
2001-05-09,357.066
2001-05-10,361.126
2001-05-11,361.103
2001-05-14,362.93
2001-05-15,360.779
2001-05-16,362.615
2001-05-17,365.638
2001-05-18,365.917
2001-05-21,366.182
2001-05-22,370.548
2001-05-23,371.961
2001-05-24,363.441
2001-05-25,362.881
2001-05-28,362.829
2001-05-29,364.428
2001-05-30,363.83
2001-05-31,360.226
2001-06-01,363.916
2001-06-04,364.41
2001-06-05,370.478
2001-06-06,368.935
2001-06-07,368.448
2001-06-08,366.491
2001-06-11,360.227
2001-06-12,359.194
2001-06-13,361.627
2001-06-14,364.692
2001-06-15,371.37
2001-06-18,373.464
2001-06-19,373.287
2001-06-20,373.385
2001-06-21,374.216
2001-06-22,375.331
2001-06-25,374.711
2001-06-26,368.569
2001-06-27,369.842
2001-06-28,366.4
2001-06-29,371.395
2001-07-02,370.726
2001-07-03,372.245
2001-07-04,368.824
2001-07-05,362.845
2001-07-06,361.909
2001-07-09,368.02
2001-07-10,373.175
2001-07-11,370.604
2001-07-12,370.768
2001-07-13,371.621
2001-07-16,373.647
2001-07-17,368.577
2001-07-18,378.912
2001-07-19,381.514
2001-07-20,377.448
2001-07-23,379.579
2001-07-24,376.274
2001-07-25,367.352
2001-07-26,364.058
2001-07-27,365.931
2001-07-30,362.851
2001-07-31,361.882
2001-08-01,364.373
2001-08-02,366.247
2001-08-03,367.271
2001-08-06,361.678
2001-08-07,361.555
2001-08-08,360.288
2001-08-09,354.197
2001-08-10,356.356
2001-08-13,361.014
2001-08-14,363.68
2001-08-15,366.096
2001-08-16,367.026
2001-08-17,366.486
2001-08-20,365.549
2001-08-21,369.212
2001-08-22,368.253
2001-08-23,367.592
2001-08-24,369.418
2001-08-27,367.202
2001-08-28,367.673
2001-08-29,366.214
2001-08-30,358.5
2001-08-31,357.559
2001-09-03,357.056
2001-09-04,350.293
2001-09-05,350.61
2001-09-06,352.125
2001-09-07,350.642
2001-09-10,342.734
2001-09-11,337.059
2001-09-12,328.905
2001-09-13,334.052
2001-09-14,332.828
2001-09-17,325.058
2001-09-18,324.806
2001-09-19,314.675
2001-09-20,302.495
2001-09-21,290.747
2001-09-24,297.835
2001-09-25,298.862
2001-09-26,303.583
2001-09-27,307.855
2001-09-28,311.483
2001-10-01,308.41
2001-10-02,308.084
2001-10-03,309.041
2001-10-04,315.293
2001-10-05,322.039
2001-10-08,316.265
2001-10-09,314.155
2001-10-10,316.964
2001-10-11,319.908
2001-10-12,323.281
2001-10-15,323.411
2001-10-16,330.079
2001-10-17,331.352
2001-10-18,328.429
2001-10-19,320.903
2001-10-22,319.744
2001-10-23,325.856
2001-10-24,326.296
2001-10-25,324.718
2001-10-26,324.946
2001-10-29,325.791
2001-10-30,321.432
2001-10-31,320.735
2001-11-01,319.163
2001-11-02,318.468
2001-11-05,321.133
2001-11-06,324.126
2001-11-07,319.228
2001-11-08,316.164
2001-11-09,315.752
2001-11-12,313.222
2001-11-13,311.619
2001-11-14,311.131
2001-11-15,316.783
2001-11-16,318.876
2001-11-19,319.849
2001-11-20,327.723
2001-11-21,326.283
2001-11-22,327.88
2001-11-23,329.067
2001-11-26,332.664
2001-11-27,330.932
2001-11-28,329.577
2001-11-29,329.256
2001-11-30,335.621
2001-12-03,333.929
2001-12-04,336.861
2001-12-05,341.712
2001-12-06,344.958
2001-12-07,344.473
2001-12-10,343.204
2001-12-11,340.677
2001-12-12,337.311
2001-12-13,336.224
2001-12-14,330.368
2001-12-17,338.438
2001-12-18,338.806
2001-12-19,336.076
2001-12-20,339.408
2001-12-21,344.033
2001-12-24,340.6
2001-12-25,340.6
2001-12-26,340.891
2001-12-27,344.132
2001-12-28,345.417
2001-12-31,351.449
2002-01-01,351.449
2002-01-02,352.547
2002-01-03,349.698
2002-01-04,348.337
2002-01-07,348.981
2002-01-08,346.53
2002-01-09,343.515
2002-01-10,340.37
2002-01-11,342.012
2002-01-14,342.044
2002-01-15,343.758
2002-01-16,342.495
2002-01-17,343.948
2002-01-18,336.718
2002-01-21,333.673
2002-01-22,334.77
2002-01-23,335.638
2002-01-24,336.809
2002-01-25,329.314
2002-01-28,327.044
2002-01-29,324.259
2002-01-30,309.133
2002-01-31,312.897
2002-02-01,318.527
2002-02-04,301.457
2002-02-05,291.877
2002-02-06,284.42
2002-02-07,281.765
2002-02-08,284.837
2002-02-11,285.681
2002-02-12,289.485
2002-02-13,290.804
2002-02-14,290.775
2002-02-15,291.525
2002-02-18,287.914
2002-02-19,287.739
2002-02-20,285.899
2002-02-21,287.731
2002-02-22,289.036
2002-02-25,291.043
2002-02-26,294.326
2002-02-27,294.114
2002-02-28,294.051
2002-03-01,294.71
2002-03-04,301.498
2002-03-05,301.498
2002-03-06,300.295
2002-03-07,301.826
2002-03-08,301.011
2002-03-11,303.279
2002-03-12,303.689
2002-03-13,306.65
2002-03-14,308.201
2002-03-15,309.506
2002-03-18,310.62
2002-03-19,314.117
2002-03-20,313.596
2002-03-21,313.032
2002-03-22,316.389
2002-03-25,316.587
2002-03-26,312.559
2002-03-27,312.502
2002-03-28,313.53
2002-03-29,313.53
2002-04-01,316.1
2002-04-02,320.768
2002-04-03,318.416
2002-04-04,316.773
2002-04-05,315.905
2002-04-08,311.389
2002-04-09,308.879
2002-04-10,310.417
2002-04-11,311.227
2002-04-12,310.187
2002-04-15,312.519
2002-04-16,311.808
2002-04-17,314.116
2002-04-18,313.128
2002-04-19,315.106
2002-04-22,318.307
2002-04-23,318.181
2002-04-24,319.71
2002-04-25,320.22
