Date,IRELAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,359.638
2001-01-02,364.75
2001-01-03,355.282
2001-01-04,359.103
2001-01-05,358.128
2001-01-08,352.889
2001-01-09,349.592
2001-01-10,344.931
2001-01-11,352.018
2001-01-12,351.536
2001-01-15,350.533
2001-01-16,349.316
2001-01-17,347.842
2001-01-18,353.584
2001-01-19,351.913
2001-01-22,352.79
2001-01-23,353.995
2001-01-24,357.909
2001-01-25,361.229
2001-01-26,361.52
2001-01-29,362.624
2001-01-30,359.474
2001-01-31,364.672
2001-02-01,364.98
2001-02-02,360.857
2001-02-05,363.56
2001-02-06,361.92
2001-02-07,366.737
2001-02-08,362.084
2001-02-09,360.701
2001-02-12,363.82
2001-02-13,362.667
2001-02-14,357.149
2001-02-15,355.193
2001-02-16,361.164
2001-02-19,360.77
2001-02-20,359.492
2001-02-21,358.74
2001-02-22,358.88
2001-02-23,360.614
2001-02-26,355.496
2001-02-27,362.083
2001-02-28,359.993
2001-03-01,364.206
2001-03-02,360.274
2001-03-05,360.56
2001-03-06,357.749
2001-03-07,356.868
2001-03-08,354.978
2001-03-09,351.518
2001-03-12,346.655
2001-03-13,339.343
2001-03-14,333.882
2001-03-15,331.823
2001-03-16,324.436
2001-03-19,323.167
2001-03-20,328.07
2001-03-21,318.011
2001-03-22,296.968
2001-03-23,308.367
2001-03-26,321.378
2001-03-27,333.351
2001-03-28,330.024
2001-03-29,323.278
2001-03-30,328.157
2001-04-02,327.098
2001-04-03,320.235
2001-04-04,322.753
2001-04-05,327.033
2001-04-06,331.806
2001-04-09,337.431
2001-04-10,339.411
2001-04-11,338.196
2001-04-12,339.026
2001-04-13,339.026
2001-04-16,335.554
2001-04-17,336.103
2001-04-18,334.003
2001-04-19,335.422
2001-04-20,339.534
2001-04-23,338.631
2001-04-24,337.723
2001-04-25,339.6
2001-04-26,342.61
2001-04-27,342.813
2001-04-30,347.199
2001-05-01,347.3
2001-05-02,349.478
2001-05-03,350.657
2001-05-04,352.889
2001-05-07,351.45
2001-05-08,352.778
2001-05-09,353.526
2001-05-10,357.547
2001-05-11,357.523
2001-05-14,359.332
2001-05-15,357.203
2001-05-16,359.192
2001-05-17,362.186
2001-05-18,362.463
2001-05-21,362.726
2001-05-22,367.05
2001-05-23,368.468
2001-05-24,360.028
2001-05-25,359.474
2001-05-28,359.421
2001-05-29,361.006
2001-05-30,360.418
2001-05-31,356.847
