Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,520.184
1994-06-30,509.421
1994-07-29,541.875
1994-08-31,616.462
1994-09-30,627.712
1994-10-31,625.522
1994-11-30,591.424
1994-12-30,562.241
1995-01-31,517.859
1995-02-28,516.277
1995-03-31,500.86
1995-04-28,507.048
1995-05-31,550.261
1995-06-30,544.239
1995-07-31,555.703
1995-08-31,541.142
1995-09-29,537.9
1995-10-31,521.483
1995-11-30,506.729
1995-12-29,530.398
1996-01-31,568.265
1996-02-29,558.218
1996-03-29,557.199
1996-04-30,573.737
1996-05-31,574.644
1996-06-28,576.85
1996-07-31,535.073
1996-08-30,548.565
1996-09-30,555.484
1996-10-31,536.122
1996-11-29,543.098
1996-12-31,545.293
1997-01-31,580.505
1997-02-28,604.684
1997-03-31,589.58
1997-04-30,578.897
1997-05-30,592.155
1997-06-30,628.649
1997-07-31,638.049
1997-08-29,557.071
1997-09-30,564.647
1997-10-31,468.632
1997-11-28,450.454
1997-12-31,451.842
1998-01-30,422.008
1998-02-27,466.442
1998-03-31,478.251
1998-04-30,473.682
1998-05-29,409.524
1998-06-30,366.147
1998-07-31,376.66
1998-08-31,269.12
1998-09-30,274.133
1998-10-30,300.224
1998-11-30,318.55
1998-12-31,309.696
1999-01-29,293.227
1999-02-26,295.104
1999-03-31,335.601
1999-04-30,371.692
1999-05-31,369.098
1999-06-30,410.459
1999-07-30,404.968
1999-08-31,402.306
1999-09-30,386.207
1999-10-29,398.317
1999-11-30,445.151
1999-12-31,535.377
2000-01-31,528.919
2000-02-29,545.911
2000-03-31,544.55
2000-04-28,479.7
2000-05-31,453.279
2000-06-30,473.383
2000-07-31,439.875
2000-08-31,448.356
2000-09-29,401.764
2000-10-31,371.56
2000-11-30,335.879
2000-12-29,335.156
2001-01-31,380.582
2001-02-28,344.098
2001-03-30,306.66
2001-04-30,322.212
2001-05-31,321.962
2001-06-29,313.605
2001-07-31,295.079
2001-08-31,284.893
2001-09-28,237.872
2001-10-31,253.984
2001-11-30,282.848
2001-12-31,309.209
2002-01-31,316.333
