Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,338.808
2001-01-02,338.906
2001-01-03,341.062
2001-01-04,354.656
2001-01-05,356.781
2001-01-08,356.516
2001-01-09,361.453
2001-01-10,360.048
2001-01-11,358.682
2001-01-12,362.524
2001-01-15,365.279
2001-01-16,367.174
2001-01-17,370.391
2001-01-18,374.015
2001-01-19,380.799
2001-01-22,381.361
2001-01-23,382.901
2001-01-24,382.281
2001-01-25,382.073
2001-01-26,379.968
2001-01-29,378.342
2001-01-30,381.578
2001-01-31,385.519
2001-02-01,384.303
2001-02-02,384.364
2001-02-05,377.749
2001-02-06,378.813
2001-02-07,372.163
2001-02-08,374.361
2001-02-09,373.55
2001-02-12,374.159
2001-02-13,377.313
2001-02-14,375.863
2001-02-15,380.559
2001-02-16,376.667
2001-02-19,371.716
2001-02-20,371.594
2001-02-21,360.961
2001-02-22,351.942
2001-02-23,349.196
2001-02-26,352.204
2001-02-27,350.12
2001-02-28,348.544
2001-03-01,345.651
2001-03-02,340.049
2001-03-05,343.05
2001-03-06,346.27
2001-03-07,348.482
2001-03-08,347.749
2001-03-09,343.106
2001-03-12,331.816
2001-03-13,329.846
2001-03-14,328.204
2001-03-15,328.234
2001-03-16,325.114
2001-03-19,321.41
2001-03-20,320.192
2001-03-21,319.67
2001-03-22,313.307
2001-03-23,314.859
2001-03-26,320.153
2001-03-27,319.237
2001-03-28,316.782
2001-03-29,310.886
2001-03-30,310.573
2001-04-02,304.592
2001-04-03,297.245
2001-04-04,292.687
2001-04-05,298.041
2001-04-06,301.618
2001-04-09,299.974
2001-04-10,303.058
2001-04-11,308.164
2001-04-12,309.827
2001-04-13,309.925
2001-04-16,307.994
2001-04-17,307.064
2001-04-18,317.012
2001-04-19,322.681
2001-04-20,317.57
2001-04-23,316.288
2001-04-24,317.436
2001-04-25,317.524
2001-04-26,320.961
2001-04-27,322.344
2001-04-30,326.3
2001-05-01,326.227
2001-05-02,330.232
2001-05-03,331.567
2001-05-04,328.637
2001-05-07,329.336
2001-05-08,327.97
2001-05-09,326.658
2001-05-10,325.982
2001-05-11,324.883
2001-05-14,321.527
2001-05-15,320.161
2001-05-16,322.123
2001-05-17,329.534
2001-05-18,330.076
2001-05-21,331.469
2001-05-22,333.518
2001-05-23,334.817
2001-05-24,333.817
2001-05-25,332.356
2001-05-28,331.997
2001-05-29,330.715
2001-05-30,326.611
2001-05-31,325.981
2001-06-01,324.673
2001-06-04,324.738
2001-06-05,323.599
2001-06-06,326.116
2001-06-07,326.411
2001-06-08,330.438
2001-06-11,328.36
2001-06-12,327.93
2001-06-13,327.383
2001-06-14,325.821
2001-06-15,324.189
2001-06-18,317.179
2001-06-19,317.08
2001-06-20,315.494
2001-06-21,317.625
2001-06-22,318.787
2001-06-25,317.492
2001-06-26,315.707
2001-06-27,315.869
2001-06-28,313.717
2001-06-29,317.487
2001-07-02,318.209
2001-07-03,315.68
2001-07-04,312.319
2001-07-05,310.167
2001-07-06,305.248
2001-07-09,302.856
2001-07-10,300.685
2001-07-11,294.364
2001-07-12,298.126
2001-07-13,295.726
2001-07-16,293.751
2001-07-17,294.255
2001-07-18,293.079
2001-07-19,293.624
2001-07-20,293.553
2001-07-23,292.856
2001-07-24,291.556
2001-07-25,292.012
2001-07-26,294.648
2001-07-27,295.933
2001-07-30,297.059
2001-07-31,298.655
2001-08-01,300.546
2001-08-02,303.99
2001-08-03,303.828
2001-08-06,301.393
2001-08-07,299.439
2001-08-08,299.239
2001-08-09,296.384
2001-08-10,297.093
2001-08-13,297.629
2001-08-14,301.035
2001-08-15,300.971
2001-08-16,298.956
2001-08-17,294.86
2001-08-20,291.859
2001-08-21,292.027
2001-08-22,291.108
2001-08-23,291.091
2001-08-24,290.909
2001-08-27,294.371
2001-08-28,293.012
2001-08-29,292.763
2001-08-30,290.288
2001-08-31,288.316
2001-09-03,285.959
2001-09-04,287.931
2001-09-05,284.981
2001-09-06,280.621
2001-09-07,279.743
2001-09-10,276.971
2001-09-11,268.473
2001-09-12,261.796
2001-09-13,256.984
2001-09-14,249.704
2001-09-17,244.517
2001-09-18,246.808
2001-09-19,248.538
2001-09-20,242.298
2001-09-21,236.494
2001-09-24,239.146
2001-09-25,237.351
2001-09-26,237.878
2001-09-27,237.447
2001-09-28,240.723
2001-10-01,239.643
2001-10-02,237.507
2001-10-03,236.145
2001-10-04,240.442
2001-10-05,241.235
2001-10-08,237.671
2001-10-09,242.838
2001-10-10,246.057
2001-10-11,253.599
2001-10-12,252.987
2001-10-15,251.702
2001-10-16,254.139
2001-10-17,255.875
2001-10-18,252.878
2001-10-19,253.398
2001-10-22,254.635
2001-10-23,256.71
2001-10-24,259.652
2001-10-25,259.649
2001-10-26,261.51
2001-10-29,261.311
2001-10-30,255.807
2001-10-31,257.023
2001-11-01,258.012
2001-11-02,259.947
2001-11-05,264.667
2001-11-06,266.074
2001-11-07,266.078
2001-11-08,269.765
2001-11-09,271.029
2001-11-12,270.909
2001-11-13,273.885
2001-11-14,278.169
2001-11-15,281.882
2001-11-16,282.651
2001-11-19,288.264
2001-11-20,283.273
2001-11-21,283.195
2001-11-22,284.444
2001-11-23,288.121
2001-11-26,293.546
2001-11-27,292.874
2001-11-28,286.226
2001-11-29,284.345
2001-11-30,286.215
2001-12-03,290.485
2001-12-04,293.952
2001-12-05,302.666
2001-12-06,307.701
2001-12-07,309.509
2001-12-10,305.608
2001-12-11,305.844
2001-12-12,311.192
