Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
2001-12-17,299.117
2001-12-18,298.426
2001-12-19,298.438
2001-12-20,299.166
2001-12-21,295.444
2001-12-24,297.223
2001-12-25,299.89
2001-12-26,300.776
2001-12-27,302.096
2001-12-28,306.398
2001-12-31,309.209
2002-01-01,309.19
2002-01-02,312.834
2002-01-03,315.637
2002-01-04,321.929
2002-01-07,325.062
2002-01-08,322.98
2002-01-09,323.308
2002-01-10,319.136
2002-01-11,315.265
2002-01-14,315.236
2002-01-15,312.514
2002-01-16,309.437
2002-01-17,311.002
2002-01-18,310.687
2002-01-21,313.655
2002-01-22,313.555
2002-01-23,315.239
2002-01-24,316.658
2002-01-25,318.86
2002-01-28,319.579
2002-01-29,317.015
2002-01-30,312.931
2002-01-31,316.333
2002-02-01,315.799
2002-02-04,314.088
2002-02-05,314.568
2002-02-06,316.701
2002-02-07,313.241
2002-02-08,313.792
2002-02-11,313.693
2002-02-12,314.853
2002-02-13,316.659
2002-02-14,321.296
2002-02-15,320.66
2002-02-18,321.37
2002-02-19,317.733
2002-02-20,313.711
2002-02-21,313.541
2002-02-22,312.622
2002-02-25,312.679
2002-02-26,314.124
2002-02-27,320.106
2002-02-28,318.441
2002-03-01,321.469
2002-03-04,330.102
2002-03-05,332.78
2002-03-06,335.217
2002-03-07,334.239
2002-03-08,333.419
2002-03-11,335.501
2002-03-12,333.81
2002-03-13,332.318
2002-03-14,332.831
2002-03-15,330.925
2002-03-18,332.972
2002-03-19,333.771
2002-03-20,335.577
2002-03-21,334.806
2002-03-22,336.913
2002-03-25,335.125
2002-03-26,335.785
2002-03-27,336.922
2002-03-28,337.566
2002-03-29,338.318
2002-04-01,337.22
2002-04-02,339.667
2002-04-03,338.446
2002-04-04,336.882
2002-04-05,338.771
2002-04-08,336.461
2002-04-09,335.951
2002-04-10,337.425
2002-04-11,337.592
2002-04-12,339.091
2002-04-15,341.315
2002-04-16,342.965
2002-04-17,348.981
2002-04-18,348.614
2002-04-19,346.933
2002-04-22,345.743
2002-04-23,346.268
2002-04-24,346.577
2002-04-25,342.457
2002-04-26,341.747
2002-04-29,336.712
2002-04-30,336.037
2002-05-01,335.915
2002-05-02,334.365
2002-05-03,334.81
2002-05-06,329.815
2002-05-07,330.861
2002-05-08,334.363
2002-05-09,332.628
2002-05-10,331.083
2002-05-13,330.643
2002-05-14,333.904
2002-05-15,337.632
2002-05-16,337.305
2002-05-17,339.838
2002-05-20,337.008
2002-05-21,332.732
2002-05-22,334.757
2002-05-23,332.126
2002-05-24,335.78
2002-05-27,335.526
2002-05-28,334.551
2002-05-29,332.02
2002-05-30,330.316
2002-05-31,327.062
2002-06-03,328.132
2002-06-04,328.54
2002-06-05,326.581
2002-06-06,325.219
2002-06-07,318.736
2002-06-10,320.592
2002-06-11,318.169
2002-06-12,317.237
2002-06-13,317.599
2002-06-14,315.021
2002-06-17,313.939
2002-06-18,315.067
2002-06-19,308.374
2002-06-20,305.448
2002-06-21,303.528
2002-06-24,301.128
2002-06-25,299.284
2002-06-26,288.187
2002-06-27,292.008
2002-06-28,298.268
2002-07-01,296.858
2002-07-02,295.009
2002-07-03,294.59
2002-07-04,299.184
2002-07-05,305.348
2002-07-08,308.579
2002-07-09,311.712
2002-07-10,307.767
2002-07-11,301.403
2002-07-12,308.605
2002-07-15,307.55
2002-07-16,304.844
2002-07-17,305.167
2002-07-18,306.407
2002-07-19,301.571
2002-07-22,291.408
2002-07-23,291.651
2002-07-24,282.615
2002-07-25,282.92
2002-07-26,271.317
2002-07-29,272.195
2002-07-30,277.319
2002-07-31,274.112
2002-08-01,272.509
2002-08-02,272.388
2002-08-05,262.127
2002-08-06,259.635
2002-08-07,267.379
2002-08-08,271.216
2002-08-09,271.994
2002-08-12,271.614
2002-08-13,271.753
2002-08-14,274.842
2002-08-15,277.004
2002-08-16,279.099
2002-08-19,279.877
2002-08-20,281.765
2002-08-21,283.184
2002-08-22,283.809
2002-08-23,282.439
2002-08-26,281.882
2002-08-27,281.767
2002-08-28,278.085
2002-08-29,276.896
2002-08-30,278.854
2002-09-02,278.422
2002-09-03,274.228
2002-09-04,272.378
2002-09-05,270.658
2002-09-06,270.856
2002-09-09,272.829
2002-09-10,277.404
2002-09-11,278.981
2002-09-12,279.734
2002-09-13,274.714
2002-09-16,269.828
2002-09-17,274.396
2002-09-18,267.407
2002-09-19,264.504
2002-09-20,263.303
2002-09-23,256.943
2002-09-24,254.524
