Date,ACWI IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,390.637
1994-06-30,390.166
1994-07-29,395.589
1994-08-31,410.28
1994-09-30,402.342
1994-10-31,410.954
1994-11-30,391.207
1994-12-30,395.284
1995-01-31,386.758
1995-02-28,388.263
1995-03-31,405.355
1995-04-28,417.794
1995-05-31,419.302
1995-06-30,423.071
1995-07-31,445.696
1995-08-31,437.776
1995-09-29,448.897
1995-10-31,439.686
1995-11-30,451.833
1995-12-29,462.089
1996-01-31,468.697
1996-02-29,474.015
1996-03-29,482.313
1996-04-30,499.782
1996-05-31,503.369
1996-06-28,501.83
1996-07-31,475.295
1996-08-30,484.456
1996-09-30,503.073
1996-10-31,497.451
1996-11-29,518.272
1996-12-31,508.091
1997-01-31,515.225
1997-02-28,516.242
1997-03-31,503.054
1997-04-30,515.652
1997-05-30,554.231
1997-06-30,582.41
1997-07-31,609.07
1997-08-29,570.312
1997-09-30,598.873
1997-10-31,558.81
1997-11-28,562.412
1997-12-31,566.165
1998-01-30,580.835
1998-02-27,624.157
1998-03-31,647.377
1998-04-30,656.39
1998-05-29,641.405
1998-06-30,657.757
1998-07-31,657.889
1998-08-31,557.819
1998-09-30,571.192
1998-10-30,621.483
1998-11-30,663.368
1998-12-31,712.058
1999-01-29,741.102
1999-02-26,712.978
1999-03-31,749.765
1999-04-30,765.8
1999-05-31,741.004
1999-06-30,792.481
1999-07-30,793.067
1999-08-31,806.904
1999-09-30,811.18
1999-10-29,864.434
1999-11-30,935.069
1999-12-31,1064.86
2000-01-31,1017.497
2000-02-29,1105.42
2000-03-31,1118.343
2000-04-28,1018.84
2000-05-31,948.142
2000-06-30,1022.212
2000-07-31,971.38
2000-08-31,1025.983
2000-09-29,936.641
2000-10-31,876.752
2000-11-30,772.939
2000-12-29,767.132
2001-01-31,799.559
2001-02-28,690.09
2001-03-30,621.641
2001-04-30,685.47
2001-05-31,668.486
2001-06-29,644.787
2001-07-31,621.504
2001-08-31,579.203
2001-09-28,516.407
2001-10-31,543.833
2001-11-30,586.185
2001-12-31,591.314
2002-01-31,569.033
2002-02-28,554.813
2002-03-29,580.965
2002-04-30,556.384
2002-05-31,550.464
2002-06-28,513.899
2002-07-31,469.535
2002-08-30,468.96
2002-09-30,422.081
2002-10-31,454.529
2002-11-29,479.511
2002-12-31,452.588
2003-01-31,439.727
2003-02-28,433.494
2003-03-31,435.709
2003-04-30,470.957
2003-05-30,499.077
2003-06-30,508.194
2003-07-31,522.581
2003-08-29,538.063
2003-09-30,541.114
2003-10-31,576.278
2003-11-28,585.092
2003-12-31,610.038
2004-01-30,625.433
2004-02-27,635.342
2004-03-31,632.838
2004-04-30,616.272
2004-05-31,621.292
2004-06-30,630.923
2004-07-30,599.374
2004-08-31,598.439
2004-09-30,612.474
2004-10-29,627.758
2004-11-30,661.905
2004-12-31,689.859
2005-01-31,673.993
2005-02-28,692.421
2005-03-31,677.174
2005-04-29,659.578
2005-05-31,679.235
2005-06-30,685.739
2005-07-29,716.27
2005-08-31,722.356
2005-09-30,741.744
2005-10-31,723.567
2005-11-30,751.885
2005-12-30,771.647
2006-01-31,813.537
2006-02-28,805.526
2006-03-31,826.593
2006-04-28,848.384
2006-05-31,808.783
2006-06-30,805.506
2006-07-31,798.187
2006-08-31,821.147
2006-09-29,829.137
2006-10-31,859.965
2006-11-30,886.079
2006-12-29,898.519
2007-01-31,911.823
2007-02-28,908.374
2007-03-30,927.999
2007-04-30,969.122
2007-05-31,1000.0
2007-06-29,1000.502
2007-07-31,995.278
2007-08-31,992.819
2007-09-28,1051.172
2007-10-31,1101.966
2007-11-30,1057.084
2007-12-31,1048.803
2008-01-31,950.571
2008-02-29,968.136
2008-03-31,950.131
2008-04-30,1004.032
2008-05-30,1037.254
2008-06-30,965.401
2008-07-31,934.497
2008-08-29,911.532
2008-09-30,779.736
2008-10-31,618.556
2008-11-28,569.722
2008-12-31,593.429
2009-01-30,556.611
2009-02-27,512.253
2009-03-31,552.15
2009-04-30,608.95
2009-05-29,667.225
2009-06-30,668.221
2009-07-31,723.029
2009-08-31,738.377
2009-09-30,777.149
2009-10-30,769.081
2009-11-30,800.934
2009-12-31,825.474
2010-01-29,786.755
2010-02-26,801.493
2010-03-31,854.682
2010-04-30,861.023
2010-05-31,779.82
2010-06-30,756.306
2010-07-30,815.269
2010-08-31,787.834
2010-09-30,873.619
2010-10-29,909.434
2010-11-30,901.079
2010-12-31,964.106
2011-01-31,968.483
2011-02-28,993.952
2011-03-31,999.826
2011-04-29,1042.588
2011-05-31,1024.427
