Date,ACWI IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,381.855
1994-06-30,381.475
1994-07-29,386.827
1994-08-31,401.203
1994-09-30,393.474
1994-10-31,401.914
1994-11-30,382.625
1994-12-30,386.63
1995-01-31,378.303
1995-02-28,379.787
1995-03-31,396.563
1995-04-28,408.769
1995-05-31,410.369
1995-06-30,414.163
1995-07-31,436.358
1995-08-31,428.615
1995-09-29,439.545
1995-10-31,430.543
1995-11-30,442.461
1995-12-29,452.526
1996-01-31,459.008
1996-02-29,464.228
1996-03-29,472.405
1996-04-30,489.563
1996-05-31,493.162
1996-06-28,491.778
1996-07-31,465.817
1996-08-30,474.807
1996-09-30,493.092
1996-10-31,487.606
1996-11-29,508.034
1996-12-31,498.078
1997-01-31,505.084
1997-02-28,506.104
1997-03-31,493.226
1997-04-30,505.663
1997-05-30,543.593
1997-06-30,571.358
1997-07-31,597.567
1997-08-29,559.555
1997-09-30,587.622
1997-10-31,548.333
1997-11-28,551.877
1997-12-31,555.584
1998-01-30,569.992
1998-02-27,612.533
1998-03-31,635.383
1998-04-30,644.327
1998-05-29,629.714
1998-06-30,645.92
1998-07-31,646.096
1998-08-31,547.826
1998-09-30,561.004
1998-10-30,610.409
1998-11-30,651.558
1998-12-31,699.401
1999-01-29,727.965
1999-02-26,700.387
1999-03-31,736.678
1999-04-30,752.516
1999-05-31,728.312
1999-06-30,779.042
1999-07-30,779.71
1999-08-31,793.36
1999-09-30,797.674
1999-10-29,850.073
1999-11-30,919.591
1999-12-31,1047.277
2000-01-31,1000.733
2000-02-29,1087.254
2000-03-31,1100.081
2000-04-28,1002.31
2000-05-31,932.902
2000-06-30,1005.848
2000-07-31,955.894
2000-08-31,1009.676
2000-09-29,921.828
2000-10-31,862.908
2000-11-30,760.774
2000-12-29,755.104
2001-01-31,787.049
2001-02-28,679.356
2001-03-30,612.134
2001-04-30,675.123
2001-05-31,658.567
2001-06-29,635.276
2001-07-31,612.403
2001-08-31,570.807
2001-09-28,509.013
2001-10-31,536.062
2001-11-30,577.849
2001-12-31,582.961
2002-01-31,561.033
2002-02-28,547.086
2002-03-29,573.009
2002-04-30,548.887
2002-05-31,543.216
2002-06-28,507.234
2002-07-31,463.483
2002-08-30,462.998
