Date,NORWAY SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,444.709
2001-01-02,461.419
2001-01-03,430.031
2001-01-04,447.586
2001-01-05,448.873
2001-01-08,449.794
2001-01-09,441.343
2001-01-10,445.707
2001-01-11,452.868
2001-01-12,460.814
2001-01-15,458.52
2001-01-16,449.613
2001-01-17,461.181
2001-01-18,469.042
2001-01-19,469.529
2001-01-22,459.224
2001-01-23,460.956
2001-01-24,463.297
2001-01-25,458.052
2001-01-26,457.523
2001-01-29,447.032
2001-01-30,454.877
2001-01-31,471.92
2001-02-01,478.186
2001-02-02,477.131
2001-02-05,473.097
2001-02-06,472.059
2001-02-07,469.889
2001-02-08,467.299
2001-02-09,460.99
2001-02-12,453.452
2001-02-13,459.529
2001-02-14,452.153
2001-02-15,448.408
2001-02-16,454.941
2001-02-19,467.438
2001-02-20,460.963
2001-02-21,456.87
2001-02-22,456.464
2001-02-23,453.447
2001-02-26,462.107
2001-02-27,459.139
2001-02-28,458.649
2001-03-01,445.879
2001-03-02,450.414
2001-03-05,458.007
2001-03-06,473.172
2001-03-07,467.422
2001-03-08,472.319
2001-03-09,468.937
2001-03-12,453.97
2001-03-13,442.269
2001-03-14,425.327
2001-03-15,431.021
2001-03-16,426.161
2001-03-19,417.595
2001-03-20,429.79
2001-03-21,416.987
2001-03-22,398.261
2001-03-23,402.43
2001-03-26,410.991
2001-03-27,416.401
2001-03-28,408.386
2001-03-29,405.759
2001-03-30,412.886
2001-04-02,408.321
2001-04-03,396.752
2001-04-04,401.224
2001-04-05,416.754
2001-04-06,411.533
2001-04-09,412.517
2001-04-10,420.873
2001-04-11,419.258
2001-04-12,423.238
2001-04-13,423.238
2001-04-16,418.928
2001-04-17,416.195
2001-04-18,422.602
2001-04-19,427.057
2001-04-20,424.919
2001-04-23,424.669
2001-04-24,424.738
2001-04-25,427.265
2001-04-26,429.49
2001-04-27,435.395
2001-04-30,435.601
2001-05-01,438.173
2001-05-02,438.072
2001-05-03,433.341
2001-05-04,433.451
2001-05-07,438.617
2001-05-08,440.811
2001-05-09,435.708
2001-05-10,448.964
2001-05-11,443.368
2001-05-14,431.283
2001-05-15,435.242
2001-05-16,432.954
2001-05-17,432.997
2001-05-18,447.46
2001-05-21,460.728
2001-05-22,454.417
2001-05-23,452.628
2001-05-24,452.844
2001-05-25,457.079
2001-05-28,458.274
2001-05-29,449.709
2001-05-30,444.932
2001-05-31,437.284
2001-06-01,436.208
2001-06-04,436.827
2001-06-05,440.036
2001-06-06,436.754
2001-06-07,435.166
2001-06-08,435.466
2001-06-11,427.322
2001-06-12,415.306
2001-06-13,422.629
2001-06-14,418.459
2001-06-15,413.422
2001-06-18,419.512
2001-06-19,423.734
2001-06-20,417.019
2001-06-21,415.988
2001-06-22,415.292
2001-06-25,416.889
2001-06-26,403.587
2001-06-27,405.029
2001-06-28,396.287
2001-06-29,396.206
2001-07-02,395.884
2001-07-03,395.57
2001-07-04,394.607
2001-07-05,388.642
2001-07-06,391.092
2001-07-09,392.946
2001-07-10,390.59
2001-07-11,391.526
2001-07-12,391.601
2001-07-13,373.471
2001-07-16,370.37
2001-07-17,365.53
2001-07-18,372.553
2001-07-19,380.13
2001-07-20,378.106
2001-07-23,381.593
2001-07-24,377.515
2001-07-25,376.687
2001-07-26,377.123
2001-07-27,383.074
2001-07-30,386.566
2001-07-31,387.661
2001-08-01,388.326
2001-08-02,394.842
2001-08-03,397.006
2001-08-06,387.694
2001-08-07,385.465
2001-08-08,379.836
2001-08-09,377.037
2001-08-10,375.606
2001-08-13,374.049
2001-08-14,370.307
2001-08-15,370.108
2001-08-16,371.181
2001-08-17,369.702
2001-08-20,362.084
2001-08-21,362.593
2001-08-22,366.199
2001-08-23,360.993
2001-08-24,362.06
2001-08-27,361.606
2001-08-28,359.615
2001-08-29,351.417
2001-08-30,348.409
2001-08-31,343.526
2001-09-03,340.851
2001-09-04,344.324
2001-09-05,343.71
2001-09-06,342.304
2001-09-07,340.693
2001-09-10,330.841
2001-09-11,332.045
2001-09-12,319.554
2001-09-13,324.672
2001-09-14,321.615
2001-09-17,316.832
2001-09-18,315.94
2001-09-19,314.899
2001-09-20,294.653
2001-09-21,276.91
2001-09-24,287.992
2001-09-25,296.942
2001-09-26,293.071
2001-09-27,294.088
2001-09-28,299.628
2001-10-01,302.49
2001-10-02,302.59
2001-10-03,296.323
2001-10-04,300.332
2001-10-05,296.7
2001-10-08,292.383
2001-10-09,295.15
2001-10-10,296.077
2001-10-11,303.336
2001-10-12,299.349
2001-10-15,298.881
2001-10-16,306.827
2001-10-17,312.299
2001-10-18,307.158
