Date,NORWAY SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,286.316
1994-06-30,278.873
1994-07-29,297.35
1994-08-31,295.665
1994-09-30,276.443
1994-10-31,294.113
1994-11-30,296.586
1994-12-30,315.777
1995-01-31,322.615
1995-02-28,317.996
1995-03-31,324.657
1995-04-28,349.503
1995-05-31,351.66
1995-06-30,370.168
1995-07-31,377.627
1995-08-31,371.504
1995-09-29,383.101
1995-10-31,371.525
1995-11-30,379.624
1995-12-29,389.791
1996-01-31,383.57
1996-02-29,391.714
1996-03-29,388.621
1996-04-30,412.175
1996-05-31,412.338
1996-06-28,395.046
1996-07-31,401.58
1996-08-30,402.455
1996-09-30,400.19
1996-10-31,431.897
1996-11-29,462.74
1996-12-31,479.354
1997-01-31,520.418
1997-02-28,500.065
1997-03-31,513.872
1997-04-30,454.871
1997-05-30,484.374
1997-06-30,474.829
1997-07-31,489.081
1997-08-29,496.348
1997-09-30,552.807
1997-10-31,557.064
1997-11-28,518.554
1997-12-31,500.608
1998-01-30,469.466
1998-02-27,480.656
1998-03-31,515.645
1998-04-30,551.56
1998-05-29,512.742
1998-06-30,481.421
1998-07-31,476.82
1998-08-31,346.014
1998-09-30,333.769
1998-10-30,364.828
1998-11-30,340.018
1998-12-31,326.295
1999-01-29,368.094
1999-02-26,341.573
1999-03-31,357.009
1999-04-30,371.511
1999-05-31,375.08
1999-06-30,386.393
1999-07-30,389.172
1999-08-31,388.027
1999-09-30,373.567
1999-10-29,362.229
1999-11-30,397.195
1999-12-31,480.552
2000-01-31,459.008
2000-02-29,500.455
2000-03-31,495.158
2000-04-28,425.683
2000-05-31,433.055
2000-06-30,469.317
2000-07-31,483.121
2000-08-31,539.352
2000-09-29,516.139
2000-10-31,523.301
2000-11-30,447.294
2000-12-29,444.709
2001-01-31,471.92
2001-02-28,458.649
2001-03-30,412.886
2001-04-30,435.601
2001-05-31,437.284
2001-06-29,396.206
2001-07-31,387.661
2001-08-31,343.526
2001-09-28,299.628
2001-10-31,309.809
2001-11-30,321.397
2001-12-31,324.498
2002-01-31,310.682
2002-02-28,316.426
2002-03-29,349.226
2002-04-30,334.486
2002-05-31,331.898
2002-06-28,313.386
2002-07-31,297.737
2002-08-30,275.199
2002-09-30,221.626
2002-10-31,241.885
2002-11-29,275.708
2002-12-31,193.326
2003-01-31,180.466
2003-02-28,153.562
2003-03-31,142.914
2003-04-30,175.143
2003-05-30,189.547
2003-06-30,185.11
2003-07-31,203.118
2003-08-29,213.036
2003-09-30,207.919
2003-10-31,240.673
2003-11-28,254.298
2003-12-31,272.108
2004-01-30,295.309
2004-02-27,303.152
2004-03-31,289.739
2004-04-30,271.025
2004-05-31,280.172
2004-06-30,301.384
2004-07-30,283.363
2004-08-31,289.962
2004-09-30,322.621
2004-10-29,328.455
2004-11-30,387.578
2004-12-31,400.598
2005-01-31,397.966
2005-02-28,430.171
2005-03-31,415.966
2005-04-29,384.81
2005-05-31,413.359
2005-06-30,446.307
2005-07-29,505.463
2005-08-31,556.981
2005-09-30,578.602
2005-10-31,506.995
2005-11-30,505.19
2005-12-30,561.386
2006-01-31,599.298
2006-02-28,618.63
2006-03-31,702.292
2006-04-28,780.892
2006-05-31,764.011
2006-06-30,726.302
2006-07-31,728.306
2006-08-31,721.729
2006-09-29,675.677
2006-10-31,735.087
2006-11-30,816.078
2006-12-29,843.033
2007-01-31,863.378
