Date,NORWAY SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,295.605
1994-06-30,287.921
1994-07-29,306.997
1994-08-31,305.258
1994-09-30,285.412
1994-10-31,303.655
1994-11-30,306.208
1994-12-30,326.022
1995-01-31,333.082
1995-02-28,328.313
1995-03-31,335.19
1995-04-28,360.725
1995-05-31,362.155
1995-06-30,381.169
1995-07-31,388.849
1995-08-31,382.544
1995-09-29,394.486
1995-10-31,382.566
1995-11-30,390.905
1995-12-29,401.374
1996-01-31,394.969
1996-02-29,403.355
1996-03-29,400.169
1996-04-30,424.288
1996-05-31,423.252
1996-06-28,405.443
1996-07-31,412.149
1996-08-30,413.046
1996-09-30,410.722
1996-10-31,443.263
1996-11-29,474.918
1996-12-31,491.969
1997-01-31,534.114
1997-02-28,513.225
1997-03-31,527.357
1997-04-30,466.475
1997-05-30,496.268
1997-06-30,486.455
1997-07-31,501.057
1997-08-29,508.501
1997-09-30,566.343
1997-10-31,570.704
1997-11-28,531.251
1997-12-31,512.866
1998-01-30,480.961
1998-02-27,492.425
1998-03-31,528.266
1998-04-30,564.832
1998-05-29,524.443
1998-06-30,492.352
1998-07-31,487.647
1998-08-31,353.87
1998-09-30,341.348
1998-10-30,373.112
1998-11-30,347.738
1998-12-31,333.704
1999-01-29,376.452
1999-02-26,349.329
1999-03-31,365.115
1999-04-30,379.855
1999-05-31,383.369
1999-06-30,394.933
1999-07-30,397.773
1999-08-31,396.602
1999-09-30,381.823
1999-10-29,370.234
1999-11-30,405.973
1999-12-31,491.173
2000-01-31,469.152
2000-02-29,511.515
2000-03-31,506.101
2000-04-28,435.063
2000-05-31,442.319
2000-06-30,479.357
2000-07-31,493.456
2000-08-31,550.889
2000-09-29,527.18
2000-10-31,534.495
2000-11-30,456.862
2000-12-29,454.222
2001-01-31,482.015
2001-02-28,468.461
2001-03-30,421.718
2001-04-30,444.629
2001-05-31,445.631
2001-06-29,403.769
2001-07-31,395.06
2001-08-31,350.083
2001-09-28,305.348
2001-10-31,315.723
2001-11-30,327.532
2001-12-31,330.648
2002-01-31,316.571
2002-02-28,322.424
2002-03-29,355.835
2002-04-30,340.672
2002-05-31,337.544
2002-06-28,318.716
2002-07-31,302.801
2002-08-30,279.88
2002-09-30,225.396
2002-10-31,245.999
2002-11-29,280.397
2002-12-31,196.615
2003-01-31,183.535
2003-02-28,156.174
2003-03-31,145.268
2003-04-30,177.869
2003-05-30,192.347
2003-06-30,187.844
2003-07-31,206.118
2003-08-29,216.183
2003-09-30,210.99
2003-10-31,244.228
2003-11-28,258.054
2003-12-31,276.128
2004-01-30,299.671
2004-02-27,307.573
2004-03-31,293.964
2004-04-30,274.617
2004-05-31,283.088
2004-06-30,304.48
2004-07-30,286.273
2004-08-31,292.69
2004-09-30,325.656
2004-10-29,331.545
2004-11-30,390.791
2004-12-31,403.882
2005-01-31,401.228
2005-02-28,433.669
2005-03-31,418.831
2005-04-29,387.171
2005-05-31,415.367
2005-06-30,448.453
2005-07-29,507.894
2005-08-31,559.66
2005-09-30,581.385
2005-10-31,509.434
2005-11-30,507.62
2005-12-30,564.086
2006-01-31,602.18
2006-02-28,621.606
2006-03-31,705.403
2006-04-28,784.35
2006-05-31,766.793
2006-06-30,728.947
2006-07-31,730.958
2006-08-31,724.356
2006-09-29,677.96
2006-10-31,737.57
2006-11-30,818.835
2006-12-29,845.563
2007-01-31,865.969
2007-02-28,858.325
2007-03-30,928.712
2007-04-30,979.961
2007-05-31,1000.0
2007-06-29,1048.339
2007-07-31,1045.936
2007-08-31,995.846
2007-09-28,1139.966
2007-10-31,1172.571
2007-11-30,1052.801
2007-12-31,1089.397
2008-01-31,885.825
2008-02-29,1024.596
2008-03-31,1025.414
2008-04-30,1165.453
2008-05-30,1232.418
2008-06-30,1110.848
2008-07-31,1047.604
2008-08-29,1010.0
2008-09-30,657.586
2008-10-31,398.588
2008-11-28,359.288
2008-12-31,351.993
2009-01-30,349.951
2009-02-27,326.834
2009-03-31,378.414
2009-04-30,422.148
2009-05-29,537.946
2009-06-30,522.808
2009-07-31,564.661
2009-08-31,574.519
2009-09-30,649.282
2009-10-30,656.293
2009-11-30,690.434
2009-12-31,753.846
2010-01-29,724.836
2010-02-26,700.976
2010-03-31,759.701
2010-04-30,779.417
2010-05-31,614.703
2010-06-30,558.369
2010-07-30,645.842
2010-08-31,615.087
2010-09-30,743.66
2010-10-29,788.412
2010-11-30,751.281
2010-12-31,918.674
2011-01-31,924.37
2011-02-28,989.741
2011-03-31,1002.23
2011-04-29,1046.161
2011-05-31,999.187
2011-06-30,944.783
2011-07-29,943.098
2011-08-31,829.866
2011-09-30,647.865
2011-10-31,761.889
2011-11-30,705.855
2011-12-30,681.613
2012-01-31,771.4
2012-02-29,916.954
2012-03-30,924.497
2012-04-30,924.342
2012-05-31,751.478
2012-06-29,813.522
2012-07-31,837.586
2012-08-31,910.463
2012-09-28,956.886
2012-10-31,935.981
2012-11-30,943.964
2012-12-31,983.197
2013-01-31,1029.718
2013-02-28,1041.972
2013-03-29,1016.891
2013-04-30,977.992
2013-05-31,998.289
2013-06-28,902.847
2013-07-31,981.68
2013-08-30,957.937
2013-09-30,996.337
2013-10-31,1064.395
2013-11-29,1082.701
2013-12-31,1102.008
2014-01-31,1031.579
2014-02-28,1146.336
2014-03-31,1124.908
2014-04-30,1139.649
2014-05-30,1165.659
2014-06-30,1136.07
2014-07-31,1113.65
2014-08-29,1127.518
2014-09-30,1075.472
2014-10-31,989.07
2014-11-28,1023.519
2014-12-31,983.912
2015-01-30,994.061
2015-02-27,942.844
2015-03-31,877.017
2015-04-30,932.831
2015-05-29,912.117
2015-06-30,882.619
2015-07-31,874.88
2015-08-31,813.311
2015-09-30,793.325
2015-10-30,803.315
2015-11-30,843.249
2015-12-31,820.265
2016-01-29,759.034
2016-02-29,788.517
2016-03-31,849.043
2016-04-29,892.383
2016-05-31,899.643
2016-06-30,873.657
2016-07-29,903.224
2016-08-31,882.222
2016-09-30,936.05
2016-10-31,902.921
2016-11-30,877.607
2016-12-30,893.284
2017-01-31,923.729
2017-02-28,908.71
2017-03-31,836.092
2017-04-28,882.827
2017-05-31,892.87
2017-06-30,887.563
2017-07-31,960.3
2017-08-31,994.288
2017-09-29,1021.537
2017-10-31,1041.514
2017-11-30,994.503
2017-12-29,1050.292
2018-01-31,1070.161
2018-02-28,1048.156
2018-03-30,1003.593
2018-04-30,1029.973
2018-05-31,1016.554
2018-06-29,1008.671
2018-07-31,1029.108
2018-08-31,1015.04
2018-09-28,1076.212
2018-10-31,977.823
2018-11-30,915.504
2018-12-31,830.791
2019-01-31,895.343
2019-02-28,911.938
2019-03-29,907.389
2019-04-30,918.264
2019-05-31,911.375
2019-06-28,943.748
2019-07-31,931.32
