Date,NORWAY SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,454.222
2001-01-02,471.289
2001-01-03,439.23
2001-01-04,457.161
2001-01-05,458.475
2001-01-08,459.416
2001-01-09,450.784
2001-01-10,455.241
2001-01-11,462.556
2001-01-12,470.671
2001-01-15,468.329
2001-01-16,459.231
2001-01-17,471.046
2001-01-18,479.076
2001-01-19,479.573
2001-01-22,469.047
2001-01-23,470.817
2001-01-24,473.207
2001-01-25,467.85
2001-01-26,467.31
2001-01-29,456.594
2001-01-30,464.608
2001-01-31,482.015
2001-02-01,488.415
2001-02-02,487.338
2001-02-05,483.217
2001-02-06,482.157
2001-02-07,479.941
2001-02-08,477.296
2001-02-09,470.851
2001-02-12,463.152
2001-02-13,469.359
2001-02-14,461.825
2001-02-15,458.0
2001-02-16,464.673
2001-02-19,477.437
2001-02-20,470.824
2001-02-21,466.643
2001-02-22,466.228
2001-02-23,463.147
2001-02-26,471.992
2001-02-27,468.961
2001-02-28,468.461
2001-03-01,455.417
2001-03-02,460.049
2001-03-05,467.805
2001-03-06,483.294
2001-03-07,477.421
2001-03-08,482.422
2001-03-09,478.969
2001-03-12,463.681
2001-03-13,451.729
2001-03-14,434.425
2001-03-15,440.242
2001-03-16,435.277
2001-03-19,426.528
2001-03-20,438.984
2001-03-21,425.907
2001-03-22,406.781
2001-03-23,411.039
2001-03-26,419.783
2001-03-27,425.309
2001-03-28,417.122
2001-03-29,414.439
2001-03-30,421.718
2001-04-02,417.056
2001-04-03,405.239
2001-04-04,409.807
2001-04-05,425.669
2001-04-06,420.336
2001-04-09,421.341
2001-04-10,429.876
2001-04-11,428.226
2001-04-12,432.292
2001-04-13,432.292
2001-04-16,427.89
2001-04-17,425.098
2001-04-18,431.642
2001-04-19,436.192
2001-04-20,433.986
2001-04-23,433.715
2001-04-24,433.786
2001-04-25,436.366
2001-04-26,438.436
2001-04-27,444.419
2001-04-30,444.629
2001-05-01,447.255
2001-05-02,447.152
2001-05-03,442.283
2001-05-04,442.378
2001-05-07,447.65
2001-05-08,449.864
2001-05-09,444.57
2001-05-10,458.096
2001-05-11,452.299
2001-05-14,439.971
2001-05-15,444.009
2001-05-16,441.676
2001-05-17,441.719
2001-05-18,456.474
2001-05-21,470.009
2001-05-22,463.131
2001-05-23,461.298
2001-05-24,461.518
2001-05-25,465.804
2001-05-28,467.022
2001-05-29,458.293
2001-05-30,453.426
2001-05-31,445.631
2001-06-01,444.535
2001-06-04,445.165
2001-06-05,448.436
2001-06-06,445.091
2001-06-07,443.472
2001-06-08,443.778
2001-06-11,435.479
2001-06-12,423.234
2001-06-13,430.697
2001-06-14,426.446
2001-06-15,421.314
2001-06-18,427.52
2001-06-19,431.823
2001-06-20,424.979
2001-06-21,423.929
2001-06-22,423.22
2001-06-25,424.847
2001-06-26,411.291
2001-06-27,412.761
2001-06-28,403.852
2001-06-29,403.769
2001-07-02,403.441
2001-07-03,403.121
2001-07-04,402.139
2001-07-05,396.061
2001-07-06,398.558
2001-07-09,400.447
2001-07-10,398.046
2001-07-11,398.999
2001-07-12,399.076
2001-07-13,380.6
2001-07-16,377.44
2001-07-17,372.507
2001-07-18,379.665
2001-07-19,387.386
2001-07-20,385.323
2001-07-23,388.877
2001-07-24,384.722
2001-07-25,383.878
2001-07-26,384.322
2001-07-27,390.386
2001-07-30,393.945
2001-07-31,395.06
2001-08-01,395.739
2001-08-02,402.379
2001-08-03,404.584
2001-08-06,395.095
2001-08-07,392.823
2001-08-08,387.087
2001-08-09,384.234
2001-08-10,382.775
2001-08-13,381.189
2001-08-14,377.375
2001-08-15,377.173
2001-08-16,378.267
2001-08-17,376.76
2001-08-20,368.996
2001-08-21,369.515
2001-08-22,373.19
2001-08-23,367.884
2001-08-24,368.972
2001-08-27,368.508
2001-08-28,366.48
2001-08-29,358.125
2001-08-30,355.06
2001-08-31,350.083
2001-09-03,347.357
2001-09-04,350.896
2001-09-05,350.271
2001-09-06,348.838
2001-09-07,347.197
2001-09-10,337.157
2001-09-11,338.383
2001-09-12,325.654
2001-09-13,330.869
2001-09-14,327.754
2001-09-17,322.88
2001-09-18,321.971
2001-09-19,320.91
2001-09-20,300.278
2001-09-21,282.196
2001-09-24,293.489
2001-09-25,302.61
2001-09-26,298.666
2001-09-27,299.702
2001-09-28,305.348
2001-10-01,308.264
2001-10-02,308.366
2001-10-03,301.98
2001-10-04,306.065
2001-10-05,302.364
2001-10-08,297.964
2001-10-09,300.784
2001-10-10,301.729
2001-10-11,309.126
2001-10-12,305.063
2001-10-15,304.586
2001-10-16,312.684
2001-10-17,318.26
2001-10-18,313.021
2001-10-19,308.322
2001-10-22,312.503
2001-10-23,314.512
2001-10-24,321.461
2001-10-25,315.429
2001-10-26,321.082
2001-10-29,323.304
2001-10-30,317.154
2001-10-31,315.723
2001-11-01,311.91
2001-11-02,307.971
2001-11-05,313.306
2001-11-06,311.404
2001-11-07,317.225
2001-11-08,319.68
2001-11-09,323.568
2001-11-12,314.273
2001-11-13,324.21
2001-11-14,328.745
2001-11-15,325.155
2001-11-16,325.538
2001-11-19,320.902
2001-11-20,326.197
2001-11-21,321.679
2001-11-22,329.264
2001-11-23,328.152
2001-11-26,329.891
2001-11-27,329.807
2001-11-28,329.263
2001-11-29,326.872
2001-11-30,327.532
2001-12-03,319.276
2001-12-04,322.111
2001-12-05,325.675
2001-12-06,324.956
2001-12-07,323.46
2001-12-10,320.715
2001-12-11,321.278
2001-12-12,324.633
2001-12-13,319.938
2001-12-14,324.464
2001-12-17,320.231
2001-12-18,315.847
2001-12-19,311.828
2001-12-20,314.042
2001-12-21,318.499
2001-12-24,314.432
2001-12-25,314.432
2001-12-26,314.859
2001-12-27,327.113
2001-12-28,328.266
2001-12-31,330.648
2002-01-01,330.648
2002-01-02,339.199
2002-01-03,344.836
2002-01-04,342.555
2002-01-07,341.329
2002-01-08,338.219
2002-01-09,340.175
2002-01-10,337.815
2002-01-11,341.374
2002-01-14,343.439
2002-01-15,328.353
2002-01-16,318.155
2002-01-17,324.198
2002-01-18,316.769
2002-01-21,315.858
2002-01-22,316.114
2002-01-23,316.072
2002-01-24,318.17
2002-01-25,313.688
2002-01-28,318.118
2002-01-29,318.556
2002-01-30,316.803
2002-01-31,316.571
2002-02-01,317.373
2002-02-04,317.589
2002-02-05,313.079
2002-02-06,316.316
2002-02-07,319.726
2002-02-08,318.768
2002-02-11,323.397
2002-02-12,321.796
2002-02-13,323.022
2002-02-14,321.586
2002-02-15,322.066
2002-02-18,320.862
2002-02-19,317.751
2002-02-20,317.492
2002-02-21,317.266
2002-02-22,324.04
2002-02-25,319.357
2002-02-26,321.721
2002-02-27,324.393
2002-02-28,322.424
2002-03-01,326.663
2002-03-04,329.504
2002-03-05,333.359
2002-03-06,333.925
2002-03-07,346.766
2002-03-08,349.363
2002-03-11,349.221
2002-03-12,346.836
2002-03-13,348.696
2002-03-14,350.203
2002-03-15,351.276
2002-03-18,354.909
2002-03-19,357.78
2002-03-20,356.136
2002-03-21,356.97
2002-03-22,355.998
2002-03-25,354.864
2002-03-26,354.193
2002-03-27,355.656
2002-03-28,355.835
2002-03-29,355.835
2002-04-01,358.52
2002-04-02,360.756
2002-04-03,359.317
2002-04-04,350.934
2002-04-05,356.238
2002-04-08,349.343
2002-04-09,354.501
2002-04-10,351.908
2002-04-11,355.736
2002-04-12,352.912
2002-04-15,352.266
2002-04-16,354.597
2002-04-17,355.769
2002-04-18,359.494
2002-04-19,358.635
2002-04-22,355.149
2002-04-23,354.088
2002-04-24,352.243
2002-04-25,346.417
2002-04-26,347.091
2002-04-29,344.153
2002-04-30,340.672
2002-05-01,342.772
2002-05-02,347.203
2002-05-03,350.782
2002-05-06,349.298
2002-05-07,343.373
2002-05-08,350.029
2002-05-09,350.647
2002-05-10,351.969
2002-05-13,348.421
2002-05-14,353.177
2002-05-15,354.024
2002-05-16,355.465
2002-05-17,359.264
2002-05-20,360.323
2002-05-21,358.066
2002-05-22,358.198
2002-05-23,355.244
2002-05-24,351.058
2002-05-27,350.115
2002-05-28,349.089
2002-05-29,340.657
2002-05-30,335.432
2002-05-31,337.544
2002-06-03,338.965
2002-06-04,329.406
2002-06-05,331.836
2002-06-06,335.126
2002-06-07,325.471
2002-06-10,325.571
2002-06-11,332.875
2002-06-12,329.589
2002-06-13,331.757
2002-06-14,324.326
2002-06-17,331.355
2002-06-18,336.74
2002-06-19,334.655
2002-06-20,324.147
2002-06-21,321.563
2002-06-24,312.707
2002-06-25,316.416
2002-06-26,303.947
2002-06-27,319.824
2002-06-28,318.716
2002-07-01,324.535
2002-07-02,324.751
2002-07-03,317.684
2002-07-04,318.371
2002-07-05,325.038
2002-07-08,336.258
2002-07-09,339.54
2002-07-10,333.093
2002-07-11,332.215
2002-07-12,331.846
2002-07-15,333.016
2002-07-16,331.206
2002-07-17,338.84
2002-07-18,335.758
2002-07-19,326.738
2002-07-22,312.3
2002-07-23,297.645
2002-07-24,281.306
2002-07-25,293.347
2002-07-26,293.277
2002-07-29,295.072
2002-07-30,302.232
2002-07-31,302.801
2002-08-01,298.781
2002-08-02,298.896
2002-08-05,290.94
2002-08-06,281.392
2002-08-07,287.619
2002-08-08,289.234
