Date,NORWAY LARGE CAP Large Cap
1994-05-31,167.381
1994-06-30,158.049
1994-07-29,179.959
1994-08-31,183.892
1994-09-30,175.562
1994-10-31,188.66
1994-11-30,179.877
1994-12-30,187.737
1995-01-31,190.78
1995-02-28,185.074
1995-03-31,183.974
1995-04-28,199.088
1995-05-31,200.797
1995-06-30,207.813
1995-07-31,218.269
1995-08-31,203.404
1995-09-29,213.138
1995-10-31,206.666
1995-11-30,200.856
1995-12-29,205.621
1996-01-31,203.665
1996-02-29,207.253
1996-03-29,212.499
1996-04-30,226.286
1996-05-31,230.417
1996-06-28,237.651
1996-07-31,214.309
1996-08-30,226.798
1996-09-30,233.351
1996-10-31,233.137
1996-11-29,247.812
1996-12-31,263.809
1997-01-31,280.706
1997-02-28,248.321
1997-03-31,249.228
1997-04-30,247.872
1997-05-30,261.941
1997-06-30,276.651
1997-07-31,269.875
1997-08-29,282.429
1997-09-30,304.049
1997-10-31,280.19
1997-11-28,261.404
1997-12-31,247.823
1998-01-30,233.244
1998-02-27,226.894
1998-03-31,252.927
1998-04-30,263.407
1998-05-29,237.252
1998-06-30,229.822
1998-07-31,232.532
1998-08-31,186.492
1998-09-30,190.251
1998-10-30,226.811
1998-11-30,196.706
1998-12-31,176.257
1999-01-29,187.975
1999-02-26,177.224
1999-03-31,212.967
1999-04-30,238.443
1999-05-31,210.433
1999-06-30,200.412
1999-07-30,207.033
1999-08-31,221.358
1999-09-30,224.756
1999-10-29,211.96
1999-11-30,207.575
1999-12-31,222.084
2000-01-31,210.705
2000-02-29,197.9
2000-03-31,201.117
2000-04-28,198.121
2000-05-31,206.853
2000-06-30,227.956
2000-07-31,209.595
2000-08-31,232.618
2000-09-29,226.555
2000-10-31,214.742
2000-11-30,217.146
2000-12-29,224.967
2001-01-31,244.062
2001-02-28,229.874
2001-03-30,215.291
2001-04-30,235.891
2001-05-31,226.303
2001-06-29,223.115
2001-07-31,220.439
2001-08-31,214.602
2001-09-28,198.477
2001-10-31,206.426
2001-11-30,204.573
2001-12-31,216.954
