Date,NORWAY LARGE CAP Large Cap
2001-01-01,212.781
2001-01-02,216.159
2001-01-03,212.628
2001-01-04,214.578
2001-01-05,220.992
2001-01-08,221.821
2001-01-09,221.536
2001-01-10,223.09
2001-01-11,223.581
2001-01-12,221.591
2001-01-15,220.166
2001-01-16,218.851
2001-01-17,217.947
2001-01-18,219.095
2001-01-19,215.899
2001-01-22,218.662
2001-01-23,218.381
2001-01-24,219.374
2001-01-25,218.798
2001-01-26,221.603
2001-01-29,223.999
2001-01-30,230.733
2001-01-31,230.842
2001-02-01,235.284
2001-02-02,232.831
2001-02-05,232.548
2001-02-06,233.532
2001-02-07,231.797
2001-02-08,227.91
2001-02-09,227.894
2001-02-12,222.947
2001-02-13,219.425
2001-02-14,214.31
2001-02-15,211.451
2001-02-16,211.88
2001-02-19,212.878
2001-02-20,212.067
2001-02-21,212.124
2001-02-22,214.627
2001-02-23,213.333
2001-02-26,215.71
2001-02-27,218.67
2001-02-28,217.422
2001-03-01,215.599
2001-03-02,217.919
2001-03-05,218.655
2001-03-06,224.761
2001-03-07,221.338
2001-03-08,222.683
2001-03-09,220.943
2001-03-12,215.91
2001-03-13,209.917
2001-03-14,203.323
2001-03-15,206.819
2001-03-16,200.724
2001-03-19,200.676
2001-03-20,205.053
2001-03-21,203.393
2001-03-22,198.294
2001-03-23,202.009
2001-03-26,202.646
2001-03-27,205.068
2001-03-28,201.114
2001-03-29,199.937
2001-03-30,203.629
2001-04-02,202.991
2001-04-03,201.515
2001-04-04,201.084
2001-04-05,202.56
2001-04-06,203.595
2001-04-09,205.056
2001-04-10,209.663
2001-04-11,210.683
2001-04-12,212.683
2001-04-13,212.683
2001-04-16,210.517
2001-04-17,207.961
2001-04-18,210.087
2001-04-19,211.373
2001-04-20,213.179
2001-04-23,213.955
2001-04-24,218.144
2001-04-25,217.092
2001-04-26,218.728
2001-04-27,220.258
2001-04-30,223.113
2001-05-01,224.431
2001-05-02,224.276
2001-05-03,219.047
2001-05-04,218.846
2001-05-07,220.857
2001-05-08,220.5
2001-05-09,221.546
2001-05-10,219.548
2001-05-11,221.422
2001-05-14,215.762
2001-05-15,216.951
2001-05-16,215.595
2001-05-17,215.617
2001-05-18,220.317
2001-05-21,220.196
2001-05-22,219.776
2001-05-23,217.347
2001-05-24,217.451
2001-05-25,220.958
2001-05-28,221.07
2001-05-29,218.54
2001-05-30,218.062
2001-05-31,214.968
2001-06-01,210.844
2001-06-04,211.143
2001-06-05,210.575
2001-06-06,212.185
2001-06-07,210.495
2001-06-08,212.184
2001-06-11,209.205
2001-06-12,205.765
2001-06-13,213.096
2001-06-14,211.72
2001-06-15,213.207
2001-06-18,210.813
2001-06-19,214.834
2001-06-20,211.071
2001-06-21,209.652
2001-06-22,212.227
2001-06-25,212.034
2001-06-26,209.957
2001-06-27,208.96
2001-06-28,209.245
2001-06-29,211.94
2001-07-02,210.078
2001-07-03,210.106
2001-07-04,209.233
2001-07-05,206.774
2001-07-06,206.6
2001-07-09,208.737
2001-07-10,205.962
2001-07-11,201.79
2001-07-12,200.658
2001-07-13,203.46
2001-07-16,203.016
2001-07-17,197.484
2001-07-18,199.292
2001-07-19,203.193
2001-07-20,203.608
2001-07-23,206.422
2001-07-24,206.266
2001-07-25,205.703
2001-07-26,207.144
2001-07-27,207.54
2001-07-30,210.006
2001-07-31,209.398
2001-08-01,213.363
2001-08-02,213.895
2001-08-03,210.334
2001-08-06,211.293
2001-08-07,208.251
2001-08-08,205.071
2001-08-09,207.905
2001-08-10,207.511
2001-08-13,207.795
2001-08-14,209.98
2001-08-15,211.935
2001-08-16,211.714
2001-08-17,210.216
2001-08-20,208.7
2001-08-21,210.729
2001-08-22,208.38
2001-08-23,203.78
2001-08-24,207.464
2001-08-27,205.635
2001-08-28,205.614
2001-08-29,205.479
2001-08-30,204.939
2001-08-31,203.853
2001-09-03,201.166
2001-09-04,201.21
2001-09-05,201.844
2001-09-06,200.817
2001-09-07,199.621
2001-09-10,193.8
2001-09-11,212.756
2001-09-12,197.129
2001-09-13,195.932
2001-09-14,197.604
2001-09-17,198.486
2001-09-18,196.335
2001-09-19,195.493
2001-09-20,190.898
2001-09-21,181.621
2001-09-24,182.494
2001-09-25,187.088
2001-09-26,187.282
2001-09-27,186.233
2001-09-28,188.536
2001-10-01,182.779
2001-10-02,182.607
2001-10-03,185.752
2001-10-04,187.072
2001-10-05,185.914
2001-10-08,185.463
2001-10-09,187.989
2001-10-10,190.494
2001-10-11,191.89
2001-10-12,192.091
2001-10-15,186.782
2001-10-16,186.458
2001-10-17,191.431
2001-10-18,186.642
2001-10-19,180.512
2001-10-22,182.319
2001-10-23,185.837
2001-10-24,187.38
2001-10-25,184.752
2001-10-26,187.249
2001-10-29,195.708
2001-10-30,198.713
2001-10-31,196.087
2001-11-01,195.376
2001-11-02,193.97
2001-11-05,198.562
2001-11-06,198.69
2001-11-07,199.755
2001-11-08,200.57
2001-11-09,203.026
2001-11-12,200.534
2001-11-13,203.681
2001-11-14,201.971
2001-11-15,194.969
2001-11-16,190.827
2001-11-19,188.554
2001-11-20,193.155
2001-11-21,191.539
2001-11-22,196.325
2001-11-23,189.999
2001-11-26,188.281
2001-11-27,190.614
2001-11-28,190.82
2001-11-29,193.024
2001-11-30,194.326
2001-12-03,195.11
2001-12-04,199.277
2001-12-05,202.009
2001-12-06,203.82
2001-12-07,202.338
2001-12-10,199.752
2001-12-11,200.022
2001-12-12,202.665
2001-12-13,197.887
2001-12-14,197.518
2001-12-17,198.022
2001-12-18,201.153
2001-12-19,199.133
2001-12-20,200.875
2001-12-21,198.089
2001-12-24,195.56
2001-12-25,195.56
2001-12-26,195.826
2001-12-27,203.07
2001-12-28,204.603
2001-12-31,206.088
2002-01-01,206.088
2002-01-02,207.933
2002-01-03,210.558
2002-01-04,211.262
2002-01-07,208.797
2002-01-08,207.127
2002-01-09,207.917
2002-01-10,207.296
2002-01-11,203.706
2002-01-14,201.681
2002-01-15,199.51
2002-01-16,197.169
2002-01-17,199.425
2002-01-18,199.947
2002-01-21,197.979
2002-01-22,198.834
2002-01-23,196.443
2002-01-24,199.68
2002-01-25,196.752
2002-01-28,198.632
2002-01-29,196.561
2002-01-30,193.29
2002-01-31,195.793
2002-02-01,197.495
2002-02-04,198.275
2002-02-05,197.189
2002-02-06,197.424
2002-02-07,197.046
2002-02-08,195.077
2002-02-11,197.743
2002-02-12,197.758
2002-02-13,199.513
2002-02-14,201.133
2002-02-15,202.387
2002-02-18,200.806
2002-02-19,199.037
2002-02-20,195.916
2002-02-21,198.287
2002-02-22,201.833
2002-02-25,202.283
2002-02-26,203.273
2002-02-27,207.248
2002-02-28,207.428
2002-03-01,208.312
2002-03-04,211.989
2002-03-05,214.582
2002-03-06,213.902
2002-03-07,220.522
2002-03-08,224.342
2002-03-11,220.336
2002-03-12,219.501
2002-03-13,218.334
2002-03-14,221.828
2002-03-15,222.07
2002-03-18,221.805
2002-03-19,224.786
2002-03-20,223.733
2002-03-21,226.971
2002-03-22,227.751
2002-03-25,226.952
2002-03-26,227.073
2002-03-27,228.688
2002-03-28,228.803
2002-03-29,228.803
2002-04-01,230.53
2002-04-02,236.066
2002-04-03,236.323
2002-04-04,233.557
