Date,WORLD SMALL VALUE Small Cap
2001-01-01,357.107
2001-01-02,352.951
2001-01-03,357.38
2001-01-04,356.343
2001-01-05,353.116
2001-01-08,352.381
2001-01-09,351.228
2001-01-10,353.935
2001-01-11,355.872
2001-01-12,356.729
2001-01-15,356.194
2001-01-16,359.982
2001-01-17,360.041
2001-01-18,362.155
2001-01-19,360.719
2001-01-22,361.593
2001-01-23,365.292
2001-01-24,363.58
2001-01-25,363.542
2001-01-26,363.46
2001-01-29,366.438
2001-01-30,368.481
2001-01-31,369.396
2001-02-01,372.116
2001-02-02,369.99
2001-02-05,370.712
2001-02-06,371.165
2001-02-07,371.119
2001-02-08,368.44
2001-02-09,366.935
2001-02-12,370.103
2001-02-13,369.39
2001-02-14,369.092
2001-02-15,369.884
2001-02-16,368.296
2001-02-19,368.377
2001-02-20,366.157
2001-02-21,362.828
2001-02-22,360.024
2001-02-23,360.194
2001-02-26,364.147
2001-02-27,363.764
2001-02-28,362.075
2001-03-01,361.889
2001-03-02,363.312
2001-03-05,362.732
2001-03-06,365.733
2001-03-07,366.714
2001-03-08,367.258
2001-03-09,365.419
2001-03-12,358.128
2001-03-13,355.473
2001-03-14,349.794
2001-03-15,348.582
2001-03-16,344.096
2001-03-19,346.779
2001-03-20,345.3
2001-03-21,341.898
2001-03-22,335.724
2001-03-23,341.131
2001-03-26,345.665
2001-03-27,347.897
2001-03-28,344.834
2001-03-29,343.171
2001-03-30,345.615
2001-04-02,342.076
2001-04-03,338.422
2001-04-04,339.715
2001-04-05,346.366
2001-04-06,344.228
2001-04-09,345.763
2001-04-10,348.835
2001-04-11,348.091
2001-04-12,351.762
2001-04-13,351.904
2001-04-16,350.378
2001-04-17,351.908
2001-04-18,355.016
2001-04-19,359.17
2001-04-20,358.932
2001-04-23,357.649
2001-04-24,358.388
2001-04-25,362.1
2001-04-26,365.325
2001-04-27,366.258
2001-04-30,367.022
2001-05-01,371.262
2001-05-02,372.014
2001-05-03,371.124
2001-05-04,373.859
2001-05-07,372.975
2001-05-08,372.568
2001-05-09,371.789
2001-05-10,372.82
2001-05-11,371.873
2001-05-14,371.072
2001-05-15,373.07
2001-05-16,375.601
2001-05-17,379.019
2001-05-18,379.335
2001-05-21,382.894
2001-05-22,382.852
2001-05-23,380.685
2001-05-24,381.055
2001-05-25,380.625
2001-05-28,380.617
2001-05-29,378.802
2001-05-30,375.884
2001-05-31,376.092
2001-06-01,378.234
2001-06-04,379.819
2001-06-05,382.025
2001-06-06,380.286
2001-06-07,381.485
2001-06-08,380.248
2001-06-11,377.889
2001-06-12,376.917
2001-06-13,377.105
2001-06-14,374.13
2001-06-15,372.512
2001-06-18,369.965
2001-06-19,368.759
2001-06-20,369.092
2001-06-21,370.778
2001-06-22,369.692
2001-06-25,369.621
2001-06-26,371.49
2001-06-27,372.228
2001-06-28,372.024
2001-06-29,377.651
2001-07-02,374.807
2001-07-03,374.751
2001-07-04,374.239
2001-07-05,371.874
2001-07-06,368.421
2001-07-09,368.064
2001-07-10,367.334
2001-07-11,366.438
2001-07-12,370.11
2001-07-13,370.385
2001-07-16,368.893
2001-07-17,370.069
2001-07-18,370.349
2001-07-19,371.663
2001-07-20,371.813
2001-07-23,367.986
2001-07-24,365.517
2001-07-25,367.102
2001-07-26,369.043
2001-07-27,369.14
2001-07-30,368.453
2001-07-31,370.198
2001-08-01,373.223
2001-08-02,375.389
2001-08-03,374.95
2001-08-06,372.547
2001-08-07,372.338
2001-08-08,370.375
2001-08-09,370.561
2001-08-10,372.662
2001-08-13,372.887
2001-08-14,375.167
2001-08-15,378.137
2001-08-16,378.859
2001-08-17,377.164
2001-08-20,376.609
2001-08-21,376.386
2001-08-22,378.776
2001-08-23,376.729
2001-08-24,378.499
2001-08-27,377.537
2001-08-28,375.535
2001-08-29,375.07
2001-08-30,371.891
2001-08-31,371.393
2001-09-03,369.474
