Date,WORLD SMALL VALUE Small Cap
1994-05-31,234.235
1994-06-30,238.551
1994-07-29,240.23
1994-08-31,243.623
1994-09-30,238.683
1994-10-31,239.126
1994-11-30,226.591
1994-12-30,230.754
1995-01-31,228.486
1995-02-28,228.241
1995-03-31,234.597
1995-04-28,239.326
1995-05-31,238.155
1995-06-30,238.843
1995-07-31,249.654
1995-08-31,247.961
1995-09-29,250.205
1995-10-31,242.081
1995-11-30,247.473
1995-12-29,256.083
1996-01-31,259.259
1996-02-29,263.83
1996-03-29,268.244
1996-04-30,279.92
1996-05-31,282.499
1996-06-28,281.596
1996-07-31,270.052
1996-08-30,274.543
1996-09-30,277.099
1996-10-31,275.691
1996-11-29,282.615
1996-12-31,282.594
1997-01-31,281.466
1997-02-28,283.553
1997-03-31,277.528
1997-04-30,275.588
1997-05-30,297.162
1997-06-30,309.111
1997-07-31,310.426
1997-08-29,307.567
1997-09-30,317.873
1997-10-31,309.145
1997-11-28,302.099
1997-12-31,302.142
1998-01-30,307.384
1998-02-27,327.546
1998-03-31,339.575
1998-04-30,342.292
1998-05-29,337.838
1998-06-30,330.12
1998-07-31,315.872
1998-08-31,273.44
1998-09-30,276.942
1998-10-30,289.677
1998-11-30,300.689
1998-12-31,308.207
1999-01-29,304.306
1999-02-26,292.742
1999-03-31,299.793
1999-04-30,324.076
1999-05-31,324.324
1999-06-30,339.755
1999-07-30,343.993
1999-08-31,341.588
1999-09-30,339.388
1999-10-29,333.117
1999-11-30,333.538
1999-12-31,340.895
2000-01-31,333.525
2000-02-29,339.099
2000-03-31,348.372
2000-04-28,330.206
2000-05-31,328.815
2000-06-30,347.211
2000-07-31,340.822
2000-08-31,353.374
2000-09-29,346.279
2000-10-31,332.476
2000-11-30,325.827
2000-12-29,345.569
2001-01-31,357.499
2001-02-28,350.46
2001-03-30,334.681
2001-04-30,355.507
2001-05-31,364.479
2001-06-29,366.115
2001-07-31,358.929
2001-08-31,360.146
2001-09-28,321.268
2001-10-31,331.006
2001-11-30,345.167
2001-12-31,353.329
2002-01-31,349.58
2002-02-28,355.569
2002-03-29,378.923
2002-04-30,391.838
2002-05-31,397.014
2002-06-28,382.137
2002-07-31,345.245
2002-08-30,347.184
2002-09-30,320.722
2002-10-31,324.499
2002-11-29,341.84
2002-12-31,337.137
2003-01-31,328.939
2003-02-28,323.339
2003-03-31,323.654
2003-04-30,354.344
2003-05-30,387.45
2003-06-30,398.34
2003-07-31,413.598
2003-08-29,431.338
2003-09-30,439.809
2003-10-31,469.731
2003-11-28,482.421
2003-12-31,507.412
2004-01-30,525.996
2004-02-27,540.019
2004-03-31,553.245
2004-04-30,528.027
2004-05-31,533.378
2004-06-30,555.927
2004-07-30,536.623
2004-08-31,542.796
2004-09-30,560.066
2004-10-29,572.856
2004-11-30,616.884
2004-12-31,643.151
2005-01-31,634.812
2005-02-28,655.848
2005-03-31,645.059
2005-04-29,625.056
2005-05-31,643.535
2005-06-30,662.094
2005-07-29,692.147
2005-08-31,694.991
2005-09-30,707.079
2005-10-31,685.818
2005-11-30,710.769
2005-12-30,729.68
2006-01-31,780.113
2006-02-28,782.612
2006-03-31,810.841
2006-04-28,829.297
2006-05-31,796.195
2006-06-30,792.488
2006-07-31,785.175
2006-08-31,806.452
2006-09-29,812.65
2006-10-31,848.497
2006-11-30,880.849
2006-12-29,897.687
2007-01-31,915.074
2007-02-28,923.51
2007-03-30,943.08
2007-04-30,974.419
2007-05-31,1000.0
2007-06-29,980.013
2007-07-31,938.165
2007-08-31,926.466
2007-09-28,939.993
2007-10-31,964.378
2007-11-30,899.966
2007-12-31,880.324
2008-01-31,830.31
2008-02-29,824.932
2008-03-31,823.734
2008-04-30,850.281
2008-05-30,871.007
2008-06-30,782.662
2008-07-31,782.286
2008-08-29,790.287
2008-09-30,707.593
2008-10-31,553.852
2008-11-28,510.619
2008-12-31,544.204
2009-01-30,493.577
2009-02-27,433.452
2009-03-31,471.349
2009-04-30,560.29
2009-05-29,608.884
2009-06-30,613.872
2009-07-31,675.068
2009-08-31,730.283
2009-09-30,770.205
2009-10-30,735.317
2009-11-30,750.137
2009-12-31,782.608
2010-01-29,767.677
2010-02-26,784.768
2010-03-31,844.089
2010-04-30,877.488
2010-05-31,793.292
2010-06-30,755.0
2010-07-30,815.137
2010-08-31,776.53
2010-09-30,858.654
2010-10-29,888.947
2010-11-30,882.13
2010-12-31,966.327
2011-01-31,978.774
2011-02-28,1014.586
2011-03-31,1020.562
2011-04-29,1055.059
2011-05-31,1032.647
2011-06-30,1010.723
2011-07-29,985.772
2011-08-31,903.695
2011-09-30,806.278
2011-10-31,897.78
2011-11-30,875.778
2011-12-30,877.231
2012-01-31,942.115
2012-02-29,985.18
2012-03-30,997.956
2012-04-30,988.464
2012-05-31,902.668
2012-06-29,939.145
2012-07-31,937.339
2012-08-31,965.394
2012-09-28,1000.237
2012-10-31,1001.247
2012-11-30,1011.59
2012-12-31,1052.888
2013-01-31,1120.695
2013-02-28,1135.437
2013-03-29,1172.01
2013-04-30,1192.34
2013-05-31,1196.154
