Date,WORLD SMALL VALUE Small Cap
2001-01-01,345.578
2001-01-02,341.558
2001-01-03,345.845
2001-01-04,344.846
2001-01-05,341.724
2001-01-08,341.014
2001-01-09,339.899
2001-01-10,342.522
2001-01-11,344.398
2001-01-12,345.228
2001-01-15,344.711
2001-01-16,348.378
2001-01-17,348.436
2001-01-18,350.482
2001-01-19,349.092
2001-01-22,349.939
2001-01-23,353.519
2001-01-24,351.862
2001-01-25,351.826
2001-01-26,351.747
2001-01-29,354.632
2001-01-30,356.613
2001-01-31,357.499
2001-02-01,360.134
2001-02-02,358.077
2001-02-05,358.776
2001-02-06,359.215
2001-02-07,359.173
2001-02-08,356.581
2001-02-09,355.125
2001-02-12,358.193
2001-02-13,357.508
2001-02-14,357.224
2001-02-15,357.993
2001-02-16,356.461
2001-02-19,356.541
2001-02-20,354.392
2001-02-21,351.172
2001-02-22,348.459
2001-02-23,348.63
2001-02-26,352.459
2001-02-27,352.094
2001-02-28,350.46
2001-03-01,350.282
2001-03-02,351.66
2001-03-05,351.102
2001-03-06,354.007
2001-03-07,354.963
2001-03-08,355.493
2001-03-09,353.718
2001-03-12,346.661
2001-03-13,344.095
2001-03-14,338.602
2001-03-15,337.43
2001-03-16,333.089
2001-03-19,335.695
2001-03-20,334.266
2001-03-21,330.977
2001-03-22,325.008
2001-03-23,330.244
2001-03-26,334.643
2001-03-27,336.869
2001-03-28,333.912
2001-03-29,332.31
2001-03-30,334.681
2001-04-02,331.255
2001-04-03,327.721
2001-04-04,328.982
2001-04-05,335.429
2001-04-06,333.363
2001-04-09,334.856
2001-04-10,337.835
2001-04-11,337.117
2001-04-12,340.673
2001-04-13,340.81
2001-04-16,339.333
2001-04-17,340.821
2001-04-18,343.832
2001-04-19,347.862
2001-04-20,347.635
2001-04-23,346.397
2001-04-24,347.115
2001-04-25,350.716
2001-04-26,353.843
2001-04-27,354.763
2001-04-30,355.507
2001-05-01,359.618
2001-05-02,360.355
2001-05-03,359.502
2001-05-04,362.156
2001-05-07,361.317
2001-05-08,360.926
2001-05-09,360.174
2001-05-10,361.18
2001-05-11,360.268
2001-05-14,359.5
2001-05-15,361.44
2001-05-16,363.928
2001-05-17,367.244
2001-05-18,367.56
2001-05-21,371.019
2001-05-22,370.981
2001-05-23,368.89
2001-05-24,369.253
2001-05-25,368.842
2001-05-28,368.841
2001-05-29,367.088
2001-05-30,364.266
2001-05-31,364.479
2001-06-01,366.561
2001-06-04,368.103
2001-06-05,370.244
2001-06-06,368.567
2001-06-07,369.733
2001-06-08,368.54
2001-06-11,366.256
2001-06-12,365.317
2001-06-13,365.511
2001-06-14,362.632
2001-06-15,361.067
