Date,WORLD SMALL VALUE Small Cap
1994-05-31,244.598
1994-06-30,249.051
1994-07-29,250.761
1994-08-31,254.294
1994-09-30,249.116
1994-10-31,249.57
1994-11-30,236.483
1994-12-30,240.82
1995-01-31,238.446
1995-02-28,238.188
1995-03-31,244.768
1995-04-28,249.667
1995-05-31,248.383
1995-06-30,249.031
1995-07-31,260.259
1995-08-31,258.49
1995-09-29,260.805
1995-10-31,252.328
1995-11-30,257.945
1995-12-29,266.907
1996-01-31,270.211
1996-02-29,274.97
1996-03-29,279.519
1996-04-30,291.649
1996-05-31,294.251
1996-06-28,293.23
1996-07-31,281.154
1996-08-30,285.825
1996-09-30,288.457
1996-10-31,286.985
1996-11-29,294.185
1996-12-31,294.152
1997-01-31,292.968
1997-02-28,295.134
1997-03-31,288.812
1997-04-30,286.747
1997-05-30,309.108
1997-06-30,321.444
1997-07-31,322.759
1997-08-29,319.768
1997-09-30,330.434
1997-10-31,321.348
1997-11-28,314.012
1997-12-31,314.034
1998-01-30,319.471
1998-02-27,340.407
1998-03-31,352.838
1998-04-30,355.603
1998-05-29,350.866
1998-06-30,342.752
1998-07-31,327.904
1998-08-31,283.841
1998-09-30,287.435
1998-10-30,300.642
1998-11-30,312.06
1998-12-31,319.841
1999-01-29,315.778
1999-02-26,303.749
1999-03-31,310.96
1999-04-30,336.089
1999-05-31,336.283
1999-06-30,352.209
1999-07-30,356.566
1999-08-31,354.035
1999-09-30,351.675
1999-10-29,345.15
1999-11-30,345.55
1999-12-31,353.116
2000-01-31,345.465
2000-02-29,351.194
2000-03-31,360.667
2000-04-28,341.796
2000-05-31,340.254
2000-06-30,359.158
2000-07-31,352.504
2000-08-31,365.425
2000-09-29,357.988
2000-10-31,343.69
2000-11-30,336.764
2000-12-29,357.098
2001-01-31,369.396
2001-02-28,362.075
2001-03-30,345.615
2001-04-30,367.022
2001-05-31,376.092
2001-06-29,377.651
2001-07-31,370.198
2001-08-31,371.393
2001-09-28,331.178
2001-10-31,341.177
2001-11-30,355.706
2001-12-31,364.029
2002-01-31,360.137
2002-02-28,366.243
2002-03-29,390.086
2002-04-30,403.215
2002-05-31,408.351
2002-06-28,392.913
2002-07-31,354.912
2002-08-30,356.764
2002-09-30,329.364
2002-10-31,333.097
2002-11-29,350.735
2002-12-31,345.698
2003-01-31,337.188
2003-02-28,331.278
2003-03-31,331.29
2003-04-30,362.435
2003-05-30,395.978
2003-06-30,406.859
2003-07-31,422.291
2003-08-29,440.225
2003-09-30,448.644
2003-10-31,479.011
2003-11-28,491.778
2003-12-31,516.99
2004-01-30,535.814
2004-02-27,549.91
2004-03-31,562.99
2004-04-30,537.071
2004-05-31,542.15
2004-06-30,564.767
2004-07-30,544.976
2004-08-31,551.022
2004-09-30,568.267
2004-10-29,581.068
2004-11-30,625.464
2004-12-31,651.73
2005-01-31,643.147
2005-02-28,664.24
2005-03-31,652.882
2005-04-29,632.239
2005-05-31,650.484
2005-06-30,668.857
2005-07-29,699.018
2005-08-31,701.597
2005-09-30,713.474
2005-10-31,691.82
2005-11-30,716.702
2005-12-30,735.381
2006-01-31,786.049
2006-02-28,788.323
2006-03-31,816.228
2006-04-28,834.389
2006-05-31,800.53
2006-06-30,796.318
2006-07-31,788.762
2006-08-31,809.827
2006-09-29,815.629
2006-10-31,851.388
2006-11-30,883.533
2006-12-29,899.897
2007-01-31,917.112
2007-02-28,925.277
2007-03-30,944.163
2007-04-30,975.012
2007-05-31,1000.0
2007-06-29,979.431
2007-07-31,937.37
2007-08-31,925.286
2007-09-28,938.284
2007-10-31,962.37
2007-11-30,897.741
2007-12-31,877.573
2008-01-31,827.502
2008-02-29,821.799
2008-03-31,819.939
2008-04-30,845.698
2008-05-30,865.501
2008-06-30,777.071
2008-07-31,776.378
2008-08-29,783.955
2008-09-30,701.436
2008-10-31,548.797
2008-11-28,505.618
2008-12-31,538.401
2009-01-30,488.151
2009-02-27,428.445
2009-03-31,465.391
2009-04-30,552.786
2009-05-29,600.243
2009-06-30,604.694
2009-07-31,664.754
2009-08-31,718.845
2009-09-30,757.765
2009-10-30,723.279
2009-11-30,737.57
2009-12-31,769.037
2010-01-29,754.194
2010-02-26,770.703
2010-03-31,828.386
2010-04-30,860.777
2010-05-31,777.678
2010-06-30,739.664
2010-07-30,798.359
2010-08-31,760.225
2010-09-30,840.163
2010-10-29,869.589
2010-11-30,862.586
2010-12-31,944.361
2011-01-31,956.323
2011-02-28,991.013
2011-03-31,996.152
2011-04-29,1029.395
2011-05-31,1006.701
