Date,SPAIN Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,103.903
1970-02-27,108.966
1970-03-31,105.621
1970-04-30,97.102
1970-05-29,92.621
1970-06-30,96.136
1970-07-31,98.415
1970-08-31,98.747
1970-09-30,95.458
1970-10-30,98.593
1970-11-30,98.605
1970-12-31,95.814
1971-01-29,102.251
1971-02-26,103.39
1971-03-31,100.304
1971-04-30,101.204
1971-05-31,103.884
1971-06-30,103.601
1971-07-30,107.644
1971-08-31,111.268
1971-09-30,109.927
1971-10-29,113.134
1971-11-30,112.985
1971-12-31,120.4
1972-01-31,125.012
1972-02-29,129.583
1972-03-31,135.486
1972-04-28,142.022
1972-05-31,149.453
1972-06-30,151.616
1972-07-31,157.123
1972-08-31,163.257
1972-09-29,161.076
1972-10-31,172.352
1972-11-30,169.854
1972-12-29,169.091
1973-01-31,181.173
1973-02-28,202.802
1973-03-30,216.015
1973-04-30,222.676
1973-05-31,208.742
1973-06-29,213.434
1973-07-31,218.469
1973-08-31,222.559
1973-09-28,237.401
1973-10-31,235.41
1973-11-30,208.669
1973-12-31,211.005
1974-01-31,221.839
1974-02-28,228.76
1974-03-29,225.457
1974-04-30,241.523
1974-05-31,234.401
1974-06-28,238.577
1974-07-31,239.807
1974-08-30,222.097
1974-09-30,193.616
1974-10-31,191.381
1974-11-29,206.562
1974-12-31,192.197
1975-01-31,195.185
1975-02-28,204.879
1975-03-31,194.811
1975-04-30,203.699
1975-05-30,193.859
1975-06-30,185.725
1975-07-31,176.1
1975-08-29,179.26
1975-09-30,167.272
1975-10-31,175.278
1975-11-28,196.03
1975-12-31,191.417
1976-01-30,178.777
1976-02-27,152.416
1976-03-31,145.085
1976-04-30,156.006
1976-05-31,151.122
1976-06-30,139.921
1976-07-30,139.675
1976-08-31,136.739
1976-09-30,138.694
1976-10-29,130.264
1976-11-30,129.797
1976-12-31,121.105
1977-01-31,111.692
1977-02-28,119.475
1977-03-31,113.221
1977-04-29,114.963
1977-05-31,110.308
1977-06-30,109.224
1977-07-29,79.307
1977-08-31,79.412
1977-09-30,70.577
1977-10-31,71.436
1977-11-30,71.969
1977-12-30,78.561
1978-01-31,75.066
1978-02-28,72.636
1978-03-31,73.98
1978-04-28,78.435
1978-05-31,80.302
1978-06-30,82.434
1978-07-31,87.801
1978-08-31,89.602
1978-09-29,88.133
1978-10-31,92.978
1978-11-30,83.081
1978-12-29,83.232
1979-01-31,80.7
1979-02-28,86.08
1979-03-30,98.872
1979-04-30,95.195
1979-05-31,95.858
1979-06-29,96.347
1979-07-31,90.936
1979-08-31,91.934
1979-09-28,88.288
1979-10-31,84.864
1979-11-30,81.366
1979-12-31,86.041
1980-01-31,83.794
1980-02-29,86.846
1980-03-31,79.554
1980-04-30,79.154
1980-05-30,83.004
1980-06-30,89.848
1980-07-31,88.214
1980-08-29,89.105
1980-09-30,92.279
1980-10-31,91.318
1980-11-28,86.523
1980-12-31,87.886
1981-01-30,87.286
1981-02-27,86.731
1981-03-31,90.333
1981-04-30,90.299
1981-05-29,92.162
1981-06-30,103.728
1981-07-31,96.396
1981-08-31,104.626
1981-09-30,102.101
1981-10-30,97.083
1981-11-30,102.921
1981-12-31,97.363
1982-01-29,95.877
1982-02-26,92.993
1982-03-31,88.082
1982-04-30,92.018
1982-05-31,89.542
1982-06-30,82.144
1982-07-30,80.258
1982-08-31,75.602
1982-09-30,68.041
1982-10-29,69.696
1982-11-30,72.552
1982-12-31,66.766
1983-01-31,63.925
1983-02-28,63.822
1983-03-31,68.09
1983-04-29,67.885
1983-05-31,72.269
1983-06-30,68.714
1983-07-29,66.932
1983-08-31,62.374
1983-09-30,64.916
1983-10-31,68.9
1983-11-30,68.71
1983-12-30,62.012
1984-01-31,67.944
1984-02-29,78.804
1984-03-30,81.534
1984-04-30,78.626
1984-05-31,80.417
1984-06-29,82.03
1984-07-31,86.112
1984-08-31,87.796
1984-09-28,91.15
1984-10-31,87.697
1984-11-30,88.052
1984-12-31,86.228
1985-01-31,102.021
1985-02-28,94.639
1985-03-29,102.258
1985-04-30,99.705
1985-05-31,100.374
1985-06-28,98.391
1985-07-31,107.298
1985-08-30,106.534
1985-09-30,108.599
1985-10-31,119.242
1985-11-29,129.184
1985-12-31,133.435
1986-01-31,147.662
1986-02-28,186.944
1986-03-31,225.305
1986-04-30,257.218
1986-05-30,244.491
1986-06-30,241.584
1986-07-31,250.149
1986-08-29,283.459
1986-09-30,286.744
1986-10-31,256.071
1986-11-28,275.385
1986-12-31,295.219
1987-01-30,333.673
1987-02-27,340.426
1987-03-31,314.781
1987-04-30,312.483
1987-05-29,319.8
1987-06-30,344.755
1987-07-31,401.036
1987-08-31,448.178
1987-09-30,449.644
1987-10-30,356.918
1987-11-30,380.951
1987-12-31,404.196
1988-01-29,418.517
1988-02-29,423.529
1988-03-31,462.745
1988-04-29,462.107
1988-05-31,468.386
1988-06-30,467.432
1988-07-29,452.409
1988-08-31,430.627
1988-09-30,429.835
1988-10-31,464.843
1988-11-30,468.22
1988-12-30,458.889
1989-01-31,456.974
1989-02-28,444.022
1989-03-31,450.322
1989-04-28,471.319
1989-05-31,452.016
1989-06-30,456.735
1989-07-31,479.238
1989-08-31,489.416
1989-09-29,511.402
1989-10-31,487.652
1989-11-30,485.666
1989-12-29,503.699
1990-01-31,474.161
1990-02-28,461.062
1990-03-30,422.031
1990-04-30,467.52
1990-05-31,491.191
1990-06-29,528.857
1990-07-31,551.684
1990-08-31,484.799
1990-09-28,394.902
1990-10-31,451.642
1990-11-30,443.01
1990-12-31,433.947
1991-01-31,464.011
1991-02-28,522.288
1991-03-29,511.47
1991-04-30,486.869
1991-05-31,511.613
1991-06-28,462.757
1991-07-31,468.132
1991-08-30,483.261
1991-09-30,512.793
1991-10-31,498.405
1991-11-29,470.12
1991-12-31,501.786
1992-01-31,499.363
1992-02-28,517.979
1992-03-31,494.074
1992-04-30,483.432
1992-05-29,531.429
1992-06-30,497.958
1992-07-31,460.169
1992-08-31,445.08
1992-09-30,389.868
1992-10-30,366.835
1992-11-30,389.532
1992-12-31,392.052
1993-01-29,425.905
1993-02-26,422.346
1993-03-31,448.787
1993-04-30,451.486
1993-05-31,442.337
1993-06-30,440.538
1993-07-30,413.233
1993-08-31,502.773
1993-09-30,488.853
1993-10-29,519.032
1993-11-30,470.713
1993-12-31,508.824
1994-01-31,571.435
1994-02-28,544.202
1994-03-31,519.46
1994-04-29,531.903
1994-05-31,531.273
1994-06-30,501.907
1994-07-29,531.998
1994-08-31,526.043
1994-09-30,510.812
1994-10-31,525.794
1994-11-30,516.722
1994-12-30,484.391
1995-01-31,480.087
1995-02-28,491.992
1995-03-31,481.9
1995-04-28,521.828
1995-05-31,546.457
1995-06-30,554.562
1995-07-31,595.212
1995-08-31,575.309
1995-09-29,576.304
1995-10-31,558.285
1995-11-30,600.889
1995-12-29,628.903
1996-01-31,634.185
1996-02-29,676.481
1996-03-29,666.755
1996-04-30,692.506
1996-05-31,687.154
1996-06-28,716.051
1996-07-31,683.334
1996-08-30,697.975
1996-09-30,715.16
1996-10-31,737.541
1996-11-29,799.715
1996-12-31,880.799
1997-01-31,866.023
1997-02-28,835.376
1997-03-31,869.207
1997-04-30,919.857
1997-05-30,990.846
1997-06-30,1063.268
1997-07-31,1003.901
1997-08-29,983.299
1997-09-30,1124.379
1997-10-31,1016.388
1997-11-28,1077.038
1997-12-31,1104.576
1998-01-30,1193.098
1998-02-27,1346.088
1998-03-31,1525.269
1998-04-30,1571.057
1998-05-29,1583.238
1998-06-30,1589.434
1998-07-31,1679.953
1998-08-31,1316.368
1998-09-30,1290.204
1998-10-30,1498.696
1998-11-30,1603.822
1998-12-31,1655.741
1999-01-29,1627.628
1999-02-26,1596.51
1999-03-31,1537.395
1999-04-30,1544.639
1999-05-31,1539.128
1999-06-30,1546.706
1999-07-30,1478.991
1999-08-31,1515.77
1999-09-30,1494.1
1999-10-29,1511.422
1999-11-30,1641.578
1999-12-31,1735.791
2000-01-31,1600.909
2000-02-29,1760.826
2000-03-31,1757.639
2000-04-28,1630.724
2000-05-31,1582.102
2000-06-30,1625.905
2000-07-31,1583.204
2000-08-31,1552.061
2000-09-29,1567.58
2000-10-31,1452.396
2000-11-30,1346.986
2000-12-29,1460.484
2001-01-31,1598.877
2001-02-28,1508.313
2001-03-30,1424.314
2001-04-30,1494.135
2001-05-31,1393.441
2001-06-29,1294.722
2001-07-31,1289.599
2001-08-31,1311.89
2001-09-28,1162.55
2001-10-31,1215.277
2001-11-30,1296.417
2001-12-31,1294.549
2002-01-31,1196.652
2002-02-28,1213.639
2002-03-29,1239.002
2002-04-30,1273.086
2002-05-31,1278.847
2002-06-28,1161.705
2002-07-31,1038.919
2002-08-30,1085.167
2002-09-30,909.52
2002-10-31,1044.036
2002-11-29,1149.676
2002-12-31,1096.674
2003-01-31,1109.013
2003-02-28,1124.237
2003-03-31,1115.556
2003-04-30,1272.768
2003-05-30,1333.462
2003-06-30,1376.269
2003-07-31,1400.875
2003-08-29,1379.62
2003-09-30,1374.308
2003-10-31,1468.233
2003-11-28,1541.559
2003-12-31,1737.743
2004-01-30,1755.74
2004-02-27,1825.179
2004-03-31,1748.648
2004-04-30,1729.444
2004-05-31,1737.087
2004-06-30,1759.133
2004-07-30,1717.989
2004-08-31,1720.417
2004-09-30,1788.28
2004-10-29,1941.179
2004-11-30,2099.808
2004-12-31,2240.504
2005-01-31,2184.415
2005-02-28,2262.921
2005-03-31,2186.465
2005-04-29,2116.931
2005-05-31,2125.612
2005-06-30,2162.862
2005-07-29,2261.96
2005-08-31,2261.778
2005-09-30,2401.005
