Date,SPAIN Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,103.941
1970-02-27,109.047
1970-03-31,105.739
1970-04-30,97.249
1970-05-29,92.802
1970-06-30,96.399
1970-07-31,98.692
1970-08-31,99.066
1970-09-30,95.809
1970-10-30,99.0
1970-11-30,99.057
1970-12-31,96.299
1971-01-29,102.815
1971-02-26,104.006
1971-03-31,100.947
1971-04-30,101.899
1971-05-31,104.644
1971-06-30,104.407
1971-07-30,108.529
1971-08-31,112.231
1971-09-30,110.929
1971-10-29,114.216
1971-11-30,114.116
1971-12-31,121.66
1972-01-31,127.385
1972-02-29,132.037
1972-03-31,138.225
1972-04-28,144.96
1972-05-31,151.31
1972-06-30,154.751
1972-07-31,159.189
1972-08-31,165.501
1972-09-29,163.386
1972-10-31,174.881
1972-11-30,172.448
1972-12-29,171.734
1973-01-31,184.065
1973-02-28,206.107
1973-03-30,219.601
1973-04-30,226.441
1973-05-31,212.338
1973-06-29,217.178
1973-07-31,222.374
1973-08-31,226.607
1973-09-28,241.79
1973-10-31,239.834
1973-11-30,212.664
1973-12-31,215.12
1974-01-31,226.299
1974-02-28,233.375
1974-03-29,230.081
1974-04-30,246.553
1974-05-31,239.361
1974-06-28,243.706
1974-07-31,245.043
1974-08-30,227.026
1974-09-30,197.994
1974-10-31,195.79
1974-11-29,211.405
1974-12-31,196.793
1975-01-31,199.941
1975-02-28,209.959
1975-03-31,199.73
1975-04-30,208.93
1975-05-30,198.927
1975-06-30,190.672
1975-07-31,180.878
1975-08-29,184.212
1975-09-30,171.982
1975-10-31,180.303
1975-11-28,201.74
1975-12-31,197.087
1976-01-30,184.168
1976-02-27,157.158
1976-03-31,149.682
1976-04-30,161.042
1976-05-31,156.095
1976-06-30,144.62
1976-07-30,144.462
1976-08-31,141.522
1976-09-30,143.644
1976-10-29,135.011
1976-11-30,134.627
1976-12-31,125.716
1977-01-31,116.048
1977-02-28,124.237
1977-03-31,117.839
1977-04-29,119.767
1977-05-31,115.027
1977-06-30,114.009
1977-07-29,82.877
1977-08-31,83.084
1977-09-30,73.938
1977-10-31,74.939
1977-11-30,75.603
1977-12-30,82.636
1978-01-31,79.069
1978-02-28,76.62
1978-03-31,78.15
1978-04-28,82.968
1978-05-31,85.057
1978-06-30,87.43
1978-07-31,93.241
1978-08-31,95.277
1978-09-29,93.841
1978-10-31,99.136
1978-11-30,88.714
1978-12-29,89.014
1979-01-31,86.444
1979-02-28,92.347
1979-03-30,106.214
1979-04-30,102.414
1979-05-31,103.278
1979-06-29,103.96
1979-07-31,98.278
1979-08-31,99.515
1979-09-28,95.727
1979-10-31,92.173
1979-11-30,88.534
1979-12-31,93.788
1980-01-31,91.506
1980-02-29,95.008
1980-03-31,87.188
1980-04-30,86.913
1980-05-30,91.306
1980-06-30,99.004
1980-07-31,97.375
1980-08-29,98.532
1980-09-30,102.214
1980-10-31,101.32
1980-11-28,96.168
1980-12-31,97.855
