Date,PORTUGAL IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,225.873
1994-06-30,224.135
1994-07-29,242.239
1994-08-31,252.098
1994-09-30,247.027
1994-10-31,255.813
1994-11-30,247.976
1994-12-30,248.396
1995-01-31,238.604
1995-02-28,250.228
1995-03-31,264.964
1995-04-28,266.02
1995-05-31,269.029
1995-06-30,267.209
1995-07-31,265.374
1995-08-31,249.279
1995-09-29,256.405
1995-10-31,262.035
1995-11-30,250.935
1995-12-29,259.894
1996-01-31,274.548
1996-02-29,276.133
1996-03-29,280.519
1996-04-30,273.404
1996-05-31,281.64
1996-06-28,293.979
1996-07-31,298.409
1996-08-30,306.614
1996-09-30,298.506
1996-10-31,302.592
1996-11-29,306.527
1996-12-31,317.74
1997-01-31,342.258
1997-02-28,345.588
1997-03-31,354.039
1997-04-30,352.82
1997-05-30,373.329
1997-06-30,399.462
1997-07-31,405.511
1997-08-29,380.832
1997-09-30,426.349
1997-10-31,422.105
1997-11-28,426.291
1997-12-31,439.799
1998-01-30,486.231
1998-02-27,539.895
1998-03-31,618.683
1998-04-30,678.109
1998-05-29,672.515
1998-06-30,588.854
1998-07-31,618.28
1998-08-31,571.912
1998-09-30,546.798
1998-10-30,604.497
1998-11-30,566.531
1998-12-31,562.741
1999-01-29,583.03
1999-02-26,534.111
1999-03-31,502.457
1999-04-30,477.699
1999-05-31,480.268
1999-06-30,457.994
1999-07-30,468.221
1999-08-31,457.673
1999-09-30,446.659
1999-10-29,451.157
1999-11-30,451.849
1999-12-31,488.545
2000-01-31,480.274
2000-02-29,530.043
2000-03-31,496.146
2000-04-28,464.75
2000-05-31,470.867
2000-06-30,504.17
2000-07-31,494.064
2000-08-31,477.29
2000-09-29,473.368
2000-10-31,434.481
2000-11-30,445.224
2000-12-29,475.545
2001-01-31,480.839
2001-02-28,459.058
2001-03-30,408.869
2001-04-30,404.92
2001-05-31,378.778
2001-06-29,352.468
2001-07-31,364.434
2001-08-31,353.589
2001-09-28,353.568
2001-10-31,369.417
2001-11-30,366.992
2001-12-31,364.211
2002-01-31,351.782
2002-02-28,348.352
2002-03-29,370.68
2002-04-30,378.854
2002-05-31,388.176
2002-06-28,382.407
2002-07-31,336.173
2002-08-30,329.45
2002-09-30,266.796
2002-10-31,287.252
2002-11-29,330.677
2002-12-31,321.707
2003-01-31,310.658
2003-02-28,278.457
2003-03-31,290.1
2003-04-30,308.185
2003-05-30,346.88
2003-06-30,360.256
2003-07-31,357.175
2003-08-29,358.71
2003-09-30,394.769
2003-10-31,392.614
2003-11-28,419.656
2003-12-31,450.38
2004-01-30,447.882
2004-02-27,493.47
2004-03-31,487.827
2004-04-30,479.214
2004-05-31,478.649
2004-06-30,497.091
2004-07-30,480.06
2004-08-31,497.457
2004-09-30,532.284
2004-10-29,537.087
2004-11-30,565.889
2004-12-31,579.251
2005-01-31,571.007
2005-02-28,565.307
2005-03-31,538.256
2005-04-29,536.938
2005-05-31,507.545
2005-06-30,487.509
2005-07-29,500.196
2005-08-31,513.408
2005-09-30,509.019
2005-10-31,501.153
2005-11-30,514.446
2005-12-30,552.795
2006-01-31,577.462
2006-02-28,620.738
2006-03-31,680.476
2006-04-28,701.791
2006-05-31,675.89
2006-06-30,672.728
2006-07-31,686.223
2006-08-31,711.056
2006-09-29,717.597
2006-10-31,729.291
2006-11-30,767.665
2006-12-29,802.836
2007-01-31,820.211
2007-02-28,823.025
2007-03-30,827.563
2007-04-30,911.933
2007-05-31,1000.0
2007-06-29,1030.697
2007-07-31,1021.064
2007-08-31,956.387
2007-09-28,925.174
2007-10-31,1035.481
2007-11-30,1007.567
2007-12-31,957.963
2008-01-31,879.865
2008-02-29,901.253
2008-03-31,859.081
2008-04-30,921.406
2008-05-30,920.462
2008-06-30,800.289
2008-07-31,763.178
2008-08-29,711.138
2008-09-30,675.28
2008-10-31,484.88
2008-11-28,484.409
2008-12-31,545.579
2009-01-30,494.141
2009-02-27,454.454
2009-03-31,468.655
2009-04-30,539.831
2009-05-29,619.877
2009-06-30,609.013
2009-07-31,644.651
2009-08-31,703.127
2009-09-30,774.668
2009-10-30,773.173
2009-11-30,760.578
2009-12-31,744.819
2010-01-29,679.817
2010-02-26,616.617
2010-03-31,660.367
2010-04-30,596.407
2010-05-31,509.205
2010-06-30,504.686
2010-07-30,565.252
2010-08-31,532.547
2010-09-30,574.511
2010-10-29,632.323
2010-11-30,516.282
2010-12-31,546.296
2011-01-31,596.002
2011-02-28,611.965
2011-03-31,599.638
2011-04-29,626.032
2011-05-31,587.291
2011-06-30,547.283
2011-07-29,500.314
2011-08-31,466.47
2011-09-30,404.221
2011-10-31,397.117
2011-11-30,360.937
2011-12-30,355.805
2012-01-31,330.956
2012-02-29,355.444
2012-03-30,347.886
2012-04-30,329.286
2012-05-31,258.24
2012-06-29,293.778
2012-07-31,281.786
2012-08-31,309.918
2012-09-28,333.863
2012-10-31,353.507
2012-11-30,340.589
2012-12-31,388.92
2013-01-31,449.968
2013-02-28,415.876
2013-03-29,397.443
2013-04-30,436.228
2013-05-31,414.192
2013-06-28,392.933
2013-07-31,426.026
2013-08-30,427.699
2013-09-30,456.513
2013-10-31,491.047
2013-11-29,513.38
2013-12-31,518.207
2014-01-31,536.888
2014-02-28,603.725
2014-03-31,639.645
2014-04-30,647.887
2014-05-30,625.813
2014-06-30,644.347
2014-07-31,586.221
2014-08-29,588.059
2014-09-30,544.958
2014-10-31,512.638
2014-11-28,497.391
2014-12-31,463.246
2015-01-30,457.401
2015-02-27,484.435
2015-03-31,469.309
2015-04-30,491.192
2015-05-29,485.387
2015-06-30,470.042
2015-07-31,462.897
2015-08-31,435.665
2015-09-30,431.59
2015-10-30,450.635
2015-11-30,405.476
2015-12-31,429.245
2016-01-29,406.968
2016-02-29,372.784
2016-03-31,425.646
2016-04-29,433.903
2016-05-31,420.909
2016-06-30,368.011
2016-07-29,406.22
2016-08-31,396.506
2016-09-30,388.916
2016-10-31,385.185
2016-11-30,350.941
2016-12-30,374.399
2017-01-31,359.142
2017-02-28,370.646
2017-03-31,398.986
2017-04-28,401.761
2017-05-31,448.111
2017-06-30,421.892
2017-07-31,445.464
2017-08-31,461.914
2017-09-29,468.267
2017-10-31,457.608
2017-11-30,448.616
2017-12-29,449.006
2018-01-31,472.466
2018-02-28,447.509
2018-03-30,471.846
2018-04-30,480.907
2018-05-31,486.965
2018-06-29,495.806
2018-07-31,508.574
2018-08-31,486.522
2018-09-28,471.057
2018-10-31,442.191
2018-11-30,431.545
2018-12-31,422.008
2019-01-31,448.137
2019-02-28,448.969
2019-03-29,457.806
2019-04-30,457.618
2019-05-31,442.299
2019-06-28,463.468
2019-07-31,440.522
2019-08-30,437.978
2019-09-30,445.475
2019-10-31,473.934
2019-11-29,468.224
2019-12-31,490.085
2020-01-31,512.778
2020-02-28,453.415
2020-03-31,377.628
2020-04-30,403.054
2020-05-29,440.719
2020-06-30,444.078
2020-07-31,457.872
2020-08-31,461.162
2020-09-30,429.497
2020-10-30,411.462
2020-11-30,480.668
2020-12-31,533.096
2021-01-29,522.333
2021-02-26,511.51
2021-03-31,515.746
2021-04-30,520.844
2021-05-31,551.47
2021-06-30,507.387
2021-07-30,491.44
2021-08-31,524.494
2021-09-30,522.931
2021-10-29,542.731
2021-11-30,507.839
2021-12-31,518.455
2022-01-31,502.729
2022-02-28,501.787
2022-03-31,530.923
2022-04-29,509.375
2022-05-31,552.407
2022-06-30,511.666
2022-07-29,517.649
2022-08-31,500.414
2022-09-30,445.85
2022-10-31,465.279
2022-11-30,506.128
2022-12-30,532.307
2023-01-31,541.254
2023-02-28,538.241
2023-03-31,555.606
2023-04-28,580.14
2023-05-31,514.211
2023-06-30,525.553
2023-07-31,527.578
2023-08-31,521.979
2023-09-29,491.643
2023-10-31,498.413
2023-11-30,551.0
2023-12-29,566.9
2024-01-31,520.579
2024-02-29,474.522
2024-03-29,483.742
2024-04-30,495.544
2024-05-31,542.751
2024-06-28,501.107
2024-07-31,549.64
2024-08-30,567.085
2024-09-30,602.229
2024-10-31,533.711
2024-11-29,493.786
2024-12-31,457.13
2025-01-31,463.659
2025-02-28,483.206
2025-03-31,511.589
2025-04-30,576.81
2025-05-30,625.328
2025-06-30,663.661
2025-07-31,665.761
2025-08-29,685.264
2025-09-30,721.996
2025-10-31,739.759
2025-11-28,712.66
