Date,PORTUGAL IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,450.313
2001-01-02,456.67
2001-01-03,455.811
2001-01-04,459.603
2001-01-05,458.966
2001-01-08,454.154
2001-01-09,448.805
2001-01-10,450.976
2001-01-11,460.262
2001-01-12,458.676
2001-01-15,457.502
2001-01-16,452.1
2001-01-17,448.355
2001-01-18,454.092
2001-01-19,450.588
2001-01-22,452.961
2001-01-23,452.926
2001-01-24,440.671
2001-01-25,444.343
2001-01-26,449.831
2001-01-29,444.686
2001-01-30,450.53
2001-01-31,455.326
2001-02-01,457.868
2001-02-02,453.532
2001-02-05,452.819
2001-02-06,452.841
2001-02-07,451.848
2001-02-08,442.278
2001-02-09,441.199
2001-02-12,447.666
2001-02-13,443.738
2001-02-14,441.632
2001-02-15,434.699
2001-02-16,433.498
2001-02-19,432.143
2001-02-20,428.738
2001-02-21,429.179
2001-02-22,425.948
2001-02-23,425.76
2001-02-26,427.136
2001-02-27,431.362
2001-02-28,434.701
2001-03-01,437.958
2001-03-02,438.729
2001-03-05,433.157
2001-03-06,433.32
2001-03-07,432.816
2001-03-08,432.441
2001-03-09,428.548
2001-03-12,425.467
2001-03-13,422.425
2001-03-14,413.518
2001-03-15,413.132
2001-03-16,400.986
2001-03-19,398.487
2001-03-20,401.893
2001-03-21,396.969
2001-03-22,378.616
2001-03-23,389.515
2001-03-26,392.333
2001-03-27,389.889
2001-03-28,387.802
2001-03-29,386.736
2001-03-30,387.174
2001-04-02,383.601
2001-04-03,382.034
2001-04-04,392.263
2001-04-05,396.18
2001-04-06,394.971
2001-04-09,398.158
2001-04-10,398.193
2001-04-11,397.607
2001-04-12,402.794
2001-04-13,402.794
2001-04-16,398.669
2001-04-17,396.955
2001-04-18,398.573
2001-04-19,400.887
2001-04-20,401.104
2001-04-23,391.653
2001-04-24,390.258
2001-04-25,391.699
2001-04-26,389.301
2001-04-27,383.258
2001-04-30,384.525
2001-05-01,386.564
2001-05-02,385.851
2001-05-03,384.519
2001-05-04,388.158
2001-05-07,384.99
2001-05-08,380.978
2001-05-09,379.956
2001-05-10,381.213
2001-05-11,377.186
2001-05-14,375.934
2001-05-15,382.159
2001-05-16,383.261
2001-05-17,380.944
2001-05-18,374.737
2001-05-21,374.815
2001-05-22,368.759
2001-05-23,363.23
2001-05-24,359.765
2001-05-25,359.113
2001-05-28,361.954
2001-05-29,359.976
2001-05-30,364.549
2001-05-31,360.897
2001-06-01,358.51
2001-06-04,358.758
