Date,ITALY SMID VALUE SMID (Small+Mid Cap)
1994-05-31,172.795
1994-06-30,164.211
1994-07-29,163.494
1994-08-31,158.765
1994-09-30,156.726
1994-10-31,150.377
1994-11-30,146.391
1994-12-30,145.266
1995-01-31,153.762
1995-02-28,144.326
1995-03-31,133.157
1995-04-28,137.931
1995-05-31,141.046
1995-06-30,134.757
1995-07-31,143.742
1995-08-31,140.851
1995-09-29,135.075
1995-10-31,129.627
1995-11-30,119.565
1995-12-29,126.216
1996-01-31,129.737
1996-02-29,133.423
1996-03-29,127.176
1996-04-30,136.861
1996-05-31,143.757
1996-06-28,139.119
1996-07-31,131.324
1996-08-30,129.488
1996-09-30,125.89
1996-10-31,121.004
1996-11-29,135.167
1996-12-31,137.111
1997-01-31,150.175
1997-02-28,139.194
1997-03-31,140.427
1997-04-30,135.881
1997-05-30,137.183
1997-06-30,143.565
1997-07-31,152.579
1997-08-29,153.475
1997-09-30,172.305
1997-10-31,176.266
1997-11-28,169.938
1997-12-31,188.129
1998-01-30,225.792
1998-02-27,243.439
1998-03-31,300.022
1998-04-30,281.494
1998-05-29,289.911
1998-06-30,263.902
1998-07-31,280.076
1998-08-31,243.879
1998-09-30,231.822
1998-10-30,243.125
1998-11-30,270.23
1998-12-31,281.765
1999-01-29,271.403
1999-02-26,261.021
1999-03-31,277.925
1999-04-30,278.192
1999-05-31,266.924
1999-06-30,261.846
1999-07-30,264.702
1999-08-31,266.431
1999-09-30,278.452
1999-10-29,270.003
1999-11-30,272.751
1999-12-31,319.131
2000-01-31,303.567
2000-02-29,379.996
2000-03-31,348.0
2000-04-28,329.095
2000-05-31,332.716
2000-06-30,349.168
2000-07-31,340.056
2000-08-31,350.306
2000-09-29,339.895
2000-10-31,330.077
2000-11-30,341.644
2000-12-29,358.612
2001-01-31,368.76
2001-02-28,347.205
2001-03-30,325.575
2001-04-30,334.114
2001-05-31,323.899
2001-06-29,312.234
2001-07-31,303.674
2001-08-31,310.268
2001-09-28,257.627
2001-10-31,258.757
2001-11-30,275.515
2001-12-31,270.78
2002-01-31,274.618
2002-02-28,270.728
2002-03-29,292.072
2002-04-30,301.865
2002-05-31,299.395
2002-06-28,289.657
2002-07-31,267.246
2002-08-30,271.404
2002-09-30,235.292
2002-10-31,251.935
2002-11-29,271.413
2002-12-31,260.377
2003-01-31,260.764
2003-02-28,265.179
2003-03-31,257.583
2003-04-30,297.339
2003-05-30,323.231
2003-06-30,317.851
2003-07-31,319.519
2003-08-29,321.47
2003-09-30,341.689
2003-10-31,358.161
2003-11-28,387.647
2003-12-31,394.046
2004-01-30,404.775
2004-02-27,410.659
2004-03-31,391.216
2004-04-30,396.453
2004-05-31,402.015
2004-06-30,422.523
2004-07-30,411.547
2004-08-31,411.267
2004-09-30,439.03
2004-10-29,457.142
2004-11-30,488.631
2004-12-31,534.304
2005-01-31,542.404
2005-02-28,554.878
2005-03-31,550.436
2005-04-29,543.225
2005-05-31,550.669
2005-06-30,549.58
2005-07-29,572.022
2005-08-31,580.324
2005-09-30,594.931
2005-10-31,550.104
2005-11-30,564.292
2005-12-30,578.927
2006-01-31,629.817
2006-02-28,661.773
2006-03-31,683.289
2006-04-28,718.668
2006-05-31,723.209
2006-06-30,727.77
2006-07-31,744.873
2006-08-31,777.845
2006-09-29,780.252
2006-10-31,815.628
2006-11-30,846.779
2006-12-29,872.699
2007-01-31,902.389
2007-02-28,908.533
2007-03-30,942.951
2007-04-30,1015.964
2007-05-31,1000.0
2007-06-29,966.721
2007-07-31,931.46
2007-08-31,909.976
2007-09-28,919.609
2007-10-31,964.889
2007-11-30,901.793
2007-12-31,882.073
2008-01-31,799.685
2008-02-29,825.012
2008-03-31,820.987
2008-04-30,826.912
2008-05-30,838.0
2008-06-30,732.633
2008-07-31,719.034
2008-08-29,709.043
2008-09-30,591.664
2008-10-31,460.385
2008-11-28,433.524
2008-12-31,467.059
2009-01-30,418.41
2009-02-27,367.817
2009-03-31,392.633
2009-04-30,465.735
2009-05-29,523.175
2009-06-30,499.988
2009-07-31,529.713
2009-08-31,578.127
2009-09-30,618.014
2009-10-30,596.039
2009-11-30,606.037
2009-12-31,606.699
2010-01-29,566.64
2010-02-26,538.467
2010-03-31,581.315
2010-04-30,553.067
2010-05-31,464.122
2010-06-30,448.599
2010-07-30,500.651
2010-08-31,465.029
2010-09-30,515.797
2010-10-29,544.32
2010-11-30,449.151
2010-12-31,487.552
2011-01-31,530.331
2011-02-28,531.565
2011-03-31,530.864
2011-04-29,568.906
2011-05-31,533.283
2011-06-30,507.427
2011-07-29,450.311
2011-08-31,389.465
2011-09-30,351.007
2011-10-31,366.207
2011-11-30,316.597
2011-12-30,300.781
2012-01-31,333.381
2012-02-29,363.138
2012-03-30,345.678
2012-04-30,308.051
2012-05-31,253.159
2012-06-29,283.941
2012-07-31,259.282
2012-08-31,294.858
2012-09-28,309.363
2012-10-31,314.155
2012-11-30,311.754
2012-12-31,340.462
2013-01-31,391.709
2013-02-28,352.372
2013-03-29,333.356
2013-04-30,376.349
2013-05-31,392.811
2013-06-28,355.198
2013-07-31,389.905
2013-08-30,392.028
2013-09-30,421.198
2013-10-31,491.636
2013-11-29,488.54
2013-12-31,503.709
2014-01-31,508.431
2014-02-28,568.853
2014-03-31,617.584
2014-04-30,611.651
2014-05-30,583.149
2014-06-30,565.351
2014-07-31,534.038
2014-08-29,525.772
2014-09-30,493.58
2014-10-31,475.262
2014-11-28,477.346
2014-12-31,444.77
2015-01-30,456.789
2015-02-27,502.06
2015-03-31,508.818
2015-04-30,521.594
2015-05-29,530.033
2015-06-30,517.345
2015-07-31,551.701
2015-08-31,533.109
2015-09-30,508.033
2015-10-30,532.186
2015-11-30,520.324
2015-12-31,521.637
2016-01-29,455.761
2016-02-29,436.305
2016-03-31,461.462
2016-04-29,489.803
2016-05-31,460.965
2016-06-30,396.114
2016-07-29,428.007
2016-08-31,416.152
2016-09-30,403.199
2016-10-31,421.713
2016-11-30,386.423
2016-12-30,429.794
2017-01-31,446.536
2017-02-28,442.859
2017-03-31,481.988
2017-04-28,506.954
2017-05-31,521.712
2017-06-30,525.996
2017-07-31,571.196
2017-08-31,572.752
2017-09-29,595.778
2017-10-31,586.128
2017-11-30,595.958
2017-12-29,586.42
2018-01-31,646.344
2018-02-28,606.243
2018-03-30,605.413
2018-04-30,630.313
2018-05-31,545.809
2018-06-29,557.524
2018-07-31,596.365
2018-08-31,541.647
2018-09-28,557.845
2018-10-31,492.053
2018-11-30,501.439
2018-12-31,493.745
2019-01-31,529.701
2019-02-28,554.923
2019-03-29,564.013
2019-04-30,577.893
2019-05-31,547.376
2019-06-28,595.459
2019-07-31,588.512
2019-08-30,586.428
2019-09-30,612.128
2019-10-31,647.623
2019-11-29,660.851
2019-12-31,661.843
2020-01-31,630.198
2020-02-28,599.945
2020-03-31,447.848
2020-04-30,464.349
2020-05-29,481.405
2020-06-30,512.007
2020-07-31,534.929
2020-08-31,561.491
2020-09-30,532.872
2020-10-30,489.947
