Date,ITALY SMID VALUE SMID (Small+Mid Cap)
2001-01-01,358.612
2001-01-02,359.226
2001-01-03,351.892
2001-01-04,354.738
2001-01-05,357.207
2001-01-08,356.027
2001-01-09,353.385
2001-01-10,353.926
2001-01-11,358.938
2001-01-12,360.774
2001-01-15,360.888
2001-01-16,360.384
2001-01-17,360.074
2001-01-18,363.891
2001-01-19,360.599
2001-01-22,362.146
2001-01-23,362.921
2001-01-24,358.349
2001-01-25,358.964
2001-01-26,360.954
2001-01-29,361.159
2001-01-30,364.975
2001-01-31,368.76
2001-02-01,370.563
2001-02-02,366.282
2001-02-05,366.872
2001-02-06,364.901
2001-02-07,362.929
2001-02-08,358.027
2001-02-09,358.441
2001-02-12,363.134
2001-02-13,358.452
2001-02-14,354.307
2001-02-15,348.714
2001-02-16,350.64
2001-02-19,352.141
2001-02-20,346.949
2001-02-21,345.021
2001-02-22,343.379
2001-02-23,341.543
2001-02-26,342.962
2001-02-27,346.366
2001-02-28,347.205
2001-03-01,347.961
2001-03-02,347.49
2001-03-05,342.704
2001-03-06,347.107
2001-03-07,346.956
2001-03-08,349.566
2001-03-09,347.241
2001-03-12,340.554
2001-03-13,334.208
2001-03-14,328.5
2001-03-15,326.806
2001-03-16,320.844
2001-03-19,320.433
2001-03-20,325.226
2001-03-21,320.542
2001-03-22,307.018
2001-03-23,313.27
2001-03-26,319.003
2001-03-27,325.537
2001-03-28,322.077
2001-03-29,322.558
2001-03-30,325.575
2001-04-02,323.683
2001-04-03,321.298
2001-04-04,328.242
2001-04-05,330.18
2001-04-06,331.624
2001-04-09,333.503
2001-04-10,331.238
2001-04-11,329.314
2001-04-12,333.773
2001-04-13,333.773
2001-04-16,330.301
2001-04-17,329.991
2001-04-18,327.836
2001-04-19,331.608
2001-04-20,333.153
2001-04-23,331.511
2001-04-24,331.274
2001-04-25,332.585
2001-04-26,334.923
2001-04-27,333.325
2001-04-30,334.114
2001-05-01,335.871
2001-05-02,334.985
2001-05-03,333.285
2001-05-04,333.406
2001-05-07,334.907
2001-05-08,332.944
2001-05-09,332.018
2001-05-10,333.182
2001-05-11,332.286
2001-05-14,332.354
2001-05-15,333.57
2001-05-16,334.458
2001-05-17,336.443
2001-05-18,337.367
2001-05-21,335.664
2001-05-22,334.086
2001-05-23,331.464
2001-05-24,330.552
2001-05-25,329.115
2001-05-28,331.323
2001-05-29,327.244
2001-05-30,325.029
2001-05-31,323.899
2001-06-01,325.26
2001-06-04,324.709
2001-06-05,324.892
2001-06-06,323.854
2001-06-07,325.451
2001-06-08,326.266
2001-06-11,322.367
2001-06-12,322.675
2001-06-13,324.316
2001-06-14,322.801
2001-06-15,321.556
2001-06-18,320.442
2001-06-19,318.688
2001-06-20,313.97
2001-06-21,313.419
2001-06-22,313.018
2001-06-25,315.614
2001-06-26,312.257
2001-06-27,312.332
2001-06-28,309.316
2001-06-29,312.234
2001-07-02,313.212
2001-07-03,314.203
2001-07-04,314.739
2001-07-05,309.398
2001-07-06,308.467
2001-07-09,308.262
2001-07-10,311.173
2001-07-11,310.172
2001-07-12,305.784
2001-07-13,304.399
2001-07-16,304.81
2001-07-17,300.698
2001-07-18,305.649
2001-07-19,306.593
2001-07-20,305.763
2001-07-23,304.234
2001-07-24,306.303
2001-07-25,307.032
2001-07-26,306.52
2001-07-27,304.734
2001-07-30,303.077
2001-07-31,303.674
2001-08-01,307.318
2001-08-02,310.117
2001-08-03,311.269
2001-08-06,310.134
2001-08-07,310.343
2001-08-08,310.142
2001-08-09,312.711
2001-08-10,314.082
2001-08-13,315.458
2001-08-14,316.107
2001-08-15,320.876
2001-08-16,319.245
2001-08-17,317.935
2001-08-20,315.379
2001-08-21,316.513
2001-08-22,319.009
2001-08-23,317.018
2001-08-24,318.042
2001-08-27,316.822
2001-08-28,315.438
2001-08-29,315.358
2001-08-30,310.936
2001-08-31,310.268
2001-09-03,306.49
2001-09-04,300.53
2001-09-05,293.843
2001-09-06,288.788
2001-09-07,290.285
2001-09-10,283.865
2001-09-11,269.701
2001-09-12,268.107
2001-09-13,270.896
2001-09-14,262.687
2001-09-17,258.307
2001-09-18,254.394
2001-09-19,255.295
2001-09-20,245.66
2001-09-21,231.01
2001-09-24,238.841
2001-09-25,246.528
2001-09-26,250.995
2001-09-27,251.695
2001-09-28,257.627
2001-10-01,254.913
2001-10-02,255.454
2001-10-03,255.981
2001-10-04,259.365
2001-10-05,258.075
2001-10-08,256.86
2001-10-09,257.599
2001-10-10,257.681
2001-10-11,259.545
2001-10-12,260.911
2001-10-15,259.192
2001-10-16,262.4
2001-10-17,266.489
2001-10-18,264.116
2001-10-19,260.455
2001-10-22,260.48
2001-10-23,261.929
2001-10-24,262.471
2001-10-25,260.867
2001-10-26,263.916
2001-10-29,265.003
2001-10-30,258.981
2001-10-31,258.757
2001-11-01,260.305
2001-11-02,258.014
2001-11-05,257.583
2001-11-06,256.018
2001-11-07,256.192
2001-11-08,256.821
2001-11-09,255.953
2001-11-12,252.878
2001-11-13,253.477
2001-11-14,255.546
2001-11-15,258.064
2001-11-16,262.038
2001-11-19,269.704
2001-11-20,269.123
2001-11-21,267.79
2001-11-22,270.716
2001-11-23,271.017
2001-11-26,273.945
2001-11-27,270.78
2001-11-28,270.923
2001-11-29,272.983
2001-11-30,275.515
2001-12-03,270.72
2001-12-04,274.629
2001-12-05,278.396
2001-12-06,280.068
2001-12-07,280.412
2001-12-10,276.833
2001-12-11,276.241
2001-12-12,275.139
2001-12-13,270.841
2001-12-14,271.687
2001-12-17,275.01
2001-12-18,273.235
2001-12-19,270.386
2001-12-20,266.889
2001-12-21,265.566
2001-12-24,263.001
2001-12-25,263.001
2001-12-26,263.225
2001-12-27,268.487
2001-12-28,268.118
2001-12-31,270.78
2002-01-01,270.789
2002-01-02,275.179
2002-01-03,277.409
2002-01-04,275.645
2002-01-07,275.52
2002-01-08,276.985
2002-01-09,277.253
2002-01-10,276.332
2002-01-11,275.911
2002-01-14,272.756
2002-01-15,273.99
2002-01-16,270.03
2002-01-17,270.739
2002-01-18,272.388
2002-01-21,270.858
2002-01-22,271.548
2002-01-23,272.914
2002-01-24,272.464
2002-01-25,268.859
2002-01-28,269.771
2002-01-29,272.144
2002-01-30,272.44
2002-01-31,274.618
2002-02-01,273.932
2002-02-04,274.124
2002-02-05,271.926
2002-02-06,268.785
2002-02-07,269.031
2002-02-08,270.626
2002-02-11,271.111
2002-02-12,269.913
2002-02-13,269.983
2002-02-14,271.21
2002-02-15,270.994
2002-02-18,269.975
2002-02-19,266.001
2002-02-20,264.695
2002-02-21,266.559
2002-02-22,268.208
2002-02-25,266.546
2002-02-26,266.682
2002-02-27,269.205
2002-02-28,270.728
2002-03-01,273.941
2002-03-04,280.588
2002-03-05,278.724
2002-03-06,283.387
2002-03-07,286.234
2002-03-08,285.935
2002-03-11,286.016
2002-03-12,284.435
2002-03-13,287.541
2002-03-14,291.272
2002-03-15,291.754
2002-03-18,291.465
2002-03-19,294.345
2002-03-20,292.196
2002-03-21,291.944
2002-03-22,291.787
2002-03-25,290.913
2002-03-26,289.602
2002-03-27,288.933
2002-03-28,292.065
2002-03-29,292.072
2002-04-01,294.414
2002-04-02,293.093
2002-04-03,292.181
2002-04-04,291.521
2002-04-05,290.337
2002-04-08,285.175
2002-04-09,287.737
2002-04-10,291.134
2002-04-11,292.033
2002-04-12,292.807
2002-04-15,292.671
2002-04-16,297.09
2002-04-17,298.822
2002-04-18,299.169
2002-04-19,300.825
2002-04-22,299.989
2002-04-23,301.032
2002-04-24,303.596
2002-04-25,304.017
2002-04-26,302.842
2002-04-29,301.861
2002-04-30,301.865
2002-05-01,303.524
2002-05-02,300.314
2002-05-03,300.832
2002-05-06,300.906
2002-05-07,296.853
2002-05-08,297.877
2002-05-09,294.841
2002-05-10,294.101
2002-05-13,295.18
2002-05-14,294.744
2002-05-15,297.05
2002-05-16,298.668
2002-05-17,302.208
2002-05-20,299.709
2002-05-21,299.439
2002-05-22,301.138
2002-05-23,297.717
2002-05-24,296.093
2002-05-27,293.982
2002-05-28,298.5
2002-05-29,299.191
2002-05-30,298.766
2002-05-31,299.395
2002-06-03,297.115
2002-06-04,293.221
2002-06-05,293.05
2002-06-06,292.749
2002-06-07,290.333
2002-06-10,292.427
2002-06-11,298.096
2002-06-12,294.908
2002-06-13,290.404
2002-06-14,284.337
2002-06-17,288.152
2002-06-18,287.874
2002-06-19,286.176
2002-06-20,283.255
2002-06-21,283.642
2002-06-24,280.823
2002-06-25,279.681
2002-06-26,281.425
2002-06-27,283.038
2002-06-28,289.657
2002-07-01,291.584
2002-07-02,285.216
2002-07-03,279.152
2002-07-04,277.489
2002-07-05,282.707
2002-07-08,286.573
2002-07-09,288.098
2002-07-10,283.383
2002-07-11,278.98
2002-07-12,276.95
2002-07-15,271.639
2002-07-16,274.786
2002-07-17,279.5
2002-07-18,282.853
2002-07-19,279.113
2002-07-22,271.668
2002-07-23,263.961
2002-07-24,260.218
2002-07-25,261.936
2002-07-26,260.83
2002-07-29,265.59
2002-07-30,267.92
2002-07-31,267.246
2002-08-01,265.684
2002-08-02,262.647
2002-08-05,258.107
2002-08-06,257.033
2002-08-07,257.934
2002-08-08,262.103
2002-08-09,265.389
2002-08-12,263.661
2002-08-13,265.017
2002-08-14,264.344
2002-08-15,262.375
2002-08-16,269.101
2002-08-19,272.592
2002-08-20,271.658
2002-08-21,275.565
2002-08-22,276.781
2002-08-23,275.567
2002-08-26,276.107
2002-08-27,282.21
2002-08-28,276.483
2002-08-29,272.55
2002-08-30,271.404
2002-09-02,270.455
2002-09-03,266.55
2002-09-04,265.415
2002-09-05,262.078
2002-09-06,264.154
2002-09-09,259.708
2002-09-10,262.317
2002-09-11,265.771
2002-09-12,261.253
2002-09-13,259.583
2002-09-16,258.067
2002-09-17,257.806
2002-09-18,255.02
2002-09-19,253.458
2002-09-20,253.345
2002-09-23,242.856
2002-09-24,238.679
2002-09-25,239.216
2002-09-26,241.878
2002-09-27,241.596
2002-09-30,235.292
2002-10-01,235.755
2002-10-02,239.205
2002-10-03,236.71
2002-10-04,230.819
2002-10-07,229.466
2002-10-08,225.898
2002-10-09,222.842
2002-10-10,226.621
2002-10-11,235.285
2002-10-14,233.737
2002-10-15,242.858
2002-10-16,241.141
2002-10-17,243.463
2002-10-18,243.507
2002-10-21,245.107
2002-10-22,247.623
2002-10-23,244.147
2002-10-24,245.73
2002-10-25,245.226
2002-10-28,249.261
2002-10-29,243.717
2002-10-30,247.995
2002-10-31,251.935
2002-11-01,253.233
2002-11-04,259.92
2002-11-05,263.876
2002-11-06,260.573
2002-11-07,255.423
2002-11-08,254.197
2002-11-11,249.582
2002-11-12,252.807
2002-11-13,251.942
2002-11-14,255.64
2002-11-15,255.923
2002-11-18,258.706
2002-11-19,259.258
2002-11-20,258.647
2002-11-21,264.063
2002-11-22,263.917
2002-11-25,262.716
2002-11-26,259.769
2002-11-27,265.675
2002-11-28,270.514
2002-11-29,271.413
2002-12-02,270.876
2002-12-03,264.764
2002-12-04,266.95
2002-12-05,262.816
2002-12-06,263.029
2002-12-09,258.517
2002-12-10,260.286
2002-12-11,263.35
2002-12-12,261.688
2002-12-13,260.459
2002-12-16,263.336
2002-12-17,264.829
2002-12-18,260.703
2002-12-19,256.488
2002-12-20,259.197
2002-12-23,257.862
2002-12-24,258.929
2002-12-25,258.929
2002-12-26,259.582
2002-12-27,258.389
2002-12-30,259.359
2002-12-31,260.377
2003-01-01,260.377
2003-01-02,266.395
2003-01-03,269.019
2003-01-06,274.074
2003-01-07,268.845
2003-01-08,266.72
2003-01-09,272.403
2003-01-10,274.145
2003-01-13,275.967
2003-01-14,278.042
2003-01-15,275.685
2003-01-16,275.228
2003-01-17,270.067
2003-01-20,268.806
2003-01-21,263.946
2003-01-22,262.075
2003-01-23,263.347
2003-01-24,263.151
2003-01-27,260.851
2003-01-28,260.129
2003-01-29,260.608
2003-01-30,260.032
2003-01-31,260.764
2003-02-03,263.953
2003-02-04,261.348
2003-02-05,263.938
2003-02-06,261.87
2003-02-07,261.946
2003-02-10,256.123
2003-02-11,259.627
2003-02-12,258.134
2003-02-13,261.007
2003-02-14,262.714
2003-02-17,265.072
2003-02-18,266.635
2003-02-19,263.984
2003-02-20,265.095
2003-02-21,266.98
2003-02-24,264.489
2003-02-25,260.264
2003-02-26,261.419
2003-02-27,262.081
2003-02-28,265.179
2003-03-03,267.212
2003-03-04,265.424
2003-03-05,265.097
2003-03-06,260.415
2003-03-07,257.893
2003-03-10,254.215
2003-03-11,253.812
2003-03-12,248.322
2003-03-13,250.628
2003-03-14,254.438
2003-03-17,255.467
2003-03-18,253.833
2003-03-19,255.893
2003-03-20,253.376
2003-03-21,257.429
2003-03-24,254.265
2003-03-25,257.11
2003-03-26,257.576
2003-03-27,255.118
2003-03-28,257.469
2003-03-31,257.583
2003-04-01,258.285
2003-04-02,262.438
2003-04-03,264.31
2003-04-04,264.039
2003-04-07,268.531
