Date,NETHERLANDS SMID CAP SMID (Small+Mid Cap)
1994-05-31,282.083
1994-06-30,281.168
1994-07-29,293.913
1994-08-31,295.271
1994-09-30,292.68
1994-10-31,299.475
1994-11-30,285.63
1994-12-30,293.893
1995-01-31,300.847
1995-02-28,309.553
1995-03-31,312.516
1995-04-28,320.963
1995-05-31,325.689
1995-06-30,334.529
1995-07-31,341.829
1995-08-31,324.537
1995-09-29,338.583
1995-10-31,335.419
1995-11-30,332.191
1995-12-29,338.897
1996-01-31,353.063
1996-02-29,375.441
1996-03-29,393.192
1996-04-30,396.836
1996-05-31,420.605
1996-06-28,425.765
1996-07-31,421.79
1996-08-30,438.702
1996-09-30,450.993
1996-10-31,453.84
1996-11-29,472.192
1996-12-31,478.18
1997-01-31,495.595
1997-02-28,511.573
1997-03-31,522.005
1997-04-30,514.592
1997-05-30,557.56
1997-06-30,566.831
1997-07-31,596.114
1997-08-29,570.655
1997-09-30,600.317
1997-10-31,570.71
1997-11-28,551.004
1997-12-31,547.844
1998-01-30,569.824
1998-02-27,624.402
1998-03-31,660.648
1998-04-30,672.873
1998-05-29,703.299
1998-06-30,700.08
1998-07-31,712.337
1998-08-31,635.037
1998-09-30,578.278
1998-10-30,594.741
1998-11-30,608.231
1998-12-31,623.931
1999-01-29,605.22
1999-02-26,589.9
1999-03-31,580.113
1999-04-30,601.181
1999-05-31,583.346
1999-06-30,598.744
1999-07-30,614.889
1999-08-31,615.065
1999-09-30,605.782
1999-10-29,583.768
1999-11-30,581.68
1999-12-31,640.614
2000-01-31,592.933
2000-02-29,628.379
2000-03-31,632.31
2000-04-28,580.518
2000-05-31,583.61
2000-06-30,605.509
2000-07-31,595.076
2000-08-31,577.969
2000-09-29,545.946
2000-10-31,533.539
2000-11-30,506.559
2000-12-29,527.21
2001-01-31,539.453
2001-02-28,524.186
2001-03-30,471.488
2001-04-30,475.504
2001-05-31,476.27
2001-06-29,434.329
2001-07-31,424.936
2001-08-31,415.951
2001-09-28,362.529
2001-10-31,366.928
2001-11-30,381.81
2001-12-31,392.991
2002-01-31,387.544
2002-02-28,386.528
2002-03-29,415.314
2002-04-30,421.801
2002-05-31,425.046
2002-06-28,402.921
2002-07-31,348.7
2002-08-30,348.931
2002-09-30,298.214
2002-10-31,323.982
2002-11-29,342.95
2002-12-31,327.407
2003-01-31,309.974
2003-02-28,281.352
2003-03-31,282.246
2003-04-30,327.436
2003-05-30,366.335
2003-06-30,371.128
2003-07-31,387.768
2003-08-29,408.385
2003-09-30,407.544
2003-10-31,429.505
2003-11-28,450.422
2003-12-31,475.166
2004-01-30,492.307
2004-02-27,505.541
2004-03-31,488.874
2004-04-30,480.228
2004-05-31,491.591
2004-06-30,497.384
2004-07-30,471.475
2004-08-31,467.335
2004-09-30,485.782
2004-10-29,498.979
2004-11-30,544.105
2004-12-31,566.063
2005-01-31,564.102
2005-02-28,610.771
2005-03-31,587.38
2005-04-29,557.493
2005-05-31,568.257
2005-06-30,583.792
2005-07-29,613.381
2005-08-31,617.452
2005-09-30,630.315
2005-10-31,597.687
2005-11-30,616.884
2005-12-30,639.238
2006-01-31,698.012
2006-02-28,700.467
2006-03-31,738.863
2006-04-28,780.591
2006-05-31,751.572
2006-06-30,743.917
2006-07-31,744.863
2006-08-31,760.4
2006-09-29,780.364
2006-10-31,808.765
2006-11-30,843.909
2006-12-29,882.621
2007-01-31,892.721
2007-02-28,891.674
2007-03-30,917.248
2007-04-30,981.803
2007-05-31,1000.0
2007-06-29,1012.837
2007-07-31,1059.336
2007-08-31,1017.109
2007-09-28,1057.165
2007-10-31,1110.505
2007-11-30,1066.206
2007-12-31,1022.933
2008-01-31,906.474
2008-02-29,954.709
2008-03-31,985.037
2008-04-30,1042.663
2008-05-30,1081.089
2008-06-30,951.58
2008-07-31,877.415
2008-08-29,885.132
2008-09-30,713.953
2008-10-31,535.729
2008-11-28,469.555
2008-12-31,508.513
2009-01-30,473.552
2009-02-27,432.358
2009-03-31,471.243
2009-04-30,549.828
2009-05-29,621.774
2009-06-30,613.847
2009-07-31,690.391
2009-08-31,766.945
2009-09-30,826.415
2009-10-30,805.997
2009-11-30,854.219
2009-12-31,886.09
2010-01-29,855.674
2010-02-26,814.911
2010-03-31,892.797
2010-04-30,883.608
2010-05-31,762.706
2010-06-30,754.433
2010-07-30,840.541
2010-08-31,771.723
2010-09-30,904.842
2010-10-29,957.455
2010-11-30,893.552
2010-12-31,1014.511
2011-01-31,1042.838
2011-02-28,1064.525
2011-03-31,1102.26
2011-04-29,1149.352
2011-05-31,1094.518
2011-06-30,1038.694
2011-07-29,971.02
2011-08-31,856.857
2011-09-30,751.064
2011-10-31,839.779
2011-11-30,767.901
2011-12-30,763.214
2012-01-31,815.745
2012-02-29,886.142
2012-03-30,901.379
2012-04-30,869.404
2012-05-31,746.382
2012-06-29,795.54
2012-07-31,789.798
2012-08-31,816.963
2012-09-28,848.294
2012-10-31,863.879
2012-11-30,870.359
2012-12-31,909.648
2013-01-31,940.399
2013-02-28,901.538
2013-03-29,926.779
2013-04-30,964.143
2013-05-31,983.805
2013-06-28,972.738
2013-07-31,1071.672
2013-08-30,1083.275
2013-09-30,1146.998
2013-10-31,1194.49
2013-11-29,1219.597
2013-12-31,1235.539
2014-01-31,1206.488
2014-02-28,1241.907
2014-03-31,1242.471
2014-04-30,1234.595
2014-05-30,1255.609
2014-06-30,1243.541
2014-07-31,1150.797
2014-08-29,1162.924
2014-09-30,1101.873
2014-10-31,1042.138
2014-11-28,1108.343
2014-12-31,1090.299
2015-01-30,1062.94
2015-02-27,1141.58
2015-03-31,1145.606
2015-04-30,1207.883
2015-05-29,1181.06
2015-06-30,1179.887
2015-07-31,1229.433
2015-08-31,1143.314
2015-09-30,1057.776
2015-10-30,1129.791
2015-11-30,1117.544
2015-12-31,1110.334
2016-01-29,1054.948
2016-02-29,1061.614
2016-03-31,1156.16
2016-04-29,1165.661
2016-05-31,1150.309
2016-06-30,1067.843
2016-07-29,1109.655
2016-08-31,1156.375
2016-09-30,1161.483
2016-10-31,1127.948
2016-11-30,1088.484
2016-12-30,1129.505
2017-01-31,1169.146
2017-02-28,1171.548
2017-03-31,1204.596
2017-04-28,1259.082
2017-05-31,1320.462
2017-06-30,1310.793
2017-07-31,1384.204
2017-08-31,1374.461
2017-09-29,1431.47
2017-10-31,1457.206
2017-11-30,1506.64
2017-12-29,1532.011
2018-01-31,1621.524
2018-02-28,1552.867
2018-03-30,1524.176
2018-04-30,1557.084
2018-05-31,1513.907
2018-06-29,1490.492
2018-07-31,1546.562
2018-08-31,1540.493
2018-09-28,1522.535
2018-10-31,1411.146
2018-11-30,1411.899
2018-12-31,1326.579
2019-01-31,1426.008
2019-02-28,1486.337
2019-03-29,1475.648
2019-04-30,1560.17
2019-05-31,1463.316
2019-06-28,1580.925
2019-07-31,1563.263
2019-08-30,1517.726
2019-09-30,1553.91
2019-10-31,1621.921
2019-11-29,1649.268
2019-12-31,1686.763
2020-01-31,1652.74
2020-02-28,1524.208
2020-03-31,1225.183
2020-04-30,1380.378
2020-05-29,1454.379
2020-06-30,1550.767
2020-07-31,1612.117
2020-08-31,1715.494
2020-09-30,1666.182
2020-10-30,1635.545
2020-11-30,1929.652
2020-12-31,2066.907
2021-01-29,2102.296
2021-02-26,2187.202
2021-03-31,2311.132
2021-04-30,2399.466
2021-05-31,2480.205
2021-06-30,2383.335
2021-07-30,2423.267
2021-08-31,2563.72
2021-09-30,2461.049
2021-10-29,2524.774
2021-11-30,2384.28
2021-12-31,2483.962
2022-01-31,2353.58
2022-02-28,2241.877
2022-03-31,2287.736
2022-04-29,2121.814
2022-05-31,2141.523
2022-06-30,1869.026
2022-07-29,1965.454
2022-08-31,1856.578
2022-09-30,1689.981
2022-10-31,1828.355
2022-11-30,2040.099
2022-12-30,2020.755
2023-01-31,2250.122
2023-02-28,2232.687
2023-03-31,2207.077
2023-04-28,2202.528
2023-05-31,2189.286
2023-06-30,2275.001
2023-07-31,2430.985
2023-08-31,2331.8
2023-09-29,2153.169
2023-10-31,2079.655
2023-11-30,2408.213
2023-12-29,2554.202
2024-01-31,2537.2
2024-02-29,2643.575
2024-03-29,2715.756
2024-04-30,2666.735
2024-05-31,2804.782
2024-06-28,2771.553
2024-07-31,2753.896
2024-08-30,2830.614
2024-09-30,2866.517
2024-10-31,2726.204
2024-11-29,2682.456
2024-12-31,2599.902
2025-01-31,2643.542
2025-02-28,2721.615
2025-03-31,2770.336
2025-04-30,2935.564
2025-05-30,3184.385
2025-06-30,3345.882
