Date,AUSTRALIA IMI IMI (Large+Mid+Small Cap)
1994-05-31,166.105
1994-06-30,158.147
1994-07-29,165.41
1994-08-31,171.646
1994-09-30,164.501
1994-10-31,167.118
1994-11-30,161.228
1994-12-30,165.246
1995-01-31,154.567
1995-02-28,158.401
1995-03-31,157.746
1995-04-28,168.442
1995-05-31,164.874
1995-06-30,163.121
1995-07-31,178.627
1995-08-31,183.518
1995-09-29,185.632
1995-10-31,182.629
1995-11-30,186.491
1995-12-29,191.238
1996-01-31,198.746
1996-02-29,205.028
1996-03-29,205.079
1996-04-30,214.837
1996-05-31,214.636
1996-06-28,210.436
1996-07-31,201.087
1996-08-30,215.33
1996-09-30,218.518
1996-10-31,226.058
1996-11-29,236.273
1996-12-31,235.045
1997-01-31,225.832
1997-02-28,234.204
1997-03-31,234.478
1997-04-30,240.647
1997-05-30,246.161
1997-06-30,254.501
1997-07-31,254.367
1997-08-29,238.202
1997-09-30,251.617
1997-10-31,219.224
1997-11-28,213.935
1997-12-31,219.446
1998-01-30,234.079
1998-02-27,240.504
1998-03-31,238.525
1998-04-30,234.217
1998-05-29,222.999
1998-06-30,219.41
1998-07-31,221.215
1998-08-31,193.378
1998-09-30,209.3
1998-10-30,225.511
1998-11-30,241.447
1998-12-31,242.109
1999-01-29,259.052
1999-02-26,254.094
1999-03-31,266.838
1999-04-30,290.418
1999-05-31,267.494
1999-06-30,282.655
1999-07-30,282.189
1999-08-31,269.24
1999-09-30,272.454
1999-10-29,267.138
1999-11-30,284.587
1999-12-31,299.793
2000-01-31,287.522
2000-02-29,280.797
2000-03-31,280.665
2000-04-28,266.26
2000-05-31,256.383
2000-06-30,289.173
2000-07-31,275.917
2000-08-31,277.608
2000-09-29,260.9
2000-10-31,247.635
2000-11-30,253.625
2000-12-29,263.32
2001-01-31,272.709
2001-02-28,257.84
2001-03-30,230.137
2001-04-30,253.904
2001-05-31,255.349
2001-06-29,263.034
2001-07-31,250.47
2001-08-31,256.057
2001-09-28,226.229
2001-10-31,245.869
2001-11-30,262.699
2001-12-31,264.898
2002-01-31,265.292
2002-02-28,266.762
2002-03-29,278.851
2002-04-30,275.022
2002-05-31,291.608
2002-06-28,277.991
2002-07-31,257.402
2002-08-30,264.815
2002-09-30,250.525
2002-10-31,262.885
2002-11-29,269.343
2002-12-31,265.023
2003-01-31,270.892
2003-02-28,267.8
2003-03-31,277.345
2003-04-30,299.61
2003-05-30,311.717
2003-06-30,325.524
2003-07-31,324.315
2003-08-29,332.304
2003-09-30,346.482
2003-10-31,375.459
2003-11-28,374.729
2003-12-31,405.603
2004-01-30,405.667
2004-02-27,424.852
2004-03-31,430.974
2004-04-30,405.445
2004-05-31,408.853
2004-06-30,408.643
2004-07-30,412.12
2004-08-31,421.038
2004-09-30,448.415
2004-10-29,477.404
2004-11-30,518.13
2004-12-31,539.385
2005-01-31,543.961
2005-02-28,571.236
2005-03-31,550.34
2005-04-29,540.239
2005-05-31,539.143
2005-06-30,570.401
2005-07-29,584.261
2005-08-31,590.842
2005-09-30,633.785
2005-10-31,595.168
2005-11-30,617.695
2005-12-30,631.896
2006-01-31,675.751
2006-02-28,667.625
2006-03-31,672.208
2006-04-28,733.688
2006-05-31,695.11
2006-06-30,700.2
2006-07-31,709.446
2006-08-31,730.965
2006-09-29,722.438
2006-10-31,783.034
2006-11-30,816.551
2006-12-29,843.123
2007-01-31,844.569
2007-02-28,872.649
2007-03-30,923.454
2007-04-30,980.687
2007-05-31,1000.0
2007-06-29,1026.079
2007-07-31,1013.151
2007-08-31,987.717
2007-09-28,1134.527
2007-10-31,1222.588
2007-11-30,1132.202
2007-12-31,1092.849
2008-01-31,989.056
2008-02-29,1027.924
2008-03-31,971.928
2008-04-30,1053.464
2008-05-30,1080.236
2008-06-30,1005.753
2008-07-31,938.873
2008-08-29,897.503
2008-09-30,739.33
2008-10-31,541.183
2008-11-28,498.233
2008-12-31,531.26
2009-01-30,459.79
2009-02-27,441.449
2009-03-31,521.865
2009-04-30,584.1
2009-05-29,645.528
2009-06-30,678.333
2009-07-31,750.086
2009-08-31,812.72
2009-09-30,905.725
2009-10-30,908.058
2009-11-30,936.649
2009-12-31,954.435
2010-01-29,886.136
2010-02-26,914.055
2010-03-31,990.989
2010-04-30,987.835
2010-05-31,821.234
