Date,AUSTRALIA IMI IMI (Large+Mid+Small Cap)
1994-05-31,192.335
1994-06-30,182.897
1994-07-29,191.256
1994-08-31,198.407
1994-09-30,189.828
1994-10-31,192.558
1994-11-30,185.595
1994-12-30,189.977
1995-01-31,177.675
1995-02-28,181.993
1995-03-31,180.81
1995-04-28,192.936
1995-05-31,188.685
1995-06-30,186.353
1995-07-31,204.041
1995-08-31,209.54
1995-09-29,211.547
1995-10-31,207.769
1995-11-30,211.97
1995-12-29,217.069
1996-01-31,225.551
1996-02-29,232.416
1996-03-29,232.134
1996-04-30,242.942
1996-05-31,242.478
1996-06-28,237.408
1996-07-31,226.846
1996-08-30,242.674
1996-09-30,245.949
1996-10-31,253.975
1996-11-29,265.37
1996-12-31,263.639
1997-01-31,253.255
1997-02-28,262.285
1997-03-31,262.282
1997-04-30,268.954
1997-05-30,274.944
1997-06-30,283.855
1997-07-31,283.683
1997-08-29,265.384
1997-09-30,279.897
1997-10-31,243.568
1997-11-28,237.471
1997-12-31,243.359
1998-01-30,259.563
1998-02-27,266.275
1998-03-31,263.791
1998-04-30,258.901
1998-05-29,246.375
1998-06-30,242.056
1998-07-31,244.027
1998-08-31,213.135
1998-09-30,230.179
1998-10-30,247.781
1998-11-30,265.014
1998-12-31,265.619
1999-01-29,284.193
1999-02-26,278.663
1999-03-31,292.176
1999-04-30,317.907
1999-05-31,292.722
1999-06-30,308.932
1999-07-30,308.395
1999-08-31,294.125
1999-09-30,297.132
1999-10-29,291.131
1999-11-30,309.875
1999-12-31,326.286
2000-01-31,312.912
2000-02-29,305.437
2000-03-31,304.827
2000-04-28,289.162
2000-05-31,278.342
2000-06-30,313.576
2000-07-31,299.189
2000-08-31,300.842
2000-09-29,282.106
2000-10-31,267.658
2000-11-30,273.748
2000-12-29,284.109
2001-01-31,294.226
2001-02-28,277.954
2001-03-30,247.616
2001-04-30,273.133
2001-05-31,274.567
2001-06-29,282.458
2001-07-31,268.952
2001-08-31,274.661
2001-09-28,242.236
2001-10-31,263.132
2001-11-30,280.752
2001-12-31,283.024
2002-01-31,283.435
2002-02-28,284.77
2002-03-29,297.061
2002-04-30,292.9
2002-05-31,310.443
2002-06-28,295.435
2002-07-31,273.535
2002-08-30,281.034
2002-09-30,265.37
2002-10-31,278.266
2002-11-29,284.628
2002-12-31,279.971
2003-01-31,286.166
2003-02-28,282.528
2003-03-31,291.927
2003-04-30,315.291
2003-05-30,327.789
2003-06-30,341.593
2003-07-31,340.29
2003-08-29,348.225
2003-09-30,362.379
2003-10-31,392.579
2003-11-28,391.017
2003-12-31,422.976
2004-01-30,423.028
2004-02-27,442.449
2004-03-31,448.012
2004-04-30,421.312
2004-05-31,424.604
2004-06-30,423.754
2004-07-30,427.236
2004-08-31,435.597
2004-09-30,463.162
2004-10-29,492.996
2004-11-30,534.092
2004-12-31,555.662
2005-01-31,560.368
2005-02-28,587.333
2005-03-31,564.918
2005-04-29,554.453
2005-05-31,552.98
2005-06-30,583.894
2005-07-29,598.078
2005-08-31,603.579
2005-09-30,646.272
2005-10-31,606.778
2005-11-30,628.707
2005-12-30,642.591
2006-01-31,687.182
2006-02-28,677.537
2006-03-31,681.195
2006-04-28,743.402
2006-05-31,703.901
2006-06-30,707.643
2006-07-31,716.961
2006-08-31,737.286
2006-09-29,727.405
2006-10-31,788.141
2006-11-30,820.645
2006-12-29,846.663
2007-01-31,848.114
2007-02-28,874.906
2007-03-30,924.413
2007-04-30,981.592
2007-05-31,1000.0
2007-06-29,1024.673
2007-07-31,1011.753
2007-08-31,984.339
2007-09-28,1129.148
2007-10-31,1216.586
2007-11-30,1124.971
2007-12-31,1085.018
2008-01-31,981.871
2008-02-29,1018.285
2008-03-31,961.242
2008-04-30,1041.697
2008-05-30,1066.678
2008-06-30,992.077
2008-07-31,926.107
2008-08-29,883.186
2008-09-30,726.027
2008-10-31,531.306
2008-11-28,488.066
2008-12-31,519.97
2009-01-30,450.016
2009-02-27,431.89
2009-03-31,510.45
2009-04-30,571.308
2009-05-29,631.362
2009-06-30,663.017
2009-07-31,733.149
