Date,AUSTRALIA IMI IMI (Large+Mid+Small Cap)
2001-12-18,276.969
2001-12-19,275.917
2001-12-20,273.042
2001-12-21,275.905
2001-12-24,278.501
2001-12-25,278.501
2001-12-26,278.309
2001-12-27,280.373
2001-12-28,281.985
2001-12-31,283.024
2002-01-01,283.024
2002-01-02,285.775
2002-01-03,284.229
2002-01-04,288.049
2002-01-07,289.136
2002-01-08,289.45
2002-01-09,288.976
2002-01-10,288.34
2002-01-11,287.987
2002-01-14,285.73
2002-01-15,285.244
2002-01-16,285.22
2002-01-17,281.73
2002-01-18,281.906
2002-01-21,284.078
2002-01-22,287.05
2002-01-23,287.679
2002-01-24,287.688
2002-01-25,287.463
2002-01-28,286.656
2002-01-29,286.771
2002-01-30,280.658
2002-01-31,283.435
2002-02-01,283.183
2002-02-04,285.097
2002-02-05,283.527
2002-02-06,281.013
2002-02-07,279.631
2002-02-08,284.861
2002-02-11,287.742
2002-02-12,286.208
2002-02-13,285.27
2002-02-14,289.849
2002-02-15,290.352
2002-02-18,290.743
2002-02-19,290.231
2002-02-20,287.558
2002-02-21,286.332
2002-02-22,284.103
2002-02-25,283.92
2002-02-26,285.65
2002-02-27,284.575
2002-02-28,284.77
2002-03-01,286.077
2002-03-04,288.9
2002-03-05,289.77
2002-03-06,291.993
2002-03-07,299.133
2002-03-08,295.912
2002-03-11,294.828
2002-03-12,292.828
2002-03-13,291.889
2002-03-14,293.73
2002-03-15,291.408
2002-03-18,294.851
2002-03-19,295.066
2002-03-20,299.676
2002-03-21,298.013
2002-03-22,297.738
2002-03-25,295.661
2002-03-26,290.808
2002-03-27,292.984
2002-03-28,297.061
2002-03-29,297.061
2002-04-01,297.59
2002-04-02,295.034
2002-04-03,292.607
2002-04-04,292.395
2002-04-05,293.684
2002-04-08,291.475
2002-04-09,289.867
2002-04-10,292.219
2002-04-11,293.639
2002-04-12,292.378
2002-04-15,291.638
2002-04-16,293.168
2002-04-17,297.717
2002-04-18,299.287
2002-04-19,299.691
2002-04-22,300.169
2002-04-23,298.872
2002-04-24,297.718
2002-04-25,298.982
2002-04-26,298.977
2002-04-29,293.833
2002-04-30,292.9
2002-05-01,294.604
2002-05-02,292.893
2002-05-03,294.444
2002-05-06,292.422
2002-05-07,291.925
2002-05-08,293.732
2002-05-09,294.123
2002-05-10,294.484
2002-05-13,292.973
2002-05-14,293.841
2002-05-15,301.268
2002-05-16,302.513
2002-05-17,306.86
2002-05-20,304.691
2002-05-21,304.51
2002-05-22,307.317
2002-05-23,305.375
2002-05-24,306.377
2002-05-27,306.466
2002-05-28,309.136
2002-05-29,310.454
2002-05-30,311.173
2002-05-31,310.443
2002-06-03,313.335
2002-06-04,313.022
2002-06-05,311.122
2002-06-06,313.384
2002-06-07,313.062
2002-06-10,310.988
2002-06-11,309.013
2002-06-12,309.848
2002-06-13,308.397
2002-06-14,301.357
2002-06-17,300.581
2002-06-18,304.303
2002-06-19,303.532
2002-06-20,305.866
2002-06-21,305.147
2002-06-24,303.982
2002-06-25,300.881
2002-06-26,293.308
2002-06-27,296.09
2002-06-28,295.435
2002-07-01,296.012
2002-07-02,296.077
2002-07-03,290.948
2002-07-04,290.756
2002-07-05,292.485
2002-07-08,297.924
2002-07-09,302.155
2002-07-10,298.35
2002-07-11,290.399
2002-07-12,290.842
2002-07-15,291.147
2002-07-16,287.62
2002-07-17,280.601
2002-07-18,283.793
2002-07-19,281.624
2002-07-22,277.961
2002-07-23,274.665
2002-07-24,264.218
2002-07-25,267.434
2002-07-26,261.928
2002-07-29,265.781
2002-07-30,273.445
2002-07-31,273.535
2002-08-01,269.93
2002-08-02,267.373
2002-08-05,260.313
2002-08-06,256.296
2002-08-07,266.58
2002-08-08,267.281
2002-08-09,270.309
2002-08-12,272.751
2002-08-13,272.738
2002-08-14,271.773
2002-08-15,276.855
2002-08-16,278.721
2002-08-19,278.028
2002-08-20,282.394
2002-08-21,280.312
2002-08-22,282.008
2002-08-23,282.399
2002-08-26,281.998
2002-08-27,285.349
2002-08-28,282.812
2002-08-29,281.989
2002-08-30,281.034
2002-09-02,283.211
2002-09-03,281.731
2002-09-04,275.992
2002-09-05,276.1
2002-09-06,276.166
2002-09-09,279.995
2002-09-10,279.149
2002-09-11,282.455
2002-09-12,284.199
2002-09-13,282.804
2002-09-16,281.666
2002-09-17,283.959
2002-09-18,280.767
2002-09-19,279.528
2002-09-20,276.252
2002-09-23,272.601
2002-09-24,271.813
2002-09-25,267.961
2002-09-26,267.636
2002-09-27,269.115
2002-09-30,265.37
2002-10-01,266.396
2002-10-02,268.346
2002-10-03,269.296
2002-10-04,268.447
2002-10-07,265.503
2002-10-08,264.531
2002-10-09,262.45
2002-10-10,259.917
2002-10-11,263.388
2002-10-14,265.624
2002-10-15,268.997
2002-10-16,269.749
2002-10-17,270.5
2002-10-18,272.411
2002-10-21,272.114
2002-10-22,273.253
2002-10-23,275.616
2002-10-24,276.544
2002-10-25,274.354
2002-10-28,278.872
2002-10-29,275.747
2002-10-30,272.825
2002-10-31,278.266
2002-11-01,276.087
2002-11-04,281.669
2002-11-05,282.143
2002-11-06,284.473
2002-11-07,283.438
2002-11-08,280.733
2002-11-11,274.535
2002-11-12,275.982
2002-11-13,274.04
2002-11-14,274.746
2002-11-15,278.514
2002-11-18,278.92
2002-11-19,277.055
2002-11-20,277.735
2002-11-21,280.976
2002-11-22,283.551
2002-11-25,281.557
2002-11-26,280.291
2002-11-27,276.535
2002-11-28,282.997
2002-11-29,284.628
2002-12-02,286.236
2002-12-03,284.683
2002-12-04,280.669
2002-12-05,282.196
2002-12-06,280.89
2002-12-09,281.584
2002-12-10,277.186
2002-12-11,275.117
2002-12-12,279.083
2002-12-13,277.517
2002-12-16,275.531
2002-12-17,280.142
2002-12-18,278.752
2002-12-19,278.884
2002-12-20,279.022
2002-12-23,282.065
2002-12-24,282.246
2002-12-25,282.246
2002-12-26,282.246
2002-12-27,280.772
2002-12-30,278.763
2002-12-31,279.971
2003-01-01,279.971
2003-01-02,281.614
2003-01-03,285.446
2003-01-06,292.941
2003-01-07,292.446
2003-01-08,291.366
2003-01-09,292.301
2003-01-10,294.62
2003-01-13,295.239
2003-01-14,296.944
2003-01-15,297.31
2003-01-16,296.11
2003-01-17,297.739
2003-01-20,297.749
2003-01-21,295.743
2003-01-22,292.16
2003-01-23,294.443
2003-01-24,295.456
2003-01-27,294.383
2003-01-28,287.445
2003-01-29,287.708
2003-01-30,287.075
2003-01-31,286.166
2003-02-03,283.33
2003-02-04,287.28
2003-02-05,284.655
2003-02-06,281.349
2003-02-07,283.752
2003-02-10,282.784
2003-02-11,279.825
2003-02-12,281.774
2003-02-13,278.884
2003-02-14,275.346
2003-02-17,277.732
2003-02-18,278.243
2003-02-19,281.108
2003-02-20,278.732
2003-02-21,279.443
2003-02-24,286.165
2003-02-25,280.853
2003-02-26,284.305
2003-02-27,281.165
2003-02-28,282.528
2003-03-03,287.563
2003-03-04,287.311
2003-03-05,284.696
2003-03-06,284.276
2003-03-07,280.593
2003-03-10,280.782
2003-03-11,273.847
2003-03-12,268.761
2003-03-13,267.288
2003-03-14,273.41
2003-03-17,272.015
2003-03-18,280.655
2003-03-19,282.033
2003-03-20,284.08
2003-03-21,283.012
2003-03-24,284.039
2003-03-25,285.179
2003-03-26,289.195
2003-03-27,290.898
2003-03-28,291.038
2003-03-31,291.927
2003-04-01,291.113
2003-04-02,289.502
2003-04-03,291.692
2003-04-04,294.961
2003-04-07,298.048
2003-04-08,298.981
2003-04-09,297.578
2003-04-10,299.405
2003-04-11,298.631
2003-04-14,297.428
2003-04-15,301.187
2003-04-16,305.706
2003-04-17,304.663
2003-04-18,304.663
2003-04-21,303.945
2003-04-22,310.371
2003-04-23,311.493
2003-04-24,311.671
2003-04-25,310.362
2003-04-28,308.797
2003-04-29,313.041
2003-04-30,315.291
2003-05-01,317.839
2003-05-02,313.881
2003-05-05,316.02
2003-05-06,316.301
2003-05-07,316.22
2003-05-08,318.242
2003-05-09,318.224
2003-05-12,321.684
2003-05-13,321.853
2003-05-14,321.137
2003-05-15,318.732
2003-05-16,320.97
2003-05-19,323.441
2003-05-20,321.261
2003-05-21,322.707
2003-05-22,325.612
