Date,AUSTRALIA IMI IMI (Large+Mid+Small Cap)
2001-01-01,263.32
2001-01-02,268.772
2001-01-03,268.776
2001-01-04,274.962
2001-01-05,278.254
2001-01-08,273.622
2001-01-09,270.263
2001-01-10,267.675
2001-01-11,266.591
2001-01-12,267.561
2001-01-15,266.868
2001-01-16,267.09
2001-01-17,266.144
2001-01-18,271.185
2001-01-19,273.539
2001-01-22,273.299
2001-01-23,270.524
2001-01-24,266.487
2001-01-25,268.774
2001-01-26,268.034
2001-01-29,268.521
2001-01-30,270.8
2001-01-31,272.709
2001-02-01,277.371
2001-02-02,275.291
2001-02-05,270.944
2001-02-06,271.657
2001-02-07,268.647
2001-02-08,265.576
2001-02-09,263.243
2001-02-12,265.839
2001-02-13,264.477
2001-02-14,262.339
2001-02-15,257.441
2001-02-16,261.049
2001-02-19,258.116
2001-02-20,255.272
2001-02-21,257.97
2001-02-22,255.856
2001-02-23,254.776
2001-02-26,255.608
2001-02-27,256.469
2001-02-28,257.84
2001-03-01,260.775
2001-03-02,260.992
2001-03-05,258.445
2001-03-06,255.975
2001-03-07,255.076
2001-03-08,253.665
2001-03-09,252.165
2001-03-12,251.319
2001-03-13,243.854
2001-03-14,242.604
2001-03-15,238.598
2001-03-16,239.166
2001-03-19,239.468
2001-03-20,240.411
2001-03-21,237.503
2001-03-22,234.521
2001-03-23,233.187
2001-03-26,236.606
2001-03-27,236.768
2001-03-28,235.059
2001-03-29,233.941
2001-03-30,230.137
2001-04-02,231.59
2001-04-03,231.001
2001-04-04,233.803
2001-04-05,235.788
2001-04-06,239.734
2001-04-09,237.855
2001-04-10,239.809
2001-04-11,245.203
2001-04-12,248.956
2001-04-13,248.956
2001-04-16,249.74
2001-04-17,246.895
2001-04-18,243.037
2001-04-19,252.848
2001-04-20,256.018
2001-04-23,249.804
2001-04-24,248.479
2001-04-25,249.071
2001-04-26,252.154
2001-04-27,251.127
2001-04-30,253.904
2001-05-01,256.774
2001-05-02,258.701
2001-05-03,261.036
2001-05-04,258.713
2001-05-07,259.56
2001-05-08,258.769
2001-05-09,260.648
2001-05-10,265.549
2001-05-11,263.088
2001-05-14,261.167
2001-05-15,262.335
2001-05-16,262.719
2001-05-17,268.308
2001-05-18,266.221
2001-05-21,270.771
2001-05-22,267.062
2001-05-23,264.66
2001-05-24,263.09
2001-05-25,264.873
2001-05-28,265.307
2001-05-29,262.165
2001-05-30,260.524
2001-05-31,255.349
2001-06-01,257.129
2001-06-04,259.714
2001-06-05,259.705
2001-06-06,262.238
2001-06-07,266.826
2001-06-08,269.377
2001-06-11,268.831
2001-06-12,265.915
2001-06-13,266.413
2001-06-14,268.396
2001-06-15,268.302
2001-06-18,263.545
2001-06-19,262.009
2001-06-20,262.724
2001-06-21,262.559
2001-06-22,263.883
2001-06-25,262.481
2001-06-26,265.115
2001-06-27,262.45
2001-06-28,259.532
2001-06-29,263.034
2001-07-02,260.556
2001-07-03,264.169
2001-07-04,264.683
2001-07-05,259.489
2001-07-06,252.662
2001-07-09,252.626
2001-07-10,255.299
2001-07-11,254.95
2001-07-12,254.953
2001-07-13,256.549
2001-07-16,259.296
2001-07-17,255.758
2001-07-18,259.182
2001-07-19,258.629
2001-07-20,254.001
2001-07-23,254.223
2001-07-24,252.766
2001-07-25,250.551
2001-07-26,248.003
2001-07-27,246.746
2001-07-30,248.759
2001-07-31,250.47
2001-08-01,258.407
2001-08-02,262.809
2001-08-03,262.224
2001-08-06,261.787
2001-08-07,261.168
2001-08-08,261.794
2001-08-09,260.667
2001-08-10,260.276
2001-08-13,260.083
2001-08-14,259.091
2001-08-15,263.419
2001-08-16,261.089
2001-08-17,264.998
2001-08-20,260.223
2001-08-21,262.124
2001-08-22,264.003
2001-08-23,262.274
2001-08-24,263.356
2001-08-27,264.716
2001-08-28,264.417
2001-08-29,263.682
2001-08-30,262.475
2001-08-31,256.057
2001-09-03,256.737
2001-09-04,255.471
2001-09-05,254.596
2001-09-06,253.872
2001-09-07,250.188
2001-09-10,247.558
2001-09-11,251.599
2001-09-12,239.522
2001-09-13,240.337
2001-09-14,238.784
2001-09-17,223.564
2001-09-18,223.794
2001-09-19,225.576
2001-09-20,221.922
2001-09-21,215.436
2001-09-24,216.132
2001-09-25,220.44
2001-09-26,220.378
2001-09-27,220.084
2001-09-28,226.229
2001-10-01,229.263
2001-10-02,233.215
2001-10-03,233.191
2001-10-04,233.535
2001-10-05,241.458
2001-10-08,239.218
2001-10-09,238.014
2001-10-10,236.656
2001-10-11,239.55
2001-10-12,242.25
2001-10-15,246.553
2001-10-16,247.679
2001-10-17,249.579
2001-10-18,244.838
2001-10-19,241.753
2001-10-22,242.566
2001-10-23,245.059
2001-10-24,247.618
2001-10-25,247.104
2001-10-26,246.355
2001-10-29,246.642
2001-10-30,247.235
2001-10-31,245.869
2001-11-01,248.367
2001-11-02,246.661
2001-11-05,245.949
2001-11-06,252.35
2001-11-07,251.488
2001-11-08,252.387
2001-11-09,253.057
2001-11-12,257.9
2001-11-13,256.665
2001-11-14,260.044
2001-11-15,259.903
2001-11-16,260.185
2001-11-19,261.16
2001-11-20,262.285
2001-11-21,259.766
2001-11-22,258.951
2001-11-23,260.528
2001-11-26,262.126
2001-11-27,265.372
2001-11-28,263.436
2001-11-29,260.635
2001-11-30,262.699
2001-12-03,260.946
2001-12-04,258.944
2001-12-05,261.161
2001-12-06,263.09
2001-12-07,263.609
2001-12-10,261.669
2001-12-11,261.307
2001-12-12,260.698
2001-12-13,260.247
2001-12-14,258.168
2001-12-17,257.749
2001-12-18,259.169
2001-12-19,258.185
2001-12-20,255.494
2001-12-21,258.235
2001-12-24,260.664
2001-12-25,260.664
2001-12-26,260.485
2001-12-27,262.417
2001-12-28,263.925
2001-12-31,264.898
2002-01-01,264.898
2002-01-02,267.473
2002-01-03,266.025
2002-01-04,269.601
2002-01-07,270.618
2002-01-08,270.912
2002-01-09,270.472
2002-01-10,269.876
2002-01-11,269.546
2002-01-14,267.435
2002-01-15,266.981
2002-01-16,266.958
2002-01-17,263.692
2002-01-18,263.856
2002-01-21,265.89
2002-01-22,268.672
2002-01-23,269.26
2002-01-24,269.268
2002-01-25,269.06
2002-01-28,268.305
2002-01-29,268.412
2002-01-30,262.693
2002-01-31,265.292
2002-02-01,265.055
2002-02-04,266.861
2002-02-05,265.392
2002-02-06,263.039
2002-02-07,261.751
2002-02-08,266.659
2002-02-11,269.382
2002-02-12,267.947
2002-02-13,267.069
2002-02-14,271.355
2002-02-15,271.826
2002-02-18,272.3
2002-02-19,271.833
2002-02-20,269.33
2002-02-21,268.182
2002-02-22,266.096
2002-02-25,265.947
2002-02-26,267.567
2002-02-27,266.572
2002-02-28,266.762
2002-03-01,267.998
2002-03-04,270.747
2002-03-05,271.579
2002-03-06,273.709
2002-03-07,280.407
2002-03-08,277.419
2002-03-11,276.403
2002-03-12,274.529
2002-03-13,273.654
2002-03-14,275.385
2002-03-15,273.208
2002-03-18,276.626
2002-03-19,276.839
2002-03-20,281.165
2002-03-21,279.616
2002-03-22,279.442
2002-03-25,277.497
2002-03-26,272.953
2002-03-27,275.016
2002-03-28,278.851
2002-03-29,278.851
2002-04-01,279.347
2002-04-02,276.951
2002-04-03,274.676
2002-04-04,274.477
2002-04-05,275.69
2002-04-08,273.64
2002-04-09,272.133
2002-04-10,274.341
2002-04-11,275.675
2002-04-12,274.492
2002-04-15,273.798
2002-04-16,275.238
2002-04-17,279.509
2002-04-18,281.001
2002-04-19,281.385
2002-04-22,281.834
2002-04-23,280.627
2002-04-24,279.546
2002-04-25,280.733
2002-04-26,280.728
2002-04-29,275.898
2002-04-30,275.022
2002-05-01,276.622
2002-05-02,275.016
2002-05-03,276.472
2002-05-06,274.585
2002-05-07,274.119
2002-05-08,275.816
2002-05-09,276.183
2002-05-10,276.522
2002-05-13,275.105
2002-05-14,275.921
2002-05-15,282.895
2002-05-16,284.064
2002-05-17,288.215
2002-05-20,286.178
2002-05-21,286.018
2002-05-22,288.654
2002-05-23,286.83
2002-05-24,287.771
