Date,AUSTRALIA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,281.888
2001-01-02,287.282
2001-01-03,286.731
2001-01-04,296.469
2001-01-05,301.445
2001-01-08,295.507
2001-01-09,292.095
2001-01-10,288.828
2001-01-11,288.1
2001-01-12,290.681
2001-01-15,292.34
2001-01-16,293.856
2001-01-17,293.731
2001-01-18,299.81
2001-01-19,303.179
2001-01-22,303.278
2001-01-23,298.044
2001-01-24,293.126
2001-01-25,295.91
2001-01-26,295.095
2001-01-29,294.314
2001-01-30,298.074
2001-01-31,300.042
2001-02-01,305.511
2001-02-02,302.413
2001-02-05,295.176
2001-02-06,296.331
2001-02-07,294.535
2001-02-08,292.668
2001-02-09,289.858
2001-02-12,293.207
2001-02-13,292.274
2001-02-14,289.951
2001-02-15,282.841
2001-02-16,287.119
2001-02-19,282.676
2001-02-20,278.543
2001-02-21,281.333
2001-02-22,276.663
2001-02-23,274.557
2001-02-26,274.203
2001-02-27,274.688
2001-02-28,275.742
2001-03-01,278.71
2001-03-02,277.851
2001-03-05,273.965
2001-03-06,270.696
2001-03-07,272.254
2001-03-08,271.873
2001-03-09,270.256
2001-03-12,269.041
2001-03-13,259.57
2001-03-14,258.478
2001-03-15,255.092
2001-03-16,256.824
2001-03-19,256.181
2001-03-20,257.407
2001-03-21,253.861
2001-03-22,250.843
2001-03-23,250.181
2001-03-26,255.022
2001-03-27,255.63
2001-03-28,253.691
2001-03-29,250.983
2001-03-30,245.996
2001-04-02,247.527
2001-04-03,244.915
2001-04-04,246.859
2001-04-05,249.357
2001-04-06,254.581
2001-04-09,253.962
2001-04-10,256.354
2001-04-11,263.332
2001-04-12,267.465
2001-04-13,267.465
2001-04-16,268.307
2001-04-17,265.554
2001-04-18,262.575
2001-04-19,273.68
2001-04-20,274.9
2001-04-23,269.174
2001-04-24,266.623
2001-04-25,267.258
2001-04-26,270.675
2001-04-27,270.483
2001-04-30,274.189
2001-05-01,276.976
2001-05-02,279.715
2001-05-03,282.084
2001-05-04,278.696
2001-05-07,280.038
2001-05-08,279.087
2001-05-09,280.217
2001-05-10,285.325
2001-05-11,281.357
2001-05-14,279.18
2001-05-15,279.482
2001-05-16,278.315
2001-05-17,284.493
2001-05-18,282.435
2001-05-21,285.905
2001-05-22,281.615
2001-05-23,277.982
2001-05-24,274.839
2001-05-25,278.842
2001-05-28,278.577
2001-05-29,275.201
2001-05-30,273.019
2001-05-31,266.446
2001-06-01,267.447
2001-06-04,270.593
2001-06-05,271.791
2001-06-06,273.69
2001-06-07,278.188
2001-06-08,281.733
2001-06-11,281.167
2001-06-12,273.969
2001-06-13,272.715
2001-06-14,276.904
2001-06-15,275.198
2001-06-18,270.512
2001-06-19,267.362
2001-06-20,267.336
2001-06-21,267.108
2001-06-22,269.79
2001-06-25,267.633
2001-06-26,269.583
2001-06-27,267.361
2001-06-28,264.271
2001-06-29,268.837
2001-07-02,267.96
2001-07-03,272.548
2001-07-04,272.459
2001-07-05,267.833
2001-07-06,259.478
2001-07-09,261.002
2001-07-10,262.967
2001-07-11,262.856
2001-07-12,262.885
2001-07-13,264.346
2001-07-16,267.18
2001-07-17,263.003
2001-07-18,265.517
2001-07-19,264.233
2001-07-20,259.751
2001-07-23,260.238
2001-07-24,259.329
2001-07-25,256.714
2001-07-26,253.723
2001-07-27,253.235
2001-07-30,255.904
2001-07-31,258.139
2001-08-01,265.533
2001-08-02,271.091
2001-08-03,270.187
2001-08-06,268.432
2001-08-07,267.817
2001-08-08,268.242
2001-08-09,267.339
2001-08-10,266.231
2001-08-13,265.88
2001-08-14,264.908
2001-08-15,268.104
2001-08-16,265.149
2001-08-17,268.983
2001-08-20,262.497
2001-08-21,265.178
2001-08-22,267.059
2001-08-23,264.67
2001-08-24,265.453
2001-08-27,266.409
2001-08-28,265.906
2001-08-29,264.848
2001-08-30,263.168
2001-08-31,256.353
