Date,AUSTRALIA IMI GROWTH IMI (Large+Mid+Small Cap)
1997-05-30,299.036
1997-06-30,305.4
1997-07-31,297.475
1997-08-29,276.29
1997-09-30,285.491
1997-10-31,242.329
1997-11-28,232.87
1997-12-31,240.55
1998-01-30,258.791
1998-02-27,272.141
1998-03-31,267.967
1998-04-30,259.859
1998-05-29,246.487
1998-06-30,249.83
1998-07-31,252.435
1998-08-31,222.383
1998-09-30,241.306
1998-10-30,257.678
1998-11-30,276.994
1998-12-31,279.364
1999-01-29,305.329
1999-02-26,296.7
1999-03-31,308.756
1999-04-30,331.522
1999-05-31,308.744
1999-06-30,334.562
1999-07-30,333.638
1999-08-31,313.16
1999-09-30,319.011
1999-10-29,314.91
1999-11-30,348.793
1999-12-31,363.283
2000-01-31,352.83
2000-02-29,357.321
2000-03-31,359.237
2000-04-28,322.844
2000-05-31,301.714
2000-06-30,344.292
2000-07-31,327.866
2000-08-31,325.403
2000-09-29,309.151
2000-10-31,281.649
2000-11-30,273.914
2000-12-29,281.888
2001-01-31,300.042
2001-02-28,275.742
2001-03-30,245.996
2001-04-30,274.189
2001-05-31,266.446
2001-06-29,268.837
2001-07-31,258.139
2001-08-31,256.353
2001-09-28,229.55
2001-10-31,243.101
2001-11-30,260.516
2001-12-31,260.445
2002-01-31,253.058
2002-02-28,246.043
2002-03-29,264.438
2002-04-30,254.342
2002-05-31,264.387
2002-06-28,247.03
2002-07-31,227.261
2002-08-30,232.188
2002-09-30,218.503
2002-10-31,232.701
2002-11-29,244.084
2002-12-31,238.97
2003-01-31,243.206
2003-02-28,240.069
2003-03-31,246.81
2003-04-30,266.347
2003-05-30,275.706
2003-06-30,285.173
2003-07-31,289.604
2003-08-29,303.409
2003-09-30,314.942
2003-10-31,346.005
2003-11-28,344.684
2003-12-31,373.628
2004-01-30,368.594
2004-02-27,387.245
2004-03-31,388.007
2004-04-30,370.328
2004-05-31,372.423
2004-06-30,371.313
2004-07-30,377.941
2004-08-31,385.575
2004-09-30,414.35
2004-10-29,436.246
2004-11-30,482.391
2004-12-31,501.02
2005-01-31,508.491
2005-02-28,544.547
2005-03-31,524.994
2005-04-29,502.868
2005-05-31,503.643
2005-06-30,542.837
2005-07-29,560.079
2005-08-31,573.004
2005-09-30,619.369
2005-10-31,571.545
2005-11-30,595.211
2005-12-30,614.645
2006-01-31,664.632
2006-02-28,645.506
2006-03-31,668.692
2006-04-28,735.259
2006-05-31,698.491
2006-06-30,699.815
2006-07-31,700.251
2006-08-31,715.382
2006-09-29,699.355
2006-10-31,764.13
2006-11-30,793.032
2006-12-29,815.461
2007-01-31,816.082
2007-02-28,854.802
2007-03-30,920.862
2007-04-30,971.839
2007-05-31,1000.0
2007-06-29,1040.749
2007-07-31,1035.806
2007-08-31,1009.77
2007-09-28,1197.459
2007-10-31,1297.116
2007-11-30,1211.639
2007-12-31,1176.325
2008-01-31,1064.923
2008-02-29,1156.44
2008-03-31,1068.346
2008-04-30,1184.651
2008-05-30,1240.441
2008-06-30,1205.787
2008-07-31,1088.418
2008-08-29,1045.729
2008-09-30,804.163
2008-10-31,586.938
2008-11-28,549.625
2008-12-31,590.239
2009-01-30,525.077
2009-02-27,514.368
2009-03-31,598.798
2009-04-30,669.423
2009-05-29,743.679
2009-06-30,769.021
2009-07-31,841.125
2009-08-31,885.603
2009-09-30,969.572
2009-10-30,982.394
2009-11-30,1029.689
2009-12-31,1050.22
2010-01-29,960.863
2010-02-26,1004.171
2010-03-31,1103.264
2010-04-30,1076.705
2010-05-31,896.486
2010-06-30,877.866
2010-07-30,982.561
2010-08-31,945.959
2010-09-30,1093.098
2010-10-29,1140.549
2010-11-30,1114.835
2010-12-31,1248.06
2011-01-31,1196.251
2011-02-28,1253.161
2011-03-31,1294.63
2011-04-29,1346.125
2011-05-31,1298.793
2011-06-30,1263.93
2011-07-29,1257.797
2011-08-31,1182.68
2011-09-30,983.498
2011-10-31,1143.045
2011-11-30,1061.669
2011-12-30,1028.824
2012-01-31,1139.782
2012-02-29,1181.948
2012-03-30,1121.974
2012-04-30,1128.978
2012-05-31,969.41
2012-06-29,1004.025
2012-07-31,1050.462
2012-08-31,1053.394
2012-09-28,1096.683
2012-10-31,1120.577
2012-11-30,1129.212
2012-12-31,1164.803
2013-01-31,1211.663
2013-02-28,1242.31
2013-03-29,1208.604
2013-04-30,1221.455
2013-05-31,1108.149
2013-06-28,1013.557
2013-07-31,1051.972
2013-08-30,1076.247
2013-09-30,1151.25
2013-10-31,1203.757
2013-11-29,1145.658
2013-12-31,1133.238
2014-01-31,1075.377
2014-02-28,1156.34
2014-03-31,1191.848
2014-04-30,1206.836
2014-05-30,1226.523
2014-06-30,1212.421
2014-07-31,1249.551
2014-08-29,1264.636
2014-09-30,1131.284
2014-10-31,1172.203
2014-11-28,1090.925
2014-12-31,1061.782
2015-01-30,1041.6
2015-02-27,1118.938
2015-03-31,1084.16
2015-04-30,1117.028
2015-05-29,1093.513
2015-06-30,1041.732
2015-07-31,1051.406
2015-08-31,939.409
2015-09-30,910.765
2015-10-30,967.071
2015-11-30,997.937
2015-12-31,1039.442
2016-01-29,968.822
2016-02-29,970.013
2016-03-31,1080.51
2016-04-29,1089.873
2016-05-31,1083.631
2016-06-30,1093.869
2016-07-29,1183.659
2016-08-31,1134.006
2016-09-30,1151.297
2016-10-31,1097.372
2016-11-30,1079.026
2016-12-30,1092.058
2017-01-31,1141.103
2017-02-28,1172.599
2017-03-31,1201.704
2017-04-28,1189.694
2017-05-31,1184.543
2017-06-30,1218.635
2017-07-31,1254.442
2017-08-31,1274.019
2017-09-29,1252.219
2017-10-31,1283.528
2017-11-30,1314.553
2017-12-29,1390.084
2018-01-31,1437.254
2018-02-28,1393.852
2018-03-30,1334.612
2018-04-30,1393.841
2018-05-31,1437.364
2018-06-29,1461.468
2018-07-31,1479.577
2018-08-31,1478.264
2018-09-28,1442.835
2018-10-31,1328.429
2018-11-30,1310.388
2018-12-31,1269.039
2019-01-31,1390.421
2019-02-28,1421.579
2019-03-29,1440.037
2019-04-30,1464.796
2019-05-31,1446.565
2019-06-28,1539.055
2019-07-31,1577.024
2019-08-30,1531.942
2019-09-30,1535.721
2019-10-31,1584.777
2019-11-29,1629.846
2019-12-31,1642.03
2020-01-31,1669.829
2020-02-28,1482.223
2020-03-31,1147.92
2020-04-30,1355.395
2020-05-29,1422.774
2020-06-30,1507.273
2020-07-31,1587.253
2020-08-31,1695.594
2020-09-30,1606.836
2020-10-30,1592.145
2020-11-30,1744.539
2020-12-31,1832.26
2021-01-29,1811.086
2021-02-26,1773.346
2021-03-31,1801.166
2021-04-30,1908.668
2021-05-31,1945.891
2021-06-30,1953.47
2021-07-30,1939.78
2021-08-31,2010.495
2021-09-30,1930.817
2021-10-29,2028.409
2021-11-30,1952.653
2021-12-31,2025.258
2022-01-31,1762.926
2022-02-28,1818.405
2022-03-31,1996.133
2022-04-29,1883.995
2022-05-31,1826.746
2022-06-30,1600.883
2022-07-29,1761.732
2022-08-31,1738.173
2022-09-30,1508.031
2022-10-31,1591.284
2022-11-30,1744.318
2022-12-30,1679.062
2023-01-31,1862.165
2023-02-28,1751.907
2023-03-31,1722.591
2023-04-28,1755.699
2023-05-31,1692.635
2023-06-30,1751.694
2023-07-31,1802.144
2023-08-31,1742.068
2023-09-29,1666.419
2023-10-31,1554.349
2023-11-30,1732.265
2023-12-29,1909.585
2024-01-31,1880.269
2024-02-29,1906.68
2024-03-29,1967.848
2024-04-30,1891.659
2024-05-31,1961.988
2024-06-28,2017.878
2024-07-31,2066.098
2024-08-30,2161.351
2024-09-30,2248.186
2024-10-31,2110.351
2024-11-29,2215.601
2024-12-31,2042.725
2025-01-31,2159.221
2025-02-28,2064.347
2025-03-31,1961.742
2025-04-30,2111.014
2025-05-30,2234.298
2025-06-30,2305.291
2025-07-31,2293.754
2025-08-29,2318.036
2025-09-30,2335.933
