Date,BELGIUM MID VALUE Mid Cap
2001-01-01,330.071
2001-01-02,331.606
2001-01-03,329.068
2001-01-04,331.877
2001-01-05,335.619
2001-01-08,333.261
2001-01-09,331.098
2001-01-10,330.586
2001-01-11,332.509
2001-01-12,332.104
2001-01-15,328.905
2001-01-16,327.726
2001-01-17,325.153
2001-01-18,329.641
2001-01-19,327.931
2001-01-22,328.982
2001-01-23,329.435
2001-01-24,322.783
2001-01-25,321.551
2001-01-26,322.436
2001-01-29,319.532
2001-01-30,319.821
2001-01-31,321.881
2001-02-01,329.165
2001-02-02,329.496
2001-02-05,343.615
2001-02-06,348.43
2001-02-07,348.03
2001-02-08,337.026
2001-02-09,343.888
2001-02-12,346.924
2001-02-13,351.377
2001-02-14,350.066
2001-02-15,345.496
2001-02-16,348.13
2001-02-19,349.306
2001-02-20,345.325
2001-02-21,347.987
2001-02-22,345.61
2001-02-23,345.194
2001-02-26,348.393
2001-02-27,352.348
2001-02-28,353.988
2001-03-01,358.555
2001-03-02,361.128
2001-03-05,362.952
2001-03-06,365.624
2001-03-07,362.518
2001-03-08,364.037
2001-03-09,363.577
2001-03-12,362.047
2001-03-13,351.337
2001-03-14,342.33
2001-03-15,338.586
2001-03-16,325.521
2001-03-19,325.479
2001-03-20,327.629
2001-03-21,316.742
2001-03-22,299.0
2001-03-23,303.373
2001-03-26,313.761
2001-03-27,320.946
2001-03-28,324.016
2001-03-29,324.759
2001-03-30,332.533
2001-04-02,337.036
2001-04-03,336.156
2001-04-04,339.383
2001-04-05,340.87
2001-04-06,343.337
2001-04-09,344.983
2001-04-10,343.997
2001-04-11,343.304
2001-04-12,343.155
2001-04-13,343.155
2001-04-16,339.641
2001-04-17,339.329
2001-04-18,335.087
2001-04-19,338.24
2001-04-20,338.864
2001-04-23,331.516
2001-04-24,328.333
2001-04-25,329.351
2001-04-26,332.576
2001-04-27,329.209
2001-04-30,331.65
2001-05-01,333.409
2001-05-02,334.427
2001-05-03,332.111
2001-05-04,329.594
2001-05-07,328.5
2001-05-08,328.542
2001-05-09,326.509
2001-05-10,329.591
2001-05-11,327.684
2001-05-14,324.019
2001-05-15,324.984
2001-05-16,324.29
2001-05-17,321.314
2001-05-18,323.139
2001-05-21,318.221
2001-05-22,321.905
2001-05-23,323.509
2001-05-24,321.233
2001-05-25,322.615
2001-05-28,323.291
2001-05-29,323.686
2001-05-30,326.896
2001-05-31,332.069
2001-06-01,329.151
2001-06-04,329.598
2001-06-05,342.474
2001-06-06,351.95
2001-06-07,352.675
2001-06-08,353.394
2001-06-11,348.572
2001-06-12,349.614
2001-06-13,353.128
2001-06-14,353.297
2001-06-15,350.464
2001-06-18,351.277
2001-06-19,351.891
2001-06-20,351.552
2001-06-21,351.943
2001-06-22,354.399
2001-06-25,353.777
2001-06-26,352.799
2001-06-27,353.4
2001-06-28,349.152
2001-06-29,346.996
2001-07-02,343.45
2001-07-03,343.13
2001-07-04,337.17
2001-07-05,336.922
2001-07-06,337.807
2001-07-09,342.592
2001-07-10,345.547
2001-07-11,345.423
2001-07-12,342.363
2001-07-13,346.113
2001-07-16,346.351
2001-07-17,344.314
2001-07-18,354.508
2001-07-19,355.041
2001-07-20,357.911
2001-07-23,356.95
2001-07-24,359.613
2001-07-25,359.06
2001-07-26,357.851
2001-07-27,357.681
2001-07-30,360.69
2001-07-31,361.679
2001-08-01,363.322
2001-08-02,363.274
2001-08-03,364.7
2001-08-06,364.139
2001-08-07,362.756
2001-08-08,363.595
2001-08-09,367.02
2001-08-10,372.376
2001-08-13,372.992
2001-08-14,372.141
2001-08-15,375.663
2001-08-16,372.089
2001-08-17,370.315
2001-08-20,366.586
2001-08-21,365.789
2001-08-22,369.527
2001-08-23,370.377
2001-08-24,372.58
2001-08-27,369.976
2001-08-28,369.513
2001-08-29,367.222
2001-08-30,366.187
2001-08-31,365.656
2001-09-03,363.472
2001-09-04,355.678
2001-09-05,355.034
2001-09-06,356.226
2001-09-07,353.575
2001-09-10,342.587
2001-09-11,335.944
2001-09-12,331.139
2001-09-13,332.09
2001-09-14,327.723
2001-09-17,324.638
2001-09-18,323.27
2001-09-19,323.629
2001-09-20,313.374
2001-09-21,299.516
2001-09-24,310.454
2001-09-25,313.182
2001-09-26,322.03
2001-09-27,328.773
2001-09-28,331.895
2001-10-01,335.543
2001-10-02,336.538
2001-10-03,333.989
2001-10-04,339.551
2001-10-05,343.299
2001-10-08,340.242
2001-10-09,340.184
2001-10-10,341.479
2001-10-11,345.074
2001-10-12,344.114
2001-10-15,337.516
2001-10-16,338.632
2001-10-17,338.724
2001-10-18,337.101
2001-10-19,332.984
2001-10-22,333.326
2001-10-23,333.256
2001-10-24,329.519
2001-10-25,326.193
2001-10-26,330.311
2001-10-29,329.033
2001-10-30,329.432
2001-10-31,325.595
2001-11-01,329.658
2001-11-02,329.002
2001-11-05,327.321
2001-11-06,330.892
2001-11-07,332.559
2001-11-08,332.786
2001-11-09,329.174
2001-11-12,325.97
2001-11-13,323.193
2001-11-14,324.597
2001-11-15,320.365
2001-11-16,319.634
2001-11-19,321.419
2001-11-20,321.047
2001-11-21,317.704
2001-11-22,322.581
2001-11-23,322.785
2001-11-26,319.316
2001-11-27,320.456
2001-11-28,321.8
2001-11-29,324.097
2001-11-30,336.763
2001-12-03,333.806
2001-12-04,338.244
2001-12-05,343.798
2001-12-06,349.345
2001-12-07,349.705
2001-12-10,343.911
2001-12-11,342.205
2001-12-12,343.783
2001-12-13,341.591
2001-12-14,337.555
2001-12-17,345.389
2001-12-18,346.352
2001-12-19,346.017
2001-12-20,350.469
2001-12-21,346.682
2001-12-24,346.476
2001-12-25,346.476
2001-12-26,346.772
2001-12-27,353.971
2001-12-28,361.455
2001-12-31,364.981
2002-01-01,364.981
2002-01-02,368.627
2002-01-03,369.171
2002-01-04,365.002
2002-01-07,364.138
2002-01-08,359.793
2002-01-09,361.304
2002-01-10,361.246
2002-01-11,358.959
2002-01-14,359.383
2002-01-15,356.016
2002-01-16,353.434
2002-01-17,352.936
2002-01-18,361.728
2002-01-21,364.674
2002-01-22,367.29
2002-01-23,371.861
2002-01-24,368.081
2002-01-25,360.885
2002-01-28,362.617
2002-01-29,364.612
2002-01-30,361.519
2002-01-31,362.548
2002-02-01,364.555
2002-02-04,369.211
2002-02-05,369.769
2002-02-06,372.605
2002-02-07,370.734
2002-02-08,374.943
2002-02-11,381.508
2002-02-12,379.096
2002-02-13,374.035
2002-02-14,379.263
2002-02-15,380.211
2002-02-18,377.153
2002-02-19,373.525
2002-02-20,374.051
2002-02-21,375.383
2002-02-22,376.984
2002-02-25,378.966
2002-02-26,378.192
2002-02-27,378.054
2002-02-28,378.263
2002-03-01,375.88
2002-03-04,381.009
2002-03-05,385.746
2002-03-06,389.641
2002-03-07,390.812
2002-03-08,388.494
2002-03-11,388.486
2002-03-12,388.532
2002-03-13,390.405
2002-03-14,390.845
2002-03-15,391.524
2002-03-18,392.655
2002-03-19,398.11
2002-03-20,395.506
2002-03-21,395.298
2002-03-22,394.089
2002-03-25,394.727
2002-03-26,395.757
2002-03-27,392.885
2002-03-28,393.131
2002-03-29,393.131
2002-04-01,396.353
2002-04-02,395.311
2002-04-03,394.854
2002-04-04,396.442
2002-04-05,394.814
2002-04-08,393.207
2002-04-09,392.789
2002-04-10,394.207
2002-04-11,395.216
2002-04-12,394.587
2002-04-15,395.449
2002-04-16,395.947
2002-04-17,399.762
2002-04-18,404.053
2002-04-19,404.01
2002-04-22,402.052
2002-04-23,405.431
2002-04-24,407.022
2002-04-25,409.284
2002-04-26,407.38
2002-04-29,404.138
2002-04-30,406.233
2002-05-01,408.532
2002-05-02,405.311
2002-05-03,407.696
2002-05-06,410.174
2002-05-07,408.598
2002-05-08,412.285
2002-05-09,413.466
2002-05-10,416.399
2002-05-13,414.746
2002-05-14,415.957
2002-05-15,418.127
2002-05-16,420.298
2002-05-17,421.513
2002-05-20,425.084
2002-05-21,422.514
2002-05-22,427.102
2002-05-23,424.27
2002-05-24,422.093
2002-05-27,421.381
2002-05-28,424.929
2002-05-29,423.587
2002-05-30,424.528
2002-05-31,423.048
2002-06-03,424.199
2002-06-04,419.643
2002-06-05,417.166
2002-06-06,421.952
2002-06-07,422.989
2002-06-10,426.033
2002-06-11,424.034
2002-06-12,408.955
2002-06-13,398.312
2002-06-14,396.569
2002-06-17,406.593
2002-06-18,408.64
2002-06-19,403.392
2002-06-20,398.965
2002-06-21,398.844
2002-06-24,389.146
2002-06-25,399.389
2002-06-26,402.361
2002-06-27,405.036
2002-06-28,418.781
2002-07-01,423.558
2002-07-02,410.208
2002-07-03,395.808
2002-07-04,401.02
2002-07-05,413.179
2002-07-08,418.263
2002-07-09,418.246
2002-07-10,400.439
2002-07-11,382.972
2002-07-12,385.415
2002-07-15,379.991
2002-07-16,379.825
2002-07-17,387.976
2002-07-18,393.45
2002-07-19,382.42
2002-07-22,366.613
2002-07-23,354.169
2002-07-24,342.225
2002-07-25,358.155
2002-07-26,358.471
2002-07-29,359.142
2002-07-30,362.643
2002-07-31,362.751
2002-08-01,355.033
2002-08-02,348.854
2002-08-05,334.56
2002-08-06,333.835
2002-08-07,336.102
2002-08-08,344.217
2002-08-09,347.575
2002-08-12,347.119
2002-08-13,346.671
2002-08-14,344.551
2002-08-15,354.71
2002-08-16,352.007
2002-08-19,357.643
2002-08-20,353.174
2002-08-21,357.308
2002-08-22,357.73
2002-08-23,358.38
2002-08-26,357.356
2002-08-27,367.516
2002-08-28,355.498
2002-08-29,351.18
2002-08-30,350.306
2002-09-02,345.879
2002-09-03,341.189
2002-09-04,336.591
2002-09-05,333.126
2002-09-06,339.629
2002-09-09,331.824
2002-09-10,336.913
2002-09-11,342.706
2002-09-12,337.894
2002-09-13,330.733
2002-09-16,326.14
2002-09-17,321.744
2002-09-18,311.854
2002-09-19,311.412
2002-09-20,303.218
2002-09-23,296.927
2002-09-24,285.112
2002-09-25,283.751
2002-09-26,281.952
2002-09-27,278.623
2002-09-30,272.989
2002-10-01,279.879
2002-10-02,285.34
2002-10-03,278.81
2002-10-04,273.855
2002-10-07,272.046
2002-10-08,261.36
2002-10-09,258.284
2002-10-10,257.476
2002-10-11,273.62
2002-10-14,271.155
2002-10-15,287.55
2002-10-16,286.261
2002-10-17,288.016
2002-10-18,287.165
2002-10-21,288.041
2002-10-22,292.14
2002-10-23,283.403
2002-10-24,279.447
2002-10-25,275.424
2002-10-28,275.451
2002-10-29,266.942
2002-10-30,269.842
2002-10-31,275.549
2002-11-01,278.539
2002-11-04,286.756
2002-11-05,292.755
2002-11-06,286.591
2002-11-07,290.535
2002-11-08,290.045
2002-11-11,285.698
2002-11-12,283.429
2002-11-13,280.359
2002-11-14,288.196
2002-11-15,294.138
2002-11-18,296.2
2002-11-19,293.416
2002-11-20,294.756
2002-11-21,298.53
2002-11-22,300.475
2002-11-25,296.556
2002-11-26,294.851
2002-11-27,294.829
2002-11-28,298.757
2002-11-29,299.629
2002-12-02,300.33
2002-12-03,294.317
2002-12-04,289.544
2002-12-05,289.007
2002-12-06,293.912
2002-12-09,289.766
2002-12-10,291.709
2002-12-11,293.817
2002-12-12,293.493
2002-12-13,293.639
2002-12-16,294.463
2002-12-17,301.398
2002-12-18,295.577
2002-12-19,291.168
2002-12-20,293.177
2002-12-23,295.649
2002-12-24,297.52
2002-12-25,297.52
2002-12-26,298.271
2002-12-27,298.145
