Date,BELGIUM MID VALUE Mid Cap
1994-05-31,151.456
1994-06-30,146.672
1994-07-29,151.456
1994-08-31,155.292
1994-09-30,149.578
1994-10-31,152.193
1994-11-30,149.37
1994-12-30,149.897
1995-01-31,148.264
1995-02-28,150.854
1995-03-31,156.969
1995-04-28,165.292
1995-05-31,166.863
1995-06-30,169.131
1995-07-31,172.629
1995-08-31,161.586
1995-09-29,164.734
1995-10-31,157.143
1995-11-30,155.891
1995-12-29,164.066
1996-01-31,167.184
1996-02-29,166.016
1996-03-29,164.219
1996-04-30,163.686
1996-05-31,167.483
1996-06-28,171.86
1996-07-31,171.635
1996-08-30,171.314
1996-09-30,170.782
1996-10-31,176.568
1996-11-29,182.936
1996-12-31,186.573
1997-01-31,193.85
1997-02-28,196.215
1997-03-31,201.015
1997-04-30,203.212
1997-05-30,219.375
1997-06-30,231.238
1997-07-31,235.241
1997-08-29,220.983
1997-09-30,233.506
1997-10-31,226.748
1997-11-28,225.278
1997-12-31,235.98
1998-01-30,246.215
1998-02-27,260.718
1998-03-31,277.74
1998-04-30,285.422
1998-05-29,335.02
1998-06-30,336.31
1998-07-31,339.077
1998-08-31,300.809
1998-09-30,288.568
1998-10-30,309.413
1998-11-30,324.638
1998-12-31,338.464
1999-01-29,323.237
1999-02-26,317.341
1999-03-31,303.244
1999-04-30,305.864
1999-05-31,296.967
1999-06-30,294.514
1999-07-30,299.281
1999-08-31,302.86
1999-09-30,298.896
1999-10-29,304.312
1999-11-30,289.931
1999-12-31,317.612
2000-01-31,280.257
2000-02-29,311.284
2000-03-31,303.788
2000-04-28,308.724
2000-05-31,312.47
2000-06-30,340.056
2000-07-31,349.845
2000-08-31,343.866
2000-09-29,325.797
2000-10-31,308.003
2000-11-30,313.888
2000-12-29,330.071
2001-01-31,321.881
2001-02-28,353.988
2001-03-30,332.533
2001-04-30,331.65
2001-05-31,332.069
2001-06-29,346.996
2001-07-31,361.679
2001-08-31,365.656
2001-09-28,331.895
2001-10-31,325.595
2001-11-30,336.763
2001-12-31,364.981
2002-01-31,362.548
2002-02-28,378.263
2002-03-29,393.131
2002-04-30,406.233
2002-05-31,423.048
2002-06-28,418.781
2002-07-31,362.751
2002-08-30,350.306
2002-09-30,272.989
2002-10-31,275.549
2002-11-29,299.629
2002-12-31,306.278
2003-01-31,295.545
2003-02-28,276.897
2003-03-31,275.777
2003-04-30,319.187
2003-05-30,360.358
2003-06-30,331.894
2003-07-31,328.674
2003-08-29,324.163
2003-09-30,341.677
2003-10-31,365.738
2003-11-28,377.955
2003-12-31,417.292
2004-01-30,427.458
2004-02-27,444.513
2004-03-31,423.469
2004-04-30,430.001
2004-05-31,433.311
2004-06-30,459.264
2004-07-30,453.983
2004-08-31,485.766
2004-09-30,540.802
2004-10-29,569.943
2004-11-30,648.69
2004-12-31,645.702
2005-01-31,632.505
2005-02-28,684.729
2005-03-31,666.924
2005-04-29,636.786
2005-05-31,600.576
2005-06-30,591.428
2005-07-29,615.719
2005-08-31,601.478
2005-09-30,636.825
2005-10-31,630.304
2005-11-30,630.446
2005-12-30,643.911
2006-01-31,694.444
2006-02-28,679.815
2006-03-31,705.223
2006-04-28,722.905
2006-05-31,695.843
2006-06-30,722.464
2006-07-31,752.675
2006-08-31,770.514
2006-09-29,826.748
2006-10-31,815.461
2006-11-30,849.215
2006-12-29,903.202
2007-01-31,901.03
2007-02-28,867.584
2007-03-30,943.729
2007-04-30,985.383
2007-05-31,1000.0
2007-06-29,1022.612
2007-07-31,977.495
2007-08-31,993.283
2007-09-28,1008.888
2007-10-31,1015.249
2007-11-30,923.893
2007-12-31,896.242
2008-01-31,839.601
2008-02-29,843.078
2008-03-31,817.895
2008-04-30,921.043
2008-05-30,882.602
2008-06-30,812.578
2008-07-31,746.497
2008-08-29,793.997
2008-09-30,733.11
2008-10-31,612.856
2008-11-28,627.199
2008-12-31,672.132
2009-01-30,710.947
2009-02-27,610.213
2009-03-31,686.009
2009-04-30,774.616
2009-05-29,941.301
2009-06-30,879.8
2009-07-31,960.585
2009-08-31,1007.989
2009-09-30,1059.122
2009-10-30,1017.946
2009-11-30,1058.188
2009-12-31,1024.669
2010-01-29,1004.096
2010-02-26,979.704
2010-03-31,1013.515
2010-04-30,956.556
2010-05-31,873.191
2010-06-30,820.133
2010-07-30,896.636
2010-08-31,824.28
2010-09-30,936.593
2010-10-29,957.872
2010-11-30,838.763
2010-12-31,892.967
2011-01-31,964.973
2011-02-28,1020.582
2011-03-31,1028.997
2011-04-29,1164.635
2011-05-31,1154.79
2011-06-30,1129.859
2011-07-29,1041.55
2011-08-31,942.201
2011-09-30,803.82
2011-10-31,851.73
2011-11-30,761.281
2011-12-30,702.18
2012-01-31,772.171
2012-02-29,832.488
2012-03-30,816.075
2012-04-30,781.655
2012-05-31,676.264
