Date,BELGIUM MID VALUE Mid Cap
1994-05-31,165.033
1994-06-30,159.518
1994-07-29,164.664
1994-08-31,168.833
1994-09-30,162.622
1994-10-31,165.464
1994-11-30,162.395
1994-12-30,162.944
1995-01-31,161.17
1995-02-28,163.985
1995-03-31,170.632
1995-04-28,179.68
1995-05-31,180.683
1995-06-30,182.631
1995-07-31,186.409
1995-08-31,174.484
1995-09-29,177.884
1995-10-31,169.686
1995-11-30,168.334
1995-12-29,177.131
1996-01-31,180.497
1996-02-29,179.236
1996-03-29,177.295
1996-04-30,176.719
1996-05-31,180.294
1996-06-28,184.55
1996-07-31,184.235
1996-08-30,183.89
1996-09-30,183.319
1996-10-31,189.53
1996-11-29,196.365
1996-12-31,200.236
1997-01-31,208.046
1997-02-28,210.585
1997-03-31,215.736
1997-04-30,218.094
1997-05-30,234.557
1997-06-30,246.362
1997-07-31,250.593
1997-08-29,235.405
1997-09-30,248.202
1997-10-31,241.019
1997-11-28,239.457
1997-12-31,250.832
1998-01-30,261.704
1998-02-27,277.119
1998-03-31,295.111
1998-04-30,303.273
1998-05-29,355.227
1998-06-30,355.974
1998-07-31,358.903
1998-08-31,318.398
1998-09-30,305.441
1998-10-30,327.504
1998-11-30,343.62
1998-12-31,358.254
1999-01-29,342.137
1999-02-26,335.896
1999-03-31,320.976
1999-04-30,323.749
1999-05-31,314.025
1999-06-30,311.053
1999-07-30,316.089
1999-08-31,319.868
1999-09-30,315.682
1999-10-29,321.402
1999-11-30,306.213
1999-12-31,335.448
2000-01-31,295.996
2000-02-29,328.765
2000-03-31,320.848
2000-04-28,326.062
2000-05-31,329.834
2000-06-30,358.399
2000-07-31,368.715
2000-08-31,362.414
2000-09-29,343.37
2000-10-31,324.617
2000-11-30,330.819
2000-12-29,347.875
2001-01-31,339.015
2001-02-28,372.831
2001-03-30,350.235
2001-04-30,348.904
2001-05-31,348.825
2001-06-29,363.528
2001-07-31,378.91
2001-08-31,383.077
2001-09-28,347.708
2001-10-31,341.107
2001-11-30,352.807
2001-12-31,381.713
2002-01-31,378.565
2002-02-28,394.973
2002-03-29,410.498
2002-04-30,423.823
2002-05-31,440.762
2002-06-28,435.215
2002-07-31,376.986
2002-08-30,364.053
2002-09-30,283.701
2002-10-31,286.362
2002-11-29,311.387
2002-12-31,318.297
2003-01-31,306.732
2003-02-28,287.378
2003-03-31,286.215
2003-04-30,331.269
2003-05-30,372.746
2003-06-30,340.957
2003-07-31,337.648
2003-08-29,333.014
2003-09-30,351.007
2003-10-31,375.724
2003-11-28,388.274
2003-12-31,428.686
2004-01-30,438.653
2004-02-27,456.154
2004-03-31,434.559
2004-04-30,441.262
2004-05-31,443.853
2004-06-30,467.715
2004-07-30,462.337
2004-08-31,494.705
2004-09-30,550.754
2004-10-29,580.431
2004-11-30,660.628
2004-12-31,657.585
2005-01-31,642.91
2005-02-28,695.993
2005-03-31,677.895
2005-04-29,647.261
2005-05-31,609.457
2005-06-30,598.467
2005-07-29,623.047
2005-08-31,608.636
2005-09-30,644.404
2005-10-31,637.805
2005-11-30,637.949
2005-12-30,651.574
2006-01-31,702.102
2006-02-28,687.312
2006-03-31,713.0
2006-04-28,729.596
2006-05-31,700.285
2006-06-30,726.373
2006-07-31,756.747
2006-08-31,774.683
2006-09-29,831.221
2006-10-31,819.873
2006-11-30,853.809
2006-12-29,908.088
2007-01-31,904.684
2007-02-28,871.103
2007-03-30,947.557
2007-04-30,989.379
2007-05-31,1000.0
2007-06-29,1021.438
2007-07-31,976.373
2007-08-31,992.143
2007-09-28,1007.73
2007-10-31,1014.084
2007-11-30,922.833
2007-12-31,895.213
2008-01-31,837.689
2008-02-29,841.159
2008-03-31,816.033
2008-04-30,917.081
2008-05-30,874.668
2008-06-30,805.274
2008-07-31,739.786
2008-08-29,786.859
2008-09-30,726.52
2008-10-31,607.347
2008-11-28,621.562
2008-12-31,666.091
2009-01-30,703.819
2009-02-27,604.095
2009-03-31,679.132
2009-04-30,765.732
2009-05-29,927.795
2009-06-30,865.457
2009-07-31,944.925
2009-08-31,991.331
